OMNIKDTREE,EUCLIDEAN,RANDOM,3,2995,394271
k,time,count,disk
5,2574346,3203,15
5,5308003,7662,36
5,6573586,10210,48
5,1139347,1710,8
5,5821262,8520,40
5,2754305,4257,20
5,2595599,4266,20
5,3051146,4682,22
5,1150183,1925,9
5,5056223,8087,38
5,2288211,3622,17
5,2382608,3621,17
5,2256397,3638,17
5,6658613,10206,48
5,7140727,10631,50
5,3887061,5322,25
5,7420143,10224,48
5,6577989,9370,44
5,1970696,2990,14
5,5587338,7663,36
5,6808937,9994,47
5,3671301,5128,24
5,6828967,9571,45
5,6505487,8949,42
5,5286249,7450,35
5,3980226,5752,27
5,2542322,3409,16
5,7554898,10630,50
5,1015877,1709,8
5,1685407,2348,11
5,7396358,10211,48
5,3096053,4262,20
5,6231874,9146,43
5,4985746,6818,32
5,6181988,8725,41
5,2758226,3621,17
5,2890536,4045,19
5,4355822,6167,29
5,5331931,7662,36
5,5582002,7657,36
5,6325632,8721,41
5,3249176,4472,21
5,4052290,5742,27
5,5432725,8087,38
5,2312548,3207,15
5,6716793,9357,44
5,1017107,1711,8
5,3386573,4686,22
5,4497305,6187,29
5,608807,856,4
5,7359435,10206,48
5,3282469,4486,21
5,5177826,7238,34
5,2771351,3837,18
5,7379420,9997,47
5,6582179,8933,42
5,1387169,1924,9
5,10359215,14249,67
5,2499041,3417,16
5,11146216,15305,72
5,1107040,1498,7
5,1630427,2562,12
5,1722936,2344,11
5,411738,644,3
5,153018,220,1
5,1722283,2344,11
5,4863235,6813,32
5,4428854,6178,29
5,4393689,6172,29
5,1529723,2133,10
5,4385979,5966,28
5,1053060,1711,8
5,5667069,8292,39
5,2167240,2982,14
5,8474941,11702,55
5,1084475,1496,7
5,323893,432,2
5,604395,858,4
5,2124604,2982,14
5,7138317,10206,48
5,466775,643,3
5,8572022,11695,55
5,6529302,8934,42
5,3113577,4255,20
5,4527020,6388,30
5,2324940,3622,17
5,311955,431,2
5,2210258,2996,14
5,1497609,2132,10
5,1060852,1499,7
5,3395233,4683,22
5,753883,1077,5
5,7586559,10436,49
5,8197385,10631,50
5,4724318,6803,32
5,6434840,8935,42
5,6319275,8515,40
5,6292302,8506,40
5,474131,644,3
5,3123514,4276,20
5,11537716,15731,74
5,1408106,2130,10
5,2505416,3406,16
5,3539772,5127,24
5,10834540,14888,70
5,9384050,12764,60
5,8292831,11055,52
5,7687164,10631,50
5,8693487,11696,55
5,6212296,8513,40
5,6475344,9150,43
5,3422611,4697,22
5,1843756,2556,12
5,5742186,7876,37
5,937501,1287,6
5,7800067,10631,50
5,4055243,5961,28
5,1041487,1495,7
5,5311274,7663,36
5,6376145,8518,40
5,5012051,6803,32
5,8140212,10845,51
5,8634967,11269,53
5,6220407,8508,40
5,4251453,6177,29
5,1861198,2565,12
5,6401283,8933,42
5,1182693,1706,8
5,6877565,9362,44
5,1006054,1493,7
5,3479941,5114,24
5,3006549,4479,21
5,9330997,12978,61
5,8179265,11078,52
5,6620676,9164,43
5,6980559,9802,46
5,5920359,8300,39
5,1733733,2355,11
5,2570564,3626,17
5,6362625,8932,42
5,4490581,6379,30
5,621192,855,4
5,3765445,5322,25
5,1388983,1921,9
5,3975412,5533,26
5,1059409,1496,7
5,7427056,10206,48
5,1351459,1282,6
5,524833,856,4
5,2043918,2775,13
5,5552041,7667,36
5,6323815,8933,42
5,9328489,12543,59
5,3795907,5109,24
5,5000327,6803,32
5,482419,647,3
5,781360,1071,5
5,1251144,1707,8
5,4642398,6803,32
5,1417522,2131,10
5,4014295,5959,28
5,1452651,2344,11
5,6487690,8722,41
5,1212194,1919,9
5,1409226,1919,9
5,9736480,13181,62
5,763840,1070,5
5,3088246,4277,20
5,1890380,2556,12
5,1202905,1928,9
5,3827780,5319,25
5,2473891,3413,16
5,7404243,9783,46
5,863704,1284,6
5,1402139,1924,9
5,7976624,10632,50
5,7138259,9573,45
5,1840302,2774,13
5,4328617,6178,29
5,1175635,1704,8
5,1800502,2562,12
5,6988743,9367,44
5,5065891,6813,32
5,7238490,9784,46
5,8147784,11055,52
5,3809350,5110,24
5,619438,856,4
5,7865932,10631,50
5,2491978,3636,17
5,3898715,5752,27
5,2194498,2991,14
5,6525982,8933,42
5,1547513,2135,10
5,4017966,5746,27
5,6323669,8734,41
5,7742376,10206,48
5,784512,1071,5
5,9260371,12552,59
5,4684689,6803,32
5,3963290,5539,26
5,7979790,10630,50
5,2470330,3409,16
5,4008364,5538,26
5,1063653,1501,7
5,4474842,6390,30
5,9039437,12557,59
5,5405650,7242,34
5,7507887,10631,50
5,3829391,5110,24
5,9574645,12550,59
5,1100655,1504,7
5,2028122,2768,13
5,8016234,10846,51
5,8993478,12124,57
5,1571926,2138,10
5,3910701,5326,25
5,1085684,1497,7
5,7647446,10630,50
5,2070237,2779,13
5,5364385,7453,35
5,2493448,3411,16
5,3741282,5324,25
5,3312355,4475,21
5,5319475,7461,35
5,1899181,2557,12
5,4202784,6167,29
5,3417755,4686,22
5,738645,1071,5
5,1892502,2987,14
5,2348321,3204,15
