OMNIKDTREE,EUCLIDEAN,SELECTION,3,2995,292660
k,time,count,disk
5,907042,1071,5
5,4665648,6171,29
5,18312430,24234,114
5,1629309,2558,12
5,9260762,13603,64
5,5257690,7234,34
5,5258741,7445,35
5,732828,1068,5
5,1503894,2346,11
5,3850751,6174,29
5,724149,1072,5
5,2883055,4686,22
5,1088852,1919,9
5,3864223,6383,30
5,4944968,8080,38
5,10800090,15519,73
5,9618183,13821,65
5,10972104,15311,72
5,8344752,11269,53
5,16111303,22107,104
5,3407910,4679,22
5,10228907,14034,66
5,4483401,6168,29
5,10837952,14881,70
5,11125264,14881,70
5,9392795,12759,60
5,1102082,1497,7
5,4473181,6174,29
5,1460969,2348,11
5,6994431,9570,45
5,7103513,9994,47
5,3449983,4681,22
5,2650806,3830,18
5,6108750,8509,40
5,9661370,13178,62
5,3145608,4260,20
5,5177011,7233,34
5,3856535,5321,25
5,2091789,3409,16
5,11678499,16157,76
5,2334876,3198,15
5,9629421,13181,62
5,1857006,2555,12
5,2468900,3408,16
5,4095340,5745,27
5,2850670,4042,19
5,1352516,1923,9
5,4423479,6381,30
5,12749320,16794,79
5,796480,1070,5
5,6447323,8931,42
5,5892303,8083,38
5,3546070,4892,23
5,7567855,10424,49
5,11360664,15731,74
5,2812022,3833,18
5,7985940,11055,52
5,12613019,17005,80
5,1496009,1922,9
5,12457992,16794,79
5,797314,1069,5
5,1230501,1704,8
5,5208275,7232,34
5,621287,860,4
5,4478962,6175,29
5,8299032,11485,54
5,2174374,2979,14
5,5573217,7656,36
5,2599212,3619,17
5,3793288,5327,25
5,5616650,7873,37
5,1895301,2984,14
5,12154833,16369,77
5,626339,856,4
5,12148906,16369,77
5,1586100,2555,12
5,631648,860,4
5,4441354,6176,29
5,459315,643,3
5,3998370,5531,26
5,4434819,6172,29
5,8723607,12545,59
5,1259843,1706,8
5,5877977,8081,38
5,11112677,15519,73
5,5670518,7658,36
5,3437651,4893,23
5,1390056,1918,9
5,9833961,13608,64
5,8707302,11904,56
5,2850727,3830,18
5,4208424,5750,27
5,10291181,14032,66
5,4302344,5747,27
5,5634549,8293,39
5,5569330,7868,37
5,12419029,16581,78
5,3499468,4679,22
5,1530009,2139,10
5,5039916,6803,32
5,12114138,16794,79
5,3214468,4046,19
5,2626704,3197,15
5,5054409,6592,31
5,12161543,16369,77
5,11116300,14670,69
5,6816054,9142,43
5,6634279,9143,43
5,9192207,12545,59
5,9168251,12545,59
5,7111196,9781,46
5,12409066,16581,78
5,8973793,11904,56
5,4786861,6382,30
5,6027804,7873,37
5,13380068,18072,85
5,2096250,2768,13
5,1455761,2133,10
5,14724149,19555,92
5,8689443,11697,55
5,6026837,8080,38
5,11891936,15732,74
5,6201755,8294,39
5,2145400,2979,14
5,2116773,2981,14
5,9586009,12760,60
5,5062534,6807,32
5,1438822,2344,11
5,12040889,16156,76
5,3814462,5109,24
5,10096550,13608,64
5,4058058,5532,26
5,12328707,16582,78
5,11072111,14881,70
5,11773221,15731,74
5,12279651,16581,78
5,11419681,15307,72
5,1907746,2559,12
5,3263295,4682,22
5,4234723,5746,27
5,3113051,4900,23
5,3116302,4256,20
5,11830499,16369,77
5,2073816,2774,13
5,8683106,11692,55
5,1865639,2557,12
5,4810283,7020,33
5,7584782,10214,48
5,472477,646,3
5,4594917,6383,30
5,3297420,4470,21
5,2470793,3406,16
5,11567082,15944,75
5,3914977,5324,25
