OMNIKDTREE,EUCLIDEAN,SSS,3,2995,436018
k,time,count,disk
5,1360792,1706,8
5,5194023,7456,35
5,7580561,12125,57
5,3317997,4898,23
5,9134947,14459,68
5,6349242,10632,50
5,1260916,2132,10
5,1494330,2561,12
5,1144179,1927,9
5,3447643,5743,27
5,723254,1286,6
5,1590248,2559,12
5,1088882,1707,8
5,2356374,3832,18
5,2159674,3831,18
5,10395201,15094,71
5,8576836,13183,62
5,8029683,12973,61
5,3439778,5540,26
5,7640435,11269,53
5,3408132,5320,25
5,9080432,13400,63
5,5391619,7457,35
5,7020788,9999,47
5,7847002,11914,56
5,3014289,4680,22
5,2762509,4047,19
5,2603316,3623,17
5,1234012,1921,9
5,3431489,5116,24
5,6965043,10636,50
5,3440060,5120,24
5,3640164,5748,27
5,1869073,2772,13
5,2347885,3411,16
5,2194085,3200,15
5,2057246,2983,14
5,3389972,4899,23
5,692675,1070,5
5,9942766,14036,66
5,3160009,4475,21
5,3940938,5535,26
5,3758593,5544,26
5,4006675,6170,29
5,1334986,1927,9
5,6196695,9358,44
5,1809211,2780,13
5,4455146,6380,30
5,11183700,15735,74
5,915613,1288,6
5,6835228,9783,46
5,3029563,4262,20
5,4226116,6184,29
5,3787367,5539,26
5,6519749,9360,44
5,3156873,4468,21
5,10860507,15098,71
5,14546507,20415,96
5,1633426,2348,11
5,11519386,16155,76
5,1695189,2351,11
5,915494,1292,6
5,2801797,4054,19
5,631453,1072,5
5,586968,857,4
5,1484798,2131,10
5,1664352,2132,10
5,1411204,2132,10
5,3415264,4907,23
5,1493416,2135,10
5,3129342,4469,21
5,1146663,1922,9
5,10533272,14884,70
5,1833988,2564,12
5,7370247,10636,50
5,758402,1071,5
5,610672,861,4
5,1789375,2564,12
5,1656570,2350,11
5,5587650,8300,39
5,1632330,2355,11
5,9914599,14035,66
5,3959525,5537,26
5,5084403,7030,33
5,7403697,11062,52
5,1680964,2558,12
5,1878540,2776,13
5,599135,855,4
5,5378072,8093,38
5,2255089,3410,16
5,4514733,6395,30
5,598430,860,4
5,6690092,9362,44
5,5924327,8302,39
5,6738365,9994,47
5,2214173,3405,16
5,10133155,14032,66
5,3734968,4891,23
5,599597,859,4
5,6755901,9573,45
5,11674846,16580,78
5,7537586,10636,50
5,2298151,3202,15
5,6909268,9783,46
5,8948653,12759,60
5,8637428,12547,59
5,6298936,8721,41
5,4026137,6167,29
5,8840997,12334,58
5,9008130,12754,60
5,6964345,10003,47
5,11205256,15730,74
5,5999870,8513,40
5,5908821,8297,39
5,3050252,4259,20
5,7813635,11268,53
5,1664667,2559,12
5,1240133,1930,9
5,19223560,26992,127
5,3278239,4473,21
5,7093736,9783,46
5,10607720,14672,69
5,8168622,11056,52
5,1614968,2556,12
5,968386,1707,8
5,1941273,2767,13
5,6896104,9783,46
5,1054036,1708,8
5,10436522,14457,68
5,2090795,2985,14
5,6349186,9369,44
5,4979134,7458,35
5,11366466,15730,74
5,3627727,5321,25
5,9777944,14250,67
5,11256067,15733,74
5,7245858,10212,48
5,1524046,2138,10
5,2608230,3831,18
5,2429820,3623,17
5,3643927,5332,25
5,886240,1284,6
5,8915748,12754,60
5,2866952,4049,19
5,3979346,5329,25
5,1006714,1500,7
5,3926750,5748,27
5,3541176,4903,23
5,983759,1494,7
5,2044411,2988,14
5,2799560,4048,19
5,5600377,8298,39
5,11351769,15731,74
5,6915221,9571,45
5,4273262,6392,30
5,608288,860,4
5,1988711,2776,13
5,2684992,4263,20
5,8220802,12120,57
5,6564769,9578,45
5,7075155,10421,49
5,1053455,1707,8
5,3209547,4469,21
5,1097523,1710,8
5,2224484,3195,15
5,9953302,13824,65
5,1497320,2135,10
5,3358387,4900,23
5,760690,1076,5
5,911338,1498,7
5,7606955,10644,50
5,1521551,2139,10
5,3792982,5747,27
5,1045632,1493,7
5,9975537,13823,65
5,7859448,11275,53
5,6601941,9147,43
5,760006,1280,6
5,3387079,5110,24
5,1385416,2140,10
5,1708756,2560,12
5,5647604,7874,37
5,1627722,2344,11
5,8404712,11908,56
5,14376450,19781,93
5,5234983,7238,34
5,1756408,2774,13
5,6921371,9572,45
5,4962069,7239,34
5,2216409,3407,16
5,1813267,2561,12
5,11350576,15731,74
5,857365,1285,6
5,9856965,13610,64
5,8602385,12332,58
5,6975845,9571,45
5,1361805,1921,9
5,9572821,13396,63
5,6394992,9145,43
5,3495787,4898,23
5,4394361,6167,29
5,3683802,4903,23
5,1468379,2132,10
5,875512,1283,6
5,6397803,9369,44
5,7232702,10426,49
5,2897887,4054,19
5,6701013,9571,45
5,3872810,5319,25
5,10624952,14883,70
5,1499089,2135,10
5,2427280,3407,16
5,8235302,11484,54
5,8317991,11480,54
5,2003029,2768,13
5,1417104,2134,10
5,1910647,2767,13
5,6831688,9581,45
5,1147369,1711,8
5,6705745,9358,44
5,4407523,6178,29
5,1813431,2773,13
5,4609320,6170,29
5,5161183,7662,36
5,763687,1074,5
5,1353354,1920,9
5,10057430,14031,66
5,877672,1284,6
5,8624887,12125,57
5,1745401,2561,12
5,913795,1285,6
5,840676,1281,6
5,5728076,8511,40
5,11434406,15943,75
5,2390397,3410,16
5,6890906,9569,45
5,2435927,3412,16
5,12212227,17009,80
5,1085111,1493,7
5,1401057,1924,9
5,5283015,7451,35
5,4201874,5959,28
5,3696955,5333,25
5,7268859,10213,48
5,3497904,4903,23
5,12041197,16580,78
5,795344,1070,5
5,456298,647,3
5,1826823,2559,12
5,1634790,2343,11
5,2674229,3832,18
5,1988406,2556,12
5,3657832,5537,26
5,5846734,8516,40
5,9991448,13610,64
5,4489897,6177,29
5,1190729,1709,8
5,2434830,3410,16
5,4518054,6380,30
5,5328226,7875,37
5,6451202,8937,42
5,1113742,1706,8
5,7209523,10210,48
5,1827264,2560,12
5,1123752,1927,9
5,4970336,7034,33
5,10116583,14033,66
5,1802801,2772,13
5,599362,856,4
5,1309369,2138,10
5,10669682,15095,71
5,7940260,11481,54
5,4615647,6385,30
5,1220224,1711,8
5,1744002,2565,12
5,4205546,5961,28
5,6148309,8512,40
5,1982416,2775,13
5,2270292,3202,15
5,9183125,12759,60
5,3906205,5754,27
5,11220681,15730,74
5,1100109,1496,7
5,7266924,10218,48
5,8226583,11504,54
5,2895798,4051,19
5,8977160,12973,61
5,11350175,15730,74
5,3254104,4474,21
5,4848804,6803,32
5,11404520,15731,74
5,1936190,2772,13
5,6573334,9573,45
5,1858403,2560,12
5,1706135,2350,11
5,10824925,15094,71
5,11550720,16156,76
5,4671352,6392,30
5,11813034,16155,76
5,1431875,2138,10
5,2554454,3839,18
5,1685245,2350,11
5,7627741,10635,50
5,11167019,15947,75
5,6373134,8734,41
5,1127669,1707,8
5,4725050,6606,31
5,9736144,14031,66
5,3482399,4469,21
5,8406059,11700,55
5,3102320,4260,20
5,2381560,3412,16
5,1649673,2350,11
5,4744197,6814,32
5,7509206,10844,51
5,7616537,10844,51
5,2332815,3625,17
5,8213967,11279,53
5,5931995,8298,39
5,7433401,10212,48
5,1602801,2562,12
5,6132834,8511,40
5,6723060,9782,46
5,4911427,7026,33
5,1897046,2554,12
5,9915425,14034,66
5,1984203,2775,13
5,9985746,14033,66
5,1537343,2346,11
5,11875341,16155,76
5,7989722,10843,51
5,466649,644,3
5,4426950,6173,29
5,6013775,8301,39
5,4877133,6815,32
5,4950253,7027,33
5,7330850,10633,50
5,1246260,1707,8
5,4594978,6592,31
5,11761430,16155,76
5,1291592,1923,9
5,2812162,4263,20
5,747290,1280,6
5,3015884,4259,20
5,11658265,16155,76
5,1370609,1927,9
5,4469554,6170,29
5,2150288,2987,14
5,2830531,4049,19
5,10578039,14672,69
5,8059764,11059,52
5,2409435,3837,18
5,2953225,4258,20
5,3466823,5531,26
5,10721576,14671,69
5,8146336,11490,54
5,2117675,2990,14
5,7462894,10219,48
5,3357518,4685,22
5,6967386,9572,45
5,12145312,16580,78
5,4360028,5969,28
5,1705896,2351,11
5,6987298,9996,47
5,5826620,8516,40
5,1082473,1497,7
5,7641373,10636,50
5,1537610,2136,10
5,1210150,1710,8
5,552868,855,4
5,7466858,10635,50
5,1383781,2132,10
5,11517510,15947,75
5,2476222,3412,16
5,2875408,4052,19
5,4001836,5537,26
5,778031,1071,5
5,6968110,9783,46
5,2641572,4258,20
5,2196884,3200,15
5,1388174,1923,9
5,3554988,5535,26
5,2137758,2991,14
5,3565453,5328,25
