OMNIKDTREE,EUCLIDEAN,CONVEX,2,5716,229605
k,time,count,disk
5,995967,1219,3
5,284590,410,1
5,590883,814,2
5,1151341,1623,4
5,4794707,6872,17
5,1330130,2028,5
5,517201,814,2
5,521464,813,2
5,251491,410,1
5,1048556,1623,4
5,246499,409,1
5,2542879,4050,10
5,685585,1216,3
5,247154,410,1
5,257358,409,1
5,259283,410,1
5,535999,818,2
5,512933,814,2
5,403330,813,2
5,6564357,10103,25
5,549207,817,2
5,464767,813,2
5,522408,813,2
5,254548,410,1
5,235260,410,1
5,430442,813,2
5,239955,410,1
5,415379,813,2
5,198371,410,1
5,553720,815,2
5,262196,410,1
5,1102459,1623,4
5,540748,815,2
5,538686,817,2
5,442182,813,2
5,1020248,1628,4
5,801112,1217,3
5,956494,1624,4
5,525726,814,2
5,738560,1219,3
5,895806,1624,4
5,252186,410,1
5,278662,410,1
5,1347883,2025,5
5,4064249,6063,15
5,252803,410,1
5,259304,410,1
5,644836,1217,3
5,529469,813,2
5,258616,410,1
5,543329,816,2
5,246068,410,1
5,536616,816,2
5,190905,410,1
5,196759,410,1
5,261627,410,1
5,261821,410,1
5,283489,410,1
5,200189,410,1
5,196520,410,1
5,265954,410,1
5,198546,410,1
5,1509899,2429,6
5,1623635,2432,6
5,218050,410,1
5,753929,1220,3
5,744990,1219,3
5,233980,410,1
5,259498,410,1
5,1056272,1624,4
5,455481,814,2
5,775888,1216,3
5,521091,815,2
5,521035,814,2
5,1035039,1623,4
5,529469,814,2
5,1058824,1622,4
5,476620,813,2
5,518603,814,2
5,785372,1220,3
5,607471,1220,3
5,762494,1220,3
5,515112,814,2
5,249606,410,1
5,1395045,2429,6
5,211304,410,1
5,429300,814,2
5,2458213,4050,10
5,525543,814,2
5,253925,410,1
5,196944,410,1
5,258818,411,1
5,197392,410,1
5,266984,410,1
5,203573,410,1
5,197735,410,1
5,265520,411,1
5,495465,813,2
5,4255443,6480,16
5,254071,410,1
5,1587778,2429,6
5,498232,813,2
5,1163465,2029,5
5,1838405,3243,8
5,256622,409,1
5,263123,410,1
5,817352,1221,3
5,1342275,2026,5
5,526769,814,2
5,246317,411,1
5,198237,411,1
5,541799,814,2
5,190037,410,1
5,472057,816,2
5,188601,411,1
5,261262,410,1
5,203149,410,1
5,264057,410,1
5,1090478,1625,4
5,255125,410,1
5,205652,410,1
5,473675,816,2
5,463577,813,2
5,266194,411,1
5,261013,410,1
5,264931,410,1
5,529583,813,2
5,265650,409,1
5,1069983,1623,4
