OMNIKDTREE,EUCLIDEAN,GNAT,2,5716,71518
k,time,count,disk
5,1301023,1623,4
5,278091,410,1
5,572633,813,2
5,558104,818,2
5,1413561,2027,5
5,543641,814,2
5,801371,1217,3
5,1268182,2026,5
5,520132,818,2
5,974658,1623,4
5,269963,410,1
5,2318087,3646,9
5,534371,814,2
5,1066318,1625,4
5,526837,814,2
5,249855,410,1
5,538057,815,2
5,253183,411,1
5,196971,410,1
5,2330416,3642,9
5,207190,410,1
5,260695,410,1
5,213297,410,1
5,749130,1221,3
5,204121,410,1
5,214971,410,1
5,489816,815,2
5,188619,410,1
5,691842,1222,3
5,1322310,2030,5
5,249979,410,1
5,1062460,1623,4
5,250186,410,1
5,530007,816,2
5,213123,410,1
5,485534,818,2
5,250294,410,1
5,886974,1625,4
5,516763,814,2
5,189682,409,1
5,464717,813,2
5,525638,816,2
5,772502,1218,3
5,462027,816,2
5,6237982,9300,23
5,258466,410,1
5,468087,813,2
5,467863,814,2
5,522693,814,2
5,243129,410,1
5,265439,409,1
5,258795,410,1
5,798075,1218,3
5,188600,410,1
5,195524,410,1
5,262992,410,1
5,278123,410,1
5,530249,816,2
5,187948,410,1
5,195552,410,1
5,259341,411,1
5,200560,410,1
5,4790054,7289,18
5,1837611,2834,7
5,241172,410,1
5,520213,812,2
5,771375,1224,3
5,787656,1217,3
5,774064,1216,3
5,772169,1217,3
5,455467,813,2
5,1034070,1626,4
5,518938,813,2
5,781200,1221,3
5,1573811,2428,6
5,259803,410,1
5,642338,1221,3
5,411532,813,2
5,1043351,1619,4
5,250839,410,1
5,522386,816,2
5,1034378,1625,4
5,718253,1219,3
5,526395,816,2
5,958415,1626,4
5,912883,1619,4
5,1124029,2025,5
5,1211165,2029,5
5,520906,812,2
5,255960,410,1
5,260567,410,1
5,262676,411,1
5,196322,410,1
5,263546,410,1
5,199851,410,1
5,260925,410,1
5,262596,411,1
5,525552,816,2
5,12810023,18997,47
5,268596,410,1
5,2367589,3641,9
5,404270,814,2
5,470433,813,2
5,611568,1217,3
5,539108,814,2
5,256882,410,1
5,1656726,2433,6
5,1905933,2835,7
5,488523,812,2
5,266666,411,1
5,196113,411,1
5,773813,1219,3
5,201543,410,1
5,260802,409,1
5,201248,411,1
5,262066,410,1
5,198232,410,1
5,224215,410,1
5,1058401,1626,4
5,260029,410,1
5,207451,410,1
5,195322,410,1
5,463697,814,2
5,264837,411,1
5,262379,410,1
5,242990,410,1
5,527312,813,2
5,530973,815,2
5,267604,410,1
5,1326095,2029,5
5,537039,816,2
5,420205,815,2
5,815098,1217,3
5,524044,814,2
5,497340,814,2
5,524650,813,2
5,1073985,1625,4
5,528162,816,2
5,422426,813,2
5,808894,1220,3
5,1264836,2025,5
5,796247,1217,3
5,1152327,2029,5
5,264436,410,1
5,989868,1622,4
5,552944,814,2
5,758228,1221,3
5,256906,410,1
5,795788,1221,3
5,749815,1217,3
5,202166,410,1
