OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,5716,380543
k,time,count,disk
5,352913,410,1
5,301517,410,1
5,589227,813,2
5,288931,410,1
5,1175607,1621,4
5,1136020,1621,4
5,824669,1217,3
5,289723,409,1
5,273135,409,1
5,270558,410,1
5,268406,410,1
5,537198,813,2
5,202559,410,1
5,270945,410,1
5,802246,1217,3
5,273355,410,1
5,522394,813,2
5,536408,814,2
5,396915,813,2
5,4567957,6874,17
5,264143,410,1
5,267732,410,1
5,234867,410,1
5,589195,815,2
5,454631,813,2
5,189590,410,1
5,3325596,5260,13
5,200734,410,1
5,265346,410,1
5,548066,819,2
5,531271,814,2
5,530273,812,2
5,529646,813,2
5,806868,1221,3
5,205502,410,1
5,540463,813,2
5,804268,1219,3
5,473790,813,2
5,270778,410,1
5,220022,410,1
5,198584,410,1
5,482179,814,2
5,1013326,1624,4
5,252794,410,1
5,1283783,2032,5
5,255352,409,1
5,260272,409,1
5,263058,410,1
5,269051,410,1
5,525598,813,2
5,526051,813,2
5,238888,410,1
5,3950962,6067,15
5,220398,410,1
5,415778,813,2
5,257062,410,1
5,246484,410,1
5,535698,813,2
5,398528,813,2
5,393408,813,2
5,534050,813,2
5,394851,813,2
5,1073178,1620,4
5,526103,812,2
5,490171,815,2
5,530582,813,2
5,758131,1220,3
5,530522,813,2
5,775269,1218,3
5,533912,813,2
5,250791,410,1
5,264540,410,1
5,264759,410,1
5,267686,409,1
5,810944,1218,3
5,256407,410,1
5,541440,813,2
5,1520606,2429,6
5,791764,1220,3
5,257064,410,1
5,264392,410,1
5,811093,1219,3
5,526947,813,2
5,253382,409,1
5,268109,410,1
5,705983,1223,3
5,969200,1622,4
5,798332,1217,3
5,808907,1221,3
5,258081,410,1
5,194566,410,1
5,265087,411,1
5,213285,410,1
5,255384,410,1
5,198504,410,1
5,196246,410,1
5,551428,816,2
5,255318,410,1
5,747758,1218,3
5,531345,813,2
5,517398,812,2
5,258034,410,1
5,498778,813,2
5,817943,1219,3
5,530203,812,2
5,255124,410,1
5,452350,815,2
5,467927,813,2
5,780657,1221,3
5,245206,411,1
5,196294,411,1
5,1066405,1623,4
5,191443,410,1
5,553328,815,2
5,188311,411,1
5,546338,813,2
5,190305,410,1
5,200895,409,1
5,1022601,1624,4
5,266483,410,1
5,469469,816,2
5,398649,816,2
5,267441,410,1
5,522975,816,2
5,487955,813,2
5,266310,410,1
5,269622,410,1
5,266651,410,1
5,533765,813,2
5,263977,409,1
5,526225,814,2
5,798739,1216,3
5,465638,812,2
5,266024,410,1
5,269983,410,1
5,797245,1219,3
5,1245080,1620,4
5,532865,813,2
5,1073954,1622,4
5,812225,1219,3
5,264191,410,1
5,504228,812,2
5,530955,813,2
5,266275,410,1
5,262539,410,1
5,241428,410,1
5,263309,410,1
5,521662,813,2
5,532374,813,2
5,254377,410,1
5,526051,815,2
5,528246,815,2
5,1032820,1624,4
5,2490434,4045,10
5,415533,815,2
5,264644,410,1
5,402859,815,2
5,2443384,3642,9
5,273061,410,1
5,1363387,2026,5
5,809697,1217,3
5,270422,410,1
5,537460,814,2
5,2429208,3643,9
5,271769,410,1
5,262380,410,1
5,267770,410,1
5,266613,410,1
5,267275,410,1
5,408521,816,2
5,399447,816,2
5,807246,1219,3
5,265653,410,1
5,408033,816,2
5,258884,410,1
5,269203,410,1
5,413430,816,2
5,542162,814,2
5,497540,812,2
5,538583,813,2
5,496143,816,2
5,192140,410,1
5,269596,410,1
5,549625,815,2
5,531382,814,2
5,530337,813,2
5,252389,409,1
5,258590,410,1
5,959738,1620,4
5,526793,813,2
5,256781,410,1
5,481919,816,2
5,208748,410,1
5,529682,815,2
5,512694,812,2
5,239616,410,1
5,406287,812,2
5,255432,410,1
5,263590,410,1
5,199566,409,1
5,550149,813,2
5,261972,410,1
5,791331,1217,3
5,814260,1223,3
5,1040142,1622,4
5,255230,410,1
5,979983,1624,4
5,540277,812,2
5,1087154,1624,4
5,472793,814,2
5,1041431,1626,4
5,262283,410,1
5,2366384,3641,9
5,260708,410,1
5,275080,410,1
5,268099,410,1
5,251846,410,1
5,1028912,1620,4
5,261674,410,1
5,802965,1217,3
5,255316,409,1
5,512560,813,2
5,271346,410,1
5,268120,409,1
5,956576,1217,3
5,495173,814,2
5,268943,410,1
5,207613,410,1
5,476107,813,2
5,397847,812,2
5,202310,410,1
5,519585,813,2
5,410753,812,2
5,827570,1218,3
5,702089,1219,3
5,208255,409,1
5,554573,818,2
5,272485,410,1
5,274406,410,1
5,205596,410,1
5,204235,409,1
5,479160,813,2
5,270364,409,1
5,273762,410,1
5,548222,814,2
5,273209,410,1
5,269298,410,1
5,270539,410,1
5,554041,816,2
5,273209,410,1
5,532906,813,2
5,275252,410,1
5,268949,410,1
5,201032,410,1
5,268851,409,1
5,267439,410,1
5,946281,1621,4
5,815347,1221,3
5,268969,410,1
5,267608,410,1
5,256035,410,1
5,269051,410,1
5,527755,813,2
5,266482,409,1
5,259721,410,1
5,257152,410,1
5,216639,409,1
5,248546,410,1
5,250979,410,1
5,254467,409,1
5,519938,813,2
5,265225,411,1
5,257391,410,1
5,257143,410,1
5,190474,410,1
5,475090,812,2
5,236759,410,1
5,475714,813,2
5,397719,813,2
5,744070,1219,3
5,260779,410,1
5,542851,812,2
5,260781,410,1
5,541909,816,2
5,544110,815,2
5,476889,814,2
5,250169,410,1
5,551105,815,2
5,517791,814,2
5,253207,410,1
5,548355,818,2
5,194604,410,1
5,483587,813,2
5,255288,410,1
5,240557,410,1
5,484375,812,2
5,530321,815,2
5,807157,1225,3
5,261046,410,1
5,269990,410,1
5,1035524,1628,4
5,465268,815,2
5,822969,1216,3
5,259865,410,1
5,705507,1218,3
5,255633,410,1
5,263323,410,1
5,237419,410,1
5,550485,813,2
5,444447,815,2
5,258492,410,1
5,228942,410,1
5,2696849,4050,10
5,408761,813,2
5,538178,813,2
5,536610,813,2
5,260161,410,1
5,268784,409,1
5,271188,410,1
5,521095,814,2
5,332917,410,1
5,266521,410,1
5,265280,410,1
5,757413,1221,3
5,266365,410,1
5,269931,410,1
5,804476,1218,3
5,267703,410,1
5,528972,814,2
5,1875416,2834,7
5,490287,814,2
5,403427,814,2
5,997828,1624,4
5,539353,817,2
5,753726,1219,3
5,227519,410,1
5,801247,1218,3
5,255382,410,1
5,283317,410,1
5,526923,813,2
5,531937,814,2
5,201435,410,1
5,267730,409,1
5,533545,813,2
5,1013576,1624,4
5,268797,409,1
5,757408,1220,3
5,201441,409,1
5,196286,409,1
5,540482,814,2
5,532370,813,2
5,809274,1218,3
5,206060,410,1
5,197461,409,1
5,271738,410,1
5,541655,813,2
5,1632985,2430,6
5,268152,410,1
5,755356,1217,3
5,3012711,4449,11
5,274420,410,1
5,746904,1219,3
5,540965,813,2
5,812404,1216,3
5,270901,410,1
5,541967,816,2
5,473665,813,2
5,1331653,2027,5
5,265177,410,1
5,467733,815,2
5,532771,813,2
5,564675,819,2
5,211711,410,1
5,819093,1219,3
5,541496,812,2
5,1079029,1622,4
5,482077,815,2
5,542907,813,2
5,2453047,3642,9
5,268854,410,1
5,793508,1221,3
5,4087358,6064,15
5,258942,410,1
5,270260,410,1
5,491438,817,2
5,251609,409,1
5,203655,410,1
5,540678,815,2
5,532189,813,2
5,191847,409,1
5,199700,409,1
5,823035,1218,3
5,615564,1217,3
5,542693,813,2
5,260839,410,1
5,524895,813,2
5,257975,410,1
5,273734,410,1
5,561837,817,2
5,1061429,1619,4
5,1104476,1620,4
5,1090659,1620,4
5,475123,815,2
5,733257,1217,3
5,260361,410,1
5,1096741,1620,4
5,1013142,1623,4
5,543866,813,2
5,260811,410,1
5,811672,1219,3
5,470361,812,2
5,256639,410,1
5,1077519,1620,4
5,194495,410,1
5,268586,410,1
5,786261,1219,3
5,262068,410,1
5,260765,410,1
5,267778,410,1
5,1096210,1624,4
5,247964,410,1
5,551703,812,2
5,479060,813,2
5,234618,410,1
5,457200,813,2
5,404589,813,2
5,273694,410,1
5,276208,412,1
5,277369,410,1
5,205054,411,1
5,276084,410,1
5,274017,410,1
5,1096974,1621,4
5,801550,1219,3
5,1109402,1624,4
5,272178,410,1
5,273173,410,1
5,483128,818,2
5,689240,813,2
5,274967,409,1
5,1094015,1624,4
5,274307,410,1
5,534595,813,2
5,407350,813,2
5,272724,410,1
5,274365,410,1
5,547929,815,2
5,269582,410,1
5,272970,410,1
5,271671,409,1
5,472121,813,2
5,416071,815,2
5,205192,410,1
5,204630,410,1
5,207319,409,1
5,546196,813,2
5,546234,813,2
5,551248,812,2
5,534283,813,2
5,275614,410,1
5,275871,410,1
5,274504,410,1
5,272974,410,1
5,800956,1219,3
5,526376,815,2
5,270845,410,1
5,268382,410,1
5,540089,814,2
5,423874,815,2
5,540917,814,2
5,405615,813,2
5,539063,813,2
5,407963,814,2
5,684213,1218,3
5,206131,411,1
5,274987,410,1
5,544081,815,2
5,408120,815,2
5,416159,813,2
5,686577,1218,3
5,202242,411,1
5,205053,411,1
5,202100,411,1
5,778236,1217,3
5,270368,410,1
5,218042,410,1
5,224215,411,1
5,205386,411,1
5,274677,410,1
5,279983,410,1
5,558824,815,2
5,1389517,2027,5
5,839892,1223,3
5,743674,1217,3
5,270282,410,1
5,524748,816,2
5,265495,410,1
5,208371,411,1
5,537037,813,2
5,824174,1225,3
5,271326,410,1
5,272868,410,1
5,486871,814,2
5,815970,1220,3
5,266339,410,1
5,497236,814,2
5,1081179,1620,4
5,551144,813,2
5,532230,814,2
5,256378,410,1
5,840030,1221,3
5,545083,812,2
5,410195,816,2
5,544351,813,2
5,258381,410,1
5,275142,410,1
5,265398,411,1
5,201392,411,1
5,838522,1219,3
5,484533,816,2
5,411972,816,2
5,826495,1218,3
5,613740,1218,3
5,648580,1219,3
5,271500,410,1
5,281495,409,1
5,302708,410,1
5,1426692,2027,5
5,2221528,3236,8
5,208556,410,1
5,532043,812,2
5,534000,816,2
5,797574,1217,3
5,259071,409,1
5,555568,813,2
5,429829,813,2
5,478132,815,2
5,1092461,1622,4
5,439262,816,2
5,540564,814,2
5,826165,1218,3
5,421561,816,2
5,194861,411,1
5,424992,814,2
5,625365,1219,3
5,416187,816,2
5,410245,816,2
5,193224,410,1
5,283059,410,1
5,279522,410,1
5,645913,1219,3
5,270954,410,1
5,1405476,2026,5
5,265530,410,1
5,839871,1217,3
5,263700,409,1
5,214261,410,1
5,274123,410,1
5,553453,813,2
5,264205,410,1
5,563771,815,2
5,547236,815,2
5,867555,1219,3
5,552864,815,2
5,478104,813,2
5,264121,410,1
5,204586,410,1
5,276922,410,1
5,551380,813,2
5,549620,813,2
5,412995,813,2
5,485349,814,2
5,255755,410,1
5,825166,1219,3
5,616988,1218,3
5,547452,817,2
5,410018,816,2
5,548018,813,2
5,409905,813,2
5,197619,410,1
5,278778,410,1
5,572789,813,2
5,551612,814,2
5,559707,812,2
5,208526,410,1
5,204247,410,1
5,493537,813,2
5,263504,409,1
5,563778,815,2
5,825719,1217,3
5,4375712,6475,16
5,699811,1217,3
5,826974,1219,3
5,261880,410,1
5,489435,813,2
5,561304,813,2
5,516903,813,2
5,263233,410,1
5,845592,1219,3
5,551354,815,2
5,267314,410,1
5,278508,410,1
5,559079,813,2
5,263195,410,1
5,831527,1218,3
5,621154,1218,3
5,555929,813,2
5,552314,813,2
5,270944,410,1
5,647182,1218,3
5,552643,813,2
5,834627,1218,3
5,420784,813,2
5,263774,410,1
5,498715,814,2
5,856273,1217,3
5,699537,1218,3
5,562234,816,2
5,827414,1218,3
5,545045,813,2
5,546418,813,2
5,541410,813,2
5,265098,410,1
5,533689,813,2
5,756439,1220,3
5,823556,1217,3
5,754029,1218,3
5,542530,815,2
5,518767,813,2
5,1102938,1623,4
5,248806,410,1
5,425302,410,1
5,846614,1221,3
5,551222,813,2
5,833454,1221,3
5,10157315,14545,36
5,550710,813,2
5,556688,813,2
5,555708,818,2
5,1113429,1622,4
5,537448,813,2
5,546552,813,2
5,544660,813,2
5,259741,410,1
5,497193,815,2
5,195628,410,1
5,433408,813,2
5,1042709,1619,4
5,268517,410,1
5,298336,410,1
5,561569,814,2
5,263256,409,1
5,562843,813,2
5,242335,410,1
5,276654,410,1
5,272309,409,1
5,278394,410,1
5,561440,816,2
5,545353,816,2
5,260988,410,1
5,564716,816,2
5,261700,410,1
5,275898,409,1
5,557593,814,2
5,554343,817,2
5,264183,410,1
5,843454,1217,3
