OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,5716,264237
k,time,count,disk
5,659650,813,2
5,294913,410,1
5,904635,1217,3
5,867488,1217,3
5,559076,813,2
5,1361018,2028,5
5,793786,1217,3
5,787306,1219,3
5,1062128,1622,4
5,1171521,2028,5
5,254424,410,1
5,2551355,4049,10
5,548894,813,2
5,529172,816,2
5,527537,816,2
5,251286,410,1
5,268267,410,1
5,249546,411,1
5,193806,410,1
5,2605129,4045,10
5,255891,410,1
5,262550,410,1
5,218231,410,1
5,195901,410,1
5,423659,816,2
5,186468,410,1
5,803800,1217,3
5,188467,410,1
5,267094,410,1
5,198181,410,1
5,267254,410,1
5,1072421,1623,4
5,253259,410,1
5,526124,814,2
5,210575,410,1
5,533450,816,2
5,1054993,1621,4
5,1537433,2429,6
5,251808,410,1
5,438089,815,2
5,691968,1216,3
5,254263,410,1
5,262229,410,1
5,748460,1223,3
5,9831920,14551,36
5,522611,815,2
5,235238,409,1
5,258959,410,1
5,264810,410,1
5,266286,410,1
5,543114,812,2
5,257862,410,1
5,1553786,2430,6
5,188861,410,1
5,208702,410,1
5,470942,816,2
5,259945,410,1
5,265731,410,1
5,198102,410,1
5,192557,410,1
5,539846,817,2
5,186017,410,1
5,3158382,4854,12
5,1572465,2428,6
5,469138,816,2
5,518268,816,2
5,732965,1216,3
5,506568,814,2
5,459755,813,2
5,795744,1219,3
5,246920,410,1
5,784091,1224,3
5,247134,409,1
5,253953,410,1
5,1287207,2026,5
5,527358,814,2
5,931021,1625,4
5,517380,813,2
5,779447,1217,3
5,514953,812,2
5,767604,1217,3
5,1290954,2029,5
5,971005,1622,4
5,250448,410,1
5,1261213,2028,5
5,455573,813,2
5,686064,1219,3
5,2958993,4860,12
5,530991,813,2
5,257511,410,1
5,267174,410,1
5,256819,411,1
5,194013,410,1
5,537657,817,2
5,187543,410,1
5,260837,410,1
5,261314,411,1
5,747327,1223,3
5,7966807,12133,30
5,210853,410,1
5,1278164,2028,5
5,436775,817,2
5,1463301,2429,6
5,1755997,3243,8
5,533242,815,2
5,254600,410,1
5,543948,813,2
5,1326801,2029,5
5,524409,813,2
5,248788,411,1
5,194263,411,1
5,528442,814,2
5,186727,410,1
5,800062,1219,3
5,190684,411,1
5,261286,410,1
5,208309,410,1
5,260457,410,1
5,518312,813,2
5,259085,410,1
5,261204,410,1
5,192652,410,1
5,458248,816,2
5,262499,411,1
5,214916,410,1
5,257429,410,1
5,535642,815,2
5,262110,410,1
5,791704,1220,3
5,793512,1222,3
5,200623,410,1
5,712333,1219,3
5,788660,1217,3
5,733919,1220,3
5,221056,410,1
5,505516,813,2
5,1327195,2033,5
5,1044251,1623,4
5,908751,1623,4
5,523984,815,2
5,526630,813,2
5,498374,815,2
5,705590,1224,3
5,779920,1217,3
5,979542,1622,4
5,486758,817,2
5,783975,1218,3
5,251822,410,1
5,991306,1620,4
5,1750878,2834,7
5,788069,1221,3
5,526610,815,2
5,1912398,3237,8
5,640933,1221,3
5,260899,410,1
5,261685,409,1
5,403134,813,2
5,1052866,1624,4
5,505586,813,2
5,11552852,17782,44
5,1529141,2431,6
5,266906,410,1
5,803853,1220,3
5,2109006,3242,8
5,269322,410,1
5,264043,411,1
5,260530,410,1
5,530768,814,2
5,199956,410,1
5,196587,410,1
5,193509,410,1
5,251810,410,1
5,261792,410,1
5,196396,410,1
5,470227,816,2
5,192545,410,1
5,195791,410,1
5,538688,814,2
5,784098,1216,3
5,250677,410,1
5,199738,410,1
5,261786,410,1
5,504112,815,2
5,255079,410,1
5,264161,410,1
5,749761,1221,3
5,787478,1219,3
5,1318478,2027,5
5,1310042,2034,5
5,1042469,1625,4
5,779555,1220,3
5,524984,814,2
5,239023,410,1
5,252844,410,1
5,254870,410,1
5,788725,1221,3
5,188957,410,1
5,530752,816,2
5,247265,410,1
5,198431,410,1
5,260863,410,1
5,517324,813,2
5,1504079,2428,6
5,534441,813,2
5,402111,813,2
5,1120168,2027,5
5,1127413,2029,5
5,516207,814,2
5,1068190,1623,4
5,1076328,1626,4
5,788851,1219,3
5,786437,1221,3
5,6361760,10110,25
5,251501,410,1
5,636258,1224,3
5,786816,1223,3
5,225334,409,1
5,1586901,2429,6
5,520367,816,2
5,248009,410,1
5,469990,815,2
5,520853,813,2
5,248157,410,1
5,261096,410,1
5,1054983,1624,4
5,190591,410,1
5,413408,816,2
5,191131,410,1
5,199404,411,1
5,220751,410,1
5,198932,410,1
5,541671,817,2
5,190049,410,1
5,253552,410,1
5,543726,815,2
5,189774,410,1
5,531817,813,2
5,520893,812,2
5,256507,410,1
5,259180,410,1
5,202086,410,1
5,203441,409,1
5,537098,819,2
5,253373,410,1
5,521277,814,2
5,1033288,1620,4
5,482304,818,2
5,532376,817,2
5,524615,814,2
5,191817,410,1
5,781062,1219,3
5,531183,814,2
5,471861,815,2
5,457516,813,2
5,730634,1216,3
5,473284,815,2
5,1004844,1620,4
5,512370,813,2
5,527027,818,2
5,707073,1217,3
5,249272,410,1
5,799603,1217,3
5,784570,1221,3
5,402584,815,2
5,462785,816,2
5,253550,410,1
5,771247,1223,3
5,402018,818,2
5,466169,814,2
5,767279,1218,3
5,541082,813,2
5,249500,411,1
5,262353,410,1
5,258336,409,1
5,199538,410,1
5,195913,410,1
5,474523,813,2
5,274816,410,1
5,197433,410,1
5,261368,409,1
5,264911,410,1
5,745639,1216,3
5,529460,816,2
5,520582,813,2
5,221912,410,1
5,470379,813,2
5,467129,816,2
5,1045262,1623,4
5,786718,1218,3
5,795010,1221,3
5,530151,815,2
5,193726,410,1
5,236920,410,1
5,623215,1221,3
5,1341989,2029,5
5,260386,410,1
5,809500,1218,3
5,536570,813,2
5,1074558,1619,4
5,533376,813,2
5,529711,816,2
5,192715,409,1
5,803736,1217,3
5,257395,410,1
5,555794,818,2
5,1024459,1624,4
5,498619,815,2
5,259620,410,1
5,759291,1219,3
5,1256119,1625,4
5,933106,1623,4
5,791369,1216,3
5,799998,1219,3
5,795031,1219,3
5,254015,410,1
5,263913,410,1
5,538982,817,2
5,248033,410,1
5,262229,410,1
5,542996,819,2
5,251076,410,1
5,531163,814,2
5,523337,814,2
5,984834,1623,4
5,779428,1224,3
5,511261,816,2
5,1060642,1620,4
5,1580296,2431,6
5,255514,410,1
5,528673,815,2
5,707670,1220,3
5,456592,816,2
5,781511,1219,3
5,798652,1217,3
5,1311129,2028,5
5,247443,410,1
5,519702,815,2
5,247337,410,1
5,534385,814,2
5,526451,813,2
5,520963,817,2
5,487978,816,2
5,525459,813,2
5,799644,1218,3
5,2054691,3237,8
5,252759,410,1
5,529475,814,2
5,191468,410,1
5,198601,410,1
5,529710,816,2
5,254602,410,1
5,534202,813,2
5,193826,411,1
5,199690,410,1
5,264344,410,1
5,536887,816,2
5,471229,815,2
5,250714,410,1
5,1594318,2430,6
5,8398711,12937,32
5,552048,816,2
5,259778,410,1
5,540842,816,2
5,1237287,1619,4
5,259618,410,1
5,546127,813,2
5,545883,815,2
5,464124,815,2
5,508629,813,2
5,986096,1620,4
5,508192,813,2
5,268179,410,1
5,721678,1217,3
5,1049524,1624,4
5,1059808,1625,4
5,267541,410,1
5,439356,813,2
5,529812,813,2
5,1055380,1624,4
5,244178,410,1
5,238648,410,1
5,6814035,10508,26
5,533064,814,2
5,528601,812,2
5,524096,813,2
5,257868,410,1
5,199867,411,1
5,824709,1219,3
5,264564,410,1
5,202370,410,1
5,198944,410,1
5,271573,411,1
5,197347,410,1
5,262459,410,1
5,406776,816,2
5,999662,1625,4
5,1889139,2835,7
5,541997,812,2
5,271402,410,1
5,2958325,4447,11
5,539782,815,2
5,1334463,2027,5
5,610861,1217,3
5,1169973,2026,5
5,535526,813,2
5,1616976,2433,6
5,1442284,2428,6
5,544580,818,2
5,429068,815,2
5,1335515,2030,5
5,1007434,1622,4
5,409080,815,2
5,273140,410,1
5,214307,410,1
5,528457,813,2
5,1201044,2030,5
5,265264,410,1
5,634441,1218,3
5,265615,410,1
5,1846984,2835,7
5,619382,1219,3
5,528485,814,2
5,616963,1217,3
5,252449,410,1
5,198289,410,1
5,188994,410,1
5,272072,410,1
5,264891,411,1
5,203124,410,1
5,479352,814,2
5,258786,409,1
5,270029,410,1
5,805433,1218,3
5,905323,1217,3
5,1063738,1620,4
5,260360,410,1
5,265380,410,1
5,205849,410,1
5,762301,1219,3
5,529672,816,2
5,525723,812,2
5,261160,410,1
5,240809,410,1
5,199544,410,1
5,261988,410,1
5,528011,813,2
5,520800,816,2
5,763769,1217,3
5,196839,409,1
5,528923,813,2
5,402326,813,2
5,682848,1224,3
5,408709,813,2
5,527423,813,2
5,415700,813,2
5,805193,1219,3
5,1072996,1620,4
5,540124,815,2
5,229121,409,1
5,269118,410,1
5,806453,1217,3
5,530251,813,2
5,234012,410,1
