OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,5716,346204
k,time,count,disk
5,10625223,14949,37
5,262537,410,1
5,528669,815,2
5,526381,814,2
5,710334,1218,3
5,523818,817,2
5,524340,814,2
5,450774,813,2
5,530680,813,2
5,784332,1218,3
5,518567,815,2
5,1036390,1620,4
5,189666,410,1
5,2109410,3238,8
5,251591,410,1
5,259785,409,1
5,251327,410,1
5,767859,1220,3
5,586488,1219,3
5,7603967,12124,30
5,516139,815,2
5,515257,813,2
5,207020,409,1
5,1053306,1620,4
5,746497,1219,3
5,193085,409,1
5,7373719,11719,29
5,227182,409,1
5,525909,813,2
5,521153,813,2
5,790908,1217,3
5,512629,814,2
5,263640,410,1
5,535440,815,2
5,192575,409,1
5,264279,410,1
5,531812,815,2
5,456231,813,2
5,249973,410,1
5,476028,813,2
5,606637,1218,3
5,253550,410,1
5,1312484,2025,5
5,672028,1218,3
5,3887811,6065,15
5,538899,817,2
5,512737,812,2
5,206461,410,1
5,525847,815,2
5,508617,814,2
5,494942,813,2
5,239430,409,1
5,7585552,11719,29
5,234261,409,1
5,196165,409,1
5,413864,816,2
5,238159,410,1
5,730723,1217,3
5,446780,812,2
5,388195,812,2
5,512180,813,2
5,391321,812,2
5,1564053,2429,6
5,787413,1219,3
5,685109,1220,3
5,508224,814,2
5,735360,1219,3
5,758179,1216,3
5,761334,1219,3
5,534959,813,2
5,248153,410,1
5,524768,814,2
5,1385716,2430,6
5,777061,1217,3
5,765246,1218,3
5,516508,813,2
5,770376,1216,3
5,1495113,2428,6
5,1267192,2025,5
5,501317,814,2
5,495834,813,2
5,991318,1622,4
5,258995,410,1
5,253956,410,1
5,1012321,1621,4
5,1235826,2026,5
5,5889217,9297,23
5,1289637,2025,5
5,262810,409,1
5,525253,814,2
5,185492,410,1
5,473079,813,2
5,186943,410,1
5,254010,410,1
5,198485,410,1
5,405842,812,2
5,769037,1221,3
5,514893,812,2
5,5017922,7680,19
5,519048,816,2
5,1071949,1622,4
5,512061,813,2
5,786102,1217,3
5,1188589,2025,5
5,516971,813,2
5,245344,410,1
5,2880136,4451,11
5,783761,1218,3
5,506827,812,2
5,247187,411,1
5,461240,813,2
5,1030927,1623,4
5,191690,410,1
5,536616,813,2
5,189816,411,1
5,524963,814,2
5,190773,410,1
5,414066,814,2
5,1046366,1622,4
5,248563,410,1
5,206432,410,1
5,196396,410,1
5,467134,813,2
5,774948,1221,3
5,703004,1217,3
5,522256,814,2
5,516320,815,2
5,251020,410,1
5,244963,409,1
5,527729,814,2
5,259321,410,1
5,1031854,1625,4
5,258680,410,1
5,516009,813,2
5,518830,816,2
5,712788,815,2
5,1315726,2025,5
5,699610,1217,3
5,482219,814,2
5,1029018,1623,4
5,511119,814,2
5,256160,410,1
5,775479,1217,3
5,206286,410,1
5,1052186,1622,4
5,520299,817,2
5,787874,1217,3
5,507392,814,2
5,1268966,2025,5
5,1041442,1622,4
5,255563,410,1
