OMNIKDTREE,EUCLIDEAN,PCA,2,5716,486614
k,time,count,disk
5,1566449,2025,5
5,193996,410,1
5,598894,813,2
5,852117,1217,3
5,834989,1218,3
5,809236,1218,3
5,1069038,1622,4
5,471706,813,2
5,465299,813,2
5,1050873,1622,4
5,252990,410,1
5,1344140,2024,5
5,248822,409,1
5,260386,410,1
5,262403,410,1
5,765545,1221,3
5,238251,410,1
5,258007,411,1
5,197765,410,1
5,3674823,5663,14
5,498284,813,2
5,478383,812,2
5,675374,1221,3
5,1041342,1622,4
5,221897,410,1
5,625289,1221,3
5,483835,818,2
5,602649,1221,3
5,254642,410,1
5,532843,815,2
5,516765,815,2
5,514822,816,2
5,525560,814,2
5,430996,815,2
5,631951,1221,3
5,246100,410,1
5,782805,1220,3
5,1132672,2025,5
5,778282,1217,3
5,439379,816,2
5,614660,1218,3
5,246226,410,1
5,524289,813,2
5,872905,1620,4
5,5047207,7275,18
5,304704,410,1
5,545780,815,2
5,255881,410,1
5,485756,815,2
5,524357,815,2
5,659785,1216,3
5,782528,1221,3
5,1265016,2032,5
5,631021,1221,3
5,608227,1221,3
5,191643,410,1
5,208485,410,1
5,1038824,1627,4
5,892306,1624,4
5,602595,1221,3
5,255324,410,1
5,811830,1624,4
5,2410065,3639,9
5,1009209,1622,4
5,222385,410,1
5,768875,1219,3
5,508401,817,2
5,1578195,2432,6
5,1023776,1624,4
5,514364,813,2
5,248660,410,1
5,488487,813,2
5,472035,813,2
5,771533,1217,3
5,757718,1216,3
5,206561,410,1
5,1039678,1620,4
5,1150593,2025,5
5,2017447,3241,8
5,503186,815,2
5,509451,813,2
5,691096,1221,3
5,242600,410,1
5,510638,814,2
5,1834658,2836,7
5,684866,1218,3
5,1355115,2427,6
5,1555308,2429,6
5,249516,410,1
5,252454,409,1
5,231367,410,1
5,1032381,1625,4
5,806680,1624,4
5,501760,813,2
5,610478,1220,3
5,606079,1221,3
5,254331,411,1
5,1046687,1625,4
5,1739806,2834,7
5,526692,816,2
5,1292257,2024,5
5,511181,815,2
5,1570300,2430,6
5,1519851,2429,6
5,765821,1217,3
5,190182,410,1
5,785397,1218,3
5,1051346,1620,4
5,517779,812,2
5,499038,813,2
5,946041,1625,4
5,204734,410,1
5,810902,1624,4
5,517187,814,2
5,811136,1625,4
5,515590,815,2
5,609866,1220,3
5,718716,1221,3
5,1857525,2839,7
5,522043,815,2
5,425553,812,2
5,418155,812,2
5,261952,410,1
5,262903,411,1
5,249400,410,1
5,256761,409,1
5,260560,409,1
5,525227,816,2
5,521947,812,2
5,1056077,1621,4
5,256904,410,1
5,1237177,2029,5
5,256421,410,1
5,464715,814,2
5,424216,815,2
5,259957,410,1
5,1532273,2430,6
5,1412426,2430,6
5,792273,1220,3
5,2075100,3245,8
5,518012,812,2
5,443343,813,2
5,260254,410,1
5,766595,1217,3
5,991243,1626,4
5,778109,1218,3
5,676647,1219,3
5,247795,410,1
5,1555484,2430,6
5,1299675,2024,5
5,272120,410,1
5,762423,1217,3
5,1550597,2430,6
5,3704724,5662,14
5,407708,813,2
5,524461,812,2
5,418438,815,2
5,1032450,1621,4
5,660037,1217,3
5,8005783,11720,29
5,1313414,2028,5
5,474076,815,2
5,262349,410,1
5,1604821,2433,6
5,498282,813,2
5,511905,813,2
5,734160,1224,3
5,522115,813,2
5,462124,813,2
5,409234,812,2
5,404938,812,2
5,261243,410,1
5,262050,410,1
5,402638,812,2
5,259907,410,1
5,254634,410,1
5,417482,812,2
5,1240477,2029,5
5,1581430,2431,6
5,205077,410,1
5,218473,410,1
5,549395,813,2
5,481750,816,2
5,743043,1220,3
5,1280373,2024,5
5,1555214,2434,6
5,473499,813,2
5,1030484,1624,4
5,1185294,2026,5
5,195254,410,1
5,266583,410,1
5,261603,410,1
5,260658,410,1
5,509914,814,2
5,243355,410,1
5,1031775,1624,4
5,509725,812,2
5,714241,1219,3
5,243734,410,1
5,207130,410,1
5,2075455,3244,8
5,918531,1620,4
5,1002736,1620,4
5,511851,813,2
5,501845,813,2
5,774431,1217,3
5,416299,813,2
5,778777,1217,3
5,2469116,3642,9
5,984233,1622,4
5,1460500,2429,6
5,1048012,1620,4
5,2933803,4855,12
5,225947,410,1
5,746659,1217,3
5,790521,1221,3
5,518180,812,2
5,5776795,8906,22
5,252393,410,1
5,793822,1218,3
5,243327,410,1
5,795457,1219,3
5,249063,410,1
5,261324,410,1
5,1261369,2027,5
5,229546,410,1
5,258931,410,1
5,206401,410,1
5,222828,411,1
5,203034,410,1
5,203979,410,1
5,717513,1219,3
5,194275,410,1
5,2134565,3238,8
5,425928,813,2
5,206689,410,1
5,539481,815,2
5,736735,1217,3
5,520165,812,2
5,781135,1217,3
5,202541,410,1
5,490554,816,2
5,529799,813,2
5,520512,813,2
5,251752,410,1
5,474100,815,2
5,509441,813,2
5,482113,815,2
5,729996,1217,3
5,523541,813,2
5,520123,813,2
5,252513,410,1
5,259403,410,1
5,468176,813,2
5,961901,1625,4
5,523345,817,2
5,423388,813,2
5,254949,410,1
5,525319,813,2
5,525200,812,2
5,499567,814,2
5,494383,816,2
5,241350,410,1
5,476372,814,2
5,250252,410,1
5,457973,818,2
5,212364,410,1
5,860892,1625,4
5,503814,814,2
5,496472,812,2
5,1056101,1622,4
5,245340,411,1
5,255737,410,1
5,735945,1219,3
5,463410,813,2
5,194480,410,1
5,763817,1217,3
5,201176,410,1
5,204930,410,1
5,953575,1620,4
5,252746,410,1
5,1634492,2431,6
5,516554,815,2
5,196553,410,1
5,265821,410,1
5,209177,410,1
5,484914,813,2
5,1035724,1620,4
5,1001204,1622,4
5,524881,815,2
5,253901,410,1
5,255288,410,1
5,772632,1218,3
5,466666,813,2
5,253650,410,1
5,235909,410,1
5,530740,815,2
5,261465,410,1
5,1042004,1620,4
5,1297071,2029,5
5,493894,815,2
5,460688,812,2
5,790126,1217,3
5,759884,1221,3
5,1586114,2435,6
5,519038,813,2
5,483457,813,2
5,263522,410,1
5,781614,1217,3
5,496733,812,2
5,528481,816,2
5,516087,813,2
5,789288,1219,3
5,725412,1216,3
5,239428,410,1
5,216729,410,1
5,475644,814,2
5,473781,813,2
5,255935,410,1
5,511229,813,2
5,239117,410,1
5,522945,815,2
5,528406,815,2
5,1592939,2427,6
5,476401,813,2
5,521694,813,2
5,791621,1219,3
5,798396,1217,3
5,475311,815,2
5,789769,1218,3
5,476681,815,2
5,416151,815,2
5,784613,1218,3
5,521017,816,2
5,1271331,2027,5
5,523060,813,2
5,747588,1222,3
5,528591,814,2
5,562049,816,2
5,264504,410,1
5,904086,1620,4
5,420413,813,2
5,261645,410,1
5,263183,410,1
5,1522479,2430,6
5,527655,813,2
5,1056951,1624,4
5,685338,1217,3
5,207562,409,1
5,522801,819,2
5,271583,410,1
5,1018589,1621,4
5,428171,814,2
5,197814,411,1
5,508068,813,2
5,801193,1219,3
5,257918,410,1
5,262018,410,1
5,1334836,2026,5
5,2568991,4044,10
5,520524,813,2
5,530706,814,2
5,253359,410,1
5,1853046,2836,7
5,252323,410,1
5,809613,1218,3
5,706018,816,2
5,749951,1219,3
5,253305,410,1
5,1571689,2430,6
5,259420,410,1
5,535055,815,2
5,416510,813,2
5,425559,813,2
5,757712,1217,3
5,786482,1219,3
5,525792,815,2
5,251557,410,1
5,2639082,4046,10
5,538898,813,2
5,1298567,2026,5
5,4445614,6873,17
5,521247,814,2
5,780258,1217,3
5,526939,812,2
5,504148,813,2
5,413905,814,2
5,430223,813,2
5,257562,410,1
5,425252,813,2
5,426580,813,2
5,256976,411,1
5,207140,410,1
5,541829,817,2
5,302750,410,1
5,968950,1622,4
5,1004824,1620,4
5,534253,815,2
5,791945,1221,3
5,1594829,2429,6
5,1324569,2030,5
5,1020873,1620,4
5,509068,814,2
5,1038309,1622,4
5,257094,410,1
5,1318539,2026,5
5,419146,813,2
5,253049,410,1
5,538982,817,2
5,4854720,7278,18
5,493391,815,2
5,266245,410,1
5,261950,410,1
5,208463,410,1
5,260492,410,1
5,511411,813,2
5,265180,410,1
5,468131,815,2
5,512432,813,2
5,727173,1219,3
5,515659,814,2
5,520813,813,2
5,692854,1220,3
5,268919,410,1
5,205837,410,1
5,204035,410,1
5,260172,410,1
5,533337,817,2
5,258609,410,1
5,414886,816,2
5,785429,1217,3
5,533693,814,2
5,1570681,2428,6
5,800181,1221,3
5,910466,1624,4
5,262874,410,1
5,257706,410,1
5,2081150,3237,8
5,523054,815,2
5,419062,813,2
5,2618400,4049,10
5,469453,813,2
5,256188,411,1
5,463102,816,2
5,470645,813,2
5,794208,1220,3
5,521991,815,2
5,797032,1217,3
5,262118,410,1
5,791527,1218,3
5,521366,813,2
5,697570,1220,3
5,248846,410,1
5,520594,814,2
5,637108,1218,3
5,264009,410,1
5,518003,813,2
5,527282,813,2
5,509314,814,2
5,791249,1219,3
5,524197,813,2
5,520756,812,2
5,516610,813,2
5,475536,812,2
5,521548,813,2
5,224354,410,1
5,240229,410,1
5,544485,813,2
5,415587,812,2
5,254629,411,1
5,208362,410,1
5,530424,816,2
5,418870,817,2
5,200047,410,1
5,429277,816,2
5,255697,410,1
5,264642,410,1
5,204061,410,1
5,208467,410,1
5,1220788,2028,5
5,239438,410,1
5,431129,816,2
5,198161,410,1
5,551658,813,2
5,257864,410,1
5,551320,813,2
5,201544,410,1
5,429808,816,2
5,412466,813,2
5,1091643,1622,4
5,526309,813,2
5,2088576,3238,8
5,801132,1218,3
5,1295563,2025,5
5,537380,813,2
5,234167,410,1
5,264398,410,1
5,209482,410,1
5,256511,410,1
5,1028482,1623,4
5,258121,410,1
5,267352,410,1
5,230505,410,1
5,758078,1218,3
5,477789,813,2
5,741239,1217,3
5,2000977,3235,8
5,1343204,2027,5
5,1006480,1622,4
5,563703,813,2
5,1062872,1619,4
5,791399,1218,3
5,413482,812,2
5,258788,410,1
5,512751,813,2
