OMNIKDTREE,EUCLIDEAN,RANDOM,2,5716,256691
k,time,count,disk
5,987629,1217,3
5,221211,410,1
5,592441,813,2
5,571630,813,2
5,862911,1217,3
5,554451,815,2
5,278690,410,1
5,276308,410,1
5,477067,813,2
5,271306,410,1
5,270633,409,1
5,201637,410,1
5,271128,410,1
5,804653,1218,3
5,267187,410,1
5,263151,410,1
5,267172,410,1
5,522522,814,2
5,397915,813,2
5,2032837,3236,8
5,249843,410,1
5,262439,410,1
5,218365,410,1
5,260968,409,1
5,204600,410,1
5,200605,410,1
5,418357,815,2
5,188357,410,1
5,199257,409,1
5,534126,812,2
5,747275,1218,3
5,251603,410,1
5,543892,815,2
5,500589,813,2
5,204021,410,1
5,532296,813,2
5,516440,813,2
5,504608,814,2
5,525217,818,2
5,248410,409,1
5,411343,813,2
5,233596,410,1
5,1248679,2027,5
5,505309,814,2
5,1392661,2430,6
5,242214,410,1
5,252123,410,1
5,248049,409,1
5,246479,410,1
5,199207,411,1
5,224896,409,1
5,206374,410,1
5,466357,815,2
5,189685,410,1
5,194536,410,1
5,225213,410,1
5,243939,409,1
5,505573,815,2
5,193815,410,1
5,194412,410,1
5,749502,1218,3
5,187519,410,1
5,692566,1218,3
5,454749,817,2
5,190235,410,1
5,656862,1222,3
5,191420,410,1
5,446017,813,2
5,195275,410,1
5,241687,410,1
5,415838,814,2
5,456364,814,2
5,432197,813,2
5,739344,1219,3
5,697379,1216,3
5,493565,815,2
5,485197,815,2
5,1112072,2030,5
5,732194,1223,3
5,222730,410,1
5,238686,410,1
5,486672,818,2
5,235879,410,1
5,238145,410,1
5,491726,815,2
5,606322,1223,3
5,1331129,2430,6
5,665292,1218,3
5,205717,410,1
5,480437,812,2
5,188507,409,1
5,233095,411,1
5,196501,410,1
5,219279,410,1
5,211625,410,1
5,198633,410,1
5,237904,411,1
5,504128,814,2
5,975739,1623,4
5,245610,410,1
5,997054,1628,4
5,243724,410,1
5,215646,410,1
5,489011,812,2
5,247716,410,1
5,239039,410,1
5,504447,817,2
5,514088,818,2
5,228921,410,1
5,261897,410,1
5,227598,411,1
5,519950,813,2
5,191328,410,1
5,257728,410,1
5,200314,411,1
5,252746,411,1
5,200173,410,1
5,257802,410,1
5,263335,410,1
5,255231,410,1
5,203211,409,1
5,205322,409,1
5,258018,410,1
5,246559,411,1
5,264393,409,1
5,254791,410,1
5,518352,813,2
5,501697,815,2
5,255455,410,1
5,998650,1625,4
5,245807,410,1
5,1031300,1625,4
5,246019,410,1
5,255944,409,1
5,260801,410,1
5,258834,410,1
5,510182,812,2
5,416025,817,2
5,204815,410,1
5,512548,818,2
5,254177,410,1
5,208057,410,1
5,521559,815,2
5,752172,1221,3
5,670730,1220,3
