OMNIKDTREE,EUCLIDEAN,SELECTION,2,5716,480645
k,time,count,disk
5,993218,1217,3
5,398229,814,2
5,880136,1217,3
5,565873,812,2
5,826269,1217,3
5,817249,1218,3
5,1082982,1622,4
5,793678,1217,3
5,507633,812,2
5,801152,1217,3
5,248608,410,1
5,1291918,2026,5
5,447390,813,2
5,2070797,3240,8
5,490851,814,2
5,233800,410,1
5,459577,815,2
5,232204,411,1
5,194421,410,1
5,1337047,2429,6
5,477550,815,2
5,395818,813,2
5,188409,410,1
5,1281095,2429,6
5,187304,410,1
5,197645,410,1
5,936783,1622,4
5,191552,410,1
5,448042,816,2
5,881540,1622,4
5,639009,1218,3
5,659063,1218,3
5,486610,815,2
5,451427,813,2
5,209600,410,1
5,1007244,1622,4
5,735123,1219,3
5,955688,1622,4
5,230971,410,1
5,444471,815,2
5,609419,1218,3
5,227457,410,1
5,2430023,4043,10
5,667082,1219,3
5,5254918,8486,21
5,527440,814,2
5,249442,410,1
5,254421,410,1
5,418444,813,2
5,668329,1219,3
5,1047886,1620,4
5,243473,410,1
5,1554692,2428,6
5,189757,410,1
5,194586,410,1
5,250350,410,1
5,519533,812,2
5,1022763,1619,4
5,190991,410,1
5,192762,410,1
5,770569,1218,3
5,188134,410,1
5,1776668,2834,7
5,824056,1619,4
5,196850,410,1
5,1213021,2025,5
5,752732,1218,3
5,1015299,1621,4
5,1509588,2429,6
5,479944,813,2
5,229464,410,1
5,463780,813,2
5,745926,1218,3
5,983547,1623,4
5,942990,1620,4
5,515412,812,2
5,982509,1622,4
5,2320436,3641,9
5,2874342,4450,11
5,247632,410,1
5,511961,813,2
5,501047,813,2
5,446333,813,2
5,256298,410,1
5,1265623,2025,5
5,2488540,4449,11
5,2778281,4849,12
5,1738468,3239,8
5,500798,814,2
5,405211,813,2
5,199923,410,1
5,498964,815,2
5,198618,410,1
5,239337,410,1
5,196348,410,1
5,197746,410,1
5,249512,411,1
5,452201,813,2
5,1443972,2430,6
5,249506,410,1
5,992633,1622,4
5,510257,812,2
5,923860,1621,4
5,1507296,2428,6
5,690899,1220,3
5,226874,410,1
5,3009353,4854,12
5,965842,1622,4
5,478687,814,2
5,242962,411,1
5,196322,411,1
5,1766612,2836,7
5,204111,410,1
5,459078,813,2
5,190368,411,1
5,676772,1219,3
5,191545,410,1
5,748843,1217,3
5,1495314,2431,6
5,491450,813,2
5,195769,410,1
5,204334,410,1
5,442041,814,2
5,253343,411,1
5,472364,817,2
5,245449,410,1
5,1003814,1622,4
5,453843,815,2
5,237848,410,1
5,500598,812,2
5,245179,410,1
5,1461440,2429,6
5,453464,813,2
5,468829,815,2
5,203105,410,1
5,486512,814,2
5,1189765,2028,5
5,1209733,2025,5
5,679099,1217,3
5,2284329,3641,9
5,486684,812,2
5,451055,813,2
5,756449,1218,3
5,492907,812,2
5,1708385,2835,7
5,428904,815,2
5,716991,1219,3
5,479329,815,2
5,1253272,2025,5
5,989933,1622,4
5,461010,815,2
5,746704,1217,3
5,1217969,2025,5
5,3303953,5257,13
5,448655,812,2
5,483839,813,2
5,492072,813,2
5,501895,814,2
5,405092,812,2
5,6570780,10102,25
5,1044227,1622,4
5,517051,814,2
5,769508,1218,3
5,2063111,3239,8
5,649117,1218,3
5,246469,410,1
5,1012432,1619,4
5,449399,815,2
5,511816,813,2
5,243149,410,1
5,198009,410,1
5,760004,1219,3
5,248164,410,1
5,201537,410,1
5,496277,813,2
5,246150,410,1
5,201886,410,1
5,1065889,1622,4
5,1565236,2429,6
5,468603,815,2
5,207156,410,1
5,524072,816,2
5,483775,815,2
5,241412,410,1
5,2569384,4043,10
5,3451375,5257,13
5,511391,814,2
5,1822368,2835,7
5,1157868,2025,5
5,410235,815,2
5,474435,812,2
5,241687,410,1
5,522217,813,2
5,1502531,2428,6
5,244288,409,1
5,1026188,1623,4
5,197581,409,1
5,777800,1217,3
5,243910,410,1
5,203079,409,1
5,1565194,2428,6
5,475443,813,2
5,695705,1216,3
5,2305338,4044,10
5,779067,1218,3
5,498382,815,2
5,432256,816,2
5,520093,812,2
5,1802671,2833,7
5,1016553,1621,4
5,3078859,4850,12
5,1303976,2025,5
5,3025820,4850,12
5,228187,410,1
5,513068,813,2
5,475974,815,2
5,508094,817,2
5,7355413,11315,28
5,197503,410,1
5,795104,1218,3
5,501987,812,2
5,771659,1219,3
5,249131,410,1
5,255863,409,1
5,2060263,3236,8
5,247606,410,1
5,257912,410,1
5,210688,410,1
5,211968,410,1
5,200288,409,1
5,200147,410,1
5,1585236,2430,6
5,196885,409,1
5,1528066,2428,6
5,424947,813,2
5,197114,409,1
5,525131,815,2
5,513310,813,2
5,518557,814,2
5,237246,410,1
5,205293,409,1
5,1197496,2025,5
5,455598,815,2
5,503136,815,2
5,510099,814,2
5,516151,814,2
5,511306,815,2
5,455639,812,2
5,238935,410,1
5,222171,410,1
5,261565,410,1
5,520381,814,2
5,513515,815,2
5,440936,814,2
5,727642,1217,3
5,513112,813,2
5,464691,813,2
5,505730,814,2
5,520010,814,2
5,503603,815,2
5,498839,813,2
5,498567,815,2
5,239193,410,1
5,473072,813,2
5,650263,815,2
5,218548,410,1
5,471959,814,2
5,432726,813,2
5,502416,817,2
5,765950,1216,3
5,896667,1622,4
5,239831,411,1
5,250352,409,1
5,1031512,1623,4
5,193638,409,1
5,199658,409,1
5,254949,410,1
5,204804,410,1
5,196585,410,1
5,1257032,2025,5
5,244713,410,1
5,1512898,2429,6
5,245568,409,1
5,752165,1217,3
5,238716,410,1
5,517597,813,2
5,509621,813,2
5,769069,1218,3
5,1282620,2024,5
5,505674,814,2
5,775727,1219,3
5,246409,410,1
5,1012770,1623,4
5,511693,815,2
5,509648,813,2
5,239514,410,1
5,1036282,1622,4
5,1882926,3237,8
5,1027928,1622,4
5,772903,1218,3
5,1033142,1621,4
5,743277,1220,3
5,501653,813,2
5,503784,815,2
5,718580,1216,3
5,509303,812,2
5,740895,1218,3
5,510217,813,2
5,1034971,1619,4
5,689684,1220,3
5,510894,814,2
5,1539472,2429,6
5,3640219,5664,14
5,887230,1621,4
5,250778,410,1
5,523022,813,2
5,785898,1217,3
5,253333,410,1
5,530630,814,2
5,765121,1217,3
5,246860,410,1
5,521825,812,2
5,530143,815,2
5,1217694,2025,5
5,512704,815,2
5,486657,815,2
5,782682,1218,3
5,1040956,1624,4
5,738177,1219,3
5,3395549,5258,13
5,477156,813,2
5,191894,410,1
5,1306175,2025,5
5,514226,814,2
5,927960,1619,4
5,196532,409,1
5,786407,1217,3
5,249570,410,1
5,259498,410,1
5,778977,1217,3
5,988282,1623,4
5,193818,410,1
5,516576,815,2
5,514780,813,2
5,1196920,2025,5
5,247020,410,1
5,1022585,1619,4
5,243485,409,1
5,201821,409,1
5,496161,813,2
5,248028,410,1
5,1320564,2025,5
5,205955,411,1
5,201122,410,1
5,514004,813,2
5,1298595,2025,5
5,1815761,2836,7
5,483485,815,2
5,952366,1623,4
5,3138786,4850,12
5,594772,813,2
5,512595,815,2
5,249010,410,1
5,1749996,2834,7
5,460708,816,2
5,780126,1218,3
5,1580759,2429,6
5,2271847,3641,9
5,448601,813,2
5,886664,1622,4
5,495395,813,2
5,530132,814,2
5,457605,813,2
5,776546,1221,3
5,520460,817,2
5,3590269,5660,14
5,694784,1221,3
5,515448,813,2
5,787960,1217,3
5,430680,818,2
5,1015303,1620,4
5,4540895,7275,18
5,254753,409,1
5,504399,813,2
5,512621,814,2
5,227414,410,1
5,203143,411,1
5,1324994,2025,5
5,974329,1621,4
5,202579,410,1
5,200017,410,1
5,261148,411,1
5,201452,410,1
5,725715,1218,3
5,247549,410,1
5,739178,1217,3
5,984265,1624,4
5,524686,815,2
5,250559,410,1
5,1734876,2834,7
5,2905448,4448,11
5,769757,1219,3
5,522892,813,2
5,936314,1622,4
5,783961,1220,3
5,1293374,2025,5
5,413601,815,2
5,526077,813,2
5,514254,818,2
5,4084506,6469,16
5,516267,812,2
5,784230,1217,3
5,245723,410,1
5,202500,410,1
5,257317,410,1
5,747467,1217,3
5,532611,812,2
5,745889,1220,3
5,228559,409,1
5,1224102,2025,5
5,482402,817,2
5,228235,410,1
5,459062,814,2
5,217771,410,1
5,204207,410,1
5,201663,410,1
5,652016,1218,3
5,253584,411,1
5,259301,411,1
5,204758,410,1
5,531009,813,2
5,1017585,1622,4
5,4737292,7277,18
5,788518,1217,3
5,936227,1622,4
5,248114,409,1
5,525662,813,2
5,1528834,2430,6
5,521556,814,2
5,463775,813,2
5,3181133,4853,12
5,404701,410,1
5,260819,410,1
5,200706,410,1
5,515500,813,2
5,519195,813,2
5,515029,816,2
5,513505,814,2
5,250246,410,1
5,532952,815,2
5,461554,812,2
5,416357,816,2
5,252822,410,1
5,255879,410,1
5,207037,410,1
5,1691046,2832,7
5,498818,813,2
5,1252009,2025,5
5,745534,1218,3
5,788258,1218,3
5,248443,410,1
5,529575,813,2
5,499774,816,2
5,1256541,2027,5
5,496991,818,2
5,454675,815,2
5,251531,410,1
5,523264,812,2
5,680292,1216,3
5,248588,411,1
5,202940,410,1
5,249444,410,1
5,201095,411,1
5,203609,410,1
5,205875,410,1
5,260675,410,1
5,1262413,2025,5
5,630490,1217,3
5,249020,410,1
5,1361123,2428,6
5,205619,410,1
5,204125,410,1
5,202098,410,1
5,860204,1621,4
5,515478,813,2
5,241814,409,1
5,478132,813,2
5,196919,410,1
5,806706,1218,3
5,789021,1217,3
5,515138,813,2
5,2383540,3640,9
5,1579817,2429,6
5,858161,1622,4
5,526645,814,2
5,230400,410,1
5,781429,1218,3
5,227950,410,1
5,249586,410,1
5,1292703,2025,5
5,502356,813,2
5,251852,410,1
5,260794,410,1
5,1033896,1622,4
5,515426,812,2
5,522854,815,2
5,2284687,3642,9
5,1053916,1623,4
5,904128,1218,3
5,522663,814,2
5,778684,1218,3
5,492559,813,2
5,679939,1218,3
5,657704,1218,3
5,250753,410,1
5,485219,813,2
5,242786,410,1
5,203614,410,1
5,519844,813,2
5,244886,410,1
5,208991,410,1
5,253391,410,1
5,203295,410,1
5,1333549,2026,5
5,776479,1217,3
5,484327,813,2
5,245639,410,1
5,2397703,3641,9
5,4693479,7278,18
5,888703,1622,4
5,2902728,4447,11
5,250430,410,1
5,785344,1217,3
5,643808,1217,3
5,789338,1217,3
5,998631,1622,4
5,678585,1216,3
5,1858004,2835,7
5,221015,410,1
5,1076459,2025,5
5,254020,410,1
5,209346,410,1
5,205693,410,1
5,1554169,2429,6
5,216603,411,1
5,215434,410,1
5,204388,410,1
5,203927,410,1
5,538465,813,2
5,526444,815,2
5,198597,411,1
5,798783,1217,3
5,6989762,10504,26
5,542075,813,2
5,730248,1216,3
5,511031,813,2
5,458970,815,2
5,248814,410,1
5,522502,814,2
5,524502,812,2
5,1043925,1623,4
5,1258321,2025,5
5,717373,1221,3
5,524075,813,2
5,793952,1216,3
5,205813,410,1
5,453972,815,2
5,528809,816,2
5,239650,410,1
5,797590,1217,3
5,213545,410,1
5,518996,814,2
5,772642,1219,3
5,245969,411,1
5,204921,410,1
5,259597,411,1
5,204175,410,1
5,784903,1220,3
5,1122471,2027,5
5,203387,410,1
5,539632,814,2
5,1048224,1622,4
5,802610,1216,3
5,1062755,1622,4
5,219857,410,1
5,206590,410,1
5,794388,1217,3
5,1067144,1622,4
5,788422,1217,3
5,1040440,1619,4
5,9998109,14949,37
5,1021861,1619,4
5,2412207,4044,10
5,481646,812,2
5,716780,1218,3
5,531163,814,2
5,526750,813,2
5,787001,1218,3
5,796816,1219,3
5,508196,815,2
5,800702,1219,3
5,245522,410,1
5,521348,813,2
5,730783,1217,3
5,250011,410,1
5,206294,410,1
5,1523784,2429,6
5,224526,410,1
5,264570,410,1
5,213541,410,1
5,499134,816,2
5,2665112,4045,10
5,215909,410,1
5,806744,1218,3
5,255902,411,1
5,542565,813,2
5,433697,410,1
5,529794,815,2
5,1298426,2026,5
5,781421,1218,3
5,522123,813,2
5,1033064,1622,4
5,252465,410,1
5,768414,1217,3
5,1000391,1621,4
5,1304399,2026,5
5,250434,409,1
5,261546,410,1
5,1054879,1622,4
5,783935,1218,3
5,498979,814,2
5,680256,1219,3
5,1324687,2026,5
5,791620,1218,3
5,784324,1217,3
5,7508730,11719,29
5,1145308,2025,5
5,797558,1217,3
5,521512,815,2
5,1888814,2834,7
5,251659,410,1
5,1619538,2431,6
5,794581,1220,3
5,236004,410,1
5,1077642,1621,4
5,200047,410,1
5,223607,410,1
5,2080892,3234,8
5,509439,812,2
5,908783,1622,4
5,5477259,8489,21
5,534196,813,2
5,1575516,2429,6
5,429765,813,2
5,255714,410,1
5,794234,1217,3
5,765587,1216,3
5,797744,1221,3
5,446608,813,2
5,1014564,1623,4
5,502755,814,2
5,523663,815,2
5,779636,1216,3
5,467709,813,2
5,523332,812,2
5,1319493,2027,5
5,896409,1622,4
5,8860921,13738,34
5,2148368,3238,8
5,253462,409,1
5,1794341,2835,7
5,741212,1219,3
5,783368,1218,3
5,793335,1217,3
5,253983,410,1
5,207172,410,1
5,258948,410,1
5,1036741,1622,4
5,526682,813,2
5,251306,409,1
5,1182042,2025,5
5,242832,411,1
5,256306,410,1
5,536478,817,2
5,249181,410,1
5,218362,410,1
5,486498,815,2
5,198882,410,1
5,221693,409,1
5,1298664,2025,5
5,427326,813,2
5,412911,813,2
5,196683,410,1
5,551354,815,2
5,525548,813,2
5,770037,1218,3
5,435902,814,2
5,213979,409,1
5,801269,1217,3
5,1235048,2025,5
5,755055,1218,3
5,450369,813,2
5,4132030,6467,16
5,796578,1218,3
5,517159,814,2
5,473998,813,2
5,782598,1217,3
5,231174,410,1
5,1598598,2430,6
5,201433,410,1
5,1997217,2834,7
5,692706,1216,3
5,205541,410,1
5,208662,410,1
5,208652,411,1
5,482585,813,2
5,199121,410,1
5,256220,409,1
5,254903,410,1
5,2667201,4047,10
5,868174,1620,4
5,418548,813,2
5,799785,1218,3
5,260178,410,1
5,1293384,2025,5
5,2055409,3234,8
5,452560,813,2
5,787574,1217,3
5,946468,1625,4
5,253524,410,1
5,262419,410,1
5,534452,814,2
5,527866,814,2
5,233938,410,1
5,538164,813,2
5,497554,814,2
5,483882,815,2
5,521340,815,2
5,512430,814,2
5,220707,410,1
5,208325,411,1
5,538419,815,2
5,796966,1219,3
5,201077,410,1
5,236980,410,1
5,258234,409,1
5,533497,814,2
5,199169,410,1
5,1560278,2430,6
5,212565,410,1
5,541999,813,2
5,242086,410,1
5,698674,1217,3
5,255665,409,1
5,262077,410,1
5,3656090,5664,14
5,198910,409,1
5,1371385,2428,6
5,236166,409,1
5,207237,409,1
5,206848,409,1
5,241593,411,1
5,790858,1219,3
5,535019,815,2
5,475689,813,2
5,246275,411,1
5,765651,1218,3
5,214620,410,1
5,438939,815,2
5,931075,1625,4
5,444509,813,2
5,536288,815,2
5,3593381,5658,14
5,801197,1216,3
5,527562,814,2
5,516542,816,2
5,1062291,1622,4
5,251358,410,1
5,796760,1217,3
5,750282,1218,3
5,531213,815,2
5,1486388,2430,6
5,494754,816,2
5,238850,410,1
5,213561,411,1
5,258774,410,1
5,496363,814,2
5,247600,410,1
5,219758,410,1
5,212944,410,1
5,211793,410,1
5,808235,1220,3
5,207443,410,1
5,526986,813,2
5,694328,1217,3
5,1003677,1620,4
5,1010562,1619,4
5,1062210,1620,4
5,779085,1217,3
5,3143513,5254,13
5,504302,813,2
5,523834,813,2
5,236319,410,1
5,209177,410,1
5,697199,1217,3
5,3463737,5255,13
5,427234,814,2
5,459419,813,2
5,474786,815,2
5,218136,410,1
5,474268,813,2
5,511883,813,2
5,1758557,2832,7
5,572998,816,2
5,530420,813,2
5,245193,410,1
5,1039287,1623,4
5,522809,816,2
5,202791,411,1
5,248375,410,1
5,493770,813,2
5,794679,1218,3
5,524772,815,2
5,232145,410,1
5,1066809,1622,4
5,498372,813,2
5,792125,1221,3
5,1598624,2431,6
5,512013,813,2
5,532543,814,2
5,257110,410,1
5,728622,1216,3
5,232810,410,1
5,789581,1216,3
5,931803,1622,4
5,517156,815,2
5,245578,410,1
5,541450,813,2
5,493480,813,2
5,496653,814,2
5,250480,410,1
5,739001,1217,3
5,1284172,2026,5
5,1322180,2025,5
5,441650,813,2
5,3499090,5256,13
5,1409836,2428,6
5,531410,813,2
5,795388,1217,3
5,428252,813,2
5,256194,410,1
5,257347,411,1
5,534012,812,2
5,200969,410,1
5,210442,410,1
5,1183704,2025,5
5,251297,410,1
5,216439,410,1
5,215921,411,1
5,208604,410,1
5,1454369,2428,6
5,203708,410,1
5,1072138,1622,4
5,528363,815,2
5,1073034,1623,4
5,674680,1217,3
5,1050101,1622,4
5,217595,410,1
5,234797,410,1
5,211667,410,1
5,214500,410,1
5,814657,1220,3
5,533009,815,2
5,3910902,6065,15
5,807413,1218,3
5,532541,814,2
5,478881,813,2
5,222762,410,1
5,510002,813,2
5,1193915,2026,5
5,460477,817,2
5,782907,1217,3
5,254835,410,1
5,266098,410,1
5,970913,1622,4
5,2851885,4449,11
5,1329466,2025,5
5,525420,813,2
5,857215,1622,4
5,1308639,2025,5
5,505236,813,2
5,524725,817,2
5,527952,815,2
5,237313,410,1
5,260324,410,1
5,259240,410,1
5,211106,410,1
5,211465,410,1
5,241986,410,1
5,216116,410,1
5,758025,1216,3
5,200153,410,1
5,207785,411,1
5,1513854,2025,5
5,244560,410,1
5,539421,814,2
5,760641,1216,3
5,492244,813,2
5,212066,410,1
5,209552,410,1
5,702419,1217,3
5,798339,1219,3
5,514764,816,2
5,237942,410,1
5,517322,816,2
5,514331,815,2
5,518487,812,2
5,992362,1619,4
5,737421,1216,3
5,965464,1624,4
5,518487,815,2
5,526686,813,2
5,440165,814,2
5,255256,410,1
5,785720,1219,3
5,506353,813,2
5,491023,816,2
5,789689,1219,3
5,1037720,1622,4
5,261579,409,1
5,260234,411,1
5,521725,813,2
5,497940,813,2
5,517137,815,2
5,996615,1623,4
5,529759,814,2
5,257217,410,1
5,261924,410,1
5,530556,815,2
5,702142,1218,3
5,527250,816,2
5,732660,1219,3
5,1311801,2028,5
5,731140,1216,3
5,518940,814,2
5,748985,1218,3
5,527786,814,2
5,261029,410,1
5,262772,410,1
5,528769,815,2
5,6864319,10505,26
5,7585287,11719,29
5,1066577,1620,4
5,262518,410,1
5,213339,410,1
5,268077,410,1
5,209570,410,1
5,657246,1217,3
5,495327,814,2
5,517976,813,2
5,3497067,5663,14
5,792165,1216,3
5,526353,813,2
5,688319,1220,3
5,2047893,3238,8
5,800657,1217,3
5,264288,410,1
5,748137,1217,3
5,449663,817,2
5,526380,815,2
5,1022490,1622,4
5,243341,410,1
5,939125,1620,4
5,1333156,2025,5
5,739989,1217,3
5,496915,813,2
5,946095,1620,4
5,3525134,5258,13
5,530658,812,2
5,1256403,2027,5
5,792906,1217,3
