OMNIKDTREE,EUCLIDEAN,SSS,2,5716,125356
k,time,count,disk
5,1282773,1620,4
5,401636,813,2
5,1434000,2026,5
5,549722,814,2
5,1991182,2842,7
5,794272,1217,3
5,781317,1217,3
5,990013,1625,4
5,191191,410,1
5,1298118,2028,5
5,772975,1218,3
5,1756112,2839,7
5,400297,813,2
5,493042,818,2
5,494811,814,2
5,240434,409,1
5,245462,410,1
5,247164,411,1
5,194839,410,1
5,3361048,5260,13
5,252078,410,1
5,786513,1222,3
5,237619,409,1
5,819163,1221,3
5,248724,410,1
5,200556,409,1
5,242062,409,1
5,197671,409,1
5,256449,410,1
5,806878,1220,3
5,245129,410,1
5,1033284,1627,4
5,509431,813,2
5,507789,814,2
5,192304,409,1
5,531907,815,2
5,1016364,1625,4
5,747754,1219,3
5,239791,410,1
5,202238,410,1
5,419692,813,2
5,241357,410,1
5,507310,812,2
5,1207902,2028,5
5,2868939,4851,12
5,461859,814,2
5,717103,1222,3
5,491544,816,2
5,619554,1217,3
5,501607,813,2
5,228820,410,1
5,226477,409,1
5,233792,409,1
5,197577,409,1
5,193772,409,1
5,237653,410,1
5,456435,816,2
5,491141,815,2
5,188391,409,1
5,192298,409,1
5,240793,409,1
5,195765,409,1
5,2230059,3646,9
5,1209322,2029,5
5,202946,410,1
5,247270,410,1
5,465778,812,2
5,413117,816,2
5,234488,410,1
5,248378,409,1
5,498814,814,2
5,1463081,2432,6
5,233736,410,1
5,738171,1219,3
5,1111651,2026,5
5,231239,410,1
5,1718494,2834,7
5,452306,815,2
5,246502,410,1
5,228321,410,1
5,491331,814,2
5,443535,816,2
5,402807,815,2
5,701720,1221,3
5,1183259,2028,5
5,193435,410,1
5,933799,1622,4
5,2335137,4049,10
5,941943,1625,4
5,735017,1223,3
5,398083,817,2
5,234361,411,1
5,196316,410,1
5,525380,814,2
5,192952,410,1
5,242513,409,1
5,241835,411,1
5,486590,813,2
5,976533,1624,4
5,217958,410,1
5,2454371,4051,10
5,470774,815,2
5,719169,1217,3
5,1461029,2433,6
5,475056,813,2
5,232830,410,1
5,499938,815,2
5,1056326,2026,5
5,1211626,2026,5
5,227080,411,1
5,197670,411,1
5,2448440,4051,10
5,195108,410,1
5,215053,410,1
5,198153,411,1
5,491865,813,2
