OMNIKDTREE,EUCLIDEAN,GNAT,26,1000,73526
k,time,count,disk
5,23589160,9272,128
5,23809322,9272,128
5,23844932,9272,128
5,23838164,9272,128
5,23956859,9272,128
5,23848343,9272,128
5,23781156,9272,128
5,23940683,9272,128
5,23857373,9272,128
5,23856721,9272,128
5,23829066,9272,128
5,24065708,9272,128
5,23887013,9272,128
5,23828684,9272,128
5,23908058,9272,128
5,23830387,9272,128
5,24328721,9272,128
5,23948158,9272,128
5,23820295,9272,128
5,23807680,9272,128
5,23873684,9272,128
5,24068276,9272,128
5,23835591,9272,128
5,24743857,9272,128
5,23860263,9272,128
5,23868601,9272,128
5,24201769,9272,128
5,23850303,9272,128
5,24120688,9272,128
5,23886265,9272,128
5,23998224,9272,128
5,23948663,9272,128
5,24058581,9272,128
5,23848402,9272,128
5,23921189,9272,128
5,23845999,9272,128
5,23828984,9272,128
5,24053916,9272,128
5,23851216,9272,128
5,23965692,9272,128
5,23766617,9273,128
5,23836002,9274,128
5,24231601,9272,128
5,23855182,9272,128
5,24027254,9272,128
5,23829134,9272,128
5,23962812,9272,128
5,23849551,9272,128
5,24004359,9272,128
5,23858986,9272,128
5,23865421,9272,128
5,23957348,9272,128
5,23834488,9272,128
5,24074808,9272,128
5,23948629,9272,128
5,23872252,9272,128
5,24029987,9272,128
5,23810583,9272,128
5,23848424,9273,128
5,24078237,9272,128
5,23910864,9272,128
5,23920025,9272,128
5,24120997,9272,128
5,24049899,9272,128
5,23948950,9272,128
5,23949230,9272,128
5,24910871,9272,128
5,23952440,9272,128
5,23892480,9272,128
5,23974936,9272,128
5,23894741,9272,128
5,23851996,9272,128
5,24060077,9272,128
5,23866692,9272,128
5,23962156,9273,128
5,23926025,9272,128
5,23884481,9272,128
5,23895533,9272,128
5,24174628,9272,128
5,23871866,9272,128
5,23838376,9272,128
5,23850844,9272,128
5,24162290,9272,128
5,23871520,9272,128
5,23913422,9272,128
5,24007645,9273,128
5,23933652,9272,128
5,23884879,9272,128
5,23869259,9272,128
5,24315916,9272,128
5,23884170,9272,128
5,24167111,9272,128
5,23902348,9272,128
5,23874100,9272,128
5,23935991,9272,128
5,23896389,9272,128
5,23892394,9272,128
5,23999152,9272,128
5,24050987,9272,128
5,23897967,9272,128
5,24195446,9272,128
5,23849786,9272,128
5,23978333,9272,128
5,23858981,9272,128
5,23917275,9272,128
5,24242545,9272,128
5,23933492,9272,128
5,23913419,9272,128
5,23904238,9272,128
5,24746536,9272,128
5,24259727,9272,128
5,23890911,9272,128
5,23861147,9272,128
5,23880025,9272,128
5,24006856,9272,128
5,24097085,9273,128
5,23800091,9272,128
5,24065738,9272,128
5,23881115,9272,128
5,23856093,9272,128
5,23928892,9272,128
5,24113101,9272,128
5,23970710,9272,128
5,24015511,9272,128
5,23821940,9272,128
5,24250269,9272,128
5,23976869,9272,128
5,23841375,9273,128
5,23874934,9272,128
5,24060780,9272,128
5,23964085,9272,128
5,23871241,9272,128
5,23979221,9272,128
5,24224254,9272,128
5,23997250,9272,128
5,23956176,9272,128
5,23911449,9272,128
5,23898021,9272,128
5,24134075,9272,128
5,23900925,9272,128
5,24022104,9272,128
5,24035148,9272,128
5,24027766,9275,128
5,23941853,9272,128
5,24268777,9272,128
5,23914958,9272,128
5,23989923,9272,128
5,23963930,9272,128
5,24181623,9272,128
5,23983702,9272,128
5,24188773,9272,128
5,24750441,9272,128
5,23994314,9272,128
5,24204966,9272,128
5,24032745,9272,128
5,24234157,9272,128
5,23960642,9272,128
5,24014662,9272,128
5,24025300,9272,128
5,24169664,9272,128
5,23922165,9272,128
5,23967702,9272,128
5,24110397,9272,128
5,23966195,9272,128
5,23984431,9272,128
5,23978880,9272,128
5,24005789,9272,128
5,24366093,9272,128
5,24065827,9272,128
5,24075336,9272,128
5,24116244,9272,128
5,24002410,9272,128
5,24179158,9272,128
5,24080102,9272,128
5,24131870,9272,128
5,17966839,6965,96
5,24352476,9272,128
5,23909546,9272,128
5,24134702,9272,128
5,24047956,9272,128
5,24062914,9272,128
5,24113917,9272,128
5,24116986,9272,128
5,24197662,9272,128
5,24010765,9272,128
5,24160480,9272,128
5,24023839,9272,128
5,23961153,9272,128
5,24260617,9272,128
5,24060420,9272,128
5,24096735,9272,128
5,24100050,9272,128
5,24020748,9272,128
5,24074385,9272,128
5,25027916,9272,128
5,24132401,9272,128
5,24008536,9272,128
5,24257320,9272,128
5,24275630,9272,128
5,24111184,9272,128
5,24083483,9272,128
5,24064113,9272,128
5,24119382,9272,128
5,24184724,9272,128
5,24162785,9272,128
5,24012058,9272,128
5,24065023,9272,128
5,24065771,9272,128
5,24093115,9272,128
5,24387851,9272,128
5,24048597,9272,128
5,24197971,9272,128
5,24020467,9272,128
5,24256553,9272,128
5,24212577,9272,128
5,24084500,9272,128
5,24059362,9272,128
5,24054571,9272,128
5,24113532,9272,128
5,24323356,9272,128
5,23991858,9274,128
5,24089576,9272,128
5,24284358,9272,128
5,24022635,9272,128
5,24158039,9272,128
5,24089685,9272,128
5,24226806,9272,128
5,24010148,9272,128
5,24022763,9272,128
5,24127928,9273,128
5,24027389,9272,128
5,24044431,9272,128
5,23893335,9272,128
5,24228318,9272,128
5,24321890,9272,128
5,24024084,9275,128
5,24873948,9272,128
5,23981625,9272,128
5,24041000,9272,128
5,24223004,9272,128
5,24127876,9272,128
5,24051835,9272,128
5,24105243,9272,128
5,24362311,9272,128
5,24052385,9272,128
5,24079582,9272,128
5,24088775,9272,128
5,24106848,9272,128
5,23986027,9272,128
5,23944464,9273,128
5,24291841,9272,128
5,23939186,9272,128
5,24072759,9272,128
5,24220792,9272,128
5,24024321,9272,128
5,24137153,9272,128
5,23954486,9272,128
5,23934630,9272,128
5,24197921,9272,128
5,23973383,9272,128
5,24086526,9272,128
5,23885646,9272,128
5,23985402,9272,128
5,24000710,9272,128
5,23951138,9272,128
5,24241525,9272,128
5,24055984,9272,128
5,23934680,9272,128
5,24218806,9272,128
5,23989370,9272,128
5,24013441,9272,128
5,23903589,9272,128
5,23953087,9272,128
5,23976994,9272,128
5,23982517,9272,128
5,24247691,9272,128
5,23889373,9272,128
5,23921261,9272,128
5,24245805,9272,128
5,24802441,9272,128
5,23869002,9272,128
5,24231466,9272,128
5,23944804,9272,128
5,23951865,9272,128
5,23963098,9272,128
5,24116958,9272,128
5,23911488,9272,128
5,23890152,9272,128
5,23992220,9272,128
5,23981422,9272,128
5,24010744,9272,128
5,24394596,9272,128
5,23945692,9272,128
5,23995905,9272,128
5,23966831,9272,128
5,24109229,9272,128
5,23906190,9272,128
5,23884916,9272,128
5,24060166,9272,128
5,23880087,9275,128
5,24177307,9272,128
5,23870485,9272,128
5,23967083,9272,128
5,23901387,9272,128
5,23958638,9272,128
5,24092381,9272,128
5,23926857,9272,128
5,23823296,9272,128
5,23918262,9272,128
5,24127824,9272,128
5,23954395,9272,128
5,23877327,9272,128
5,23819808,9272,128
5,23981730,9272,128
5,23891556,9272,128
5,24195016,9272,128
5,23967413,9272,128
5,24198293,9272,128
5,23956973,9272,128
5,23963417,9272,128
5,23920235,9272,128
5,24840867,9272,128
5,24045598,9273,128
5,23940455,9272,128
5,24149715,9272,128
5,23921190,9272,128
5,24344159,9272,128
5,23895213,9272,128
5,23931100,9272,128
5,23938658,9272,128
5,23974124,9272,128
5,24035945,9272,128
5,23908170,9272,128
5,23914688,9272,128
5,23962472,9272,128
5,24045564,9272,128
5,24151984,9272,128
5,23882240,9272,128
5,24044171,9272,128
5,23963738,9272,128
5,23960103,9272,128
5,24206921,9277,128
5,24003026,9272,128
5,24036761,9272,128
5,23990896,9272,128
5,24226599,9272,128
5,23971745,9272,128
5,23947211,9272,128
5,23900771,9272,128
5,23903056,9272,128
5,23989926,9272,128
5,23951021,9272,128
5,23906268,9272,128
5,24328935,9272,128
5,23863024,9272,128
5,23902008,9272,128
5,23819440,9272,128
5,23901993,9272,128
5,23900679,9272,128
5,24244000,9272,128
5,23894698,9272,128
5,23859104,9275,128
5,23864471,9272,128
5,23856477,9273,128
5,24922034,9272,128
5,23972771,9272,128
5,23931904,9272,128
5,23889363,9272,128
5,23909757,9272,128
5,23881980,9272,128
5,23964675,9272,128
5,24241858,9272,128
5,23971197,9272,128
5,23898621,9272,128
5,23926540,9272,128
5,23854678,9272,128
5,24206901,9272,128
5,23955201,9272,128
5,23990845,9272,128
5,23983110,9272,128
5,24178347,9272,128
5,23889608,9272,128
5,23973826,9272,128
5,23903477,9272,128
5,24111740,9274,128
5,24028388,9272,128
5,23964318,9277,128
5,23881979,9272,128
5,23900807,9272,128
5,24069368,9272,128
5,23943129,9272,128
5,23870877,9272,128
5,23983614,9272,128
5,23945517,9272,128
5,23931960,9272,128
5,24094456,9272,128
5,23850982,9272,128
5,24021366,9272,128
5,23919394,9274,128
5,24157483,9272,128
5,23926377,9272,128
5,24088039,9273,128
5,23927198,9272,128
5,23988915,9272,128
5,23872147,9272,128
5,24160272,9272,128
5,24856891,9272,128
5,24075020,9272,128
5,23974775,9272,128
5,23948854,9272,128
5,24229450,9277,128
5,23860690,9272,128
5,24048645,9272,128
5,23985729,9272,128
5,24031637,9272,128
5,24273318,9272,128
5,23888084,9272,128
5,23944678,9272,128
5,23960347,9272,128
5,23876279,9272,128
5,24141092,9272,128
5,23946351,9272,128
5,23988996,9272,128
5,23962899,9272,128
5,23973054,9272,128
5,24230041,9272,128
5,24068547,9272,128
5,23977176,9272,128
5,23954097,9272,128
5,24163774,9272,128
5,23963070,9272,128
5,23988475,9272,128
5,23941416,9272,128
5,23896427,9272,128
5,24219181,9272,128
5,23861201,9272,128
5,23947623,9272,128
5,23998461,9272,128
5,24046624,9272,128
5,24102789,9272,128
5,24121394,9272,128
5,24014635,9272,128
5,24085036,9272,128
5,24124681,9272,128
5,24067112,9272,128
5,23889186,9272,128
5,24051715,9272,128
5,24096110,9272,128
5,23912311,9272,128
5,24820526,9272,128
5,24065249,9272,128
5,23864549,9272,128
5,24151285,9272,128
5,23883633,9272,128
5,24010390,9272,128
5,23877345,9272,128
5,23975008,9272,128
5,24116238,9272,128
5,24062603,9272,128
5,23944731,9272,128
5,24150688,9272,128
5,23928370,9272,128
5,24251149,9272,128
5,23872900,9272,128
5,24135410,9272,128
5,23949862,9272,128
5,24154370,9272,128
5,23943425,9272,128
5,24099318,9272,128
5,23930712,9272,128
5,23959960,9272,128
5,23935395,9272,128
5,24037880,9272,128
5,23924524,9272,128
5,24196374,9272,128
5,23891813,9272,128
5,23850324,9272,128
5,24160424,9272,128
5,23962592,9272,128
5,24108489,9272,128
5,23875873,9272,128
5,23990626,9272,128
5,24111304,9272,128
5,24220405,9272,128
5,23992669,9272,128
5,23993739,9272,128
5,24168418,9272,128
5,24200001,9272,128
5,23962705,9272,128
5,23907981,9272,128
5,24024276,9272,128
5,24976425,9272,128
5,23971659,9272,128
5,23937821,9272,128
5,24149364,9272,128
5,24052896,9272,128
5,24051506,9273,128
5,24340082,9272,128
5,23983415,9272,128
