OMNIKDTREE,EUCLIDEAN,KMEDOIDS,26,1000,404896
k,time,count,disk
5,23577824,9272,128
5,22735193,8990,124
5,23438942,9272,128
5,23499871,9272,128
5,23540524,9272,128
5,23643748,9272,128
5,23558761,9273,128
5,23468115,9272,128
5,23571573,9272,128
5,23735668,9272,128
5,23493825,9272,128
5,23686543,9272,128
5,21356950,8416,116
5,23489879,9272,128
5,23587994,9272,128
5,23633836,9272,128
5,23544534,9272,128
5,23669866,9272,128
5,23451905,9272,128
5,23761183,9272,128
5,23491392,9273,128
5,23482206,9272,128
5,10278635,4076,56
5,23530179,9272,128
5,23653931,9272,128
5,23534873,9272,128
5,23578832,9273,128
5,23640489,9272,128
5,23591913,9272,128
5,25420095,9272,128
5,23610764,9272,128
5,23545660,9272,128
5,23576342,9272,128
5,23743057,9272,128
5,23556985,9272,128
5,23673091,9272,128
5,23502875,9272,128
5,16890949,6677,92
5,23509669,9272,128
5,23516400,9272,128
5,11757344,4654,64
5,11349860,4511,62
5,23748762,9272,128
5,23383394,9272,128
5,23448119,9272,128
5,23393352,9272,128
5,22408158,8846,122
5,23769816,9272,128
5,23519929,9272,128
5,23483236,9272,128
5,23579571,9272,128
5,23548302,9272,128
5,23569495,9272,128
5,23780890,9272,128
5,21471158,8488,117
5,23753564,9272,128
5,23536508,9272,128
5,23530808,9272,128
5,11176342,4365,60
5,23019689,9134,126
5,11799417,4654,64
5,23594443,9272,128
5,17615280,6966,96
5,23536539,9272,128
5,23798600,9272,128
5,23415060,9272,128
5,11760241,4654,64
5,23762666,9272,128
5,23487084,9272,128
5,23639117,9272,128
5,23600949,9272,128
5,23491402,9272,128
5,23566895,9272,128
5,23554362,9272,128
5,11837122,4654,64
5,23491474,9272,128
5,25198857,9272,128
5,23513860,9272,128
5,23497772,9272,128
5,23603879,9272,128
5,23481259,9272,128
5,23865195,9272,128
5,23521882,9272,128
5,23587473,9272,128
5,23558445,9272,128
5,11723331,4654,64
5,23497869,9272,128
5,23545322,9272,128
5,23470009,9272,128
5,23837285,9272,128
5,23491127,9272,128
5,23579518,9272,128
5,11778867,4654,64
5,23140432,9134,126
5,23846300,9272,128
5,23545132,9272,128
5,23644961,9272,128
5,23469180,9272,128
5,23606996,9272,128
5,23553790,9272,128
5,23547655,9272,128
5,11726487,4654,64
5,23987549,9276,128
5,23473427,9272,128
5,23614489,9272,128
5,23482120,9272,128
5,23820847,9272,128
5,23626002,9272,128
5,23480218,9272,128
5,23619441,9273,128
5,23604458,9272,128
5,23790858,9272,128
5,23633033,9272,128
5,23493715,9274,128
5,23613764,9273,128
5,23879575,9272,128
5,11743647,4654,64
5,23470150,9272,128
5,23510777,9272,128
5,23538940,9272,128
5,23785337,9272,128
5,25195088,9272,128
5,23614468,9272,128
