OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,26,1000,316021
k,time,count,disk
5,23807355,9272,128
5,23948726,9272,128
5,23801379,9272,128
5,23895163,9272,128
5,24077950,9272,128
5,24024877,9272,128
5,23939667,9272,128
5,23961090,9272,128
5,24204645,9272,128
5,23930085,9272,128
5,24054689,9272,128
5,23992141,9272,128
5,24330449,9272,128
5,23944184,9272,128
5,23852545,9272,128
5,23976001,9272,128
5,24212052,9272,128
5,24016905,9272,128
5,23949560,9272,128
5,23876334,9272,128
5,24016106,9272,128
5,23871323,9272,128
5,23185790,8990,124
5,25057699,9272,128
5,23950145,9272,128
5,24257955,9272,128
5,23920485,9272,128
5,23946461,9272,128
5,24335764,9272,128
5,23962115,9272,128
5,24032146,9272,128
5,23945295,9272,128
5,23985531,9272,128
5,24113913,9272,128
5,23930785,9272,128
5,23908713,9272,128
5,23968726,9272,128
5,23816283,9274,128
5,23913012,9272,128
5,23876248,9272,128
5,24379460,9275,128
5,23202225,8990,124
5,24074717,9272,128
5,23976768,9272,128
5,23989413,9272,128
5,24193989,9272,128
5,24042870,9272,128
5,24030864,9272,128
5,24133229,9272,128
5,24061858,9272,128
5,23975435,9272,128
5,24398323,9272,128
5,23951397,9272,128
5,24057242,9272,128
5,24049273,9272,128
5,24006532,9272,128
5,23989483,9272,128
5,24110163,9272,128
5,23236130,8990,124
5,23952926,9272,128
5,24027617,9272,128
5,24239866,9272,128
5,24830045,9272,128
5,24102756,9272,128
5,24105108,9272,128
5,24887047,9272,128
5,23411844,8990,124
5,24126293,9272,128
5,24196516,9272,128
5,24039631,9272,128
5,24159925,9272,128
5,24040186,9272,128
5,24036665,9272,128
5,24053783,9272,128
5,24319432,9277,128
5,24135416,9272,128
5,24022822,9272,128
5,24109115,9272,128
5,24070946,9272,128
5,24035772,9272,128
5,24340443,9272,128
5,24051709,9272,128
5,24120421,9272,128
5,24108973,9272,128
5,24420630,9272,128
5,23237936,8990,124
5,24173613,9272,128
5,24077816,9272,128
5,24073052,9272,128
5,24298830,9272,128
5,24297851,9272,128
5,24097732,9272,128
5,24150196,9275,128
5,24016726,9272,128
5,24139182,9272,128
5,24102329,9272,128
5,24105173,9272,128
5,24009022,9272,128
5,24017369,9272,128
5,24040282,9272,128
5,24190728,9272,128
5,24039873,9274,128
5,24237417,9272,128
5,23989079,9272,128
5,24064839,9272,128
5,24277754,9272,128
5,24039508,9272,128
5,23993704,9272,128
5,24797861,9272,128
5,24173253,9272,128
5,24010122,9272,128
5,24123788,9272,128
5,24162935,9272,128
5,23884210,9272,128
5,23995096,9272,128
5,24235161,9274,128
5,23979166,9275,128
5,23980151,9272,128
5,24001402,9272,128
5,24065299,9272,128
5,23955342,9272,128
5,23973140,9272,128
5,24065964,9272,128
5,24243285,9272,128
5,23959317,9272,128
5,24628769,9272,128
5,24201800,9272,128
5,23790881,9274,128
5,24007831,9272,128
5,23913286,9272,128
5,23922143,9272,128
5,24118981,9272,128
5,23884957,9272,128
5,24075713,9272,128
5,23921135,9272,128
5,23939205,9272,128
5,23913943,9272,128
5,23839758,9272,128
5,24415781,9272,128
5,23901096,9272,128
5,23922113,9272,128
5,24024704,9273,128
5,23298055,8990,124
5,24033476,9272,128
5,24405878,9272,128
5,23937121,9272,128
5,24103977,9272,128
5,23986643,9272,128
5,24320708,9272,128
5,24037008,9272,128
5,24951108,9272,128
5,24046927,9272,128
5,24122219,9272,128
5,23970068,9272,128
5,24203500,9272,128
5,24005973,9272,128
5,24235806,9272,128
5,24071437,9272,128
5,24085693,9272,128
5,23948445,9272,128
5,23978906,9272,128
5,24077402,9272,128
5,24037381,9275,128
5,23219580,8990,124
5,24113077,9276,128
5,24052257,9272,128
5,24191897,9272,128
5,24323553,9272,128
5,24073483,9272,128
5,24149517,9272,128
5,24297684,9272,128
5,24126294,9272,128
5,24093432,9272,128
5,24056955,9272,128
5,24258244,9272,128
5,20997596,8122,112
5,24151730,9272,128
5,24332972,9272,128
5,24076925,9272,128
5,24216504,9272,128
5,24129308,9272,128
5,24283617,9272,128
5,24082886,9272,128
5,24089720,9272,128
5,24147213,9272,128
5,24207385,9272,128
5,24068964,9274,128
5,24230846,9272,128
5,24917210,9272,128
5,24060416,9272,128
5,24264797,9272,128
5,24083309,9272,128
5,23994112,9272,128
5,25012915,9272,128
5,24125057,9272,128
5,24154239,9272,128
5,24064228,9272,128
5,24397048,9272,128
5,24164559,9272,128
5,24152828,9272,128
5,24099916,9272,128
5,24145545,9272,128
5,24535741,9272,128
5,24106287,9272,128
5,24134756,9272,128
5,24121783,9272,128
5,24503844,9272,128
5,24154683,9272,128
5,24084003,9272,128
5,24133390,9272,128
5,24176651,9272,128
5,24260688,9272,128
5,24137811,9272,128
5,24122384,9272,128
5,24185651,9272,128
5,24218814,9272,128
5,24160425,9272,128
5,24259584,9272,128
5,24005489,9272,128
5,24250212,9273,128
5,23464038,8990,124
5,23999344,9275,128
5,24120338,9272,128
5,24013918,9272,128
5,24106224,9272,128
5,24079977,9272,128
5,24094451,9272,128
5,24028646,9272,128
5,23979702,9272,128
5,24249500,9272,128
5,23988665,9272,128
5,23959732,9272,128
5,24082513,9272,128
5,24053265,9272,128
5,24045810,9272,128
5,24074631,8990,124
5,24320068,9272,128
5,23996799,9272,128
5,24026946,9272,128
5,24057912,9272,128
5,24087447,9272,128
5,24405119,9272,128
5,24063798,9272,128
5,24140111,9272,128
5,24033660,9272,128
5,24103881,9272,128
5,24413944,9272,128
5,23996020,9272,128
5,24184271,9272,128
5,23963984,9274,128
5,24140130,9272,128
5,24984782,9272,128
5,23963438,9272,128
5,24020843,9272,128
5,24233360,9272,128
5,24229649,9273,128
5,24223705,9272,128
5,23925593,9272,128
5,24035264,9272,128
5,23996184,9272,128
5,24257185,9272,128
5,24029669,9272,128
5,24159843,9272,128
5,24006183,9272,128
5,23976062,9272,128
5,24202124,9272,128
5,23998780,9272,128
5,23102212,8918,123
5,24205697,9272,128
5,23930891,9272,128
5,24105512,9272,128
5,24179274,9272,128
5,23981638,9272,128
5,23974697,9272,128
5,24257884,9272,128
5,24166283,9272,128
5,23961156,9272,128
5,24863243,9272,128
5,24055609,9272,128
5,24180916,9272,128
5,24060147,9272,128
5,24073943,9272,128
5,24014963,9272,128
5,24015805,9272,128
5,23929401,9272,128
5,24233742,9272,128
5,24008103,9272,128
5,23968806,9272,128
5,23920752,9272,128
5,24231413,9272,128
5,23996305,9272,128
5,23992308,9272,128
5,23964321,9272,128
5,23985001,9272,128
5,24310056,9272,128
5,23921292,9272,128
5,24089492,9272,128
5,24014015,9272,128
5,24183044,9272,128
5,23975866,9275,128
5,23980266,9272,128
5,24123472,9272,128
5,23973564,9272,128
5,23982223,9272,128
5,24024946,9277,128
5,23979878,9272,128
5,23992742,9272,128
5,24310430,9272,128
5,24257103,9272,128
5,24081419,9272,128
5,24013459,9272,128
5,23992780,9273,128
5,24017570,9272,128
5,24894976,9273,128
5,24004327,9272,128
5,24024165,9272,128
5,24415558,9272,128
5,23908938,9272,128
5,24043209,9272,128
5,23990751,9272,128
5,24894927,9274,128
5,24046504,9272,128
5,22914152,8846,122
5,24136790,9276,128
5,24023098,9272,128
5,23974899,9276,128
5,23993491,9272,128
5,24361439,9272,128
5,24019219,9272,128
5,23978071,9272,128
