OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,26,1000,340413
k,time,count,disk
5,23549348,9272,128
5,22800158,8993,124
5,20965050,8342,115
5,22888380,9064,125
5,23522865,9272,128
5,23508929,9272,128
5,22966474,9064,125
5,23402987,9272,128
5,23538025,9277,128
5,22919025,9064,125
5,23296509,9135,126
5,23594065,9275,128
5,22572866,8919,123
5,23364484,9274,128
5,23270907,9134,126
5,21933409,8701,120
5,23477423,9273,128
5,22918224,9064,125
5,23697391,9273,128
5,23472058,9276,128
5,22492781,8917,123
5,23068772,9064,125
5,1139376,461,6
5,23403492,9272,128
5,23594568,9272,128
5,23363307,9273,128
5,23359741,9273,128
5,23082906,9135,126
5,22688982,8993,124
5,23422429,9272,128
5,23679867,9274,128
5,22901897,9064,125
5,22628373,8919,123
5,22572785,8919,123
5,24442876,9064,125
5,23733569,9274,128
5,22560624,8919,123
5,3497726,1406,19
5,23015886,9064,125
5,22971287,9064,125
5,1473204,605,8
5,1445783,608,8
5,23570905,9272,128
5,23317935,9272,128
5,23307640,9277,128
5,22814969,9063,125
5,23503324,9275,128
5,23478741,9206,127
5,22936673,9064,125
5,23358701,9272,128
5,23409046,9277,128
5,23659554,9273,128
5,23014179,9135,126
5,22600253,8919,123
5,22514771,8920,123
5,23568358,9273,128
5,22920830,9064,125
5,22545377,8919,123
5,1530824,606,8
5,23101669,9134,126
5,3349214,1331,18
5,23010061,9064,125
5,5109883,2051,28
5,23457882,9276,128
5,22257998,8776,121
5,23421414,9274,128
5,1537695,605,8
5,23077404,9135,126
5,23774845,9274,128
5,22789260,8993,124
5,22764183,8991,124
5,23431641,9272,128
5,23507977,9273,128
5,22890840,8919,123
5,1700278,680,9
5,22940570,9064,125
5,23491247,9275,128
5,23502069,9273,128
5,23419688,9272,128
5,23453332,9275,128
5,22591674,8776,121
5,22918224,9064,125
5,23389658,9272,128
5,23285520,9135,126
5,22445169,8917,123
5,1881388,751,10
5,24977194,9277,128
5,23306516,9135,126
5,23350190,9273,128
5,23687170,9272,128
5,23447639,9273,128
5,23405146,9276,128
5,1730740,605,8
5,22870051,9064,125
5,23550250,9275,128
5,22988498,9064,125
5,23595576,9276,128
5,23410345,9272,128
5,22768584,8919,123
5,23487365,9276,128
5,22937180,9064,125
5,1518433,605,8
5,21527087,8557,118
5,22722075,8919,123
5,23425776,9272,128
5,23256503,9207,127
5,23629194,9272,128
5,23433531,9275,128
5,23480624,9276,128
5,23348680,9277,128
5,23724239,9273,128
5,23640824,9274,128
5,22755394,8993,124
5,21381468,8488,117
5,22936806,9064,125
5,23361178,9135,126
5,1871125,750,10
5,23439565,9272,128
5,23446342,9272,128
5,23456008,9276,128
5,23084889,9135,126
5,23628522,9272,128
5,23377541,9273,128
5,23483214,9272,128
5,22684572,8919,123
5,23381979,9273,128
5,14804347,5885,81
5,3198422,1182,16
5,22926438,9064,125
5,23084254,9064,125
5,22892969,9062,125
5,22897570,9064,125
5,23020314,9134,126
5,23372382,9272,128
5,24444204,9064,125
5,21989269,8631,119
5,22534417,8919,123
5,23053232,9135,126
5,23421661,9277,128
5,22203420,8846,122
5,22936550,8919,123
5,22087246,8774,121
5,1538511,608,8
5,23398085,9274,128
5,23084650,9135,126
5,22871770,9064,125
5,23456495,9274,128
5,23049799,9134,126
5,22369663,8774,121
5,23450929,9272,128
5,22521187,8919,123
5,23230642,9206,127
5,23391134,9272,128
5,23163357,9064,125
5,22400128,8917,123
5,23370120,9272,128
5,22050898,8630,119
5,23111288,9135,126
5,23239801,9206,127
5,22849772,9064,125
5,22757616,8919,123
5,22823139,9064,125
5,1700541,679,9
5,1429158,605,8
5,1643706,680,9
5,22540804,8919,123
5,23008248,9064,125
5,23407669,9274,128
5,22543532,8848,122
5,23371643,9274,128
5,22494673,8920,123
5,23188012,9206,127
5,23410766,9273,128
5,23680724,9272,128
5,22840792,9064,125
5,6034433,2344,32
5,23302618,9272,128
5,23415600,9276,128
5,21780813,8630,119
5,22973483,9064,125
5,23634358,9272,128
5,23572660,9273,128
5,22688792,8990,124
5,24830607,9276,128
5,22573519,8919,123
5,23731094,9272,128
5,2617197,1040,14
5,23469054,9273,128
5,22801397,9062,125
5,23533962,9272,128
5,23018818,9064,125
5,23464637,9272,128
5,22475278,8920,123
5,23422709,9273,128
5,22828498,8919,123
5,23336957,9275,128
5,23369739,9273,128
5,23218977,9135,126
5,23770063,9272,128
5,21909943,8701,120
5,23494179,9272,128
5,22891686,9064,125
5,22791033,8919,123
5,22991016,9064,125
5,22721461,8990,124
5,23787459,9272,128
5,22140402,8776,121
5,23392843,9272,128
5,23009707,9134,126
5,23017615,9064,125
5,22547099,8919,123
5,23172702,9206,127
5,22341437,8848,122
5,23221363,9206,127
5,23461796,9272,128
5,23396079,9275,128
5,23447075,9273,128
5,23775279,9274,128
5,23469115,9274,128
5,21082043,8416,116
5,803139,317,4
5,22472530,8919,123
5,23468785,9274,128
5,22852024,9064,125
5,23712182,9272,128
5,23404717,9272,128
5,23558512,9277,128
5,23494776,9277,128
5,22921225,9063,125
5,23637697,8630,119
5,23544553,9273,128
5,23118343,9135,126
5,22983803,9064,125
5,23730525,9275,128
5,23520774,9276,128
5,1526381,605,8
5,23486497,9273,128
5,23321850,9064,125
5,23581075,9277,128
5,23499882,9272,128
5,22246529,8776,121
5,22798722,8919,123
5,14903655,5890,81
5,22719624,8989,124
5,19028037,7549,104
5,23558518,9272,128
5,19973185,7908,109
5,22122272,8774,121
5,23754940,9273,128
5,2803819,1115,15
5,23237816,9064,125
5,22911417,9064,125
5,23301592,9206,127
5,23541966,9272,128
5,23560928,9272,128
5,1528526,605,8
5,22406524,8776,121
5,22974148,9063,125
5,22431480,8776,121
5,22615187,8919,123
5,22766602,8989,124
5,22711551,8919,123
5,23836298,9272,128
5,22712642,8989,124
5,22755127,8919,123
5,23609442,9277,128
5,23097552,9064,125
5,1721144,679,9
5,22943083,9064,125
5,23224617,9064,125
5,23061554,9064,125
5,22837081,8919,123
5,23529298,9274,128
5,23460131,9276,128
5,23114516,9064,125
5,23690796,9272,128
5,23069212,9064,125
5,21089867,8343,115
5,24545081,9064,125
5,23040267,9064,125
5,22674299,8919,123
5,23232822,9135,126
5,22458592,8630,119
5,23098787,9134,126
5,22688671,8919,123
5,23657848,9276,128
5,23757847,9274,128
5,23261532,9206,127
5,23522763,9273,128
5,23012964,9064,125
5,23680647,9273,128
5,23516905,9272,128
5,23539751,9277,128
5,23009415,9064,125
5,23613858,9272,128
5,23520609,9206,127
5,23043064,9064,125
5,22883600,8919,123
5,23119300,9134,126
5,9776321,3869,53
5,23477066,9277,128
5,23411639,9064,125
5,23410614,9207,127
5,22983086,9064,125
5,1926559,751,10
5,22771064,8992,124
5,23011928,9064,125
5,21867128,8630,119
5,23859167,9275,128
5,23480431,9276,128
5,4468445,1765,24
5,2966224,1186,16
5,23408746,9275,128
5,21587612,8559,118
5,22952212,9064,125
5,17872873,7114,98
5,22827375,8919,123
5,3360868,1331,18
5,3894950,1549,21
5,23049565,9064,125
5,6930686,2776,38
5,23503560,9277,128
5,778884,317,4
5,21767153,8630,119
5,23504345,9274,128
5,1702948,680,9
5,23672719,9272,128
5,22542184,8919,123
5,23661326,9274,128
5,23312908,8630,119
5,22983774,9064,125
5,22838538,9064,125
5,22772114,8919,123
5,23500949,9272,128
5,23539849,9275,128
5,23107556,9064,125
5,23524196,9272,128
5,22927745,9064,125
5,23255835,9064,125
5,22949806,9064,125
5,22790048,8919,123
5,2103757,825,11
5,23452152,9276,128
5,14469270,5743,79
5,23390253,9273,128
5,23569770,9207,127
5,23152528,9064,125
5,22673272,8919,123
5,22952857,9064,125
5,22628091,8919,123
5,23130658,9064,125
5,23410448,9277,128
5,23516534,9277,128
5,23230693,9134,126
5,23553635,9274,128
5,9894584,3942,54
5,22841161,9064,125
5,22200130,8776,121
5,23245774,9064,125
5,23492500,9275,128
5,1533805,605,8
5,1782642,753,10
5,22987274,9064,125
5,1702849,680,9
5,21814108,8630,119
5,23404903,9273,128
5,22502033,8848,122
5,22832258,8919,123
5,23389640,9272,128
5,22286364,8845,122
5,22939464,9064,125
5,23248856,9064,125
5,23577342,9275,128
5,22273788,8701,120
5,23510293,9272,128
5,22937983,9064,125
5,21816707,8630,119
5,23707295,9273,128
5,24744782,9135,126
5,22573248,8919,123
5,23018485,9134,126
5,1730438,679,9
5,23798759,9272,128
5,22286003,8776,121
5,5348550,2130,29
5,22700737,8989,124
5,23252950,9064,125
5,22924006,9064,125
5,21833689,8630,119
5,22944736,9064,125
5,4051828,1622,22
5,23503057,9274,128
5,2975761,1184,16
5,23120173,9064,125
5,23475078,9274,128
5,23431911,9273,128
5,23517668,9276,128
5,22589645,8919,123
5,800388,317,4
5,23200328,9064,125
5,22778586,8993,124
5,2438257,969,13
5,21829787,8630,119
5,22637137,8848,122
5,22145147,8776,121
5,22547861,8920,123
5,1735824,679,9
5,22653554,8919,123
5,23446135,9135,126
5,22264793,8776,121
5,22684300,8919,123
5,23534922,9274,128
5,23441847,9272,128
5,23490550,9272,128
5,23191013,9134,126
5,23750475,9272,128
5,22965126,9064,125
5,23242629,9064,125
5,22727170,8919,123
5,21820268,8630,119
5,23123387,9064,125
5,7538965,2993,41
5,22108996,8774,121
5,23567446,9272,128
5,23388139,9273,128
5,23115143,9064,125
5,23193259,9135,126
5,22654939,8919,123
5,2262345,896,12
5,22805589,8990,124
5,24325863,8919,123
5,23589722,9272,128
5,23445305,9272,128
5,22560549,8919,123
5,23617043,9277,128
5,22956368,9063,125
5,22934180,8919,123
5,16500931,6535,90
5,23419308,9207,127
5,23547457,9274,128
5,22807000,8990,124
5,2790206,1116,15
5,23868600,9272,128
5,22945361,9064,125
5,23134093,9134,126
5,23197231,9135,126
5,22948705,9064,125
5,22972887,8919,123
5,23025774,9064,125
5,23510735,9272,128
5,22943943,8919,123
5,23409515,9273,128
5,23620092,9272,128
5,23014084,9064,125
5,21913158,8630,119
5,23319289,9064,125
5,23478002,9274,128
5,22428914,8848,122
5,23624952,9273,128
5,23590780,9274,128
5,23471596,9274,128
5,1877322,750,10
5,23262708,9135,126
5,22532717,8919,123
5,23460367,9272,128
5,23096989,9064,125
5,23538273,9273,128
5,22975834,9064,125
5,22904205,8989,124
5,23530171,9275,128
5,22818963,8919,123
5,22212514,8776,121
5,15217399,6032,83
5,23539694,9275,128
5,23739778,9272,128
5,23495650,9277,128
5,21691847,8559,118
5,24627823,9064,125
5,23206649,9135,126
5,23463974,9272,128
5,18307772,7190,99
5,1900396,750,10
5,23445358,9275,128
