OMNIKDTREE,EUCLIDEAN,SELECTION,26,1000,399561
k,time,count,disk
5,23341439,9272,128
5,23292714,9272,128
5,21655764,8702,120
5,23242123,9272,128
5,23292718,9272,128
5,23630139,9272,128
5,23234680,9272,128
5,23240221,9272,128
5,25271063,9272,128
5,23274657,9272,128
5,23340040,9272,128
5,23164754,9272,128
5,23239655,9274,128
5,23254677,9272,128
5,23384007,9273,128
5,22444477,8990,124
5,23204488,9272,128
5,23241216,9272,128
5,23266648,9272,128
5,23247367,9272,128
5,21977608,8701,120
5,23234941,9272,128
5,7305869,2920,40
5,23357081,9272,128
5,23831886,9272,128
5,23640009,9272,128
5,23572161,9272,128
5,23703082,9272,128
5,23709823,9272,128
5,23604516,9272,128
5,23767055,9272,128
5,23661937,9272,128
5,23644722,9273,128
5,23658330,9272,128
5,23985788,9272,128
5,23600496,9272,128
5,23663347,9272,128
5,8882234,3496,48
5,23664364,9273,128
5,23620361,9272,128
5,7378975,2920,40
5,6647244,2632,36
5,23952494,9272,128
5,23576870,9272,128
5,23610822,9272,128
5,20569778,8122,112
5,23970477,9272,128
5,23630231,9272,128
5,23732868,9272,128
5,23656485,9272,128
5,20659114,8122,112
5,23713351,9272,128
5,23586204,9272,128
5,23667052,9273,128
5,23999765,9277,128
5,25396754,9272,128
5,23598879,9272,128
5,23646954,9275,128
5,7633781,2920,40
5,23535925,9272,128
5,15518257,6104,84
5,23793163,9272,128
5,7447920,2920,40
5,23555567,9272,128
5,23674640,9273,128
5,23605914,9272,128
5,6703713,2632,36
5,23564529,9272,128
5,23739062,9272,128
5,23920827,9272,128
5,23554800,9273,128
5,23586882,9272,128
5,23591407,9272,128
5,23596134,9273,128
5,7428884,2920,40
5,23824621,9272,128
5,23511422,9272,128
5,23553221,9272,128
5,23868422,9272,128
5,23556318,9272,128
5,23578321,9274,128
5,23652071,9272,128
5,23582728,9272,128
5,23741677,9272,128
5,23548365,9274,128
5,5923691,2344,32
5,23634786,9272,128
5,23582158,9272,128
5,23526166,9272,128
5,23812961,9272,128
5,23637801,9272,128
5,23588659,9272,128
5,6706730,2632,36
5,23749021,9275,128
5,23692628,9272,128
5,23955755,9272,128
5,23679943,9272,128
5,23814959,9272,128
5,23699049,9276,128
5,23681387,9272,128
5,23617311,9272,128
5,6688432,2632,36
5,23598012,9275,128
5,25552166,9273,128
5,23640657,9272,128
5,23621542,9272,128
5,24032833,9272,128
5,23632580,9272,128
5,23576468,9272,128
5,23613906,9272,128
5,23757679,9272,128
5,23768438,9272,128
5,23874636,9274,128
5,22861666,8990,124
5,23794903,9272,128
5,23661097,9272,128
5,7691694,2920,40
5,23514033,9272,128
5,23577329,9273,128
5,23636135,9272,128
5,23686889,9272,128
5,23586234,9272,128
5,23662100,9272,128
5,23676523,9272,128
5,23945397,9272,128
5,23640538,9272,128
5,22870732,8989,124
5,11267880,4362,60
5,23599071,9272,128
5,23864050,9272,128
5,23665599,9272,128
5,23630702,9272,128
5,23597599,9272,128
5,23819382,9272,128
5,23641718,9272,128
5,23583594,9274,128
5,23619167,9274,128
5,23812513,9273,128
5,23688709,9272,128
5,23590543,9273,128
5,22950622,8990,124
5,23661994,9273,128
5,3771143,1473,20
5,23637430,9272,128
5,23662880,9272,128
5,24139667,9272,128
5,23807688,9272,128
5,23729072,9272,128
5,25563800,9273,128
5,23904948,9272,128
5,23809876,9272,128
5,23741238,9273,128
5,23734849,9272,128
5,23744441,9272,128
5,23674893,9272,128
5,23804620,9272,128
5,23319889,8990,124
5,23771260,9272,128
5,23721468,9273,128
5,23767870,9272,128
5,23699821,9272,128
5,24012023,9274,128
5,7416975,2920,40
5,7460954,2920,40
5,6722305,2632,36
5,23640896,9272,128
5,23763043,9272,128
5,23928198,9272,128
5,22965547,8990,124
5,23663110,9272,128
5,23895564,9272,128
5,23707399,9273,128
5,23783341,9272,128
5,23737083,9272,128
5,23719300,9272,128
5,8867006,3495,48
5,23653349,9272,128
5,23604570,9272,128
5,23688631,9273,128
5,23791501,9272,128
5,23627044,9272,128
5,23582505,9272,128
5,23925850,9273,128
5,23612145,9273,128
5,23201215,8990,124
5,23689482,9272,128
5,11111217,4362,60
5,23550463,9272,128
5,23563593,9274,128
5,23809290,9272,128
5,23725563,9272,128
5,23700366,9272,128
5,23598124,9273,128
5,23716145,9272,128
5,25486370,9275,128
5,23592598,9272,128
5,23981448,9272,128
5,23650769,9272,128
5,24019917,9272,128
5,23555190,9272,128
5,23667357,9272,128
5,23741028,9272,128
5,23735693,9273,128
5,23688085,9272,128
5,23629210,9272,128
5,23861518,9272,128
5,23748803,9277,128
5,23666246,9272,128
5,23868950,9272,128
5,23841647,9273,128
5,23687375,9275,128
5,23656120,9272,128
5,23662322,9277,128
5,23797883,9272,128
5,23723383,9272,128
5,23664823,9272,128
5,23766642,9272,128
5,23678179,9272,128
5,23727332,9272,128
5,23089898,8990,124
5,6671994,2632,36
5,23635897,9273,128
5,24020522,9272,128
5,23701896,9272,128
5,23623922,9272,128
5,23683588,9272,128
5,23864814,9272,128
5,23696601,9272,128
5,23802562,9272,128
5,22942219,8990,124
5,23796305,9272,128
5,23900312,9272,128
5,23664965,9272,128
5,23769085,9272,128
5,23731825,9272,128
5,6696817,2632,36
5,23123753,9272,128
5,23545083,9272,128
5,23195809,9272,128
5,24823984,9272,128
5,23084331,9273,128
5,23045490,9272,128
5,7188078,2917,40
5,23214190,9272,128
5,16518703,6676,92
5,23045577,9272,128
5,17294996,6965,96
5,23012519,9273,128
5,23112953,9272,128
5,6486715,2632,36
5,23152793,9272,128
5,23548776,9272,128
5,23490390,9272,128
5,23412045,9272,128
5,23564774,9272,128
5,7362901,2920,40
5,23549138,9275,128
5,23473596,9272,128
5,23531801,9277,128
5,23972506,9272,128
5,22683118,8989,124
5,23490243,9274,128
5,23465973,9272,128
5,22671127,8989,124
5,23409833,9273,128
5,23865796,9273,128
5,23611688,9272,128
5,6629255,2632,36
5,23743832,9272,128
5,23458201,9273,128
5,23540947,9272,128
5,23569765,9274,128
5,23475937,9272,128
5,23474252,9272,128
5,23523811,9272,128
5,23682692,9272,128
5,23406110,9272,128
5,17609076,6965,96
5,23611258,9272,128
5,23436225,9272,128
5,23790502,9272,128
5,23434288,9272,128
5,22687056,8990,124
5,23449004,9272,128
5,23423120,9272,128
5,23498515,9272,128
5,25153616,9272,128
5,23361530,9275,128
5,23846114,9272,128
5,23411396,9272,128
5,23574394,9272,128
5,23428310,9272,128
5,23603947,9272,128
5,23444646,9272,128
5,23439437,9272,128
5,23343920,9276,128
5,23490972,9273,128
5,23453275,9273,128
5,23389226,9272,128
5,5347461,2050,28
5,23350585,9272,128
5,23371037,9272,128
5,23914641,9272,128
5,23524443,9272,128
5,5862365,2344,32
5,23557591,9272,128
5,23467221,9272,128
5,22722657,8990,124
5,23488898,9272,128
5,23455844,9272,128
5,7364060,2920,40
5,6602418,2632,36
5,23467908,9272,128
5,22705043,8990,124
5,23470808,9272,128
5,16762189,6679,92
5,23723670,9272,128
5,17558408,6970,96
5,8780840,3496,48
5,23499491,9272,128
5,18301145,7258,100
5,23511085,9272,128
5,6854282,2632,36
5,22629609,8990,124
5,23440917,9272,128
5,6637065,2632,36
5,23626800,9272,128
5,23448337,9272,128
5,23454612,9272,128
5,23495594,9277,128
5,23551752,9272,128
5,23402971,9272,128
5,23457165,9275,128
5,23436233,9272,128
5,23670245,9272,128
5,23478896,9273,128
5,25220892,9272,128
5,23451035,9272,128
5,24051484,9272,128
5,23500793,9272,128
5,22961380,8990,124
5,6604466,2632,36
5,23479458,9272,128
5,21953186,8701,120
5,23569875,9272,128
5,23469999,9272,128
5,23572900,9272,128
5,23532491,9272,128
5,23683295,9272,128
5,23750501,9273,128
5,23480380,9272,128
5,23384429,9272,128
5,23526320,9272,128
5,23470935,9273,128
5,23711298,9272,128
5,8737331,3495,48
5,23591438,9272,128
5,22708972,8990,124
5,23503134,9272,128
5,23791808,9272,128
5,7356719,2920,40
5,3659849,1473,20
5,23487375,9272,128
5,6642142,2632,36
5,22682824,8990,124
5,23356049,9273,128
5,22807758,8990,124
5,23440616,9275,128
5,23609329,9272,128
5,23416346,9273,128
5,23663787,9272,128
5,23501803,9272,128
5,23449352,9272,128
5,23570958,9274,128
5,23510076,9272,128
5,23469716,9272,128
5,22910609,8990,124
5,23477545,9272,128
5,23515721,9272,128
5,23576778,9272,128
5,23429130,9272,128
5,5868149,2344,32
5,23781026,9272,128
5,25166827,9275,128
5,19051212,7547,104
5,22643222,8989,124
5,23686010,9272,128
5,23460406,9272,128
5,22701241,8990,124
5,23595773,9272,128
5,7350696,2920,40
5,23639775,9272,128
5,13143638,5236,72
5,23452995,9272,128
5,23637739,9272,128
5,23464588,9272,128
5,23649670,9272,128
5,23827829,9272,128
5,6603700,2632,36
5,23395371,9272,128
5,23441068,9277,128
5,9567672,3785,52
5,22704991,8990,124
5,23777656,9276,128
5,23454636,9273,128
5,23374518,9272,128
5,6639332,2632,36
5,23424317,9274,128
5,23773844,9272,128
5,23438469,9275,128
5,23465048,9273,128
5,23707171,9272,128
5,23396537,9272,128
5,23463144,9272,128
5,23385670,9272,128
5,23468601,9272,128
5,23487543,9272,128
5,23446607,9272,128
5,23595976,9274,128
5,22787331,8990,124
5,23475967,9272,128
5,15809071,6102,84
5,23463684,9276,128
5,23431356,9272,128
5,23505289,9272,128
5,23510301,9272,128
5,23683800,9272,128
5,23517367,9272,128
5,7301082,2920,40
5,23501262,9272,128
5,23511810,9272,128
5,25225952,9272,128
5,23660134,9272,128
5,23414729,9273,128
5,23531408,9274,128
5,23317302,9273,128
5,23565147,9274,128
5,11813598,4651,64
5,23952617,9272,128
5,23497130,9272,128
5,23534767,9272,128
5,15484240,6102,84
5,23873755,9272,128
5,23461885,9272,128
5,23353922,9272,128
5,23519489,9272,128
5,23687724,9272,128
5,23460616,9273,128
5,23560878,9272,128
5,23457936,9272,128
5,23570719,9272,128
5,23656721,9272,128
5,23427017,9272,128
5,23401121,9272,128
5,22726747,8990,124
5,23724972,9272,128
5,23400874,9272,128
5,22760388,8990,124
5,23718353,9272,128
5,23293084,9272,128
5,23405106,9272,128
5,10213175,4074,56
5,23358376,9272,128
5,23398185,9277,128
5,23468491,9272,128
5,23462217,9272,128
5,23676908,9272,128
5,23479696,9272,128
5,23384046,9274,128
5,23387857,9272,128
5,23742357,9272,128
5,22700900,8990,124
5,8761951,3495,48
5,23525233,9272,128
5,23473164,9272,128
5,23409554,9272,128
5,22668168,8990,124
5,25453263,9272,128
5,23451701,9272,128
5,23402658,9272,128
5,18984979,7547,104
5,7338523,2920,40
5,23723647,9272,128
5,23396909,9272,128
5,23338640,9273,128
5,23406548,9272,128
5,23618746,9272,128
5,23380998,9272,128
5,23506654,9273,128
5,23444416,9272,128
5,23351401,9272,128
5,23645832,9272,128
5,23292650,9273,128
5,7358667,2920,40
5,23444332,9275,128
5,23537292,9272,128
5,22637133,8990,124
5,23425918,9272,128
5,23459315,9272,128
5,23340714,9272,128
5,23276221,9272,128
5,22895314,8990,124
5,23442062,9272,128
5,23389387,9273,128
5,5860835,2341,32
5,23546624,9272,128
5,23520900,9273,128
5,23499042,9272,128
5,23651307,9272,128
5,23370336,9272,128
5,23489696,9272,128
5,22669028,8989,124
5,23821478,9272,128
5,22727597,8990,124
5,14659443,5809,80
5,23488420,9273,128
5,23463402,9272,128
5,23686588,9272,128
5,23514477,9272,128
5,23451728,9272,128
5,23435753,9272,128
5,23483656,9272,128
5,23751928,9272,128
5,24372888,8989,124
5,23487400,9272,128
5,23480326,9272,128
5,23798829,9272,128
5,23429936,9272,128
5,23435541,9272,128
5,23440954,9272,128
5,3708214,1473,20
5,23389393,9272,128
5,23528643,9272,128
5,23512698,9274,128
5,23806674,9272,128
5,23817548,9272,128
5,23556035,9272,128
5,16937117,6677,92
5,23202805,8990,124
5,22788145,8990,124
5,8786995,3495,48
5,23477338,9272,128
5,23697513,9274,128
5,23503416,9272,128
5,23502493,9272,128
5,23485323,9272,128
5,23563287,9272,128
5,23657094,9272,128
5,8795687,3495,48
5,23673204,9274,128
5,23609048,9272,128
5,22812967,8990,124
5,23027540,8990,124
5,22797698,8990,124
5,23623051,9275,128
5,23485672,9274,128
5,23621839,9272,128
5,8078283,3208,44
5,22881476,8990,124
5,22827562,8990,124
5,23041467,8990,124
5,23530145,9272,128
5,23842117,9273,128
5,23526696,9272,128
5,23532400,9273,128
5,23538074,9272,128
5,22859435,8990,124
5,23899798,9272,128
5,23511472,9275,128
5,23503238,9272,128
5,25323601,9273,128
5,22032080,8701,120
5,23455431,9272,128
5,23845469,9272,128
5,23524766,9274,128
5,23481404,9272,128
5,23534821,9272,128
5,23516618,9273,128
5,23457113,9272,128
5,23903039,9272,128
5,23443730,9272,128
5,23636358,9273,128
5,23584714,9272,128
5,23577748,9272,128
5,23732381,9272,128
5,7346570,2920,40
5,23708826,9273,128
5,23555344,9272,128
5,23574923,9272,128
5,7400696,2920,40
5,23934008,9275,128
5,23533216,9272,128
5,23519099,9272,128
5,23515313,9272,128
5,23626138,9272,128
5,22963116,8990,124
5,23592436,9272,128
5,23499489,9272,128
5,23618734,9273,128
5,22908076,8990,124
