OMNIKDTREE,EUCLIDEAN,CONVEX,2,1000,262667
k,time,count,disk
5,22895088,9248,128
5,22835618,9248,128
5,22787079,9248,128
5,22743502,9248,128
5,22937725,9248,128
5,22870393,9248,128
5,22884831,9248,128
5,22906753,9248,128
5,23150466,9248,128
5,22934833,9248,128
5,22828015,9248,128
5,22957723,9248,128
5,23216564,9248,128
5,22873494,9248,128
5,22906652,9248,128
5,22975915,9248,128
5,23015786,9248,128
5,23237736,9248,128
5,22938166,9248,128
5,23008804,9248,128
5,22997146,9248,128
5,23037353,9248,128
5,22549357,8968,124
5,22972979,9248,128
5,23007638,9248,128
5,23176023,9248,128
5,23107936,9248,128
5,22897874,9248,128
5,23083253,9248,128
5,23035779,9248,128
5,24679915,9248,128
5,23105684,9248,128
5,23043577,9248,128
5,23067775,9248,128
5,23139196,9248,128
5,23025649,9248,128
5,23277281,9248,128
5,23069510,9251,128
5,23075370,9248,128
5,22983411,9248,128
5,22708143,9111,126
5,19630513,7885,109
5,23388896,9248,128
5,23052621,9248,128
5,23005486,9248,128
5,23306296,9248,128
5,23003884,9248,128
5,22988966,9248,128
5,22935843,9248,128
5,23108561,9248,128
5,22977771,9248,128
5,22932683,9248,128
5,23006783,9248,128
5,23128060,9248,128
5,23030868,9249,128
5,22904271,9248,128
5,22935960,9248,128
5,22895153,9248,128
5,20231739,8103,112
5,22899469,9248,128
5,22451824,8968,124
5,22981797,9248,128
5,22929262,9248,128
5,22874261,9248,128
5,22944303,9248,128
5,23288690,9248,128
5,18822791,7597,105
5,22981163,9248,128
5,22931301,9248,128
5,22952896,9248,128
5,22991504,9248,128
5,23238188,9248,128
5,22936322,9248,128
5,22991891,9248,128
5,20813888,8391,116
5,24744026,9248,128
5,23002313,9248,128
5,22946723,9248,128
5,23066728,9248,128
5,22900453,9248,128
5,22935186,9248,128
5,23239763,9248,128
5,23203336,9248,128
5,22911804,9248,128
5,22947663,9248,128
5,22269352,8968,124
5,23202072,9248,128
5,23023960,9248,128
5,23001589,9248,128
5,23001196,9248,128
5,23021583,9248,128
5,22998736,9248,128
5,20602153,8319,115
5,23307539,9249,128
5,23036331,9248,128
5,23032397,9248,128
5,22996557,9248,128
5,22945980,9248,128
5,22999249,9248,128
5,23317438,9248,128
5,22928670,9248,128
5,21162582,8534,118
5,23041270,9248,128
5,22926147,9248,128
5,22887360,9248,128
5,23286486,9248,128
5,22980799,9248,128
5,22969022,9248,128
5,22910736,9248,128
5,23037171,9248,128
5,23263740,9248,128
5,22967687,9248,128
5,22949357,9248,128
5,23189321,9248,128
5,23013486,9248,128
5,23012443,9248,128
5,22918334,9111,126
5,23054173,9248,128
5,23082714,9248,128
5,24499779,9248,128
5,23049742,9248,128
5,23128588,9248,128
5,23151493,9248,128
5,23069291,9248,128
5,23105993,9248,128
5,23010901,9248,128
5,23310856,9248,128
5,23184962,9249,128
5,22990246,9248,128
5,23032273,9248,128
5,23193199,9248,128
5,22988162,9248,128
5,22953241,9248,128
5,23025770,9248,128
5,22975547,9248,128
5,22982199,9248,128
5,23010450,9248,128
5,23001272,9248,128
5,23261731,9248,128
5,22957701,9248,128
5,23170535,9248,128
5,22991733,9249,128
5,22409385,8897,123
5,23035496,9248,128
5,23033708,9248,128
5,23102986,9248,128
5,23014822,9248,128
5,23041406,9248,128
5,22981518,9248,128
5,23214605,9248,128
5,23061740,9248,128
5,22994211,9248,128
5,22931302,9248,128
5,22986604,9248,128
5,23040908,9248,128
5,23298008,9248,128
5,23062337,9248,128
5,22993579,9248,128
5,23090372,9248,128
5,22936235,9248,128
5,22946733,9248,128
5,23341967,9248,128
5,22315247,8968,124
5,22688985,9111,126
5,23766791,8968,124
5,23051884,9248,128
5,23451372,9248,128
5,22996024,9248,128
5,23036551,9248,128
5,22963537,9248,128
5,23033959,9248,128
5,23028566,9248,128
5,23205801,9248,128
5,22971356,9248,128
5,23120128,9248,128
5,23023270,9251,128
5,23015836,9248,128
5,23214611,9248,128
5,23079677,9248,128
5,23160320,9248,128
5,23036274,9248,128
5,23001767,9248,128
5,23067854,9248,128
5,23172513,9248,128
5,23255722,9248,128
5,23069383,9248,128
5,22791036,9111,126
5,23086975,9248,128
5,23051407,9248,128
5,23256706,9248,128
5,23069365,9248,128
5,23106098,9248,128
5,23069642,9248,128
5,23270840,9248,128
5,23063548,9248,128
5,23186643,9248,128
5,23129746,9248,128
5,23019887,9248,128
5,23055723,9248,128
5,23005287,9248,128
5,23120799,9248,128
5,23181629,9248,128
5,23041012,9248,128
5,23049490,9248,128
5,23236763,9248,128
5,23125932,9248,128
5,23181409,9248,128
