OMNIKDTREE,EUCLIDEAN,PCA,2,1000,219258
k,time,count,disk
5,22794821,9248,128
5,22766185,9248,128
5,21953375,8970,124
5,22468870,9248,128
5,22563140,9248,128
5,22848251,9248,128
5,22836607,9248,128
5,22934785,9248,128
5,22892648,9248,128
5,22893278,9248,128
5,22877232,9248,128
5,22988199,9248,128
5,22887387,9250,128
5,22931187,9248,128
5,22936328,9248,128
5,23184629,9248,128
5,22981675,9248,128
5,23180830,9248,128
5,22920923,9248,128
5,22932129,9248,128
5,23265816,9248,128
5,22933661,9248,128
5,9312078,3763,52
5,22943001,9248,128
5,23160636,9248,128
5,22989772,9248,128
5,23018672,9248,128
5,23043469,9248,128
5,23063375,9248,128
5,23060811,9248,128
5,23257666,9248,128
5,23043558,9248,128
5,23015539,9249,128
5,22961602,9248,128
5,23220262,9248,128
5,23156483,9252,128
5,22972705,9248,128
5,15098314,6078,84
5,23025729,9249,128
5,23277622,9248,128
5,15077093,6078,84
5,13944805,5645,78
5,23037461,9248,128
5,22970413,9248,128
5,22934969,9248,128
5,22899001,9248,128
5,23152444,9249,128
5,22959111,9248,128
5,22947024,9249,128
5,23278784,9248,128
5,22943387,9248,128
5,22954055,9248,128
5,22968211,9248,128
5,22987822,9248,128
5,20414121,8247,114
5,22977138,9248,128
5,23313187,9248,128
5,23072369,9248,128
5,10077249,4053,56
5,22530871,9110,126
5,19602700,7814,108
5,22916041,9248,128
5,20141884,8104,112
5,23012176,9248,128
5,23035785,9253,128
5,22977526,9248,128
5,15158079,6078,84
5,23166636,9248,128
5,23004874,9248,128
5,23034656,9248,128
5,22761153,9182,127
5,22981333,9248,128
5,23314722,9248,128
5,22926249,9248,128
5,11470378,4627,64
5,22957110,9248,128
5,23333112,9248,128
5,22831735,9248,128
5,23000572,9248,128
5,22962576,9248,128
5,23034863,9248,128
5,24492457,9248,128
5,23214230,9248,128
5,22987422,9248,128
5,22532988,9110,126
5,16501312,6655,92
5,22963841,9248,128
5,22933921,9248,128
5,23246157,9248,128
5,23022513,9248,128
5,22887111,9253,128
5,23234164,9248,128
5,15073414,6078,84
5,22938206,9249,128
5,23071982,9248,128
5,23023386,9248,128
5,23160019,9248,128
5,22964774,9248,128
5,23035043,9249,128
5,22960301,9248,128
5,23039037,9248,128
5,17970129,7163,99
5,20616390,8319,115
