OMNIKDTREE,EUCLIDEAN,SSS,2,1000,290490
k,time,count,disk
5,22207921,9248,128
5,22282462,9248,128
5,22401891,9248,128
5,22928331,9248,128
5,22763278,9248,128
5,22433876,9248,128
5,22738853,9248,128
5,22909421,9248,128
5,22783741,9248,128
5,22762370,9248,128
5,22541530,9248,128
5,22933590,9248,128
5,22999778,9248,128
5,23047441,9248,128
5,22844559,9248,128
5,23006613,9248,128
5,22989501,9248,128
5,22941953,9248,128
5,23104294,9248,128
5,22907755,9248,128
5,22983668,9249,128
5,23432910,9248,128
5,15019883,6078,84
5,22968847,9248,128
5,22966264,9248,128
5,23172805,9248,128
5,22997480,9248,128
5,23031691,9248,128
5,22963769,9248,128
5,23121541,9248,128
5,23043287,9248,128
5,23021543,9248,128
5,22993892,9248,128
5,22951061,9248,128
5,23234234,9248,128
5,22907715,9248,128
5,22868178,9248,128
5,16082384,6511,90
5,22976616,9248,128
5,22968844,9248,128
5,20047654,8102,112
5,12998997,5144,71
5,24731614,9248,128
5,22939145,9248,128
5,23284818,9248,128
5,22933156,9248,128
5,23060140,9248,128
5,22979919,9248,128
5,22937207,9248,128
5,23011505,9248,128
5,23192901,9248,128
5,22906542,9248,128
5,23120631,9248,128
5,22894032,9248,128
5,22967986,9248,128
5,23014546,9248,128
5,23292260,9248,128
5,22937719,9248,128
5,18700130,7521,104
5,22922032,9248,128
5,23167468,9251,128
5,23031990,9248,128
5,22542822,9110,126
5,22962825,9248,128
5,22963113,9248,128
5,23108371,9248,128
5,19323589,7814,108
5,22992454,9248,128
5,23209788,9248,128
5,23037319,9248,128
5,23058990,9248,128
5,22994271,9248,128
5,22986208,9248,128
5,23060598,9248,128
5,17977549,7235,100
5,22944868,9248,128
5,23142385,9248,128
5,23012824,9248,128
5,22955498,9248,128
5,23296466,9248,128
5,23032148,9248,128
5,22958670,9248,128
5,23209186,9248,128
5,22935331,9248,128
5,23016866,9248,128
5,15702261,6368,88
5,23149055,9248,128
5,24825875,9248,128
5,22952997,9248,128
5,22952179,9248,128
5,23072039,9248,128
5,23215290,9248,128
5,19279734,7814,108
5,23016072,9248,128
5,22943591,9248,128
5,23220716,9248,128
5,22958767,9248,128
5,23102780,9248,128
5,22988760,9248,128
5,22965465,9248,128
5,22946743,9248,128
5,21133044,8535,118
5,23294822,9248,128
5,23029534,9248,128
5,22941146,9248,128
5,23004502,9248,128
5,22998373,9248,128
5,22980307,9248,128
5,23279538,9248,128
5,22890084,9248,128
5,23044980,9248,128
5,23047620,9248,128
5,23319453,9248,128
5,22973882,9248,128
5,23122435,9248,128
5,22883016,9248,128
5,20373509,8247,114
5,23182119,9248,128
5,23044998,9248,128
5,22893712,9248,128
5,22980920,9248,128
5,23108486,9248,128
5,22931911,9248,128
5,22968090,9248,128
5,23461387,9248,128
5,23006224,9248,128
5,23011850,9248,128
5,21737966,8679,120
5,23023794,9248,128
5,23000243,9248,128
5,23077821,9248,128
5,23073755,9248,128
5,24703334,9248,128
5,23001376,9248,128
5,23449373,9248,128
5,22929573,9248,128
5,22998034,9248,128
5,22990787,9249,128
5,23231451,9248,128
5,22948386,9248,128
5,22955912,9249,128
5,23017641,9248,128
5,9653378,3908,54
5,22988694,9248,128
5,23004241,9248,128
5,23233873,9248,128
5,23029060,9248,128
5,23253654,9248,128
5,23062529,9248,128
5,22985426,9248,128
5,23169783,9248,128
5,22937333,9248,128
5,23058485,9248,128
5,23114483,9248,128
5,22992819,9248,128
5,23030152,9248,128
5,23043558,9248,128
5,23365556,9248,128
5,23100136,9248,128
5,23015274,9248,128
5,23063398,9248,128
5,23166717,9248,128
5,21531480,8679,120
5,17941292,7235,100
5,16445736,6655,92
5,23007279,9248,128
5,23260603,9248,128
5,22956735,9248,128
5,22942262,9248,128
5,23018197,9248,128
5,22998070,9248,128
5,23061410,9248,128
5,23041068,9248,128
5,22979841,9248,128
5,22946241,9248,128
5,13254936,5216,72
5,22964600,9248,128
5,23013722,9248,128
5,25038304,9248,128
5,22839799,9248,128
5,23027180,9248,128
5,22992782,9248,128
5,23054670,9248,128
5,22911852,9248,128
5,23003824,9248,128
5,23034716,9248,128
5,22633885,9110,126
5,23300744,9248,128
5,23088542,9248,128
5,22983653,9248,128
