OMNIKDTREE,EUCLIDEAN,GNAT,2,4015,142921
k,time,count,disk
5,23181160,31843,112
5,25922539,36387,128
5,25788057,36387,128
5,23338752,32418,114
5,26325000,36106,127
5,6804702,9105,32
5,25986415,36106,127
5,24438653,33553,118
5,26301189,36106,127
5,3304913,4554,16
5,9458712,13648,48
5,2538736,3706,13
5,26849213,36106,127
5,21568317,29569,104
5,26166733,36383,128
5,26262845,35821,126
5,26217946,35537,125
5,11759065,15925,56
5,26098529,34972,123
5,19983920,27009,95
5,26601980,36385,128
5,25109301,33832,119
5,22546815,30148,106
5,25230965,34115,120
5,21620429,29569,104
5,26557015,36106,127
5,8577977,11376,40
5,26735095,36106,127
5,23203447,31560,111
5,23307800,31843,112
5,19481406,26441,93
5,15971454,21610,76
5,26454588,35821,126
5,21230515,28720,101
5,9972941,13648,48
5,22361386,30708,108
5,20979302,28441,100
5,7038112,9672,34
5,7242788,10244,36
5,25271460,33838,119
5,12888626,17642,62
5,8228112,11376,40
5,26055896,35821,126
5,26869524,36385,128
5,7689766,10240,36
5,26231368,36383,128
5,26850119,36383,128
5,4924182,6829,24
5,814431,1146,4
5,25926294,35253,124
5,3397683,4554,16
5,26482054,36387,128
5,19129685,26156,92
5,12687773,17346,61
5,26390950,36106,127
5,26657429,36106,127
5,27004834,36106,127
5,9579311,13083,46
5,25190042,34115,120
5,26822326,36106,127
5,22420320,30705,108
5,24327205,33264,117
5,26646132,36106,127
5,23348599,31560,111
5,3387335,4557,16
5,10473616,14787,52
5,26403420,36106,127
5,22884548,30997,109
5,26854986,36383,128
5,26779904,36384,128
5,638661,860,3
5,26441193,35538,125
5,16695860,22753,80
5,24455813,33270,117
5,26956364,36386,128
5,27008247,36383,128
5,19767173,26739,94
5,23588563,32412,114
5,23381113,31560,111
5,23338001,31277,110
5,16807648,22755,80
5,22333308,30422,107
5,22704896,30990,109
5,10850278,14510,51
5,22212820,30422,107
5,26801062,36384,128
5,26491570,35821,126
5,23541688,31843,112
5,26994703,36106,127
5,1729043,2286,8
5,19820140,26726,94
5,23226011,31560,111
5,4990315,6829,24
5,24326086,32982,116
5,27156211,36385,128
5,5105448,6829,24
5,13286128,18204,64
5,22734813,30705,108
5,22581129,30705,108
5,26475840,35252,124
5,20001934,27009,95
5,17111958,23316,82
5,14591127,19904,70
5,26652975,36106,127
5,17071781,23316,82
5,26326391,35821,126
5,20042008,26726,94
5,19855023,27009,95
5,15236194,20760,73
5,27010999,36388,128
5,8303622,11376,40
5,16666271,23043,81
5,19286232,26158,92
5,16883914,22748,80
5,18799205,25035,88
5,26905159,36383,128
5,26160234,35253,124
5,21937986,29003,102
5,15055791,20473,72
5,26763448,36386,128
5,21871894,29286,103
5,12158774,16499,58
5,23328378,31560,111
5,10884050,14790,52
5,9954160,13648,48
