OMNIKDTREE,EUCLIDEAN,PCA,2,4015,7212
k,time,count,disk
5,15512505,20759,73
5,25560159,33549,118
5,27375738,36388,128
5,15173848,20761,73
5,22413130,30140,106
5,7911150,10811,38
5,21285663,29286,103
5,19140812,25599,90
5,14532260,19906,70
5,24143345,32698,115
5,13312619,18201,64
5,3136974,4280,15
5,23320229,31562,111
5,16709545,22746,80
5,15559368,21330,75
5,26249574,35254,124
5,3983621,5405,19
5,20833062,29286,103
5,26591739,35537,125
5,22547938,30143,106
5,15442688,21042,74
5,21664108,29286,103
5,16712382,22466,79
5,23242020,31562,111
5,23145275,31273,110
5,16205257,22178,78
5,26376685,35252,124
5,25201275,33264,117
5,17260883,23314,82
5,15359937,21042,74
5,20792652,28152,99
5,21913160,29567,104
5,24138998,32695,115
5,13729296,18485,65
5,27416299,35822,126
5,15872513,21610,76
5,13848934,18770,66
5,23807354,31843,112
5,8859473,11956,42
5,23831883,32412,114
5,8103674,10818,38
5,24130513,32979,116
5,19963189,27011,95
5,27291044,36385,128
5,17886697,23885,84
5,24240535,32979,116
5,23188314,31273,110
5,16773209,22177,78
5,415257,574,2
5,14585880,19906,70
5,15429333,21041,74
5,21683398,29286,103
5,22170035,29567,104
5,19486391,26442,93
5,17238840,23318,82
5,24908878,33264,117
5,21987809,29575,104
5,4967651,6555,23
5,24992641,33548,118
5,23697416,31843,112
5,19317618,26159,92
5,4392416,5691,20
5,24248289,32982,116
5,17616340,23883,84
5,24776204,33264,117
5,23049585,30705,108
5,18096933,24456,86
5,7478241,10238,36
5,26311546,35821,126
5,17817272,23882,84
5,434095,574,2
5,16435396,22181,78
5,10185879,13944,49
5,19265961,25875,91
5,20789026,28147,99
5,26109755,34968,123
5,21314297,28435,100
5,13346557,18201,64
5,23818143,32128,113
5,18963968,25308,89
5,10154266,13655,48
5,17002902,22744,80
5,21830199,29567,104
5,11581779,15649,55
5,25284665,33551,118
5,14298714,19336,68
5,19804455,26724,94
5,15013460,20474,72
5,22516599,30147,106
5,26913318,35823,126
5,21128278,27865,98
5,19960915,26724,94
5,25469080,33835,119
5,10355579,13936,49
5,27509032,36385,128
5,21119958,28160,99
5,4270588,5693,20
5,24432021,32981,116
5,18181863,24452,86
5,26574806,35254,124
5,22959131,31276,110
5,17732139,23889,84
5,4046481,5404,19
5,24549882,32982,116
5,24145793,32129,113
5,16810376,22744,80
5,17920599,24168,85
5,13549199,18195,64
5,5438186,7394,26
5,26977152,36105,127
5,18062441,24451,86
5,10961111,14794,52
5,15124916,20759,73
5,17878169,23882,84
5,10832495,14789,52
5,27162018,36384,128
5,23359187,31273,110
5,18234549,24454,86
5,14977983,20472,72
5,24225208,32698,115
5,19707040,26448,93
5,9658481,13086,46
5,22169536,30138,106
5,11311563,15078,53
5,22277093,30138,106
5,9793620,13368,47
5,18133225,24451,86
5,7601540,10523,37
5,26458272,35537,125
5,19067052,25591,90
5,22766723,30425,107
5,439558,574,2
5,15242548,20761,73
5,22966459,30710,108
5,17828352,23890,84
5,14113158,19336,68
5,9927452,13651,48
5,17001761,23035,81
5,18956180,25871,91
5,14873928,19621,69
5,431438,574,2
5,26794982,35821,126
5,477170,574,2
5,17079239,23032,81
5,10431452,14218,50
5,22209021,30139,106
5,23482702,31276,110
5,4053510,5419,19
5,19202479,25872,91
5,21270470,28718,101
5,19461710,25588,90
5,21845163,29286,103
5,19227258,25591,90
5,26628559,35255,124
5,21320524,28435,100
5,9041635,11954,42
5,18992366,25588,90
5,11171869,15072,53
5,8605043,11659,41
5,21989618,30138,106
5,21802686,29286,103
5,24863747,32979,116
5,26393435,34968,123
5,15725593,21044,74
5,12809370,17063,60
5,21195339,28434,100
5,12606277,16779,59
5,11994447,16497,58
5,24851464,33264,117
5,7283767,9679,34
5,25393747,33550,118
5,6434133,8530,30
5,6830044,9108,32
5,10703685,14787,52
5,20434193,27580,97
5,12382731,16782,59
5,18875125,25590,90
5,25984215,34117,120
5,26321656,34969,123
5,27935506,36385,128
5,21147470,28432,100
5,24986844,32981,116
5,23427993,31276,110
5,19533951,26160,92
5,2994753,3985,14
5,24339742,32695,115
5,27007896,35539,125
5,27391926,35821,126
5,23629313,31276,110
5,25091077,32979,116
5,25872451,34118,120
5,23215136,30990,109
5,17763467,23601,83
5,17706685,23601,83
5,20691503,27579,97
5,3457543,4550,16
5,20848582,27865,98
5,14362044,19338,68
5,27557703,36384,128
5,15262760,20191,71
5,13248909,17911,63
5,19816313,26724,94
5,21018345,28147,99
5,21602596,28719,101
5,21505612,27865,98
5,21563987,28723,101
5,21994595,29003,102
5,12572369,17061,60
5,18176804,24450,86
5,17650507,23601,83
5,21225069,28432,100
5,21304886,28147,99
5,21540422,28718,101
5,19752189,25591,90
5,17733822,23042,81
5,21060534,28437,100
5,27464619,35821,126
5,19060649,25587,90
5,25140935,32980,116
5,6914556,9103,32
5,14480025,19907,70
5,6207755,8250,29
5,19839235,26441,93
5,27858208,36387,128
5,14045728,18486,65
5,20001035,26453,93
5,13711218,18203,64
5,13045407,17351,61
5,20778088,27580,97
5,9255764,12515,44
5,27203811,35821,126
5,16607933,21904,77
5,23617744,31276,110
5,13830043,18211,64
5,22746981,30138,106
5,20087869,26728,94
5,17776486,23319,82
5,18033682,23886,84
5,25529363,33267,117
5,11570183,15355,54
5,21346078,28432,100
5,22476601,29854,105
5,23309266,30709,108
5,5124573,6551,23
5,21380070,28437,100
5,17952525,23882,84
5,15576969,20757,73
5,26935629,35252,124
5,27526486,35821,126
5,3729826,4844,17
5,19636059,26160,92
5,16191944,21610,76
5,21456362,28438,100
5,22101916,29286,103
5,17080275,22746,80
5,19352151,25309,89
5,11412537,15355,54
5,27489177,35821,126
5,28379107,36384,128
5,19661416,26156,92
5,16023486,21331,75
5,26214862,34116,120
5,20090908,26724,94
5,22876657,30137,106
5,23376019,30426,107
5,21616060,28432,100
5,28009716,36385,128
5,17240844,22465,79
5,24277751,31847,112
5,26373416,34400,121
5,16327739,21610,76
5,22982079,30422,107
5,18693269,24737,87
5,21213770,27587,97
5,24986415,32700,115
5,15795937,21042,74
5,8245790,11102,39
5,24271504,32128,113
5,10279886,13653,48
5,26677099,34687,122
5,20083518,26165,92
5,13788361,18486,65
5,19072151,25303,89
5,20300790,26734,94
5,22590432,29854,105
5,19170993,25021,88
5,8513063,11375,40
5,18190286,23890,84
5,23542256,30709,108
5,24716232,32415,114
5,16212600,21325,75
5,12838611,17059,60
5,18828027,25024,88
5,27446722,35822,126
5,24497599,31845,112
5,20821257,27580,97
5,24678048,32412,114
5,28321703,36385,128
5,17421821,23035,81
5,2406729,3145,11
5,26820550,35252,124
5,20362132,26724,94
5,25314593,32981,116
5,25131511,32698,115
5,16172627,21610,76
5,15247039,20475,72
5,1712008,2283,8
5,25435856,33548,118
5,21055869,27580,97
5,25187125,32695,115
5,18161171,24168,85
5,22004665,29283,103
5,22261082,29000,102
5,17209823,22744,80
5,27697163,36387,128
