OMNIKDTREE,EUCLIDEAN,SSS,2,4015,314296
k,time,count,disk
5,9229276,12513,44
5,22433007,30994,109
5,13130333,18195,64
5,15769617,22751,80
5,20895302,29014,102
5,5766317,7970,28
5,16789238,24172,85
5,16324969,22753,80
5,18137488,25600,90
5,19002603,26444,93
5,19681763,27300,96
5,2269653,3419,12
5,23133921,32130,113
5,20180217,27866,98
5,24340166,33550,118
5,24666778,33551,118
5,18765266,26160,92
5,19926217,27865,98
5,22518162,30996,109
5,12255442,16792,59
5,20691298,29006,102
5,22708556,31277,110
5,11871524,16500,58
5,21988807,30707,108
5,22079164,30422,107
5,14355125,20189,71
5,23009588,31845,112
5,22603015,30996,109
5,13129472,18485,65
5,18594540,26160,92
5,16497068,23045,81
5,20797703,28728,101
5,22287548,31273,110
5,10298302,14504,51
5,16815435,23329,82
5,19734088,27582,97
5,11060597,15362,54
5,19230366,27012,95
5,7136390,9964,35
5,14019782,19629,69
5,5680820,7972,28
5,23607967,32983,116
5,23817875,32983,116
5,25907437,34970,123
5,15297440,21044,74
5,24868382,34401,121
5,22283414,30708,108
5,17994939,25025,88
5,574589,861,3
5,19101022,26729,94
5,11354049,15649,55
5,23565791,32983,116
5,22502683,30707,108
5,19154994,26159,92
5,19658257,27303,96
5,21245436,29013,102
5,22772223,30997,109
5,5123843,7397,26
5,21896816,30434,107
5,19429280,26740,94
5,19214308,26727,94
5,18226827,25308,89
5,14261893,19904,70
5,18891017,26159,92
5,18050033,25030,88
5,21892756,30707,108
5,21928818,30137,106
5,1449644,2000,7
5,25804173,35540,125
5,18236259,25308,89
5,522319,861,3
5,18600528,25597,90
5,4475343,6264,22
5,16186209,22468,79
5,21989410,30707,108
5,24480633,33551,118
5,14205533,19349,68
5,16497713,23603,83
5,22381194,30996,109
5,6182023,8823,31
5,9141202,12805,45
5,17907095,25025,88
5,21486773,29571,104
5,8155964,11381,40
5,15750065,21907,77
5,22696994,31845,112
5,9118403,12513,44
5,18708782,26727,94
5,3587381,5123,18
5,21499275,29863,105
5,15941427,21905,77
5,5461347,7966,28
5,18306065,25601,90
5,13250188,18488,65
5,18930447,26158,92
5,13751295,19354,68
5,4267571,5977,21
5,16850693,23317,82
5,14450544,20189,71
5,22822553,31002,109
5,18702565,25591,90
5,15935716,22187,78
5,5402080,7685,27
5,21724053,30424,107
5,25111105,34404,121
5,17062001,23604,83
5,16086035,22466,79
