OMNIKDTREE,EUCLIDEAN,CONVEX,6,4015,66224
k,time,count,disk
5,18133034,23889,84
5,25250509,34119,120
5,18852556,25028,88
5,18590438,25022,88
5,13239025,18217,64
5,8323594,11672,41
5,24256689,34119,120
5,16692749,22470,79
5,24566640,32982,116
5,5026280,6852,24
5,21538319,29572,104
5,860428,1146,4
5,27626067,36389,128
5,24276759,32982,116
5,26990372,36391,128
5,19611138,26729,94
5,23194022,31562,111
5,20021016,27303,96
5,27137727,36389,128
5,18640877,25022,88
5,20021740,27299,96
5,22839660,30708,108
5,9460418,13100,46
5,13754771,18785,66
5,20040819,27297,96
5,20044084,27303,96
5,19516326,26737,94
5,27209939,36391,128
5,23363736,31563,111
5,27036568,36390,128
5,22109978,29572,104
5,13277509,18203,64
5,24916245,34119,120
5,14081291,19066,67
5,20058358,27297,96
5,20940261,28719,101
5,7916633,10828,38
5,26661400,36390,128
5,7902705,10824,38
5,20272319,27297,96
5,6648796,9119,32
5,26523521,36387,128
5,16682878,22753,80
5,26821673,36389,128
5,10071198,13657,48
5,24882647,34119,120
5,24237068,32982,116
5,18487796,25026,88
5,628559,863,3
5,23247028,31845,112
5,6944224,9408,33
5,26981064,36387,128
5,25147143,34119,120
5,26342925,35541,125
5,23551180,31847,112
5,23719134,31845,112
5,27009690,36390,128
5,3797959,5129,18
5,20676812,27873,98
5,26924089,36392,128
5,16955301,23329,82
5,22147002,30141,106
5,27061414,36392,128
5,19687253,26728,94
5,25175433,34119,120
5,12997548,17631,62
5,21569558,29572,104
5,14056556,19339,68
5,22394307,30713,108
5,25144271,34119,120
5,216340,294,1
5,20931963,28436,100
5,14801752,20199,71
5,17477252,23886,84
5,25033168,34119,120
5,16603902,22751,80
5,13611508,18200,64
5,12883142,18214,64
5,27035738,36391,128
5,4657842,6273,22
5,7781985,10816,38
5,22847454,31561,111
5,24636129,33553,118
5,10628212,14518,51
5,27066019,36389,128
5,26815994,36387,128
5,14148996,19347,68
5,21489473,29572,104
5,13440533,18211,64
5,6839102,9124,32
5,22408504,30709,108
5,13332433,18202,64
5,21375488,29572,104
5,18607411,26161,92
5,23187424,31847,112
5,24792391,34119,120
5,3880166,5421,19
5,17967725,24465,86
5,9937449,13664,48
5,26423039,36109,127
5,27086553,36387,128
5,20029689,27013,95
5,8248880,11378,40
5,26799758,36389,128
5,26741394,36388,128
5,24671319,33835,119
5,23481689,32131,113
5,20013750,27871,98
5,14949401,20478,72
5,24484595,32985,116
5,27031967,36389,128
5,8780317,11962,42
5,17914910,24457,86
5,19817684,27299,96
5,8431925,11390,40
5,21498842,29575,104
5,26744777,36391,128
5,20410783,27014,95
5,24961794,34121,120
5,13165279,18201,64
5,20377911,28436,100
5,6377737,8835,31
5,25876473,36109,127
5,7185120,10258,36
5,25901636,36389,128
5,22746129,31562,111
5,12201063,17063,60
5,17544239,25022,88
5,26368432,36387,128
5,23839225,32982,116
5,26232466,36392,128
5,218948,294,1
5,22900723,31563,111
5,10625457,14797,52
5,5154819,7411,26
5,22528860,31847,112
5,21205304,29572,104
5,26419817,36388,128
5,22087702,30711,108
5,18976747,26163,92
5,206992,294,1
5,26378171,36391,128
5,217264,294,1
5,24526722,34119,120
5,20632919,28436,100
5,25094415,34119,120
5,22159768,29577,104
5,2142699,2854,10
5,24807643,34119,120
5,23502246,31277,110
5,12916865,17635,62
5,25098454,34119,120
5,22749271,30709,108
5,27036990,36389,128
5,18848651,25024,88
5,4080063,5422,19
5,23797544,32415,114
5,23142251,31845,112
5,21068621,28436,100
5,26857744,35256,124
5,27477205,36388,128
5,20366047,27296,96
5,7346316,9975,35
5,11501549,15925,56
5,13480179,18498,65
5,18719154,25312,89
5,20429730,27592,97
5,9530182,13098,46
5,19749456,27297,96
5,2550993,3427,12
5,12938155,18199,64
5,9774014,13660,48
5,4729897,6559,23
5,19761383,27303,96
5,26618629,36387,128
5,18475434,25028,88
5,25177969,34119,120
5,20208228,27297,96
5,26785460,36387,128
5,27242184,36387,128
5,18349279,25024,88
5,20337092,27297,96
5,12823714,17635,62
5,15326628,21053,74
5,21653941,29859,105
5,26865334,36387,128
5,27079541,36389,128
5,12994182,17649,62
5,24889867,34119,120
5,13430653,18211,64
5,13594004,18785,66
5,26905526,36390,128
5,10053564,13652,48
5,21821380,29572,104
5,19224624,26160,92
5,3111787,4295,15
5,22800534,30709,108
5,16647289,22750,80
5,26350892,35825,126
5,23249904,31561,111
5,20516168,27871,98
5,21884321,29572,104
5,21643660,29572,104
5,27322301,36390,128
5,25428823,34119,120
5,27348931,36392,128
5,27171622,36389,128
5,18474012,25022,88
5,13165285,18203,64
5,23119575,31563,111
5,18597642,25028,88
5,16405291,22465,79
5,17977539,25022,88
5,7432336,10251,36
5,14398050,19638,69
5,23364532,31849,112
5,25856118,35256,124
5,21805466,29572,104
5,26752088,36391,128
5,24260142,32414,114
5,10885571,14789,52
5,1968944,2856,10
5,24749990,34119,120
5,26833727,36389,128
5,25872542,35256,124
5,14411931,19340,68
5,18098952,24744,87
5,6254308,8543,30
5,23340605,31845,112
5,20874229,28437,100
5,21707683,29572,104
5,18258590,24745,87
5,26942228,36388,128
5,12591407,17074,60
5,18241736,25028,88
5,27198191,36387,128
5,15022919,20202,71
5,13061251,17921,63
5,21630327,29572,104
5,18513718,25022,88
5,18187233,25022,88
5,25479521,34119,120
5,19320558,26163,92
5,1740789,2573,9
5,19751890,27013,95
5,12858003,17642,62
5,21999097,30145,106
5,26992907,36389,128
5,27371319,36389,128
5,1911170,2573,9
5,25240651,34119,120
5,20086361,27296,96
5,20116042,27296,96
5,20601579,27873,98
5,22568831,30711,108
5,9046264,12523,44
5,19368659,26450,93
5,24541167,32985,116
5,27078444,36389,128
5,25099003,34121,120
5,11261789,15369,54
5,26586593,36391,128
5,16871680,22756,80
5,13141909,18203,64
5,20052916,27297,96
5,26391686,35825,126
5,23683003,31845,112
5,21794719,29573,104
5,20405361,27297,96
5,20068355,27297,96
5,9821372,13373,47
5,19696938,27013,95
5,13144528,17921,63
5,22032503,29572,104
5,20793602,28435,100
5,20697099,28439,100
5,3699671,4856,17
5,19850598,27296,96
