OMNIKDTREE,EUCLIDEAN,KMEDOIDS,6,4015,341230
k,time,count,disk
5,17581133,22748,80
5,21139182,28155,99
5,23857945,31562,111
5,7059957,9678,34
5,16738847,22754,80
5,3248835,4558,16
5,12642809,17634,62
5,6122801,8544,30
5,18789934,25879,91
5,14691577,20198,71
5,18039847,24743,87
5,1652364,2006,7
5,17165274,23605,83
5,18714149,25878,91
5,21221870,28721,101
5,13447005,18208,64
5,14759442,20483,72
5,18321677,25037,88
5,19047744,25594,90
5,17213054,23330,82
5,19508379,26728,94
5,11297246,15373,54
5,6030420,8544,30
5,20939339,29006,102
5,16979640,23323,82
5,11506253,15933,56
5,16474180,22473,79
5,15640951,21350,75
5,6387071,8821,31
5,19792626,27586,97
5,12084741,16497,58
5,17065305,23324,82
5,22753635,30993,109
5,5382123,7409,26
5,20833026,29011,102
5,16105119,22180,78
5,7092691,9685,34
5,11879458,16785,59
5,4021572,5708,20
5,14528502,20482,72
5,3587364,4855,17
5,22408056,30993,109
5,20599982,28152,99
5,27335580,36391,128
5,13153168,17634,62
5,19374569,26728,94
5,22747726,30993,109
5,9984853,13653,48
5,802463,1148,4
5,12894765,18204,64
5,12481235,17067,60
5,21866524,29573,104
5,19205468,26160,92
5,17158385,23324,82
5,9509821,13098,46
5,18758550,25024,88
5,19099141,25884,91
5,1276036,1715,6
5,23220168,31279,110
5,18416143,25024,88
5,16610959,22752,80
5,12522540,17350,61
5,9728435,13380,47
5,12835851,18204,64
5,16503984,22466,79
5,11585210,15943,56
5,14252489,19908,70
5,6308625,9102,32
5,23277711,31845,112
5,11480011,15927,56
5,603928,864,3
5,8039158,11105,39
5,6584361,9105,32
5,6865215,9677,34
5,18826809,26159,92
5,22255296,30143,106
5,8261995,11403,40
5,12831778,17917,63
5,19453439,26732,94
5,5800112,7983,28
5,4537623,6551,23
5,13564012,18772,66
5,13846186,19061,67
5,3696523,5138,18
5,15616993,21624,76
5,16570070,22750,80
5,12542715,17068,60
5,17515909,24460,86
5,17660024,24474,86
5,20817382,27883,98
5,9700277,13376,47
5,11839590,16499,58
5,15539190,21619,76
5,8107277,11105,39
5,26146157,35825,126
5,14449964,19631,69
5,4063111,5979,21
5,17149999,23606,83
5,6582834,9108,32
5,25523470,34412,121
5,21958624,29859,105
5,7935492,10819,38
5,6389743,9102,32
5,17357308,23604,83
5,22502782,30993,109
5,13333789,18208,64
5,14786655,19911,70
5,3800856,5417,19
5,2904537,4560,16
5,23512353,31562,111
5,17873484,24173,85
5,3921119,5422,19
5,5874774,8548,30
5,16123653,22748,80
5,6022936,8256,29
5,25348316,34691,122
5,22935298,30993,109
5,8136241,11102,39
5,4496805,6834,24
5,21143246,29003,102
5,10169916,13941,49
5,3943819,5705,20
5,14961037,21046,74
5,3576978,5135,18
5,21760818,29574,104
5,3208466,4555,16
5,15136540,20763,73
5,5816053,8254,29
5,22083079,30709,108
5,10687482,14516,51
5,21878128,29580,104
5,644137,864,3
5,9679188,13375,47
5,16544461,22756,80
5,6066453,7983,28
5,10967797,15360,54
5,11173687,15641,55
5,23106526,31279,110
5,15081325,20763,73
5,13821000,19057,67
5,211612,294,1
5,16358308,22754,80
5,605769,864,3
5,7385069,10242,36
5,11378758,16211,57
5,13406685,18489,65
5,6634502,9122,32
5,1489936,2289,8
5,18576027,25878,91
5,15875210,21615,76
5,13707214,18779,66
5,8801071,12249,43
5,8872196,12524,44
5,21372832,29290,103
5,10477718,14224,50
5,3836099,5422,19
5,9831723,13952,49
5,15717375,21612,76
5,10762292,14796,52
5,20787922,28156,99
5,8636002,11956,42
5,19553191,26747,94
5,23597187,31845,112
5,4635777,6267,22
5,6550005,9115,32
5,9650419,13651,48
5,9598442,13371,47
5,13627715,18774,66
5,22814780,30993,109
5,3612834,4851,17
5,18647583,25323,89
5,4232628,5696,20
5,3492479,4844,17
5,11079416,15076,53
5,15017466,20476,72
