OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,6,4015,475516
k,time,count,disk
5,22116305,29576,104
5,25109054,35256,124
5,25848489,36390,128
5,17642193,25024,88
5,13344280,18217,64
5,3711369,5415,19
5,22149783,30708,108
5,16531747,22754,80
5,26267050,35256,124
5,4892710,6568,23
5,10340234,14791,52
5,783620,1145,4
5,26544875,36389,128
5,26110816,35256,124
5,27082825,36391,128
5,18783154,25594,90
5,23313086,31848,112
5,17100326,23320,82
5,27396378,36389,128
5,16997843,22748,80
5,21701309,29576,104
5,25702802,34119,120
5,10794863,14807,52
5,14069242,19352,68
5,20009582,27298,96
5,20642692,27872,98
5,10351895,14223,50
5,27004118,36392,128
5,21857531,29576,104
5,26149399,35256,124
5,17691231,23888,84
5,9806650,13660,48
5,27116352,36387,128
5,20961671,28438,100
5,10213533,13652,48
5,23967337,32983,116
5,9699647,13390,47
5,13573095,18199,64
5,3688636,5129,18
5,19824983,27298,96
5,7263803,9970,35
5,12942824,18199,64
5,16903857,23322,82
5,27233822,36389,128
5,10648997,14508,51
5,24793868,34120,120
5,25854191,35256,124
5,11312660,14791,52
5,604593,862,3
5,24137397,32983,116
5,6738395,9124,32
5,26706404,36390,128
5,20259190,27296,96
5,20075105,27296,96
5,26018299,35256,124
5,25257070,34119,120
5,26293908,35256,124
5,3796251,5133,18
5,21057908,28441,100
5,25221793,34119,120
5,16328691,22192,78
5,23003201,31279,110
5,26534532,35825,126
5,22368335,30141,106
5,13350560,18199,64
5,13034545,17915,63
5,22634701,30711,108
5,15617513,21331,75
5,23396833,31849,112
5,24354035,32984,116
5,217581,295,1
5,23628970,31848,112
5,15908027,21618,76
5,21911067,29572,104
5,21805681,29571,104
5,15605791,21052,74
5,12996987,17634,62
5,15219869,21055,74
5,27021530,36391,128
5,9725367,13099,46
5,7835447,10815,38
5,19462380,26162,92
5,23371299,31848,112
5,11703495,15933,56
5,27100507,36390,128
5,27514589,36387,128
5,26453715,35256,124
5,21670527,29576,104
5,27430942,36390,128
5,6839437,9124,32
5,17355178,23889,84
