OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,6,4015,171303
k,time,count,disk
5,15566412,19626,69
5,14701699,19625,69
5,16876050,22470,79
5,8988960,11949,42
5,13683860,18488,65
5,4468249,5982,21
5,12353138,16784,59
5,9047036,12235,43
5,11159854,15075,53
5,14681007,19627,69
5,11309227,15075,53
5,3116676,4275,15
5,14545460,19624,69
5,14462999,19339,68
5,16240735,21614,76
5,16172583,21331,75
5,14298915,19058,67
5,15710755,21046,74
5,14326870,19058,67
5,10817918,14508,51
5,14938211,20191,71
5,13978553,18488,65
5,8615024,11663,41
5,15447726,20764,73
5,16586541,21900,77
5,12875631,17068,60
5,15930004,21329,75
5,14069397,18489,65
5,11069655,14792,52
5,14371265,19341,68
5,10579723,14223,50
5,12262383,16498,58
5,18454500,24461,86
5,8322655,11096,39
5,16161989,21900,77
5,14295962,19059,67
5,10161111,13655,48
5,11839023,15927,56
5,6098329,8254,29
5,12782004,17069,60
5,4864376,6548,23
5,15614289,21050,74
5,14921999,19908,70
5,21338048,28156,99
5,11270085,15078,53
5,17613437,23605,83
5,18095886,23891,84
5,12358315,16501,58
5,1063544,1431,5
5,13923264,18772,66
5,9499458,12804,45
5,17292606,23037,81
5,14478579,19341,68
5,12362118,16502,58
5,12483296,16214,57
5,14021762,18772,66
5,14598555,19339,68
5,7610674,10246,36
5,14985732,20195,71
5,12314203,16499,58
5,14606424,19625,69
5,11329262,15075,53
5,16446320,22183,78
5,12206361,16501,58
5,13456730,17921,63
5,15172932,20478,72
5,13297634,17632,62
5,9195752,12522,44
5,18697002,25027,88
5,13881584,18201,64
5,850024,1147,4
5,11392453,15364,54
5,9402253,12800,45
5,9603111,13089,46
5,15122210,19909,70
5,16942550,22470,79
5,10254126,13656,48
5,12898786,17351,61
5,13269865,17921,63
5,9516499,12804,45
5,6476080,9108,32
5,11710523,15932,56
5,15048295,20194,71
5,6842049,9108,32
5,12841233,17352,61
5,14388909,19341,68
5,12376596,16498,58
5,16198690,21613,76
5,13149245,17068,60
5,15241164,20762,73
5,9596539,13088,46
5,9547532,13088,46
5,12758046,17637,62
5,9508099,13089,46
5,19832650,27015,95
5,10897534,14791,52
5,10707036,14790,52
5,15292860,20764,73
5,13176696,17920,63
5,18562701,25025,88
5,17849976,24176,85
5,8833273,11951,42
5,7197652,9964,35
5,12456976,17349,61
5,17797544,24174,85
5,12902608,17351,61
5,10232502,13940,49
5,10500198,14508,51
5,7478860,10243,36
5,15868913,22185,78
5,12833218,16779,59
5,5546837,7970,28
5,7267540,10811,38
5,13791962,18776,66
5,9089841,12519,44
5,20053714,26731,94
5,17585699,23321,82
5,8961068,11951,42
5,10757740,14793,52
5,17386802,23037,81
5,9818155,13085,46
5,5852182,7971,28
5,11120568,15362,54
5,5685410,7684,27
5,14000134,19340,68
5,10990184,14794,52
5,9132956,12802,45
5,11502392,15647,55
5,17439131,23323,82
5,11923706,15932,56
5,16105720,21047,74
5,852229,1145,4
5,7836755,10527,37
5,14702966,19910,70
5,9329126,12521,44
5,12185529,16215,57
5,14287592,19056,67
5,17063832,22753,80
5,14691147,19624,69
5,12083446,15646,55
5,635963,862,3
5,16764050,22469,79
5,662771,862,3
5,11787125,15645,55
5,14056351,18771,66
5,11169080,15076,53
5,12716430,17067,60
5,4189143,5696,20
5,15307590,20475,72
5,11685479,15645,55
5,10174317,13655,48
5,14269454,19342,68
5,13559878,17638,62
5,16185033,21617,76
5,10050638,13368,47
5,5323276,7400,26
5,12151992,16497,58
5,13527835,18205,64
5,12295019,16497,58
5,13639309,18205,64
5,12939690,17352,61
5,14553946,19341,68
5,17646431,23321,82
5,8184609,10530,37
5,12050763,16496,58
5,9556131,12801,45
5,9951340,13371,47
5,14087043,19342,68
5,18032875,24173,85
5,4507897,5980,21
5,14631088,20196,71
5,8401317,11098,39
5,7298322,9960,35
5,12293999,16498,58
5,14868221,19909,70
5,9785093,13087,46
5,10308004,13653,48
5,14696553,19625,69
5,19443475,25877,91
5,18180078,24174,85
5,16075754,21332,75
5,14270332,19056,67
5,15042689,19624,69
5,12728645,17069,60
5,10447842,13940,49
5,13700017,18489,65
