OMNIKDTREE,EUCLIDEAN,RANDOM,6,4015,480395
k,time,count,disk
5,19935891,26728,94
5,19497109,31279,110
5,25385805,34690,122
5,12970673,18212,64
5,9357351,13667,48
5,5692506,8557,30
5,17993681,26730,94
5,7267667,10829,38
5,18340402,26728,94
5,16775288,24456,86
5,5602427,8555,30
5,1117264,1719,6
5,21703747,29581,104
5,17316962,23901,84
5,22167662,30141,106
5,12654665,17365,61
5,16297746,22748,80
5,16448356,22749,80
5,19069548,26176,92
5,15267730,20780,73
5,13034785,18199,64
5,22350544,30429,107
5,3937136,5708,20
5,9925223,13654,48
5,21443040,29862,105
5,9819016,13653,48
5,16479337,22763,80
5,24213529,32418,114
5,16302532,22465,79
5,11382694,15926,56
5,6424368,9124,32
5,12681596,17915,63
5,23464065,31279,110
5,8460434,11103,39
5,14058246,19632,69
5,16380278,22761,80
5,4310138,6276,22
5,4927853,7121,25
5,5118778,7422,26
5,3563766,5133,18
5,3471965,5142,18
5,20905256,29288,103
5,13996008,19340,68
5,26934506,36391,128
5,19597658,26728,94
5,18703489,25890,91
5,23573767,32132,113
5,9489615,13091,46
5,600401,862,3
5,12802874,18199,64
5,18959067,25879,91
5,23027092,31280,110
5,13225835,18199,64
5,9757322,13653,48
5,20878707,28438,100
5,17355339,23906,84
5,20698621,28451,100
5,5399333,7402,26
5,8542221,11958,42
5,11930956,16779,59
5,13025213,18201,64
5,15746912,21896,77
5,21623548,29581,104
5,19674061,26728,94
5,9750705,13652,48
5,19682020,27296,96
5,13195739,18199,64
5,11592153,16498,58
5,20704134,27867,98
5,16615151,22748,80
5,609441,862,3
5,19808857,27302,96
5,9362665,12806,45
5,16462434,22759,80
5,19731849,27296,96
5,18579356,25601,90
5,6448980,9121,32
5,6024397,8538,30
5,17323570,24189,85
5,12072494,16802,59
5,8831986,11965,42
5,19296556,26728,94
5,17714783,24456,86
5,7708551,10820,38
5,3177415,4565,16
5,15277491,21612,76
5,20686182,28436,100
5,19315661,26451,93
5,19975804,27308,96
5,23580887,32140,113
5,1671336,2282,8
5,13434745,18779,66
5,13516913,18784,66
5,17424923,24174,85
5,25735339,35257,124
5,3920155,5416,19
5,3023984,4283,15
5,19820948,27296,96
5,14295103,19909,70
5,22002212,30145,106
5,23261568,31847,112
5,4788284,6554,23
5,8195322,11667,41
5,20751481,28441,100
5,12781425,17631,62
5,19049463,26728,94
5,14851433,20490,72
5,17905622,25026,88
5,10223330,14227,50
5,21159168,29005,102
5,8632542,11957,42
5,1582791,2282,8
5,10598827,14798,52
5,19162897,26736,94
5,8037725,11384,40
5,19302876,26732,94
5,25952925,35256,124
5,3142154,4274,15
5,18205631,25310,89
5,23002263,31565,111
5,2222826,3143,11
5,4267948,5995,21
5,6204787,9124,32
5,4459505,6277,22
5,13048763,18199,64
5,7822210,11100,39
5,11385017,15928,56
5,7999191,11379,40
5,22593811,31845,112
5,13232679,18199,64
5,22172927,29868,105
5,627038,862,3
5,10148205,13961,49
5,14985295,20497,72
5,12897862,17938,63
5,17231876,23887,84
5,18499405,25594,90
5,22950384,31277,110
5,13080616,18200,64
5,8900899,12526,44
5,418695,578,2
5,16977116,23620,83
5,605363,862,3
5,20127124,26728,94
5,11675576,15926,56
5,5719342,7986,28
5,13975437,18783,66
5,1952171,2568,9
5,12442067,16779,59
5,7216820,9692,34
5,8465691,9692,34
5,23954582,27296,96
5,24504474,27296,96
5,29930678,33554,118
5,3574139,3996,14
5,1981808,2283,8
5,11019903,12801,45
5,19761017,22748,80
5,20118664,22748,80
5,25789369,30147,106
5,19923553,26737,94
5,20901629,27598,97
5,25228894,33552,118
5,15100548,19916,70
5,16723463,18221,64
5,14811184,16231,57
5,15655205,17655,62
5,6765564,7970,28
5,27229221,30715,108
5,4126611,4560,16
5,27527546,31573,111
5,7118869,7970,28
5,5025584,5705,20
5,19562005,22464,79
5,26130883,29289,103
5,16859140,19060,67
5,17676067,20489,72
5,21944057,29010,102
5,22248274,29572,104
5,24690395,32704,115
5,20601482,27585,97
5,22071525,29289,103
5,22059368,29294,103
5,16670892,22184,78
5,9452457,12521,44
5,7985294,10826,38
5,4849225,6833,24
5,12863710,17640,62
5,18796985,25041,88
5,23076495,30709,108
5,19091944,25022,88
5,9347958,12526,44
5,14907926,19913,70
5,2033696,2858,10
5,20399855,27585,97
5,1107403,1432,5
5,2092218,2851,10
5,17761020,23892,84
5,25906825,34122,120
5,10012970,13091,46
5,19090614,25876,91
5,6818942,9124,32
5,13273604,18199,64
5,20015608,26740,94
5,15873219,20782,73
5,20267942,27317,96
5,3719978,5133,18
5,12979898,18199,64
5,5694779,7986,28
5,19530390,26728,94
5,9854989,13659,48
5,14114772,19636,69
5,20332855,27296,96
5,9106274,12529,44
5,12102757,17089,60
5,15546134,21335,75
5,23069641,31279,110
5,12794482,17631,62
5,19131962,25901,91
5,19719089,26730,94
5,8065043,11108,39
5,2035867,2858,10
5,3806499,5427,19
5,23118290,31847,112
5,9155253,12526,44
5,16946657,23047,81
5,8310359,11392,40
5,4121506,5991,21
5,20394911,27873,98
5,12198371,16781,59
5,23442716,31846,112
5,10197001,13945,49
5,18928810,25024,88
5,8219395,11108,39
5,10094016,13654,48
5,27727225,36392,128
5,13553717,17651,62
5,13462123,17932,63
5,19577855,25901,91
5,18673109,24460,86
5,20977425,27296,96
5,3013957,4002,14
5,20099193,26454,93
5,1710967,2288,8
5,19369695,25605,90
5,10976990,14509,51
5,20122004,26728,94
5,24770448,32417,114
5,22845680,29865,105
5,1662060,2288,8
5,20286620,26730,94
5,19312806,25322,89
5,24690865,32420,114
5,17742898,23320,82
5,18224230,24175,85
5,11363265,15365,54
