OMNIKDTREE,EUCLIDEAN,SELECTION,6,4015,467316
k,time,count,disk
5,17542595,22750,80
5,16754384,23039,81
5,18506880,25315,89
5,7527030,10537,37
5,12665598,17637,62
5,1900858,2855,10
5,9456739,13658,48
5,6820505,9678,34
5,10724154,15365,54
5,13950028,19626,69
5,11626507,16216,57
5,391896,578,2
5,13614893,19339,68
5,17461337,24459,86
5,17741311,24464,86
5,16949253,23323,82
5,16592946,22750,80
5,17255484,23891,84
5,11642984,16221,57
5,11821499,16223,57
5,17749596,24743,87
5,16563264,22758,80
5,5960611,8542,30
5,16510490,23321,82
5,16913114,23319,82
5,12711312,17635,62
5,16130510,22472,79
5,14379745,19914,70
5,7785806,11095,39
5,14639692,20480,72
5,10864764,15083,53
5,13413279,19063,67
5,18897982,26168,92
5,4051400,5701,20
5,14106087,20475,72
5,16239360,22751,80
5,8642175,11958,42
5,9616303,14227,50
5,2188215,3145,11
5,9613125,13947,49
5,1634616,2578,9
5,16472623,23611,83
5,17387422,23605,83
5,22600778,30998,109
5,13663819,18773,66
5,19778350,27584,97
5,21842606,29859,105
5,13625323,18493,65
5,408384,578,2
5,16375612,22750,80
5,7817990,10818,38
5,18350375,25599,90
5,17165248,23604,83
5,12395799,17067,60
5,14593858,20196,71
5,15010250,20769,73
5,14400906,19635,69
5,5673191,8257,29
5,15448561,21620,76
5,12369530,17076,60
5,16568673,23037,81
5,11753347,16216,57
5,16012011,21910,77
5,12156620,17074,60
5,11390686,15930,56
5,18194886,25593,90
5,14087506,19347,68
5,11106193,15647,55
5,21744090,30145,106
5,13584565,18772,66
5,398847,578,2
5,12461014,17639,62
5,7570762,10819,38
5,8953769,12524,44
5,16386503,23318,82
5,18744452,25886,91
5,9520940,12811,45
5,14181202,19908,70
5,13229969,18775,66
5,8392711,11675,41
5,5391093,7978,28
5,9604035,13664,48
5,16775030,23036,81
5,3634592,5136,18
5,11387645,16221,57
5,13786427,19347,68
5,14545217,20202,71
5,19543239,26164,92
5,12801645,17353,61
5,15513612,21336,75
5,7081570,9967,35
5,10437898,14518,51
5,13499124,18779,66
5,11108002,15650,55
5,22434574,30995,109
5,11207356,15651,55
5,7791001,11100,39
5,15355382,21341,75
5,13815147,19345,68
5,19502403,26735,94
5,16743304,23041,81
5,6214587,8543,30
5,8190912,11667,41
5,9752733,13658,48
5,21196205,28722,101
5,13339442,18203,64
5,7461643,10250,36
5,10990677,15651,55
5,7960210,11102,39
5,16902406,23611,83
5,13300717,18207,64
5,2986562,4568,16
5,5373914,7978,28
5,16445028,22750,80
5,7363079,10250,36
5,21399582,29863,105
5,20582142,27868,98
5,5856620,7976,28
5,9339229,13376,47
5,18284739,25317,89
5,10236560,13945,49
5,4049521,5701,20
5,10387818,15647,55
5,2179306,3144,11
5,14614504,20771,73
5,10971515,15358,54
5,9187600,12811,45
5,12820530,17921,63
5,15921596,22184,78
5,13197287,18205,64
5,15106440,21045,74
5,398077,578,2
5,7566246,10528,37
5,14099532,19625,69
5,8192109,11390,40
5,13996357,19340,68
5,14286198,19908,70
5,18569666,25882,91
5,15194143,21045,74
5,13954585,19056,67
5,207563,294,1
5,15259612,21337,75
5,413291,578,2
5,11771940,16506,58
5,13156087,18203,64
5,11419574,15649,55
5,11452968,15660,55
5,396934,578,2
5,18530356,25311,89
5,13947957,17920,63
5,9320727,12516,44
5,15877735,21612,76
5,15901233,21614,76
5,16376175,23039,81
5,9588928,13088,46
5,2561705,4001,14
5,11977247,17067,60
5,14314602,20478,72
5,14525567,19912,70
5,12237044,17082,60
5,9019093,12526,44
5,15620099,22189,78
5,21613606,29576,104
5,4937955,6835,24
5,12135050,16785,59
5,9808220,13661,48
5,7644199,10532,37
5,13031028,17632,62
5,21156556,28435,100
5,2785531,3714,13
5,15868172,21906,77
5,7764551,10530,37
5,5427609,7407,26
5,12288307,17063,60
5,15276641,21335,75
5,8571729,11956,42
5,8561338,12524,44
5,14239260,19913,70
5,21194182,29004,102
