OMNIKDTREE,EUCLIDEAN,GNAT,2,4490,471781
k,time,count,disk
5,9266562,12714,40
5,2441811,3826,12
5,16908109,25739,81
5,15486834,23202,73
5,3008382,4772,15
5,157545,324,1
5,21768141,32725,103
5,404577,641,2
5,1607149,2545,8
5,959935,1594,5
5,355308,640,2
5,874211,1594,5
5,802669,1594,5
5,3642394,6047,19
5,519799,957,3
5,485509,960,3
5,485231,958,3
5,676426,1278,4
5,314582,642,2
5,1439300,2548,8
5,481173,957,3
5,318782,640,2
5,12568993,19384,61
5,3676739,5727,18
5,592729,960,3
5,678251,1278,4
5,352014,640,2
5,314263,640,2
5,3654582,6043,19
5,822154,1276,4
5,345519,641,2
5,485557,958,3
5,480154,958,3
5,678525,1276,4
5,479471,957,3
5,21526329,33048,104
5,202557,324,1
5,5660451,8591,27
5,16143303,25415,80
5,2257130,3818,12
5,1057206,1912,6
5,2156058,3505,11
5,1382125,2548,8
5,14676586,22254,70
5,1430755,2227,7
5,5824788,9535,30
5,9299838,15253,48
5,588497,957,3
5,321136,640,2
5,15654382,24160,76
5,408017,640,2
5,1313881,2233,7
5,1070273,1913,6
5,772022,1278,4
5,1190302,1909,6
5,6754941,10806,34
5,11444710,18121,57
5,20143752,31137,98
5,935423,1595,5
5,10379174,15895,50
5,4863865,7311,23
5,5435350,8584,27
5,22738263,34946,110
5,12548880,19392,61
5,968025,1593,5
5,12303065,19062,60
5,6697558,10500,33
5,2322022,3820,12
5,4611833,7310,23
5,9377852,14950,47
5,3672529,6363,20
5,698736,1274,4
5,2356296,4141,13
5,2247507,4136,13
5,1356231,2546,8
5,10883791,17155,54
5,16501298,25428,80
5,917650,1593,5
5,2083300,3504,11
5,764003,1275,4
5,1267609,2229,7
5,14737887,22237,70
5,13491047,21287,67
5,20432778,30188,95
5,18000588,26377,83
5,22114854,32720,103
5,13668886,20337,64
5,18777375,27328,86
5,2394538,3508,11
5,2993004,4458,14
5,21886271,32409,102
5,2685081,4137,13
5,7110976,10494,33
5,2060931,3186,10
5,19239512,28282,89
5,1286796,1912,6
5,1258353,2230,7
5,3205407,4776,15
5,2525307,3821,12
5,5023927,7634,24
5,2829319,4457,14
5,1028340,1596,5
5,10998230,16846,53
5,2508459,4139,13
5,15705380,23521,74
5,4695203,7321,23
5,2860969,4456,14
5,14207265,21286,67
5,16322044,24143,76
5,1301209,1911,6
5,1527041,1914,6
5,1436199,2548,8
5,2107863,3186,10
5,3127139,4777,15
5,988906,1598,5
5,4624467,7951,25
5,10061273,15579,49
5,7439470,11446,36
5,6675567,10172,32
5,1798435,2872,9
5,1907668,2868,9
5,4919713,7954,25
5,19386062,29235,92
5,3991799,6045,19
5,2099706,3820,12
5,11060787,17155,54
5,2037087,3183,10
5,1260470,1911,6
5,421729,640,2
5,3154852,5089,16
5,1422233,2549,8
5,17442073,25740,81
5,431109,640,2
5,14691345,21615,68
5,427773,640,2
5,7174133,10816,34
5,407183,642,2
5,357692,640,2
5,569713,957,3
5,491899,958,3
5,490044,958,3
5,487187,957,3
5,329315,640,2
5,489711,958,3
5,21115979,30183,95
5,2204490,3184,10
5,18126987,26367,83
5,20040135,29233,92
5,446654,640,2
5,326190,640,2
5,9456376,13990,44
5,10775174,16534,52
5,10210562,15581,49
5,640875,958,3
5,916623,1594,5
5,8397855,12726,40
5,12101345,17804,56
5,667585,957,3
5,708754,1274,4
5,15696673,22878,72
5,2844280,4137,13
5,691386,958,3
5,578878,960,3
5,325137,640,2
5,326094,640,2
5,17747008,26062,82
5,6061441,8911,28
5,634740,957,3
5,488763,957,3
5,18207231,26683,84
5,18156159,26366,83
5,11382531,16535,52
5,847457,1278,4
5,752884,1274,4
5,13763438,20334,64
5,861577,1277,4
5,6276857,9535,30
5,413401,640,2
5,9322689,13989,44
5,1213954,1915,6
5,9815236,14631,46
5,1593408,2549,8
5,14719087,21603,68
5,3792364,6046,19
5,13489873,20020,63
5,8626538,13348,42
5,15275261,22872,72
5,650851,957,3
5,15416189,21925,69
5,7707532,11439,36
5,3292232,5096,16
5,14492653,21603,68
5,4538952,6685,21
5,637982,958,3
5,2015291,3503,11
5,1046977,1916,6
5,6885242,10491,33
5,6024402,9219,29
5,11621573,17472,55
5,7170958,10490,33
5,8801556,13982,44
5,831260,1277,4
5,499472,957,3
5,530939,958,3
5,1032129,1593,5
5,5992455,8913,28
5,2346805,3815,12
5,829573,1593,5
5,3153480,5410,17
5,5126161,7627,24
5,2127019,3502,11
5,11083028,16846,53
5,5537367,8589,27
5,2750849,4453,14
5,1883859,2868,9
5,3791107,6047,19
5,8924138,13348,42
5,6334890,9849,31
5,11459172,17793,56
5,10120367,15251,48
5,1960991,2864,9
5,7108538,10813,34
5,8875574,13675,43
5,3234970,5093,16
5,5444379,8265,26
5,13727696,20334,64
5,2215657,3181,10
5,1597943,2551,8
5,1580223,2864,9
5,16567280,24143,76
5,11220158,16527,52
5,8604705,12406,39
5,2096343,3498,11
5,8219496,12074,38
5,2980781,4777,15
5,1970388,3506,11
5,11242520,17163,54
5,3701272,5728,18
5,2791797,4777,15
5,2174432,3505,11
5,1188397,2233,7
5,1513922,2544,8
5,8726928,13032,41
5,6151732,9535,30
5,2032644,3186,10
5,2872324,4777,15
5,10308372,15579,49
5,5257757,8273,26
5,4547411,6997,22
5,1064188,1593,5
5,12503187,18757,59
5,3164435,4776,15
5,6944293,10499,33
5,12155161,18761,59
5,3271595,5089,16
5,2083595,3181,10
5,1033236,1594,5
5,665097,1275,4
5,3088827,4781,15
5,850286,1597,5
5,15529091,22888,72
5,751731,1281,4
5,5729198,8594,27
5,4585058,7321,23
5,2162478,3498,11
5,1854443,3498,11
5,4795999,7317,23
5,4901683,7639,24
5,2046307,3502,11
5,12006914,17798,56
5,13551847,20018,63
5,1936924,3183,10
5,2910184,4455,14
5,6100455,9217,29
5,2862882,4771,15
5,5543408,8276,26
5,10640364,15892,50
5,11629776,17796,56
5,10493753,16204,51
5,1063898,1593,5
5,4734593,7317,23
5,10508193,15893,50
5,10672612,16214,51
5,7912785,12087,38
5,2859474,4460,14
5,12340399,18749,59
5,10104797,15253,48
5,1284750,2230,7
5,423093,641,2
5,13879871,20336,64
5,9050869,13353,42
5,20326704,29235,92
5,442983,642,2
5,11914793,17485,55
5,2343936,3505,11
5,1070694,1594,5
5,1529213,2544,8
5,1509847,2548,8
5,3389742,5094,16
5,1851563,2874,9
5,13775300,20334,64
5,1545989,2228,7
5,8028734,11770,37
5,14688171,21603,68
5,2494471,3816,12
5,9356772,14619,46
5,1691246,2551,8
5,6679700,10500,33
5,2768050,4135,13
5,1848536,2869,9
5,3419691,5411,17
5,623854,958,3
5,535944,957,3
5,17433917,25420,80
5,671163,957,3
5,940838,1594,5
5,5342729,7954,25
5,5078871,7628,24
5,821701,1276,4
5,3578320,6043,19
5,20384701,29549,93
5,649307,957,3
5,330477,640,2
5,13998938,20344,64
5,4405859,6685,21
5,835481,1277,4
5,8899582,13348,42
5,803451,1277,4
5,11847970,17479,55
5,629026,959,3
5,11191205,16529,52
5,4125770,6366,20
5,17681641,26379,83
5,3727008,5727,18
5,15408655,22890,72
5,6996140,10501,33
5,15305764,22560,71
5,1063944,1595,5
5,11209514,16524,52
5,2297591,3501,11
5,4003406,5730,18
5,5128075,7953,25
5,8697711,13035,41
5,640804,960,3
5,2357074,3821,12
5,3900326,5727,18
5,3514897,5411,17
5,1949298,3508,11
5,419685,640,2
5,8978954,13361,42
5,2360040,3818,12
5,5268710,7951,25
5,1465223,2230,7
5,1477252,2546,8
5,1185660,2229,7
5,1905683,2867,9
5,1028943,1912,6
5,384938,640,2
5,13762802,20019,63
5,3939428,6047,19
5,1058789,1596,5
5,1296621,2229,7
5,7097713,10816,34
5,1031624,1594,5
5,1355989,2230,7
5,13184572,19066,60
5,13679461,20334,64
5,6601698,10176,32
5,1480451,2232,7
5,1912337,2864,9
5,1176224,2229,7
5,1172450,2229,7
