OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4490,387073
k,time,count,disk
5,15016754,20337,64
5,2155790,3185,10
5,2059575,3818,12
5,2245669,4138,13
5,3907155,5722,18
5,327722,640,2
5,2727230,4454,14
5,749078,1278,4
5,654971,1276,4
5,1048261,1910,6
5,325401,643,2
5,320210,641,2
5,1004246,1910,6
5,1425896,2550,8
5,492101,960,3
5,314965,641,2
5,693637,1277,4
5,480357,960,3
5,323804,643,2
5,1011886,1910,6
5,318028,641,2
5,320815,640,2
5,12542707,18440,58
5,1721531,2550,8
5,420882,640,2
5,372668,643,2
5,316497,640,2
5,733233,1274,4
5,1804211,3184,10
5,585980,959,3
5,530152,960,3
5,822780,1593,5
5,649305,1278,4
5,1001620,1910,6
5,486267,960,3
5,25684295,35900,113
5,448656,640,2
5,5231897,7639,24
5,19607614,28284,89
5,2414542,3503,11
5,1549355,2552,8
5,2471677,3817,12
5,1317770,2230,7
5,19491566,27966,88
5,1343512,1910,6
5,13859349,19708,62
5,12352546,17801,56
5,439600,640,2
5,318287,640,2
5,22218908,31137,98
5,680427,958,3
5,2653537,3821,12
5,1771033,3182,10
5,384442,642,2
5,3292128,4776,15
5,14935909,21297,67
5,23056413,33047,104
5,7991826,11442,36
5,1990513,2867,9
5,13170320,18753,59
5,1768014,2548,8
5,4829192,7001,22
5,21470421,30821,97
5,19841978,27645,87
5,759003,1278,4
5,14798101,20982,66
5,7091737,10183,32
5,2161775,3185,10
5,6552712,9540,30
5,4960522,7310,23
5,2947470,4774,15
5,853592,1278,4
5,2536167,3825,12
5,2910970,4775,15
5,1227136,2231,7
5,20075810,28283,89
5,4204858,6042,19
5,639868,962,3
5,3295019,5095,16
5,1297355,1912,6
5,1625906,2866,9
5,22197519,31773,100
5,20890877,29550,93
5,13257904,18746,59
5,15620125,22246,70
5,4855521,6993,22
5,13078257,18753,59
5,23093899,32727,103
5,2060006,2868,9
5,4706558,7003,22
5,9981744,14621,46
5,1316663,1914,6
5,4814539,7005,22
5,2541099,4137,13
5,23262675,33042,104
5,3193872,4455,14
5,3292024,5415,17
5,4793531,6999,22
5,1298023,1918,6
5,4919897,7317,23
5,3498693,5094,16
5,2877776,4137,13
5,9811891,14301,45
