OMNIKDTREE,EUCLIDEAN,RANDOM,2,4490,320311
k,time,count,disk
5,6515342,8590,27
5,3682769,5727,18
5,7489538,12080,38
5,7327407,11124,35
5,10716403,16219,51
5,433134,642,2
5,7089405,10496,33
5,624933,962,3
5,1168800,1911,6
5,2165512,3504,11
5,151823,324,1
5,649259,1281,4
5,1303662,2553,8
5,3734019,5724,18
5,540417,962,3
5,481856,959,3
5,878876,1599,5
5,790546,1599,5
5,317523,641,2
5,3822592,6365,20
5,478070,959,3
5,499729,958,3
5,5293387,7957,25
5,2614802,4139,13
5,372867,642,2
5,311068,642,2
5,497504,959,3
5,467977,959,3
5,4975272,7955,25
5,1013260,1595,5
5,565031,962,3
5,1085652,1915,6
5,477111,962,3
5,957329,1596,5
5,318886,640,2
5,24223768,34322,108
5,702589,958,3
5,3765082,5411,17
5,2144308,3180,10
5,1069707,1598,5
5,535800,960,3
5,1203698,1912,6
5,478755,960,3
5,4351218,7313,23
5,4477608,6685,21
5,3821703,5722,18
5,2988534,5088,16
5,868139,1284,4
5,751354,1284,4
5,14598155,20982,66
5,800396,1275,4
5,1529252,2235,7
5,587222,959,3
5,1041024,1912,6
5,2596778,3818,12
5,5946836,9217,29
5,3454241,5093,16
5,16705919,24153,76
5,2485317,3509,11
5,5824229,8273,26
5,5027648,7324,23
5,2379314,4144,13
5,6207253,9219,29
5,16412077,21935,69
5,900938,1277,4
5,6129128,8906,28
5,6517577,9866,31
5,2820617,4139,13
5,2296752,3824,12
5,12165819,18118,57
5,5288772,7627,24
5,869125,1281,4
5,1504412,2231,7
5,2100074,3508,11
5,934408,1596,5
5,7855023,11132,35
5,16159698,23525,74
5,862110,1281,4
5,2745159,4137,13
5,655865,959,3
5,929779,1596,5
5,8922460,13030,41
5,7617447,11132,35
5,15125575,21936,69
5,14271277,20342,64
5,9561427,13988,44
5,11453817,16219,51
5,1775773,2547,8
5,1238143,1917,6
5,1446313,2235,7
5,18782456,26700,84
5,3147342,4468,14
5,3235512,5418,17
5,2226105,3506,11
5,22803176,32405,102
5,3033181,4459,14
5,3279720,5409,17
5,1971275,2869,9
5,635907,960,3
5,2603985,3824,12
5,3484634,4783,15
5,2411785,3504,11
5,3456893,5088,16
5,2314453,3511,11
5,14269788,20981,66
5,2464000,3504,11
