OMNIKDTREE,EUCLIDEAN,SSS,2,4490,340391
k,time,count,disk
5,5271201,6993,22
5,2409322,3500,11
5,7833028,11765,37
5,5717712,8580,27
5,11749784,17170,54
5,604415,963,3
5,7870066,11765,37
5,995395,1598,5
5,591205,960,3
5,1768168,2873,9
5,482961,963,3
5,658366,1281,4
5,1549837,2874,9
5,1728078,2866,9
5,988488,1915,6
5,481870,962,3
5,678818,1282,4
5,813750,1599,5
5,479250,963,3
5,3352494,5734,18
5,495443,962,3
5,687072,1281,4
5,7857793,11446,36
5,1660660,2545,8
5,617717,963,3
5,741807,1282,4
5,323810,646,2
5,477792,963,3
5,1468556,2549,8
5,862369,1594,5
5,831815,1598,5
5,666775,1282,4
5,974737,1914,6
5,1088667,1599,5
5,513585,962,3
5,22421654,31771,100
5,469340,646,2
5,3571281,5099,16
5,3082033,4767,15
5,864234,1279,4
5,153503,324,1
5,1246536,1916,6
5,678455,1279,4
5,7872232,11761,37
5,2877614,4145,13
5,4980011,7317,23
5,2859486,4777,15
5,1942209,2873,9
5,1258461,2233,7
5,16519650,23833,75
5,623762,963,3
5,1119743,1594,5
5,552358,957,3
5,382038,641,2
5,2654810,3820,12
5,5316099,8265,26
5,2629918,3821,12
5,17707709,25108,79
5,2022754,2549,8
5,7742224,11126,35
5,2960627,4143,13
5,4876709,7000,22
5,13152870,19064,60
5,10819480,15582,49
5,874847,1276,4
5,6240481,8906,28
5,5649216,8269,26
5,1195883,1910,6
5,2379879,3502,11
5,5326741,7951,25
5,2246968,3500,11
5,553368,960,3
5,2124050,3188,10
5,2723539,4450,14
5,1527612,2865,9
5,3949001,5723,18
5,14210376,20338,64
5,810482,1276,4
5,2199661,3192,10
5,659085,957,3
5,1387816,2230,7
5,17662265,24783,78
5,3663030,5087,16
5,14920474,21292,67
5,13059886,18436,58
5,10844577,15576,49
5,11089112,15888,50
5,1272555,1914,6
5,1056578,1602,5
5,1014745,1594,5
5,16172874,23203,73
5,2194752,3185,10
5,2579599,3822,12
5,2383385,3509,11
5,17363982,24787,78
5,2343387,3502,11
5,3250552,5093,16
5,1283888,1912,6
5,977249,1594,5
5,3417231,5092,16
5,2448885,3828,12
5,2349961,3502,11
5,8136879,11765,37
5,3891838,5731,18
5,9900460,14625,46
5,1980866,3186,10
5,2626895,3816,12
5,13431057,19064,60
5,17646665,24783,78
5,2751520,3824,12
5,216972,324,1
5,388717,643,2
5,861760,1275,4
5,440330,645,2
5,209568,324,1
5,4965014,7315,23
5,8246614,12408,39
5,1312935,1916,6
5,9079458,13036,41
5,1314776,1921,6
5,1297784,1913,6
5,3422495,5095,16
5,19195648,27325,86
5,4327756,6357,20
5,2946355,4774,15
5,13497531,20022,63
5,2208513,3184,10
5,857337,1275,4
5,648948,959,3
5,977802,1597,5
5,329145,640,2
5,12967865,18429,58
5,679473,963,3
5,10385628,14946,47
5,663742,959,3
5,4252186,6372,20
5,358459,646,2
5,513968,963,3
5,683341,1276,4
5,494389,963,3
5,902127,1598,5
5,660920,1276,4
5,492943,959,3
5,670088,1282,4
5,17653868,24468,77
5,1375786,1913,6
5,10969895,15574,49
5,10156838,14617,46
5,677934,959,3
5,554230,963,3
5,6813345,9865,31
5,1271354,1916,6
5,7848720,11448,36
5,891453,1282,4
5,665814,1282,4
5,5369079,7957,25
5,7254523,10491,33
5,1062347,1598,5
5,1271793,2237,7
5,5345423,7629,24
5,2580463,3822,12
5,512794,960,3
5,782800,963,3
5,492881,963,3
5,503867,963,3
5,15477480,21928,69
5,3785823,5414,17
5,1094605,1598,5
5,828598,1598,5
5,16785798,23515,74
5,16879777,23512,74
5,4628086,6686,21
5,875104,1282,4
5,720406,1280,4
5,7902386,11442,36
5,1525992,2235,7
5,5391230,7946,25
5,851553,1282,4
5,4391145,6365,20
5,1054860,1598,5
5,9810128,14315,45
5,2501886,3824,12
5,8284457,11758,37
5,6476046,9541,30
5,12802224,17805,56
5,8198145,12085,38
5,8710497,12711,40
5,1334735,1915,6
5,11373739,16539,52
5,5718406,8269,26
5,1722148,2553,8
5,8431945,12711,40
5,2287750,3505,11
5,865512,1282,4
5,1248281,1917,6
5,965024,1595,5
5,6478209,9545,30
5,6659696,9538,30
5,27659595,37489,118
5,5768050,7948,25
5,7555250,11442,36
5,1552440,2232,7
5,717747,1276,4
5,843351,1597,5
5,880268,1276,4
5,7161361,10179,32
5,1501540,2227,7
5,1348622,2230,7
5,3004393,5089,16
5,3712201,5410,17
5,2547721,3816,12
5,5588605,8269,26
5,2625600,4148,13
5,3502331,5092,16
5,2626336,3815,12
5,2251288,3511,11
5,7973589,11442,36
5,4113633,6045,19
5,5620953,8904,28
5,13053186,18751,59
5,1577839,2229,7
5,5019368,7323,23
5,6519024,9221,29
5,2517641,3815,12
5,4494182,6680,21
5,5324397,7635,24
5,1510679,2230,7
5,428725,643,2
5,1613403,2864,9
