OMNIKDTREE,EUCLIDEAN,CONVEX,4,4490,332300
k,time,count,disk
5,6780829,8907,28
5,1674224,2548,8
5,4880546,7631,24
5,1503661,2548,8
5,4815252,6998,22
5,539686,960,3
5,6822397,10171,32
5,393522,643,2
5,736818,1277,4
5,1251212,1916,6
5,313375,643,2
5,1025610,1919,6
5,1345995,2553,8
5,1619888,2548,8
5,685175,1281,4
5,652647,1281,4
5,496797,965,3
5,908874,1599,5
5,678123,1281,4
5,1850477,3188,10
5,653853,1281,4
5,484381,964,3
5,12732262,18118,57
5,1767923,2548,8
5,636609,960,3
5,703073,1277,4
5,156114,325,1
5,373550,647,2
5,1413806,2548,8
5,866495,1278,4
5,338969,643,2
5,535137,964,3
5,703691,1281,4
5,1326704,2553,8
5,643726,1281,4
5,27020791,37807,119
5,456886,647,2
5,2639027,3822,12
5,7999026,12078,38
5,2130806,3198,10
5,317434,642,2
5,1430787,2232,7
5,687244,1285,4
5,5043125,7633,24
5,2567735,3823,12
5,7253743,10809,34
5,3746813,6047,19
5,845214,1278,4
5,322447,643,2
5,16779400,24783,78
5,456812,647,2
5,4006746,5737,18
5,1414745,2231,7
5,207822,325,1
5,3222875,4776,15
5,4518559,6997,22
5,20425173,29241,92
5,9306125,13349,42
5,1298394,1912,6
5,2495119,3826,12
5,1287510,1914,6
5,2731251,4148,13
5,13771891,20662,65
5,14832629,21291,67
5,656324,964,3
5,5584368,7958,25
5,3586434,6052,19
5,1281740,1916,6
5,1376811,2234,7
5,5342846,8267,26
5,1702652,2867,9
5,630229,964,3
5,2319092,3508,11
5,2460307,4140,13
5,1237289,2234,7
5,11746673,17158,54
5,8552117,12711,40
5,637655,964,3
5,2077925,3186,10
5,1065621,1595,5
5,1204679,1916,6
5,15183124,22245,70
5,11405296,16523,52
5,9167600,13348,42
5,13476860,19717,62
5,5323213,7632,24
5,12503153,18755,59
5,25127890,35899,113
5,459044,643,2
5,5481459,7957,25
5,12437342,17792,56
5,2427441,3503,11
5,3271389,4784,15
5,586335,963,3
5,12737753,18751,59
5,1332698,1912,6
5,1662816,2873,9
5,5656749,8271,26
5,1059042,1598,5
5,2804083,4138,13
5,2117993,3186,10
5,1266626,1912,6
5,8288452,12082,38
5,625308,963,3
5,20047665,29242,92
5,1757067,2547,8
5,3167653,5092,16
5,16411040,23513,74
5,19534970,27966,88
5,3150072,4459,14
5,604882,964,3
5,485501,964,3
5,426814,643,2
5,1322229,1911,6
5,747530,1282,4
5,2538652,4134,13
5,11457778,16524,52
5,4604155,6681,21
5,6718488,10185,32
5,431578,643,2
5,2558321,3822,12
5,5909017,8914,28
5,15236928,21608,68
5,5669481,8267,26
5,4212557,6684,21
5,7132546,11442,36
5,1586300,2553,8
5,878579,1277,4
5,437975,647,2
5,1091605,1916,6
5,660989,1277,4
5,5877640,8909,28
5,432077,647,2
5,10605348,15888,50
5,453206,647,2
5,2182353,3184,10
5,553516,964,3
5,335408,647,2
5,529746,965,3
5,330876,643,2
5,536338,964,3
5,496574,965,3
5,326676,647,2
5,324867,647,2
5,12374565,17792,56
5,4281765,6049,19
5,6977595,10174,32
5,9086937,12713,40
5,647635,964,3
5,333172,647,2
5,3335760,5093,16
5,4340459,6366,20
5,5162577,7630,24
5,425978,643,2
5,539164,960,3
5,8137503,11771,37
5,7894772,11445,36
5,431153,643,2
5,1231609,1920,6
5,9475082,13667,43
5,1340682,1918,6
5,432380,647,2
5,599544,960,3
5,491713,965,3
5,330842,647,2
5,18710830,26697,84
5,6642916,9548,30
5,1299214,1602,5
5,1052669,1920,6
5,8922539,12713,40
5,14152238,20338,64
5,6598555,9537,30
5,642280,960,3
5,769280,1282,4
5,8293336,12082,38
5,1310076,1920,6
5,4841802,6997,22
5,424643,647,2
5,5315824,7968,25
5,1271246,1919,6
5,3680050,5409,17
5,1406532,2236,7
5,6384505,9228,29
5,6379415,9542,30
5,9588158,14003,44
5,7244116,10812,34
5,4888981,7632,24
5,1063178,1603,5
5,10315509,15905,50
5,4637311,7326,23
5,1118716,1920,6
5,7702107,12082,38
5,932222,1600,5
5,773416,965,3
5,747457,1281,4
5,499180,961,3
5,2378814,4147,13
5,4761064,7954,25
5,13958088,20977,66
5,3942892,6054,19
5,3598424,6366,20
5,1468509,2236,7
5,333263,643,2
5,867596,1602,5
5,621719,964,3
5,2495169,3829,12
5,1887663,3189,10
5,868431,1599,5
5,1805146,3192,10
5,2933675,4468,14
5,2087060,3506,11
5,5437274,8914,28
5,1394902,2547,8
5,1005955,1595,5
5,2496520,4141,13
5,1711860,3186,10
5,11881771,17803,56
5,3725209,5740,18
5,3297668,6055,19
5,15060572,22878,72
5,1077884,1599,5
5,3338797,5105,16
5,7238522,11462,36
5,1882913,3192,10
5,1508046,2554,8
5,8364781,12400,39
5,2070685,3185,10
5,1604712,2553,8
5,1199059,2233,7
5,22876244,33366,105
5,6199549,9231,29
5,2629447,4137,13
5,1867733,2874,9
5,6179644,9558,30
5,916515,1279,4
5,325076,643,2
5,8651744,13367,42
5,1944341,3186,10
5,1006711,1918,6
5,2712462,4458,14
5,1011285,1915,6
5,1497046,2867,9
5,7317260,10811,34
5,7532102,12085,38
5,2711407,4141,13
5,1448744,2552,8
5,3437389,5736,18
5,840862,1596,5
5,6561323,10177,32
5,422761,646,2
5,12597568,18440,58
5,2961797,4465,14
5,3269032,5415,17
5,3975511,7000,22
5,1186547,2234,7
5,1903465,3189,10
5,1382450,2232,7
5,554350,966,3
5,4162942,6688,21
5,845222,1597,5
5,12284687,17798,56
5,623040,965,3
5,5983248,9229,29
5,3422541,6054,19
5,2001040,3506,11
5,1569947,2867,9
5,1798467,3186,10
5,2252148,4140,13
5,2196694,4141,13
5,12397217,17800,56
5,4495722,6997,22
5,2081500,3193,10
5,3785730,5726,18
5,2641726,4154,13
5,1751535,2546,8
5,5186291,7970,25
5,10712490,15913,50
5,5797475,8273,26
5,7591832,11444,36
5,1764980,2554,8
5,2071361,3185,10
5,3864681,5738,18
5,8627626,12716,40
5,3710651,5416,17
5,4415087,6375,20
