OMNIKDTREE,EUCLIDEAN,KMEDOIDS,4,4490,69951
k,time,count,disk
5,6547039,8592,27
5,2387330,3511,11
5,5988101,9543,30
5,5508699,9226,29
5,5638316,8920,28
5,741467,1281,4
5,5517717,8593,27
5,608557,963,3
5,728945,1277,4
5,1155137,1912,6
5,401770,645,2
5,1126150,1916,6
5,831704,1606,5
5,3063029,4776,15
5,774160,1281,4
5,684168,1283,4
5,934623,1600,5
5,800142,1600,5
5,636952,1283,4
5,4337286,7000,22
5,876261,1602,5
5,582446,961,3
5,2573935,3825,12
5,1878122,2869,9
5,751571,1281,4
5,846405,1600,5
5,795049,1600,5
5,798473,1600,5
5,5126139,7959,25
5,1801843,2870,9
5,611499,963,3
5,1014457,1600,5
5,474780,963,3
5,1748476,2871,9
5,490359,963,3
5,9443280,13988,44
5,417169,645,2
5,2143838,3187,10
5,2949752,4454,14
5,884354,1277,4
5,479802,961,3
5,2666086,4142,13
5,705805,1277,4
5,4788921,7325,23
5,3193321,4777,15
5,8335440,12407,39
5,7317673,11452,36
5,430854,643,2
5,637244,964,3
5,12055795,17177,54
5,765470,1283,4
5,1700045,2556,8
5,634744,961,3
5,530937,963,3
5,3200479,4779,15
5,5593907,8591,27
5,3856389,6051,19
5,14366713,21308,67
5,1672720,2556,8
5,2325668,3507,11
5,3176547,4786,15
5,1332502,2238,7
5,12166124,18451,58
5,8085024,12098,38
5,1163515,1911,6
5,6110177,9232,29
5,6505464,9864,31
5,1057458,1595,5
5,2740083,4142,13
5,8048312,12723,40
5,3529585,5418,17
5,833490,1277,4
5,957231,1281,4
5,1403042,2550,8
5,1243558,2229,7
5,5730779,8593,27
5,11724334,17819,56
5,843845,1277,4
5,1188703,1917,6
5,639035,961,3
5,637952,1277,4
5,13729408,20346,64
5,8445009,12410,39
5,9596058,14638,46
5,8409310,13049,41
5,7907714,12084,38
5,3997149,6054,19
5,3671640,5735,18
5,432820,644,2
5,1596222,2876,9
5,10764327,16223,51
5,3094190,4789,15
5,1472085,2553,8
5,1672866,2872,9
5,6842506,10184,32
5,2000615,3512,11
5,2613294,4462,14
5,1051637,1596,5
5,667156,1276,4
5,1484229,2235,7
5,1254477,1917,6
5,2703139,4466,14
5,3100774,4781,15
5,1688624,2554,8
5,4811574,7317,23
5,1075847,1912,6
5,848470,1595,5
5,9997173,14954,47
5,11648411,16859,53
5,4072042,6063,19
5,207938,326,1
5,796553,1277,4
5,822532,1278,4
5,1069957,1599,5
5,830620,1277,4
