OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,4,4490,54491
k,time,count,disk
5,9897182,13351,42
5,3827443,5407,17
5,12019509,17477,55
5,6904729,9855,31
5,5772063,8583,27
5,1717687,2546,8
5,12527067,18112,57
5,2918050,4134,13
5,1921406,2867,9
5,2892827,4770,15
5,1710236,2551,8
5,2649397,4135,13
5,3911674,6041,19
5,3470387,5724,18
5,2852051,4452,14
5,1620956,2866,9
5,2657420,4137,13
5,2893463,5091,16
5,1622880,2867,9
5,6050399,8900,28
5,1762332,2866,9
5,2629671,3817,12
5,2823541,4138,13
5,3433073,5087,16
5,1921861,2867,9
5,2630240,4136,13
5,1388083,2551,8
5,1527910,2867,9
5,4109278,6042,19
5,2394391,3820,12
5,2290596,3500,11
5,2540817,4138,13
5,2401769,4134,13
5,4285809,6677,21
5,1053782,1911,6
5,18405134,26371,83
5,1608779,2230,7
5,5732473,8266,26
5,8562034,12395,39
5,3345350,4769,15
5,1466546,2551,8
5,11354482,16525,52
5,2854778,4138,13
5,12833395,18434,58
5,3312948,4771,15
5,2371619,3502,11
5,2145022,3501,11
5,1487876,2230,7
5,707337,1277,4
5,15834082,22557,71
5,1332835,1915,6
5,7423630,11126,35
5,2565236,3821,12
5,3307992,4774,15
5,4959045,7314,23
5,5882137,9219,29
5,13650224,19384,61
5,16621571,24147,76
5,2355531,3503,11
5,8254529,11762,37
5,6965058,10172,32
5,4839955,6997,22
5,17126336,25102,79
5,13845203,19702,62
5,1522926,2229,7
5,10786508,15572,49
5,9582773,13981,44
5,3078340,4452,14
5,11694202,16842,53
5,8710944,12396,39
5,4350594,6358,20
5,1226082,1914,6
5,3215333,4773,15
5,4127055,6043,19
5,2027134,3501,11
5,16945333,24147,76
5,14177059,20654,65
5,1120731,1596,5
5,4200817,6358,20
5,1929919,2867,9
5,1490389,2546,8
5,9348328,13665,43
5,17831793,25419,80
5,13033232,18431,58
5,14091097,20019,63
5,17583907,25099,79
5,10319115,14621,46
5,17796481,25417,80
5,2211173,3185,10
5,8190732,12395,39
5,14853933,20970,66
5,5396537,7631,24
5,5631513,8585,27
5,2626840,3818,12
5,16429336,23513,74
5,3596025,5091,16
5,3982745,6680,21
5,6629384,9537,30
5,2837936,4139,13
5,1301884,1914,6
5,3950304,5724,18
5,3241811,4773,15
5,1954545,2865,9
5,3423319,5090,16
5,13384433,19382,61
5,4468402,6361,20
5,3849332,6042,19
5,14537279,20972,66
5,16931093,23832,75
5,4206246,6043,19
5,1770710,2551,8
5,2438541,4138,13
5,1852291,2866,9
5,4570515,6679,21
5,652601,961,3
5,10620485,15889,50
5,10434386,14934,47
5,13122214,18748,59
5,7335132,10491,33
5,1987059,2868,9
5,6921225,10488,33
5,2393619,3501,11
5,17138642,23831,75
5,3408470,4773,15
5,2405688,4138,13
5,5383039,8583,27
5,5846719,8898,28
5,1960269,2867,9
5,2185042,3187,10
5,3291685,5091,16
5,2004439,3502,11
5,13270506,18746,59
5,2645489,3820,12
5,14279321,20337,64
5,1480489,2233,7
5,8588961,12712,40
5,1501732,2229,7
5,1132740,1915,6
5,2666433,3818,12
5,1623097,2867,9
5,1624931,2865,9
5,1927284,3500,11
5,1803221,3187,10
5,1784753,3184,10
5,14714295,21607,68
5,2935016,4137,13
5,16171102,22879,72
5,12545192,17796,56
5,1556627,2233,7
5,1159929,1915,6
5,10308024,14937,47
5,9030019,13032,41
5,11912321,17162,54
5,2228971,3502,11
5,2348774,4137,13
5,7365582,10808,34
5,8617477,12397,39
5,1969561,2865,9
5,3292003,5406,17
5,12436290,18433,58
5,4223893,6042,19
5,1448312,2550,8
5,1894202,3184,10
