OMNIKDTREE,EUCLIDEAN,PCA,4,4490,185382
k,time,count,disk
5,2973941,3818,12
5,2162758,3184,10
5,4785557,7637,24
5,5866463,9239,29
5,8455149,13367,42
5,365158,642,2
5,9047335,13995,44
5,932911,1595,5
5,1144937,1914,6
5,1745329,3183,10
5,621113,962,3
5,948832,1600,5
5,1533633,2866,9
5,1693840,2873,9
5,831103,1595,5
5,648327,1277,4
5,873114,1601,5
5,643333,1285,4
5,644882,1284,4
5,5009644,8603,27
5,711093,1277,4
5,1120516,1913,6
5,2975511,4467,14
5,2352533,3818,12
5,390160,642,2
5,478645,960,3
5,732381,1284,4
5,803662,1601,5
5,2241131,3822,12
5,1615250,2867,9
5,843193,1595,5
5,1212972,2240,7
5,824537,1595,5
5,2093486,3823,12
5,800494,1595,5
5,15760467,23222,73
5,520261,962,3
5,403466,642,2
5,1054632,1596,5
5,844509,1277,4
5,314268,644,2
5,3705743,5734,18
5,351812,644,2
5,544914,962,3
5,3125655,4771,15
5,3292623,5095,16
5,2438657,4462,14
5,1588134,2547,8
5,473516,961,3
5,2042262,3185,10
5,823548,1284,4
5,1558507,2547,8
5,725114,1277,4
5,1700202,2866,9
5,1053208,1596,5
5,4617376,7009,22
5,10005318,14954,47
5,7936830,12414,39
5,1229360,1916,6
5,385745,646,2
5,3119372,5104,16
5,1350896,2550,8
5,8974955,13675,43
5,1242204,1912,6
5,1028355,1598,5
5,2168436,3186,10
5,477057,964,3
5,1620114,2550,8
5,1145739,1914,6
5,10283591,15593,49
5,2179573,3512,11
5,1062790,1919,6
5,762848,1279,4
5,1537898,2868,9
5,966437,1919,6
5,5888085,8906,28
5,14527307,22257,70
5,998483,1598,5
5,2302039,3509,11
5,816447,1277,4
5,829951,1598,5
5,5805304,8589,27
5,10950757,16859,53
5,9029055,13674,43
5,5073272,8275,26
5,8929246,13687,43
5,1203704,1912,6
5,13522257,20353,64
5,368035,642,2
5,1467525,2547,8
5,14623817,22267,70
5,3068633,4780,15
5,1572168,2876,9
5,1285194,2234,7
5,3783351,6044,19
5,1349310,2551,8
5,1182700,2230,7
5,1652459,2549,8
5,543136,962,3
5,3352732,5093,16
5,1915743,3190,10
5,1537848,2551,8
5,4690718,7634,24
5,1205156,1913,6
5,8332433,12719,40
5,2222999,3513,11
5,1996312,3187,10
5,5921587,9224,29
5,14968774,22582,71
5,3619414,5418,17
5,320577,644,2
5,322273,644,2
5,575973,961,3
5,1687904,2548,8
5,607639,962,3
5,2963702,5089,16
5,1022551,1602,5
5,2792322,5089,16
5,4426191,6693,21
5,393964,642,2
5,2593156,3823,12
5,1872515,2876,9
5,1713786,2870,9
5,3097844,4784,15
5,1542531,2877,9
5,5099703,7958,25
5,777461,1277,4
5,2325730,3502,11
5,845521,1281,4
5,2442651,4142,13
5,2127275,3818,12
5,3870335,5734,18
5,1078995,1605,5
5,1206457,1916,6
5,499119,964,3
5,4869525,7330,23
5,726930,1284,4
5,848720,1605,5
5,573042,960,3
5,321806,642,2
5,481706,960,3
5,481657,960,3
5,669713,1281,4
5,824246,1601,5
5,9864871,14310,45
5,1050417,1597,5
5,7747776,11134,35
5,11485432,16553,52
5,840391,1284,4
5,673473,1284,4
5,4379422,6362,20
5,3432196,5090,16
5,6029396,9224,29
5,628447,960,3
5,487003,960,3
5,5817703,8602,27
5,2617806,3822,12
5,622874,960,3
5,1124514,1911,6
5,7979723,12100,38
5,1964501,3191,10
5,323765,642,2
5,324228,642,2
5,663255,1281,4
5,528364,962,3
5,3929693,5730,18
5,1457182,2232,7
5,824310,1277,4
5,1081907,1911,6
5,10472168,14947,47
5,5603512,8280,26
5,2283138,3501,11
5,636011,960,3
5,1574365,2558,8
5,4344081,6691,21
5,2572118,3823,12
5,5845322,8601,27
5,825156,1284,4
5,2737749,4145,13
5,2473787,3823,12
5,5979546,8908,28
5,5838644,8603,27
5,3662582,5416,17
5,4536253,6372,20
5,6761546,9871,31
5,5005663,7321,23
5,1293394,1918,6
5,1272295,1911,6
5,8209519,12102,38
5,1725088,2546,8
5,522480,963,3
5,2363790,3826,12
5,1316349,2229,7
5,419214,642,2
5,740246,1281,4
5,331858,642,2
5,1689414,2870,9
5,1296677,1916,6
5,25289644,34954,110
5,2073889,2871,9
5,3343403,5420,17
5,865830,1277,4
5,770613,1277,4
5,1999768,3188,10
5,1085895,1598,5
5,2829979,4144,13
5,2070918,3186,10
5,832424,1598,5
5,3753898,5730,18
5,2416410,3510,11
5,1855562,2873,9
5,2486559,3826,12
5,3152831,4150,13
5,1720725,2550,8
5,2172816,3190,10
5,3312020,4788,15
5,5029953,7008,22
5,2911326,4469,14
5,2304302,4152,13
5,8973632,12739,40
5,1738605,2552,8
5,4176558,6060,19
5,6182814,9223,29
5,3021654,4778,15
5,1624155,2550,8
5,3081868,4463,14
5,1250432,1919,6
5,640237,960,3
5,1242101,2238,7
5,9656943,13997,44
5,2337084,3510,11
5,4535198,6696,21
5,2474983,3825,12
5,3742681,6046,19
5,1656499,2555,8
5,574274,961,3
5,3626333,5425,17
5,2292224,3834,12
5,1477015,2556,8
5,1799694,2871,9
5,680761,1279,4
5,1580630,2873,9
5,3004172,4462,14
5,5854759,9246,29
5,2044606,3190,10
5,1622978,2557,8
5,2819943,4471,14
5,2096509,3832,12
5,5463761,8294,26
