OMNIKDTREE,EUCLIDEAN,SELECTION,4,4490,154840
k,time,count,disk
5,7781220,10498,33
5,3589461,5407,17
5,10987578,17160,54
5,6425664,10175,32
5,5201512,8902,28
5,508272,960,3
5,10952666,18111,57
5,1519024,2554,8
5,1896115,3184,10
5,2261284,4136,13
5,889657,1595,5
5,1246288,2230,7
5,3068161,5724,18
5,2911548,5407,17
5,1643783,3184,10
5,978703,1916,6
5,1248340,2230,7
5,1922977,3500,11
5,979161,1913,6
5,3931699,6676,21
5,974804,1916,6
5,1317223,2234,7
5,2863224,4455,14
5,2730058,4774,15
5,519673,960,3
5,1027371,1913,6
5,466501,960,3
5,966163,1913,6
5,3198730,5724,18
5,1872485,3504,11
5,661613,1280,4
5,1944567,3500,11
5,1976807,3824,12
5,3086924,5725,18
5,1138958,2233,7
5,17069958,26691,84
5,606477,960,3
5,4410871,7000,22
5,7229421,11130,35
5,3396844,5408,17
5,468189,961,3
5,9081558,14621,46
5,712303,1279,4
5,11200899,18120,57
5,2857669,4453,14
5,2231985,3505,11
5,2372885,3817,12
5,878432,1596,5
5,647559,1277,4
5,14070689,21923,69
5,806113,1278,4
5,6040487,9541,30
5,1968114,3184,10
5,1969217,3196,10
5,3622795,5725,18
5,3398509,6359,20
5,11426110,17808,56
5,14197485,22562,71
5,1936099,3186,10
5,6825449,10811,34
5,3901663,6042,19
5,2623925,4461,14
5,15300266,24470,77
5,11020518,17797,56
5,919593,1596,5
5,9059194,14309,45
5,7360235,12717,40
5,2805193,4456,14
5,8815847,14622,46
5,6720276,10808,34
5,4061436,6996,22
5,518828,960,3
5,2411665,3826,12
5,3372740,5410,17
5,1626000,3190,10
5,13073702,21293,67
5,11727564,19068,60
5,179165,325,1
5,2192881,3825,12
5,1875415,3182,10
5,1134550,2235,7
5,8337569,13041,41
5,16081429,24146,76
5,10892022,17799,56
5,10695947,16529,52
5,16084696,23832,75
5,8904194,13354,42
5,14719371,22247,70
5,1130043,1922,6
5,5784366,9221,29
5,12614562,20023,63
5,3285918,5408,17
5,1709394,2867,9
5,2200807,3504,11
5,15041597,22878,72
5,2351330,3503,11
5,2905406,5090,16
5,5073739,7643,24
5,1433023,2234,7
5,622320,962,3
5,2371476,3823,12
5,2257473,3503,11
5,2052792,3186,10
5,1341732,2230,7
5,10652518,16527,52
5,3104152,4778,15
5,3194393,5414,17
5,10797595,16524,52
5,13037810,20658,65
5,3496275,5406,17
5,403673,642,2
5,717721,1279,4
5,898839,1597,5
5,3111914,4778,15
5,606749,961,3
5,7401510,12077,38
5,7848600,11763,37
5,10186320,16208,51
5,3932516,6047,19
5,1007641,1603,5
5,5028143,7949,25
5,1799555,2868,9
5,14613779,21926,69
5,2578448,3821,12
5,1565418,2869,9
5,3372590,6045,19
5,4443890,7318,23
5,1666102,2547,8
5,815881,1276,4
5,3254744,5408,17
5,1738943,3184,10
5,12666114,18754,59
5,1248382,1913,6
5,12593161,18747,59
5,500662,959,3
5,7236292,11131,35
5,911953,1601,5
5,834673,1596,5
5,1449124,2550,8
5,813735,1595,5
5,1135165,1912,6
5,470177,960,3
5,817169,1596,5
5,977979,1912,6
5,12652662,19065,60
5,2158482,3501,11
5,14943323,22245,70
5,9965680,14932,47
5,552224,959,3
5,918246,1596,5
5,9174691,14307,45
5,8858768,13354,42
5,9793267,14943,47
5,1229803,1912,6
5,1219630,2230,7
5,6517170,10172,32
5,7675640,11447,36
5,404058,642,2
5,2178157,3500,11
5,11235968,17159,54
5,3133330,4774,15
5,317073,642,2
5,492382,960,3
5,830040,1596,5
5,1210931,2234,7
5,13329228,20031,63
5,4824899,7320,23
5,1673889,2549,8
5,1517324,2866,9
5,11940413,17800,56
5,14297876,21291,67
5,7899777,11766,37
5,1245624,1913,6
5,2013734,3500,11
5,10433881,15893,50
5,2513343,3817,12
5,3863720,6042,19
5,968974,1595,5
5,5214042,7955,25
5,2119574,3183,10
5,12528566,18113,57
5,3992397,5724,18
5,9090360,13352,42
5,3322687,5090,16
5,9911066,14303,45
5,3334009,4774,15
5,11337512,16531,52
5,2004762,2866,9
5,8536153,12397,39
5,7392027,11139,35
5,7468705,11128,35
5,12262895,17802,56
5,1649285,2555,8
5,1543717,2230,7
5,8367322,12082,38
5,1562910,2243,7
5,2986403,4773,15
5,876354,1277,4
5,19165362,27010,85
5,3207879,4455,14
5,2914417,5089,16
5,3068719,4455,14
5,1615817,2550,8
5,1433674,2549,8
5,1969664,2870,9
5,4149561,6360,20
5,2791386,4142,13
5,1256980,2235,7
5,4442977,6999,22
5,6711200,10176,32
5,2448084,4141,13
5,4251257,6368,20
5,2524517,3827,12
5,2086790,3193,10
5,3159047,4776,15
5,2258729,3509,11
5,6941388,10181,32
5,5571752,8588,27
5,6412665,9857,31
5,7298130,10815,34
5,2157237,3190,10
5,5682487,8587,27
5,6513555,9543,30
5,4056973,6045,19
5,2238926,3510,11
5,12357802,18435,58
5,2170020,3189,10
5,645719,963,3
5,2541357,3507,11
5,14186099,20338,64
5,11827048,16841,53
5,7499235,10809,34
5,3715970,5731,18
5,6119349,8905,28
5,1945287,2872,9
5,1204775,1915,6
5,7914984,11446,36
5,4516321,6683,21
5,4358684,6997,22
5,1571881,2553,8
5,1194656,1916,6
5,2204631,3507,11
5,6274042,9227,29
5,3261566,5408,17
5,2945976,4457,14
5,2742563,4777,15
5,5605487,9224,29
5,2656832,4460,14
5,2962348,4456,14
5,893122,1596,5
5,9789887,15263,48
5,13982394,21299,67
5,4918658,7947,25
5,9568428,15262,48
5,2345118,3501,11
5,1815545,2870,9
5,3775566,5724,18
5,2284894,4139,13
5,841903,1277,4
5,734714,1278,4
5,12860299,19388,61
5,649514,960,3
5,7449042,11133,35
5,4476726,7004,22
5,2858743,4463,14
5,1726174,3190,10
5,3148328,5086,16
5,4601284,7954,25
5,2529460,4460,14
5,2561152,3821,12
5,4187024,6359,20
5,1879178,3501,11
5,2897314,4452,14
5,5275572,8589,27
5,1171204,1917,6
5,3490407,6047,19
5,12087359,18755,59
5,5887694,8588,27
5,1593161,2548,8
5,5044952,7632,24
5,626150,959,3
5,4949576,7637,24
5,1425138,2229,7
5,4773882,7315,23
5,2386045,3828,12
5,3035052,4772,15
5,1853304,2869,9
5,589323,959,3
5,1883663,2866,9
5,8069305,12084,38
5,3102636,5086,16
5,11234483,16528,52
5,946374,1601,5
5,6822823,10177,32
5,1511948,2549,8
5,3895915,6044,19
5,1731379,2871,9
5,6213275,10173,32
5,2022086,3183,10
5,1258290,1917,6
5,10711974,16207,51
5,6251164,9220,29
5,8605894,12405,39
5,7720220,12083,38
5,4031225,6687,21
5,4432502,6998,22
5,2671492,4141,13
5,7052347,11129,35
5,2445474,3822,12
5,1460878,2232,7
5,1198592,1912,6
5,1540201,2550,8
5,3389445,5724,18
5,10224723,15889,50
5,1329164,2234,7
5,4856271,7634,24
5,4956146,7954,25
5,3966268,6043,19
5,2747233,4140,13
5,3782519,6043,19
5,14203260,21292,67
5,1035474,1600,5
5,1147007,1916,6
5,10674021,15897,50
5,2590934,3821,12
5,2143451,3183,10
5,4014600,5732,18
5,1619833,2551,8
5,8678023,12722,40
5,1965344,2866,9
5,8034931,11761,37
5,5722678,8272,26
5,15837008,22242,70
5,3155271,4452,14
5,13929731,20020,63
5,6323099,9222,29
5,9698414,13986,44
5,1627654,2552,8
5,17720700,24786,78
5,14536428,20656,65
5,3728904,5725,18
5,6459926,9544,30
5,5401833,8587,27
5,2814972,4456,14
5,1741317,2867,9
5,1461821,2229,7
5,1658039,2552,8
5,902109,1595,5
5,798324,1281,4
5,5211818,7948,25
5,2602732,4138,13
5,1054514,1596,5
5,1659699,2548,8
5,1867819,3190,10
5,1477701,2873,9
5,1816243,2546,8
5,1772488,3189,10
5,367916,642,2
5,6707800,10177,32
5,3136552,5097,16
5,1563636,2554,8
5,1175328,2235,7
5,7071955,11131,35
5,1305914,2234,7
5,912951,1595,5
5,3583881,5730,18
5,4459648,6675,21
5,7399983,11132,35
5,1472142,2556,8
5,1906210,3190,10
5,1730950,3189,10
5,1325848,2553,8
5,1428150,2230,7
5,2308756,3503,11
5,8979291,13670,43
5,2905451,4139,13
5,4425349,6683,21
5,9152956,14619,46
5,5970797,9543,30
5,2004080,3187,10
5,2270056,3499,11
5,1246779,1915,6
5,1834688,3185,10
5,2067220,3187,10
5,4551724,6996,22
5,2474365,3818,12
5,2508321,4140,13
5,1565909,2866,9
5,2880680,4460,14
5,830729,1596,5
5,1772842,2867,9
5,7777046,11762,37
5,2080848,3511,11
5,796036,1279,4
5,1036133,1598,5
5,1693284,2870,9
5,1911863,3187,10
5,4229551,6683,21
5,2340200,3824,12
5,2979105,4774,15
5,3771185,6367,20
5,1694328,3189,10
5,1685292,2867,9
5,1005814,1912,6
5,1198719,1922,6
5,2538227,4460,14
5,1217243,2237,7
5,1341117,2553,8
5,1305704,2553,8
5,2560242,3821,12
5,4850580,7316,23
5,2388517,4139,13
5,3402168,5729,18
5,2724669,4773,15
5,2325349,4139,13
5,3711652,6046,19
5,12199763,18756,59
5,3045079,4773,15
5,2764842,4139,13
5,2140392,3187,10
5,2091323,3189,10
5,1660632,3189,10
5,1278783,1915,6
5,789663,1281,4
5,2504253,3824,12
5,1444217,2233,7
5,808958,1280,4
5,4778982,7637,24
5,9577519,14305,45
5,13588548,19705,62
5,1723436,2551,8
5,369555,643,2
5,1127237,1915,6
5,5718471,8586,27
5,1841827,2868,9
5,7150891,11128,35
5,1650093,2550,8
5,2893024,4455,14
5,540129,960,3
5,3696077,6043,19
5,3341455,5725,18
5,12524945,18428,58
5,2316009,3505,11
5,1452855,2553,8
5,7795954,11445,36
5,2669617,4139,13
5,1021142,1595,5
5,2983061,4456,14
5,5841407,8904,28
5,1440724,2235,7
5,740209,1277,4
5,4827327,7628,24
5,10356210,15579,49
5,1294791,1914,6
5,3225277,4775,15
5,3974043,6359,20
5,7953110,12082,38
5,4582438,6366,20
5,10620139,15263,48
5,13283346,19386,61
5,9731476,14944,47
5,1047388,1596,5
5,4405172,6997,22
5,2718244,4139,13
5,1004134,1918,6
5,14184495,20975,66
5,10770266,16843,53
5,9422541,14630,46
5,4780316,7632,24
5,11039981,17171,54
5,1436087,2233,7
5,976536,1597,5
5,425168,642,2
5,2058556,3187,10
5,8179222,11765,37
5,5556629,8586,27
5,2284715,3503,11
5,209908,326,1
5,765920,1280,4
5,2885670,4455,14
5,616984,959,3
5,5466555,8270,26
5,10047713,15890,50
5,4093304,6046,19
5,814308,1280,4
5,654977,1280,4
5,17628807,26371,83
5,12194483,17802,56
5,625687,967,3
5,2790446,4139,13
5,2845179,5089,16
5,3935908,6055,19
5,2714950,4780,15
5,2779252,5097,16
5,2313778,3187,10
5,1271652,1913,6
5,1784678,2880,9
5,1371067,2563,8
5,1168993,2244,7
5,11503353,17483,55
5,4915030,7313,23
5,4230861,7312,23
5,1251332,1921,6
5,657040,1280,4
5,2066905,3514,11
5,4200947,6678,21
5,760148,1280,4
5,652029,1280,4
5,10687410,15895,50
5,11975193,17803,56
5,4446942,6677,21
5,4768992,7325,23
5,13101429,19708,62
5,1660066,2549,8
5,848158,1280,4
5,3336314,5094,16
5,12837950,19072,60
5,9441495,14305,45
5,1478110,2230,7
5,622795,962,3
5,4530818,7313,23
5,1653630,2865,9
5,1678726,2553,8
5,14905508,22245,70
5,2946711,4776,15
5,3625408,5725,18
5,14074917,21291,67
5,1913597,2866,9
5,1175851,2232,7
5,12585721,18435,58
5,5046578,7632,24
5,4164186,6679,21
5,5909463,9854,31
5,2642239,4456,14
5,1481438,2232,7
5,1644758,2555,8
5,636229,966,3
5,1677598,2864,9
5,1278638,1917,6
5,155775,325,1
5,1581815,2552,8
5,1173718,2235,7
5,595883,959,3
5,1644451,2869,9
5,855156,1598,5
5,553994,960,3
5,430176,642,2
5,1241796,1917,6
5,1931428,3186,10
5,1295918,1914,6
5,1256722,2235,7
5,863604,1280,4
5,2027545,3188,10
5,1691651,2554,8
5,1337666,2554,8
5,1189069,1915,6
5,1266159,2235,7
5,1131916,1917,6
5,986913,1917,6
5,1215280,2235,7
5,1296736,1914,6
5,1694252,2554,8
5,3008818,4773,15
5,1264019,1918,6
5,1164402,1914,6
5,728523,1285,4
5,665312,960,3
5,1582295,2871,9
5,1007196,1920,6
5,366342,643,2
5,1434871,2229,7
5,1240806,2231,7
5,1309200,1911,6
5,1809967,3188,10
5,993142,1914,6
5,322772,642,2
5,11638642,17483,55
5,4223473,6044,19
5,1645286,2554,8
5,802820,1285,4
5,365320,642,2
5,3546129,5725,18
5,1077016,1914,6
5,1094576,1920,6
5,994395,1600,5
5,848439,1601,5
5,344699,642,2
5,323825,642,2
5,663820,1282,4
5,654955,959,3
5,1015674,1596,5
5,2208646,3184,10
5,4965330,7951,25
5,6654911,10174,32
5,2050189,3500,11
5,2801298,4774,15
5,1438623,2548,8
5,3133603,4778,15
5,528170,959,3
5,321694,642,2
5,2307190,3822,12
5,6203603,8906,28
5,624068,959,3
5,3116814,4774,15
5,876297,1594,5
5,1083930,1596,5
5,1537980,2230,7
5,797750,1278,4
5,3648835,5410,17
5,2111237,3187,10
5,417558,643,2
5,3122598,4776,15
5,1749358,2552,8
5,608307,960,3
5,861608,1278,4
5,423637,643,2
5,342502,642,2
5,4538423,6683,21
5,2461479,3817,12
5,870833,1282,4
5,658748,1282,4
5,2599069,3823,12
5,1502613,2230,7
5,1239751,1911,6
5,761952,1282,4
5,5667671,8266,26
5,427322,642,2
5,1048830,1599,5
5,867753,1599,5
5,2794419,4143,13
