OMNIKDTREE,EUCLIDEAN,CONVEX,2,4490,72446
k,time,count,disk
5,17553413,24149,76
5,24270241,35269,111
5,27103266,39388,124
5,27273800,39707,125
5,27823211,40651,128
5,7516118,11130,35
5,26919999,40023,126
5,10055314,14940,47
5,15927753,24150,76
5,21508677,32095,101
5,7508646,11143,35
5,9045841,13999,44
5,24126970,36217,114
5,23065710,33675,106
5,15322821,22563,71
5,10644927,15895,50
5,10222006,15903,50
5,8970462,14000,44
5,6777657,11143,35
5,26617186,40023,126
5,9063616,13350,42
5,10000248,15590,49
5,20716307,30504,96
5,21985979,32410,102
5,7205299,10813,34
5,7447038,11454,36
5,7244754,11768,37
5,9090616,14949,47
5,24351097,35901,113
5,20301414,29856,94
5,10122477,14942,47
5,10299655,15900,50
5,8910127,13988,44
5,21270839,31776,100
5,8749215,13036,41
5,27189244,40023,126
5,7665306,11141,35
5,14146537,21290,67
5,22440443,33351,105
5,10644452,15889,50
5,5925578,9537,30
5,18303204,27637,87
5,7407118,10809,34
5,22335035,33360,105
5,28116723,40653,128
5,20867617,30816,97
5,21070409,31143,98
5,15693428,22882,72
5,6911967,10183,32
5,24460696,36219,114
5,8231817,12096,38
5,14292036,21605,68
5,9114211,13982,44
5,8144564,12714,40
5,16743057,24465,77
5,16098267,23831,75
5,22287693,33030,104
5,25987068,37804,119
5,11238889,16209,51
5,18074789,27329,86
5,21485955,31457,99
5,15300814,22250,70
5,26230294,38435,121
5,25081873,36220,114
5,10315605,14307,45
5,12708987,19071,60
5,16572526,24792,78
5,18842135,27640,87
5,9332447,13673,43
5,27558565,40023,126
5,23358514,33679,106
5,9406330,13677,43
5,15098446,22882,72
5,15579009,22883,72
5,10592820,16219,51
5,18014750,26687,84
5,27278371,39706,125
5,9402803,13677,43
5,14807367,22244,70
5,9349838,13981,44
5,8861909,13363,42
5,24845429,36854,116
5,20919745,30821,97
5,26557886,38117,120
5,27385939,39388,124
5,25940535,37484,118
5,24536831,35269,111
5,26386420,38748,122
5,11641667,17171,54
5,14619438,21923,69
5,26689172,38755,122
5,20071485,29232,92
5,15740960,23204,73
5,12524187,18441,58
5,27603802,40334,127
5,14236028,20657,65
5,16538991,23831,75
5,11368157,17158,54
5,14682634,21614,68
5,13685561,20658,65
5,15007073,22244,70
5,13704969,20019,63
5,21433728,31139,98
5,12591070,18439,58
5,27266228,39705,125
5,15015519,21934,69
5,15978786,23522,74
5,24611224,36220,114
5,27270583,38755,122
5,15772949,23505,74
5,6992035,10176,32
5,6286246,10809,34
5,10130879,14949,47
5,10862488,16521,52
5,5933166,8903,28
5,16628930,24778,78
5,23986386,34942,110
5,19775740,28912,91
5,21567346,31455,99
5,10628567,15584,49
5,14531507,21921,69
5,22941001,33359,105
5,25629512,37169,117
5,17649332,25415,80
5,12312035,18116,57
5,19803619,29228,92
5,8414684,12081,38
5,17826536,26380,83
5,7725727,11780,37
5,21657056,31771,100
5,16055126,22882,72
5,22928553,33991,107
5,9377854,13680,43
5,21187849,31134,98
5,7207247,10509,33
5,24645336,35902,113
5,7159165,10500,33
5,7626943,11781,37
5,9196457,14633,46
5,7904506,12085,38
5,8729628,13683,43
5,9725230,14633,46
5,8147814,12415,39
5,9434329,15266,48
5,26102348,38117,120
5,10828796,15888,50
5,23195478,33991,107
5,27114371,39071,123
5,8606475,12414,39
5,8032868,12412,39
5,23853717,35265,111
5,18355958,27003,85
5,25884638,37487,118
5,8741075,12719,40
5,7938621,12083,38
5,18635080,28274,89
5,24673660,35899,113
5,8737733,12716,40
5,10776359,16536,52
5,19771038,28597,90
5,18120191,26693,84
5,7779510,11463,36
5,7277567,11770,37
5,7646627,12085,38
5,8395731,13045,41
5,26471344,38438,121
5,19942628,29231,92
5,9501531,13999,44
5,9504696,14634,46
5,24252028,35576,112
5,25475581,36537,115
5,17983249,26052,82
5,7682565,11448,36
5,10792090,16537,52
5,19918354,29224,92
5,13651052,19705,62
5,17917117,26052,82
5,8018183,11780,37
5,19208105,28278,89
5,11099915,16219,51
5,25778117,37479,118
5,23205742,33676,106
5,22792597,33040,104
5,17626143,25415,80
5,25556378,36850,116
5,20791917,29859,94
5,20043078,29231,92
5,11033925,16218,51
5,25196531,35899,113
5,16292572,23835,75
5,8246425,12081,38
5,19172620,28592,90
5,9142731,13353,42
5,8145933,12402,39
5,9990272,14943,47
5,7694761,11771,37
5,13650777,20979,66
5,16864422,25113,79
5,27931124,40651,128
5,14531079,20663,65
5,14615012,21295,67
5,13472766,19704,62
5,10341144,15577,49
5,9931447,14633,46
5,9809748,14624,46
5,24716133,35897,113
5,10253908,14624,46
5,8174865,12404,39
5,16303721,24468,77
5,16688833,24154,76
5,13388002,19708,62
5,19159914,27964,88
5,15851132,22884,72
5,13937907,20350,64
5,14814458,21617,68
5,17250729,25428,80
5,22378503,32722,103
5,17778212,25419,80
5,20789953,30502,96
5,23322056,33677,106
5,7283154,10816,34
5,20102167,29869,94
5,23171773,33672,106
5,15289228,22245,70
5,14820812,21300,67
5,18130639,26685,84
5,9557782,13992,44
5,8691466,13352,42
5,7931735,12085,38
5,27061237,39388,124
5,17410914,24782,78
5,24480454,35585,112
5,13119767,19389,61
5,23834254,34628,109
5,13610639,19706,62
5,9596685,14315,45
5,24294163,35262,111
5,17264885,25103,79
5,18042643,26373,83
5,13697517,20018,63
5,9519255,14303,45
5,8058118,12402,39
5,18189697,26688,84
5,21740011,31455,99
5,13876084,20347,64
5,15411478,22880,72
5,19338992,28283,89
5,14831926,21617,68
5,17950201,26052,82
5,9093059,13360,42
5,26724527,38439,121
5,23837669,34619,109
5,14063810,20660,65
5,20700080,29860,94
5,18627772,26692,84
5,12146098,17804,56
5,11298026,16840,53
5,8960737,13670,43
5,28302700,40650,128
5,9396226,13664,43
5,24574045,35894,113
5,5175584,7635,24
5,24232610,34948,110
5,20337640,29235,92
5,12654726,18441,58
5,8673720,12724,40
5,17415575,25734,81
5,19163148,28282,89
5,15008037,21617,68
5,22861213,32405,102
5,21654752,30820,97
5,15376704,22568,71
5,18633897,26371,83
5,19720684,27970,88
5,13950204,20026,63
5,21311437,30507,96
5,25471813,35581,112
5,21769285,30819,97
5,21206061,30182,95
5,23320746,33353,105
5,12560115,17802,56
5,16982069,24150,76
5,20101380,28282,89
5,21207960,30190,95
5,18786939,26379,83
5,21887757,31138,98
5,21741889,30816,97
5,10499351,14943,47
5,10175380,14633,46
5,23573234,33674,106
5,20970634,29549,93
5,29322469,40651,128
5,7881755,11135,35
5,24498329,34312,108
5,13549446,19397,61
5,13032592,18751,59
5,8342114,12086,38
5,18008721,25727,81
5,14914210,21300,67
5,10710097,15264,48
5,21513198,30497,96
5,26119542,37162,117
5,24478559,34312,108
5,23352017,32727,103
5,16038159,22568,71
5,22627405,31768,100
5,15235918,21617,68
5,21463471,30502,96
5,16264240,22873,72
5,10543933,14949,47
5,14013378,19706,62
5,10185757,14317,45
5,14399805,20977,66
5,24646335,34312,108
5,9363335,12719,40
5,20660269,29230,92
5,19113501,27010,85
5,22249277,31135,98
5,19000044,26700,84
5,22100804,30501,96
5,28858580,40025,126
