OMNIKDTREE,EUCLIDEAN,GNAT,2,4490,499077
k,time,count,disk
5,21511945,29222,92
5,9270903,13349,42
5,20034291,29220,92
5,15919194,22871,72
5,19581731,27957,88
5,6859071,10180,32
5,23431949,33352,105
5,10957254,15903,50
5,6805458,10175,32
5,9084751,13675,43
5,8432204,12405,39
5,9940320,14949,47
5,12429259,18440,58
5,11388854,16838,53
5,11360370,17172,54
5,10051392,14948,47
5,9016184,13355,42
5,8459351,13041,41
5,7752907,12088,38
5,16082540,23510,74
5,9688409,14313,45
5,8336450,12402,39
5,19109906,27637,87
5,6908141,10175,32
5,6764600,10181,32
5,8594776,13675,43
5,6760799,10180,32
5,8035413,12721,40
5,10710643,16203,51
5,7723968,11452,36
5,9441345,14632,46
5,8990713,13989,44
5,10220196,15586,49
5,12464131,19074,60
5,8618467,12727,40
5,28112571,40648,128
5,7085410,10180,32
5,16012452,22569,71
5,22779742,32395,102
5,11139071,16217,51
5,9444412,14311,45
5,18654148,27004,85
5,10218587,14628,46
5,24017414,33986,107
5,12562359,17798,56
5,15102747,21925,69
5,15480831,21921,69
5,5780792,8282,26
5,5049381,7648,24
5,28303515,40018,126
5,7457703,10497,33
5,15351286,22247,70
5,9558496,13679,43
5,11533640,16530,52
5,18039088,25732,81
5,19709443,27637,87
5,28319319,39389,124
5,24515015,33984,107
5,10076996,14295,45
5,20130698,27951,88
5,12712039,18113,57
5,13712541,19701,62
5,26501021,37473,118
5,28052828,38749,122
5,7383842,10187,32
5,21656863,30492,96
5,18382649,25734,81
5,11163534,15886,50
5,21156748,29857,94
5,19638805,27634,87
5,14800561,20651,65
5,7285127,10504,33
5,11816960,16853,53
5,10829560,15578,49
5,9331699,13361,42
5,25405181,35891,113
5,23007029,32083,101
5,6668834,9227,29
5,11141922,15898,50
5,7189611,10186,32
5,7313435,10504,33
5,24716114,34937,110
5,26036583,36207,114
5,27636254,37795,119
5,26978912,37161,117
5,24281322,33668,106
5,21449774,29857,94
5,27740799,38115,120
5,8631663,12083,38
5,16017261,22881,72
5,26724979,37158,117
5,12575492,17478,55
5,14580702,20657,65
5,11592904,16526,52
5,28757046,40018,126
5,12642901,17793,56
5,16353636,23193,73
5,15722373,21926,69
5,9782328,13986,44
5,10984083,15885,50
5,11230729,15898,50
5,12550588,18109,57
5,16446732,22871,72
5,10988277,15576,49
5,27644777,38757,122
5,11920715,16534,52
5,11190763,15896,50
5,25657204,35572,112
5,28235931,38749,122
5,13614801,19071,60
5,9034773,12723,40
5,10258796,14945,47
5,9124217,13041,41
5,13346976,19067,60
5,5307673,7648,24
5,18762276,26695,84
5,25851154,35572,112
5,21346113,29549,93
5,18732039,26049,82
5,8187042,11447,36
5,13731034,19701,62
5,19936848,27635,87
5,27036624,37478,118
5,16665681,23510,74
5,15279151,21603,68
5,22102404,31128,98
5,18693773,25727,81
5,7180173,10175,32
5,7469515,11140,35
5,9683410,13983,44
5,7002387,10175,32
5,25006474,34937,110
5,9538632,13355,42
5,26399736,37164,117
5,7569290,10504,33
5,13726248,20015,63
5,7720965,11131,35
5,7423573,10497,33
5,9422082,13678,43
5,8184606,12087,38
5,9738738,13998,44
5,9286701,13362,42
5,7581823,11138,35
5,8787134,12721,40
5,26562174,36842,116
5,13078496,17801,56
5,26611440,36840,116
5,20389776,28268,89
5,7887184,11138,35
5,7490188,10497,33
5,22413750,31767,100
5,19622997,27319,86
5,18957143,26683,84
5,9081785,12721,40
5,8686509,12405,39
5,17837828,25418,80
5,25039493,34941,110
5,9875887,13678,43
5,12989332,18756,59
5,26983124,37478,118
5,8151550,11443,36
5,7887749,11458,36
5,8930251,13039,41
5,8945937,12721,40
5,7308974,10497,33
5,26647758,37475,118
5,22005910,30499,96
5,11555765,16220,51
5,11274420,15903,50
5,27111767,37478,118
5,27413429,37475,118
5,23150355,32082,101
5,8860258,12405,39
5,12117167,17166,54
5,21491734,29857,94
5,14251720,19708,62
5,18482733,25731,81
5,8246547,11771,37
5,25983982,36211,114
5,13428287,18756,59
5,17660455,24459,77
5,15698931,22243,70
5,22280913,31128,98
5,19871466,27635,87
5,25694351,35575,112
5,21072113,29221,92
5,21453495,29857,94
5,12721610,17488,55
5,26354392,36846,116
5,21023966,29222,92
5,20778248,28588,90
5,23692691,32714,103
5,14822789,20653,65
5,8987662,12721,40
5,19890568,27950,88
5,9934396,13982,44
5,18487289,25411,80
5,14181341,20013,63
5,29721102,40650,128
5,17803879,24779,78
5,19495867,27000,85
5,13208423,18440,58
5,10187284,14946,47
5,11814627,16537,52
5,7419376,11138,35
5,20651979,28278,89
5,10247565,14311,45
5,7178722,10187,32
5,16475934,23203,73
5,19919046,27645,87
5,10931105,15261,48
5,20187905,28281,89
5,13875703,19393,61
5,9491846,13350,42
5,10793241,15261,48
5,13580129,19389,61
5,24113579,33669,106
5,22952834,31773,100
5,24107926,32408,102
5,24035967,33028,104
5,8835642,12083,38
5,21509745,30190,95
5,23980755,32724,103
5,13596868,18761,59
5,13179606,18432,58
5,27143533,37478,118
5,8156054,11138,35
5,8131144,11774,37
5,9780502,13672,43
5,28695168,39703,125
5,28640797,39386,124
5,14720963,20334,64
5,12503422,17492,55
5,18557200,26053,82
5,11567925,16218,51
5,7603389,10497,33
5,26089560,36527,115
5,13993877,19389,61
5,13470757,19073,60
5,12491218,17487,55
5,7895825,11138,35
5,9679999,13995,44
5,23992123,33031,104
5,22094118,30494,96
5,10536347,14629,46
5,11680589,16530,52
5,16648090,23523,74
5,11862195,16534,52
5,19216486,26998,85
5,7567879,10187,32
5,24865068,34949,110
5,27025961,37165,117
5,16502005,22558,71
5,20204830,28272,89
5,18208369,25734,81
5,8197078,11456,36
5,12465629,18120,57
5,11374765,16216,51
5,6960867,9869,31
5,5696837,8282,26
5,27297501,37478,118
5,5455273,7648,24
5,18351261,25424,80
5,17376606,24151,76
5,10954793,15580,49
5,7932314,11138,35
5,14949234,21290,67
5,13462227,18754,59
5,10124824,13995,44
5,17790178,25096,79
5,19034627,26366,83
5,18940188,25736,81
5,12940086,18121,57
5,21062220,29548,93
5,11884187,16519,52
5,18863328,26691,84
5,26970566,37164,117
5,21247227,28903,91
5,16522792,22871,72
5,14811766,20658,65
5,10139703,14298,45
5,22561516,31456,99
5,16136700,22237,70
5,17072153,23827,75
5,16226994,22569,71
5,18195592,25096,79
5,15693867,21923,69
5,9480432,13360,42
5,9025079,12722,40
5,19525205,27317,86
5,18869026,25728,81
5,29958809,40650,128
5,8110855,11131,35
5,25674195,35895,113
5,9925659,13679,43
5,12489381,17801,56
5,9697020,13679,43
5,17486239,24466,77
5,10874929,15261,48
5,12607265,17162,54
5,24803417,34619,109
5,16020846,21926,69
5,20949970,29223,92
5,26804960,36852,116
5,20144687,27643,87
5,22616970,31129,98
5,10334441,13996,44
5,20188683,28270,89
5,21665648,29859,94
5,8763673,12089,38
5,12720817,17802,56
5,8866330,12409,39
5,14053712,19706,62
5,17766576,24460,77
5,9566769,13361,42
5,15225867,21290,67
5,15144892,21288,67
5,21146174,29221,92
5,11617794,15898,50
5,20982368,29221,92
5,24298828,33352,105
5,7996575,11139,35
5,9902758,14313,45
5,17956648,25094,79
5,17897382,24781,78
5,12546762,17490,55
5,20854679,29226,92
5,10778552,14948,47
5,21166047,29224,92
5,7658324,10501,33
5,22065660,31127,98
5,17245611,23836,75
5,29061302,39383,124
5,13855712,18755,59
5,25444562,34945,110
5,19443176,26690,84
5,23680530,32401,102
5,10074400,13979,44
5,29735084,40338,127
5,26937150,36533,115
5,15662991,21610,68
5,21754433,29552,93
5,17888793,24794,78
5,11496563,15897,50
5,10296445,14629,46
5,16306179,22241,70
5,16858290,23193,73
5,13143010,18121,57
5,7204800,10186,32
5,21310716,29860,94
5,11485146,15897,50
5,14232654,19699,62
5,7820119,10822,34
5,8114800,11455,36
5,7668886,10821,34
5,17035789,23828,75
5,7991575,11138,35
5,7074674,10186,32
5,20705540,28916,91
5,16714342,22877,72
5,7253409,10187,32
5,7161554,10187,32
5,18641673,26048,82
5,10510355,14314,45
5,7305725,10504,33
5,18903807,26367,83
5,25157305,34939,110
5,19418404,26048,82
5,9926327,13987,44
5,8474945,11772,37
5,7671777,11138,35
5,7220790,10187,32
5,11999512,17168,54
5,12946751,18121,57
5,26975059,36847,116
5,18035592,24781,78
5,23514329,32407,102
5,27254006,37478,118
5,22063974,30179,95
5,11033562,15261,48
5,16410509,22881,72
5,17307191,23507,74
5,18037933,25102,79
5,12887475,17804,56
5,19664481,27327,86
5,15122126,20977,66
5,13067730,18121,57
5,16491792,22562,71
5,11024993,15260,48
5,6312100,8910,28
5,11523760,16212,51
5,25275033,35261,111
5,11256585,15576,49
5,6559383,9227,29
5,11629815,16520,52
5,7687592,10821,34
5,12678508,17804,56
5,23282044,32088,101
5,8794949,12090,38
5,13773514,19389,61
5,17290243,23837,75
5,8353439,11138,35
5,14331981,20339,64
5,11833736,16531,52
5,10274771,14309,45
5,10883995,15262,48
5,10473935,14623,46
5,7713529,10821,34
5,7144995,10187,32
5,16267165,22875,72
5,16268456,22564,71
5,12649913,17485,55
5,12840964,18118,57
5,12226831,17168,54
5,12065500,16533,52
5,14100128,19706,62
5,29814356,40650,128
5,13521862,18439,58
5,10436270,14629,46
5,14937351,20974,66
5,8026054,11138,35
5,8074227,11456,36
5,11457971,15895,50
5,8820696,12403,39
5,10871993,15579,49
5,16354616,22877,72
