OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,4490,57939
k,time,count,disk
5,15668029,21286,67
5,9793271,13992,44
5,20131454,28592,90
5,22273414,31452,99
5,10410739,14626,46
5,6636827,9548,30
5,21781845,31450,99
5,9135350,13040,41
5,6940225,10185,32
5,8017493,11774,37
5,6506330,9546,30
5,7956374,11774,37
5,9299829,13674,43
5,11452641,16216,51
5,8739834,12724,40
5,6996627,10187,32
5,8459302,12406,39
5,8764949,12722,40
5,6658459,9863,31
5,12221333,17803,56
5,6881858,9866,31
5,7352447,10815,34
5,16133789,23194,73
5,9650971,13992,44
5,7613714,11139,35
5,8188756,12090,38
5,6676579,9864,31
5,7828353,11771,37
5,11778370,17170,54
5,6831779,9868,31
5,7299494,10181,32
5,8678842,12722,40
5,8653359,12722,40
5,10402152,14946,47
5,7129572,10499,33
5,22483138,32090,101
5,6961973,9866,31
5,12169418,17487,55
5,17930445,25413,80
5,7583914,10815,34
5,6237619,8914,28
5,18285238,26060,82
5,8263335,11774,37
5,18995174,27007,85
5,9280755,13043,41
5,13592293,19380,61
5,17411728,24784,78
5,6787563,9551,30
5,5044435,7649,24
5,20280313,28598,90
5,7269594,10180,32
5,11551958,16850,53
5,6535250,9234,29
5,9448850,13682,43
5,10747208,15563,49
5,13119356,19067,60
5,14332183,20340,64
5,24701887,34294,108
5,8337259,11760,37
5,19683787,27645,87
5,12971148,18442,58
5,9567090,13671,43
5,22598752,31454,99
5,20106391,28280,89
5,5987352,8594,27
5,20954008,29545,93
5,14840434,20981,66
5,7999607,11456,36
5,19291381,27641,87
5,15080842,21295,67
5,10477176,14629,46
5,6076249,8594,27
5,10789879,15571,49
5,10054189,14622,46
5,7910609,11130,35
5,22898022,32395,102
5,23960516,33359,105
5,5624758,7959,25
5,12651431,18118,57
5,6307376,8917,28
5,5853764,8594,27
5,20149952,28586,90
5,27523092,38433,121
5,26999470,37482,118
5,21811931,30808,97
5,27993099,38750,122
5,20772472,28592,90
5,21585746,30185,95
5,10411697,14626,46
5,12526886,17799,56
5,26362417,36846,116
5,13962696,19712,62
5,10584263,14623,46
5,9164945,13355,42
5,14439532,20342,64
5,8700885,12710,40
5,10409674,15249,48
5,12621355,18116,57
5,10149115,13990,44
5,9513293,13981,44
5,10953894,15578,49
5,8886996,13028,41
5,12397873,17792,56
5,9097028,13355,42
5,22549329,31766,100
5,9518985,13661,43
5,9672499,13988,44
5,19276564,27322,86
5,22573463,31762,100
5,9049095,12722,40
5,6015895,8911,28
5,8389552,12408,39
5,7984753,11440,36
5,10225244,14629,46
5,4967258,7649,24
5,17316634,24153,76
5,14844244,20974,66
5,19333517,27328,86
5,12664509,17795,56
5,7834620,11438,36
5,11012749,15583,49
5,12465284,17792,56
5,25598972,35262,111
5,11303415,15893,50
5,11099398,15893,50
5,20767240,29223,92
5,11630322,16515,52
5,7205379,10185,32
5,8184428,11774,37
5,11127944,16217,51
5,7563662,10819,34
5,19550070,27327,86
5,8599472,12087,38
5,18781151,26376,83
5,7999448,10822,34
5,15338697,21932,69
5,6297707,8910,28
5,6554491,9546,30
5,7435211,10819,34
5,8089231,12090,38
5,7647808,11136,35
5,7689736,11136,35
5,8025019,11774,37
5,8207071,12090,38
5,25509164,35889,113
5,8730468,11770,37
5,27281302,37799,119
5,26456468,36212,114
5,8504843,11771,37
5,7020291,10180,32
5,15160082,21604,68
5,14008608,19702,62
5,17498072,24464,77
5,8377854,11774,37
5,8356873,12090,38
5,11477474,16534,52
5,18856584,26375,83
5,8842432,12406,39
5,10002894,14311,45
5,25159694,34948,110
5,13768599,19395,61
5,7467583,10502,33
5,8536705,12087,38
5,7999319,11771,37
5,6905782,9866,31
5,24607318,34305,108
5,13764449,19380,61
5,9013581,12722,40
5,9081380,13040,41
5,23262445,32714,103
5,25004239,34297,108
5,18306986,25423,80
5,8550510,12090,38
5,9137339,13039,41
5,18284174,26052,82
5,10488750,14628,46
5,12866780,18434,58
5,7026051,9864,31
5,18293678,26046,82
5,10188754,13995,44
5,21032813,29550,93
5,12131633,16849,53
5,22155582,30815,97
5,12631461,17797,56
5,18068944,25413,80
5,15044259,20967,66
5,22975137,31762,100
5,9455890,13040,41
5,19610637,27323,86
5,19005630,26377,83
5,18604684,25741,81
5,18967017,26363,83
5,16509643,22565,71
5,8505043,12090,38
5,17836014,25110,79
5,8937854,12400,39
5,18900382,26365,83
5,9566583,13347,42
5,25812263,35267,111
5,18511057,25412,80
5,19150403,26368,83
5,8682057,12087,38
5,8880662,12722,40
5,9782491,13677,43
5,6441545,9226,29
5,8877044,12722,40
5,9918361,13992,44
5,5504648,7959,25
5,11298562,16210,51
5,13733923,19374,61
5,9767944,13669,43
5,12921360,18114,57
5,10158776,14300,45
5,8928136,12719,40
5,9605980,13671,43
5,15061262,20968,66
5,14701164,20655,65
5,14178649,19700,62
5,14074326,19699,62
