OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4490,210897
k,time,count,disk
5,22578450,30487,96
5,23341496,33033,104
5,25070115,35573,112
5,25345927,36207,114
5,13692530,19696,62
5,5672254,8272,26
5,25091200,36207,114
5,6393164,9223,29
5,7059105,10490,33
5,7464516,11122,35
5,5177785,7956,25
5,5231148,8586,27
5,7190035,11122,35
5,17145752,25093,79
5,5544782,8270,26
5,5208193,8270,26
5,5100422,8589,27
5,5093531,8270,26
5,4576745,7636,24
5,8601943,13348,42
5,5248896,7952,25
5,5708579,9218,29
5,23852190,34941,110
5,17320647,25093,79
5,5333749,7956,25
5,5314138,8590,27
5,4983657,8272,26
5,4946542,8272,26
5,20817811,30486,96
5,6448738,9540,30
5,5357483,8586,27
5,5038495,8272,26
5,5305590,8586,27
5,5904411,9540,30
5,5006628,8270,26
5,26062289,37476,118
5,5822311,8272,26
5,20403741,29867,94
5,25959297,35898,113
5,18344601,26052,82
5,11169965,16519,52
5,11473014,16843,53
5,13719426,19691,62
5,24403780,34309,108
5,8771695,12394,39
5,24474576,34945,110
5,21328717,29851,94
5,5873966,8269,26
5,4413142,7319,23
5,26428955,36843,116
5,5944892,8272,26
5,9426432,14298,45
5,7752809,11121,35
5,6486528,9543,30
5,14507859,20654,65
5,24903431,34946,110
5,27081669,37474,118
5,26113014,36527,115
5,13104269,18121,57
5,24095544,33678,106
5,22887204,32086,101
5,16874114,23505,74
5,26621775,37478,118
5,25816039,35897,113
5,7108149,9861,31
5,20437326,28902,91
5,22257880,30815,97
5,15293370,21599,68
5,16605832,23186,73
5,25939441,36208,114
5,22334886,31128,98
5,6991172,9861,31
5,13752069,19709,62
5,9555025,13348,42
5,7580586,10812,34
5,25072256,35575,112
5,27097601,36841,116
5,7750209,10496,33
5,13391062,19062,60
5,6710655,9224,29
5,6192485,9222,29
5,26174018,36848,116
5,24280704,33983,107
5,26471414,36847,116
5,25585955,35889,113
5,25933757,36207,114
5,24610346,34311,108
5,26793543,37475,118
5,14540619,20335,64
5,12546677,17474,55
5,26433517,36844,116
5,21478537,30185,95
5,19486552,27320,86
5,16122117,22248,70
5,26686633,37162,117
5,16441938,22886,72
5,15721457,21923,69
5,14735253,20964,66
5,9674846,13664,43
5,14204635,20334,64
5,13362014,19062,60
5,13320270,18754,59
5,23980776,33673,106
5,16593530,23193,73
5,25652976,36206,114
5,19962359,27956,88
5,11215392,15887,50
5,26107994,36206,114
5,26133056,36206,114
5,9307264,13030,41
5,10349173,14930,47
5,13680852,19690,62
5,14860135,21297,67
5,9536078,13663,43
5,13608444,19379,61
5,12843078,18109,57
5,26240173,36208,114
5,17268134,24136,76
5,24209277,33985,107
5,13636036,19063,60
5,9230374,13030,41
5,20370406,28597,90
5,26426384,36844,116
5,23883305,33037,104
5,22321149,30819,97
5,26013064,36206,114
5,19300253,26695,84
5,7356100,10490,33
5,5597531,7952,25
5,13203217,18743,59
5,11128727,15883,50
5,24767119,34938,110
5,5977141,8272,26
5,25828941,35575,112
5,5502124,7636,24
5,24186037,33668,106
5,5977568,8272,26
5,5678110,8272,26
5,5554511,8589,27
5,5429662,8272,26
5,5300812,8586,27
5,5445145,8589,27
5,5201205,7952,25
5,5362793,8272,26
5,26301324,36841,116
5,16516778,23182,73
5,25912192,36207,114
5,25611603,35573,112
5,5722291,7952,25
5,5293593,8272,26
5,23427519,33038,104
5,27704248,38432,121
5,25222947,35257,111
5,6018924,8272,26
5,5004012,8589,27
5,25285418,35887,113
5,24366446,33985,107
5,6220133,8589,27
5,5851962,8586,27
5,21857060,30487,96
5,21716358,30499,96
5,6159455,8586,27
5,5677804,8273,26
5,5472091,8272,26
5,5059433,7636,24
5,25796158,36530,115
5,20243102,28594,90
5,5907832,8270,26
5,5491893,8270,26
5,26392451,36843,116
5,27004257,36209,114
5,22043663,30487,96
5,5885434,8273,26
5,6016207,9223,29
5,26038130,35894,113
5,6856640,9540,30
5,24044909,33675,106
5,5997348,8272,26
5,21732755,30182,95
5,6378547,8903,28
5,24554758,34941,110
5,8890935,12394,39
5,22625748,31759,100
5,24294295,33672,106
5,23877722,33358,105
5,23006079,31767,100
5,24671084,34302,108
5,6615873,9223,29
5,25385977,35260,111
5,20232548,27949,88
5,14492530,20012,63
5,26036860,36206,114
5,18883630,26061,82
5,6155780,8272,26
5,11882113,16840,53
5,11195288,15901,50
5,21098597,29545,93
5,19624234,27646,87
5,28484548,39380,124
5,21329772,29228,92
5,24242500,33356,105
5,6901930,9223,29
5,5998030,8905,28
5,5516821,8586,27
5,6681290,9861,31
5,23658854,33042,104
5,11017341,15570,49
5,6528912,9222,29
5,14345505,20655,65
5,20217715,28279,89
5,9649227,13349,42
5,23710099,33037,104
5,20665197,28592,90
5,13703686,19379,61
5,9491346,13349,42
5,19739417,27954,88
5,25268605,34945,110
5,22751558,31451,99
5,24105032,33038,104
5,25008427,34618,109
5,8691762,12078,38
5,22313910,31131,98
5,22110557,30812,97
5,11840316,16519,52
5,15848027,22234,70
5,22004627,30487,96
5,8900530,12399,39
5,11523108,15905,50
5,8280550,12078,38
5,26995282,37483,118
5,19349810,26681,84
5,23978170,33354,105
5,10931635,15251,48
5,20317378,28589,90
5,17503432,24141,76
5,15253787,21294,67
5,25804235,35575,112
5,17369280,24140,76
5,17030983,23505,74
5,11529670,16207,51
5,8988985,12714,40
5,8939962,13032,41
5,23938515,33037,104
5,25317212,34946,110
5,11192984,15571,49
5,17064208,24140,76
5,23148184,32083,101
5,20129964,27956,88
5,24867014,34946,110
5,7612944,10496,33
5,23819580,33675,106
5,18495594,25734,81
5,25213363,34936,110
5,28099939,38432,121
5,19653432,27014,85
5,8643253,12078,38
5,8276124,11759,37
5,7090827,10169,32
5,29683543,40015,126
5,6518740,8904,28
5,26133533,36213,114
5,10976545,15255,48
5,19085764,26369,83
5,18974696,26056,82
5,9439722,13349,42
5,8760153,12399,39
5,16963577,24140,76
5,18011155,25092,79
5,9599816,13348,42
5,24769359,34628,109
5,25555599,35262,111
5,18112327,24472,77
5,14146065,19698,62
5,21398292,29546,93
5,14792279,20338,64
5,21488823,29869,94
5,24283571,33354,105
5,24742723,33992,107
5,23468276,32085,101
5,9372648,13031,41
5,14472403,20340,64
5,23004834,31770,100
5,20448358,28269,89
5,21609349,29545,93
5,17851688,24782,78
5,24003488,33352,105
5,24871151,33994,107
5,11096974,15251,48
5,6122420,8589,27
5,21970259,30487,96
5,18568446,25411,80
5,29755310,40331,127
5,6065161,8272,26
5,22422426,31125,98
5,10787760,14937,47
5,8097501,11443,36
5,8661015,12716,40
5,10277665,14617,46
5,16254057,22871,72
5,12565469,17477,55
5,26091729,35891,113
5,10665017,14619,46
5,22756394,31773,100
5,25565109,35261,111
5,20447262,27962,88
5,23106452,31764,100
5,9378820,13033,41
5,21521498,29554,93
5,21330269,29228,92
5,14806517,20663,65
5,15221932,21282,67
5,6134457,8586,27
5,7033074,10173,32
5,25610853,35574,112
5,5819109,7952,25
5,8910963,12717,40
5,21052482,29554,93
5,24320014,33354,105
5,7158246,9540,30
5,24037443,33355,105
5,27051904,36842,116
5,6212677,8270,26
5,5491653,7952,25
5,26023764,35575,112
5,18275820,25094,79
5,6017487,8270,26
5,22752807,31452,99
5,5643962,7952,25
5,25806741,35262,111
5,6306440,8587,27
5,25562274,35262,111
5,15381539,21283,67
5,27768904,37799,119
5,24438660,33363,105
5,27512296,37476,118
5,29302431,39389,124
5,26229070,36205,114
5,12833181,17487,55
5,25951120,35578,112
5,18656241,25737,81
5,24778980,33682,106
5,19857187,27324,86
5,23553590,32398,102
5,8030427,11126,35
5,11716707,15571,49
5,22268158,30493,96
5,19471684,26683,84
5,14129868,19708,62
5,9547764,13341,42
5,29551627,40339,127
5,19322368,26684,84
5,17659435,24465,77
5,8135037,11445,36
5,7295143,10496,33
5,6462310,9222,29
5,14028287,19709,62
5,7386487,9861,31
5,9838552,13975,44
5,25818709,35581,112
5,20927380,28914,91
5,7861214,10809,34
5,7430770,10496,33
5,24281699,33674,106
5,12071030,16519,52
5,8133581,11763,37
5,24813557,34308,108
5,28384975,38749,122
5,20005700,27315,86
5,12105801,16848,53
5,9014002,12716,40
5,7560598,10812,34
5,7233543,10495,33
5,15298502,21597,68
5,11456718,15887,50
5,24738187,33673,106
5,21025531,28910,91
5,24282922,33357,105
5,26326356,36209,114
5,19702462,27320,86
5,8924171,12078,38
5,18994144,26378,83
5,23522486,32086,101
5,18096714,24782,78
5,14474873,20011,63
5,21566274,29867,94
5,20985732,28279,89
5,16943815,23506,74
5,17166321,23517,74
5,9351071,13032,41
5,7020881,9861,31
5,14594665,20659,65
5,24832671,34311,108
5,13923776,19060,60
5,7332838,10178,32
5,16416742,23198,73
5,8872358,12399,39
5,14687375,20329,64
5,22825365,31772,100
5,8938457,12399,39
5,16642945,23506,74
5,14641082,20023,63
5,7524614,10495,33
5,15817736,22245,70
5,16227579,22559,71
5,13591779,18749,59
5,9211928,13032,41
5,15644471,21614,68
5,6573756,9222,29
5,6138401,9222,29
5,19002949,26366,83
5,25954421,35888,113
5,8148945,11124,35
5,18348626,25724,81
5,7748772,10485,33
5,14879827,20962,66
5,18984285,26359,83
5,25040789,34618,109
5,7701575,10488,33
5,8466494,12077,38
5,22729551,31773,100
5,6717394,9221,29
5,6471797,9221,29
5,12970653,18432,58
5,8561166,12078,38
5,9810455,13981,44
5,17024747,23511,74
5,14063377,19387,61
5,22030297,30180,95
5,19278310,26685,84
5,26782038,36211,114
5,22778446,31133,98
5,15634781,21609,68
5,24064150,33037,104
5,26230025,35891,113
5,20924058,28590,90
5,25981667,35891,113
5,16159743,21923,69
5,25539684,35262,111
5,15835439,21930,69
5,25356228,33666,106
5,24586889,33351,105
5,24335254,33351,105
5,19264062,26369,83
5,21145640,28916,91
5,26281330,35575,112
5,19622390,27003,85
5,21468681,29534,93
5,18964836,26055,82
5,25824431,35260,111
5,23264982,31770,100
5,18414156,25419,80
5,25860073,35573,112
5,22519190,30174,95
5,23615528,32726,103
5,21772773,29851,94
5,19593878,26682,84
5,25959594,35263,111
5,22310995,30498,96
5,26164476,35579,112
5,22387240,30486,96
5,14965992,20328,64
5,9977973,14311,45
5,21078701,29539,93
5,24744393,34623,109
