OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,4490,469426
k,time,count,disk
5,14233462,19384,61
5,7654162,11139,35
5,14568434,21926,69
5,11019328,16216,51
5,9043626,13358,42
5,6854239,10186,32
5,14586748,22243,70
5,6579868,9550,30
5,5857312,9234,29
5,6438674,10184,32
5,6764339,10186,32
5,6371665,9866,31
5,6799331,11456,36
5,7602663,11457,36
5,6360905,9867,31
5,5709013,9236,29
5,7068658,11138,35
5,7797102,12090,38
5,6496168,10185,32
5,8940071,13675,43
5,5928723,9236,29
5,7756009,11770,37
5,6470159,9535,30
5,6748936,10184,32
5,6914996,10503,33
5,7032567,11138,35
5,6629726,10503,33
5,6788778,10503,33
5,7436808,11455,36
5,6167230,9869,31
5,6136087,9550,30
5,7571140,12090,38
5,6433364,9867,31
5,8256017,12724,40
5,5151105,8281,26
5,19656411,29236,92
5,6958355,10186,32
5,10090176,14939,47
5,12509999,18108,57
5,6690137,9865,31
5,7127214,10819,34
5,14660378,21932,69
5,8156555,11769,37
5,16254640,23828,75
5,7140462,10184,32
5,6360402,9220,29
5,5902417,9536,30
5,5581305,8283,26
5,4690750,7649,24
5,17605754,25741,81
5,6968747,10185,32
5,11506739,17169,54
5,6575205,9550,30
5,8291366,12094,38
5,9469825,14302,45
5,10204434,14936,47
5,16812626,24476,77
5,19270553,27638,87
5,8078084,11444,36
5,11169188,16843,53
5,10875386,15896,50
5,9767078,14305,45
5,20848493,30177,95
5,17439038,24789,78
5,5807507,8273,26
5,13935966,20652,65
5,12663620,18432,58
5,6808399,9867,31
5,14722657,21606,68
5,12563810,18118,57
5,8114778,11772,37
5,6082713,8909,28
5,7085047,10494,33
5,7997927,12080,38
5,6517902,9860,31
5,19541278,28590,90
5,18629441,26061,82
5,6118934,8591,27
5,8357896,12719,40
5,6846783,10189,32
5,6248142,9224,29
5,12671834,18426,58
5,20063254,28909,91
5,16651095,23523,74
5,17373927,24789,78
5,19493035,27964,88
5,14387063,20653,65
5,20842179,29859,94
5,8210484,11771,37
5,11566709,16849,53
5,17821527,25741,81
5,10017020,14308,45
5,9905815,14624,46
5,6652719,9538,30
5,19051827,27646,87
5,8055602,11761,37
5,9464768,13983,44
5,12878203,18446,58
5,7068020,10491,33
5,4988182,7631,24
5,8617627,12721,40
5,8032451,11761,37
5,6345202,9217,29
5,7141025,10811,34
5,17165679,24791,78
5,9524468,13674,43
5,9423503,13674,43
5,17872362,25731,81
5,19564185,27322,86
5,8731396,12406,39
5,6810606,10184,32
5,7247080,10817,34
5,5911502,9232,29
