OMNIKDTREE,EUCLIDEAN,PCA,2,4490,107677
k,time,count,disk
5,25113308,33673,106
5,7270334,10184,32
5,21841705,31452,99
5,10490322,14941,47
5,27283373,38442,121
5,8164225,11452,36
5,24069028,33994,107
5,9142894,12720,40
5,6309555,9234,29
5,9627246,14310,45
5,9006920,13041,41
5,9835582,14313,45
5,11778530,16529,52
5,7986685,11452,36
5,9702909,14306,45
5,9259414,13358,42
5,9386567,13677,43
5,9860809,14308,45
5,8544809,12725,40
5,20828301,29552,93
5,8799808,12405,39
5,9346635,13365,42
5,15091423,21605,68
5,6715702,9550,30
5,7383270,10820,34
5,7949376,11771,37
5,8454243,12409,39
5,8484696,12406,39
5,8818972,12724,40
5,7336392,10501,33
5,8234073,12088,38
5,10047241,14624,46
5,8740271,12720,40
5,13695954,20024,63
5,8556785,12088,38
5,28463303,39705,125
5,7737992,10815,34
5,11041787,15882,50
5,15291532,21595,68
5,9148923,13039,41
5,6930097,9866,31
5,21341644,30184,95
5,7116519,9866,31
5,13036768,18742,59
5,10644294,14947,47
5,13434117,19379,61
5,8291592,11755,37
5,5852286,8282,26
5,5295219,7648,24
5,21517512,30491,96
5,9152350,12725,40
5,10353056,14626,46
5,6338365,8917,28
5,10942234,15576,49
5,13077587,19069,60
5,20776880,29227,92
5,25105540,34623,109
5,26782508,36847,116
5,9094098,13041,41
5,10481736,14929,47
5,9504217,13673,43
5,14581628,20656,65
5,24309832,34299,108
5,23405088,32080,101
5,9855108,13684,43
5,16065569,22867,72
5,12286106,17473,55
5,6626092,9550,30
5,23303911,32725,103
5,12448719,17479,55
5,7878812,11135,35
5,10070507,14000,44
5,11833513,17164,54
5,12504458,17484,55
5,10269223,14636,46
5,26092046,36522,115
5,21858236,30176,95
5,8457988,11453,36
5,13349613,18759,59
5,6348409,8917,28
5,9874035,14000,44
5,22564765,31441,99
5,21512747,29851,94
5,18762651,26056,82
5,17143775,23830,75
5,25880003,35261,111
5,23649907,32721,103
5,27571836,37794,119
5,8756173,12088,38
5,10618182,14944,47
5,21358499,29859,94
5,9099015,12405,39
5,13698316,19706,62
5,10724951,15268,48
5,28194470,39068,123
5,11207197,15587,49
5,13084815,18437,58
5,12925874,18114,57
5,7198810,10173,32
5,8582845,12706,40
5,13733159,19072,60
5,9987014,14307,45
5,16000344,22558,71
5,11031617,15581,49
5,25817992,35577,112
5,10329840,14307,45
5,13731550,19391,61
5,23796971,32715,103
5,26238951,36211,114
5,11321084,15580,49
5,5912334,8278,26
5,6626306,9866,31
5,7557277,11136,35
5,11257166,15892,50
5,5360189,7648,24
5,21568164,30181,95
5,24291174,33361,105
5,22091755,30500,96
5,20108419,27958,88
5,8487902,11455,36
5,8960943,12721,40
5,17812626,24462,77
5,25291881,34939,110
5,17353107,24147,76
5,15348137,21290,67
5,23206334,32397,102
5,17349676,24147,76
5,6637355,9234,29
5,8625087,12086,38
5,8032220,11452,36
5,6254484,9234,29
5,15974329,22231,70
5,9795491,13673,43
5,19184477,26682,84
5,8229714,11452,36
5,13816739,19388,61
5,7604074,10500,33
5,8888838,12725,40
