OMNIKDTREE,EUCLIDEAN,RANDOM,2,4490,70812
k,time,count,disk
5,14739973,20336,64
5,8376907,13360,42
5,25890785,37170,117
5,22344760,31454,99
5,13988995,20023,63
5,7003363,10180,32
5,26476334,37802,119
5,10126579,14629,46
5,7445193,10819,34
5,9989897,14631,46
5,6723505,10179,32
5,8665432,13045,41
5,12249827,18123,57
5,12261447,17805,56
5,9810155,14948,47
5,8080063,12084,38
5,8042441,12083,38
5,8541751,13035,41
5,7067403,10815,34
5,18219098,26693,84
5,9138720,13361,42
5,7711478,11459,36
5,12707644,18732,59
5,10159808,14631,46
5,6835291,10180,32
5,7864938,12083,38
5,6280686,9544,30
5,7476278,11449,36
5,12010304,18123,57
5,7195989,10502,33
5,8349386,12722,40
5,8435497,13035,41
5,9480977,14629,46
5,12533039,18120,57
5,8138489,12405,39
5,26628474,38757,122
5,6235776,8908,28
5,9419603,13985,44
5,16251156,23819,75
5,9053700,13036,41
5,7018014,10821,34
5,21677653,30503,96
5,7875744,11132,35
5,14585641,20966,66
5,9037535,13360,42
5,15517279,22877,72
5,18425924,26364,83
5,6767729,9551,30
5,5244032,7649,24
5,16941700,24782,78
5,6555137,9544,30
5,10545480,15259,48
5,6418708,9234,29
5,9557449,14307,45
5,10268634,14938,47
5,9068058,13349,42
5,13884089,20021,63
5,21862763,30491,96
5,8510457,12390,39
5,10842074,15887,50
5,12155970,17487,55
5,11447098,16528,52
5,24297603,33677,106
5,15137920,21601,68
5,8519223,12097,38
5,9990332,14611,46
5,9772884,14619,46
5,7298577,10502,33
5,12445318,18113,57
5,24894616,35266,111
5,10085975,13996,44
5,8660548,12414,39
5,11321284,16536,52
5,11961393,17170,54
5,9624055,13679,43
5,21036873,30495,96
5,25994134,36215,114
5,8879528,12414,39
5,10694939,15265,48
5,6231723,8916,28
5,8620013,12413,39
5,15027579,21592,68
5,25364824,35892,113
5,25300713,34948,110
5,23877332,33037,104
5,24982964,34930,110
5,15333668,21597,68
5,22130772,30819,97
5,10490189,14620,46
5,12105805,17170,54
5,25683978,35264,111
5,12442425,17489,55
5,12841454,18120,57
5,10728321,15250,48
5,15705739,22246,70
5,10095950,14299,45
5,9332932,13987,44
5,11835035,16536,52
5,9088293,13042,41
5,12606950,17793,56
5,11463271,16219,51
5,9354189,13036,41
5,18495736,26048,82
5,12942555,18103,57
5,23889892,33358,105
5,10588668,14939,47
5,13065669,18122,57
5,23293539,32393,102
5,25976384,35892,113
5,11662042,16211,51
5,7236031,10496,33
5,8152351,11768,37
5,7983880,11771,37
5,13610984,19073,60
5,5359488,7649,24
5,19213226,27010,85
5,14683363,20967,66
5,19749744,27644,87
5,20369942,28589,90
5,9531042,13352,42
5,11206802,15893,50
5,17293408,24148,76
5,18470481,26050,82
5,14674705,20973,66
5,15125952,21607,68
5,9780077,13981,44
5,11447768,16525,52
5,9813822,13997,44
5,7979402,11135,35
5,12294701,17482,55
5,8927583,12723,40
5,16288953,23182,73
5,7995598,11132,35
5,12283584,17792,56
5,7508054,10501,33
5,14577269,20984,66
5,6391458,8908,28
5,5801223,8908,28
5,9003928,13044,41
5,7447744,11135,35
5,9211507,13042,41
5,8823961,12728,40
5,7712752,11135,35
5,8415446,12083,38
5,23221960,32393,102
5,9916236,13675,43
5,21959598,30483,96
5,25326107,34945,110
5,7968686,11133,35
5,6675141,9544,30
5,15720595,22239,70
5,17491782,24474,77
5,18502678,25734,81
5,8656450,12408,39
5,9086206,12724,40
5,14776653,20979,66
5,19796011,27634,87
5,9141957,12406,39
5,12133357,17170,54
5,21878425,30805,97
5,12136673,16854,53
5,8947968,12728,40
5,7216356,10497,33
5,7332567,10497,33
5,7471173,11142,35
5,15126038,21281,67
5,14409622,20335,64
5,10210572,14311,45
5,9332463,13357,42
5,22676498,31124,98
5,18899868,26037,82
5,16005397,22548,71
5,8621892,11767,37
5,9953375,14308,45
5,8568690,12394,39
5,13026243,18435,58
5,14208899,20018,63
5,7785029,11132,35
5,20154491,28271,89
5,12092419,16854,53
5,21206433,29549,93
5,18625659,25743,81
5,12014229,16833,53
5,16273481,22877,72
5,21918160,30500,96
5,20273547,28269,89
5,10908441,15564,49
5,10602077,14946,47
5,21329874,29860,94
5,12151901,17149,54
5,7109686,9858,31
5,7723166,11438,36
5,5747060,8265,26
5,8364227,12083,38
5,13519795,19702,62
5,7823142,11122,35
5,5724853,8584,27
5,10739087,15886,50
5,28490228,39072,123
5,6652393,9220,29
5,6721306,9856,31
5,11292371,16219,51
5,10031825,14312,45
5,10389500,14948,47
5,8543546,12097,38
5,12243720,17170,54
5,10509265,14623,46
5,8450181,12097,38
5,15283664,21621,68
5,14450515,20339,64
5,12705703,18121,57
5,15983911,22241,70
5,12457335,17482,55
5,8799578,12393,39
5,11009694,15261,48
5,13769264,19385,61
5,20288414,28272,89
5,18656059,26045,82
5,19437039,27311,86
5,19593276,27318,86
5,9687124,13679,43
5,15003353,20972,66
5,18628871,26056,82
5,13218608,18438,58
5,13041797,17802,56
5,21841370,30811,97
5,9836011,13678,43
5,9846783,13992,44
5,10754512,15266,48
5,23353673,32722,103
5,23330013,32076,101
5,18800150,25740,81
5,12596589,17804,56
5,19159832,26682,84
5,11112293,15574,49
5,8338906,11771,37
5,20128857,27634,87
5,13167451,18435,58
5,12267257,17168,54
5,12728207,17805,56
5,9322507,13046,41
5,8672700,12719,40
5,19561286,27322,86
5,19299309,27002,85
5,9656312,13044,41
5,11879053,16839,53
5,15700326,21932,69
5,10226146,14303,45
5,17126307,24463,77
5,8610724,12097,38
5,20561385,28912,91
5,23857028,33039,104
5,14647365,20350,64
5,23900492,32725,103
5,6858898,9551,30
5,9647433,13679,43
5,10082241,14307,45
5,8412553,12091,38
5,5838591,7967,25
5,4821897,7967,25
5,16429935,22863,72
5,5517268,7649,24
5,17225990,24152,76
5,13029964,18113,57
5,12248263,17172,54
5,8397394,11768,37
5,13248857,18435,58
5,13137016,18439,58
5,12670549,17806,56
5,18836808,26054,82
5,20703766,28596,90
5,10394081,14623,46
5,12936326,17799,56
5,15866369,22240,70
5,10344869,14630,46
5,16099813,22566,71
5,21316809,29856,94
5,20758148,28596,90
5,18657941,25731,81
5,12389083,17170,54
5,8583790,12083,38
5,17888775,25091,79
5,17125503,23831,75
5,15877365,21923,69
5,13304807,18430,58
5,19492296,26687,84
5,18751197,26051,82
5,10107968,13999,44
5,9433299,13360,42
5,22109278,31134,98
5,15452108,21290,67
5,22729112,31137,98
5,6547312,8908,28
5,18924352,26691,84
5,11019756,15267,48
5,10071290,14308,45
5,9580741,13353,42
5,12388496,17487,55
5,9292300,13350,42
5,7035022,10170,32
5,20142795,28587,90
5,12249651,17162,54
5,19661045,27958,88
5,20291690,27953,88
5,15600481,21923,69
5,19086516,26363,83
5,10652741,14942,47
5,19188099,26697,84
5,15189722,21284,67
5,8155009,11452,36
5,9359205,13351,42
5,9366990,13360,42
5,12421266,17164,54
5,19378823,26684,84
5,8656533,12092,38
5,13212768,18758,59
5,15074433,20975,66
5,18107829,25093,79
5,9740398,13679,43
5,16915104,23827,75
5,23610749,32408,102
5,8531114,11772,37
5,8266274,12084,38
5,21544607,29864,94
5,14129488,19393,61
5,10870426,15263,48
5,16034513,22558,71
5,10255593,14313,45
5,17210652,23830,75
5,7049235,9867,31
5,15723552,22243,70
5,14342179,20025,63
5,28109310,38441,121
5,12431270,17170,54
5,21089471,29219,92
5,22987488,31772,100
5,21035941,28592,90
5,8165087,11450,36
5,26093537,35894,113
5,24041727,33039,104
5,14940134,20346,64
5,17186623,23838,75
5,14910581,20655,65
5,9269418,13044,41
5,9193615,12725,40
5,16225356,22866,72
5,14612526,20021,63
5,11129594,15575,49
5,6555528,9235,29
5,15257065,21298,67
5,10026118,13996,44
5,13291563,18434,58
5,9156805,13048,41
5,7850983,11134,35
5,6752343,9552,30
5,6391811,9234,29
5,8577088,12413,39
5,6558139,9235,29
5,18187997,25743,81
5,15758153,21931,69
5,6755003,9552,30
5,6737124,9552,30
5,19561193,27334,86
5,8343972,11456,36
5,9135917,13048,41
5,16562590,22886,72
5,22929104,31753,100
5,15483795,21295,67
5,10472192,14627,46
5,7918281,11136,35
5,9256751,13045,41
5,8750518,12097,38
5,9551521,13363,42
5,12987430,18121,57
5,10521942,14626,46
5,14300126,20021,63
5,18367111,25104,79
5,21277691,29217,92
5,16853402,23200,73
5,10596341,14625,46
5,15686773,21933,69
5,14453578,19696,62
5,13306789,18435,58
5,9832251,13679,43
5,15805521,21932,69
5,14488367,20018,63
5,12230127,16849,53
5,11054174,15574,49
5,11215828,15583,49
5,8528614,12097,38
5,12252539,17168,54
5,18799067,25733,81
5,9241893,12393,39
5,8904578,12413,39
5,12761843,17791,56
5,7641043,10500,33
5,9527292,13679,43
5,17277634,23834,75
5,10522537,14632,46
5,12035595,16528,52
5,12917744,17806,56
5,8736556,12097,38
5,10506017,14623,46
5,11626189,16217,51
5,8850356,12399,39
5,11702479,16222,51
5,7898712,10817,34
5,8913479,12413,39
5,6760410,9552,30
5,14156766,19701,62
