OMNIKDTREE,EUCLIDEAN,SELECTION,2,4490,131112
k,time,count,disk
5,14342558,19701,62
5,6872409,11456,36
5,12927446,22560,71
5,9843852,17485,55
5,8403710,13677,43
5,6263106,10502,33
5,14657879,22877,72
5,6602314,9866,31
5,5911187,9235,29
5,6763770,11141,35
5,6651245,10503,33
5,6105490,9548,30
5,7754936,12408,39
5,7091769,11774,37
5,6117483,9867,31
5,5536839,9236,29
5,7359493,11454,36
5,6898132,11454,36
5,6771619,10819,34
5,10089664,15901,50
5,6027402,9235,29
5,6937763,11136,35
5,6382687,9535,30
5,7259220,11141,35
5,6852849,10502,33
5,6450520,11137,35
5,6466227,10502,33
5,6546167,10819,34
5,8160745,12724,40
5,6421518,9869,31
5,5521791,9232,29
5,7310342,11454,36
5,6268515,10183,32
5,7573221,12089,38
5,5539628,9233,29
5,19596050,29552,93
5,5762750,8278,26
5,10161238,15258,48
5,11948109,17790,56
5,6865827,10182,32
5,6441342,10503,33
5,15521070,22881,72
5,7451520,11135,35
5,15721549,23194,73
5,7502244,11141,35
5,6094419,9220,29
5,6049966,9536,30
5,6108182,9235,29
5,4580027,7649,24
5,18059493,27014,85
5,7251314,10503,33
5,11044865,17169,54
5,6275643,9549,30
5,8152058,12405,39
5,9520615,14302,45
5,10073509,14936,47
5,16552578,24476,77
5,20065164,29543,93
5,7435576,10808,34
5,10962380,16844,53
5,10822758,16214,51
5,9472038,13988,44
5,20265013,30176,95
5,17143513,25107,79
5,6448878,9232,29
5,13370568,20336,64
5,12927161,18750,59
5,7064225,10824,34
5,14638492,21606,68
5,13288070,19391,61
5,9784197,14314,45
5,5870826,8912,28
5,7095408,10818,34
5,8050621,12402,39
5,6463619,9866,31
5,20158613,29542,93
5,17682604,25744,81
5,6176592,8912,28
5,8413409,13677,43
5,6170864,9232,29
5,6143864,9232,29
5,12453730,18107,57
5,19939783,28910,91
5,17265313,25110,79
5,17190154,24791,78
5,19986901,28916,91
5,14374655,20970,66
5,20834357,29859,94
5,7940578,11772,37
5,11950264,17803,56
5,18517847,27015,85
5,11209546,15898,50
5,10116080,15259,48
5,6622356,9854,31
5,18837205,27646,87
5,8528459,12079,38
5,8995727,13983,44
5,10701635,15892,50
5,6752059,9861,31
5,5471330,8583,27
5,8596451,13039,41
5,8191480,12079,38
5,5959722,9221,29
5,6589494,10175,32
5,17106610,25109,79
5,9289086,13674,43
5,7749223,11770,37
5,17102975,25097,79
5,19058671,27322,86
5,8698139,12406,39
5,7023593,10502,33
5,6831854,11135,35
5,6578678,9232,29
5,9267188,13989,44
5,5045909,7648,24
5,13940331,20346,64
5,13671493,20023,63
5,16196572,23833,75
5,12911303,18433,58
5,6956825,10503,33
5,10432793,15896,50
5,6506699,9535,30
5,19425104,28276,89
5,8513870,12079,38
5,7713738,11760,37
5,9341462,14298,45
5,9061828,13664,43
5,6017198,9235,29
5,6967190,10504,33
5,7708653,11457,36
5,5842136,9551,30
5,17008705,24781,78
5,7398595,10819,34
5,16867939,24785,78
5,6836615,10185,32
5,13609865,20350,64
5,5818944,8595,27
5,6883573,10819,34
5,6118541,9865,31
5,6649461,10503,33
5,6231193,9548,30
5,5967992,9865,31
5,6977879,11138,35
5,6996475,11138,35
5,17894808,26697,84
5,7620482,10819,34
5,18610928,27327,86
5,16472071,23524,74
5,7710215,11138,35
5,6499906,10186,32
5,13327294,19711,62
5,12690170,18436,58
5,15613861,22887,72
5,7524114,11138,35
5,7451294,11138,35
5,11206984,17483,55
5,13126287,19066,60
5,6140218,9232,29
5,6687990,10500,33
5,16295651,24159,76
5,8668766,12725,40
5,6190991,9231,29
5,7185338,10819,34
5,6774307,10819,34
5,5903074,9546,30
5,17550064,25732,81
