OMNIKDTREE,EUCLIDEAN,CONVEX,4,4490,64640
k,time,count,disk
5,26941383,36520,115
5,27835763,39376,124
5,28693627,40637,128
5,29512566,40636,128
5,29140886,40630,128
5,23673661,33022,104
5,29303378,40637,128
5,24348100,34290,108
5,24686407,34620,109
5,27860984,39051,123
5,24664070,34927,110
5,25107518,35245,111
5,28119585,39685,125
5,28948955,40010,126
5,24938447,34925,110
5,23577104,33339,105
5,25730598,36196,114
5,25694008,36196,114
5,24807274,34927,110
5,29078409,40631,128
5,23625263,33339,105
5,25285733,35880,113
5,29208316,40638,128
5,28432411,39376,124
5,23886293,33656,106
5,24234657,34290,108
5,23353611,33021,104
5,24796012,34927,110
5,29118196,40326,127
5,27431495,38732,122
5,23863611,33656,106
5,25444973,35561,112
5,23931303,33656,106
5,27385562,38734,122
5,23589430,33339,105
5,29229728,40636,128
5,24481595,33976,107
5,28087376,39377,124
5,28138148,39377,124
5,28600141,40013,126
5,26673072,37793,119
5,27344507,38104,120
5,27220206,38746,122
5,28339751,39693,125
5,29266514,40630,128
5,28726979,40010,126
5,27725740,38740,122
5,23890449,33974,107
5,22714280,32072,101
5,28993628,40637,128
5,25129214,34927,110
5,28294289,40013,126
5,24233982,34301,108
5,25892463,36512,115
5,28420948,39377,124
5,28766416,40006,126
5,29010108,40637,128
5,29628661,40636,128
5,25507573,35563,112
5,27654742,38743,122
5,29051921,40006,126
5,28349547,39691,125
5,29103475,40641,128
5,29160311,40636,128
5,23818968,33347,105
5,28621629,40325,127
5,28307481,39373,124
5,27637947,37786,119
5,25110880,34931,110
5,29482645,40636,128
5,29388644,40323,127
5,23590683,33347,105
5,27408417,38104,120
5,25847672,36202,114
5,23557924,33347,105
5,29188872,40638,128
5,29360069,40636,128
5,24142765,33347,105
5,26869630,37793,119
5,23275672,33033,104
5,23516395,32713,103
5,29297095,40636,128
5,29234266,40639,128
5,29445851,40636,128
5,29569859,40636,128
5,29448069,40637,128
5,29190161,40635,128
5,29146721,40637,128
5,27091834,37476,118
5,28451754,40013,126
5,29673629,40633,128
5,28117750,39058,123
5,28615261,39687,125
5,27010707,37466,118
5,29153122,40636,128
5,26334489,36201,114
5,26020639,36203,114
5,26060343,36839,116
5,27038534,37470,118
5,27929098,38741,122
5,27611430,38426,121
5,26285358,36203,114
5,29337274,40638,128
5,28291160,39373,124
5,29321822,40639,128
5,28394464,39373,124
5,25868419,36204,114
5,29327258,40637,128
5,29373744,40633,128
5,28253310,39696,125
5,24036831,33986,107
5,27468566,38746,122
5,27920753,39060,123
5,25207287,35253,111
5,24988040,34620,109
5,27242975,38106,120
5,29695639,40636,128
5,28017512,39055,123
5,29352890,40633,128
5,26685610,37476,118
5,26711766,37462,118
5,28948600,40326,127
5,29667585,40636,128
5,26593056,36833,116
5,25823074,35881,113
5,29195004,40323,127
5,24200582,33666,106
5,27394495,37473,118
5,24444159,34610,109
5,27768605,38426,121
5,25642492,35571,112
5,29469577,40636,128
5,24721457,34927,110
5,29511872,40637,128
5,25222283,35561,112
5,29406127,40637,128
5,22896438,32070,101
5,24876142,34927,110
5,25683623,36196,114
5,24402628,34290,108
5,25272803,35245,111
5,25513313,35879,113
5,25297326,35561,112
5,25265807,35561,112
5,29678749,40633,128
5,27786615,39062,123
5,28967993,40010,126
5,29425402,40638,128
5,25485340,35561,112
5,24905293,34927,110
5,29345538,40636,128
5,29574975,40325,127
5,29522273,40638,128
5,24449860,34290,108
5,24536456,34290,108
5,29266840,40642,128
5,29442208,40634,128
5,23925787,33656,106
5,25928084,35562,112
5,30001293,40636,128
5,28645049,40012,126
5,25668050,35245,111
5,24226449,33656,106
5,24332571,33656,106
5,25373760,35245,111
5,30116479,40636,128
5,29057915,39691,125
5,25560882,35245,111
5,25528751,34928,110
5,29877808,40633,128
5,30222421,40637,128
5,29139174,39692,125
5,24955079,34290,108
5,26375051,36196,114
5,29909354,40633,128
5,26042288,36196,114
5,28752512,39058,123
5,25693202,35561,112
5,28928695,38740,122
5,25153572,34611,109
5,29947833,40635,128
5,29880778,40635,128
5,29974202,40637,128
5,27317306,36833,116
5,29912451,40637,128
5,29917203,40322,127
5,29658060,40326,127
5,26202980,36196,114
5,30433823,40633,128
5,28566949,39056,123
5,24232925,33034,104
5,30041135,40636,128
5,24972118,34299,108
5,24478676,33656,106
5,24131688,33034,104
5,23583859,32400,102
5,28778796,39056,123
5,28980453,39375,124
5,29922511,40630,128
5,29404562,39692,125
5,29673363,40006,126
5,25455857,34925,110
5,24899856,34290,108
5,25747772,35245,111
5,24326151,33347,105
5,29333319,40008,126
5,25570205,34933,110
5,24365834,33347,105
5,27583878,37471,118
5,27518016,37471,118
5,26920021,36518,115
5,29478061,40006,126
5,29287599,39373,124
5,28502849,38422,121
5,26508444,36202,114
5,28755923,39060,123
5,29919025,40635,128
5,28096881,38103,120
5,29528933,40007,126
5,30079384,40635,128
5,25274524,33982,107
5,29432157,40321,127
5,29936676,40638,128
5,27470892,37471,118
5,29033525,39374,124
5,27960311,37469,118
5,24821131,33982,107
5,26197280,35566,112
5,25058658,33982,107
5,30032638,40636,128
5,27992300,37469,118
5,29955253,40636,128
5,27256982,37471,118
5,29571153,40325,127
5,28552478,38427,121
5,27668174,37792,119
5,29972742,40634,128
5,29112684,39060,123
5,28953199,39693,125
5,25540094,34933,110
5,24805245,33982,107
5,24676270,33982,107
5,27856806,37469,118
5,30119374,40634,128
5,27298273,37475,118
5,27594438,37794,119
5,29822760,40323,127
5,29450312,39373,124
5,30020152,40323,127
5,24351560,33347,105
5,29721033,40328,127
5,28299037,38738,122
5,29390338,40008,126
5,29691935,40325,127
5,27126666,36840,116
5,26543420,36202,114
5,25813403,35568,112
5,26503873,36521,115
5,29971653,40641,128
5,24139619,33350,105
5,29545633,40010,126
5,24593453,33984,107
5,29439197,39058,123
5,28391950,38421,121
5,26689725,36520,115
5,24670164,33982,107
5,28689299,38743,122
5,29433867,40011,126
5,26663160,36202,114
5,30007831,40640,128
5,28769396,39060,123
5,27786388,37790,119
5,28690497,39060,123
5,28845903,39055,123
5,26169087,35569,112
5,29646095,40328,127
5,29945948,40641,128
5,28385981,38743,122
5,28960662,39056,123
5,28721891,39366,124
5,27018100,36839,116
5,29065612,39374,124
5,28835865,39056,123
5,28936082,39373,124
5,29526408,40010,126
5,29389588,40010,126
5,28925648,39376,124
5,26781940,36523,115
5,26194543,36196,114
5,28901275,39373,124
5,29086530,39373,124
5,30339688,40636,128
5,24075785,33021,104
5,30278307,40638,128
5,27395769,37471,118
5,26340790,36194,114
5,24829852,33982,107
5,29533406,40635,128
5,28394302,38427,121
5,27187228,36517,115
5,30088254,40636,128
5,29869302,40630,128
5,29815808,40643,128
5,29849611,40323,127
5,28042742,38106,120
5,29268012,39690,125
5,26568628,36202,114
5,29590387,40324,127
5,27119599,36835,116
5,26996106,36841,116
5,28178176,38426,121
5,26579981,36196,114
5,26606037,36196,114
5,29815774,40326,127
5,24190868,33022,104
5,29682944,40633,128
5,29083489,39374,124
5,28948460,39056,123
5,27540832,37466,118
5,28814677,38740,122
5,30455150,40636,128
5,24011261,33022,104
5,23737626,32705,103
5,29899970,40639,128
5,28869099,39057,123
5,24205954,33339,105
5,29006659,39058,123
5,24504996,33656,106
5,29844508,40326,127
5,25208980,34291,108
5,29553894,40326,127
5,26815045,36521,115
5,29647957,40326,127
5,29670344,40325,127
5,29602791,40325,127
5,29891316,40325,127
5,29875737,40326,127
5,25736913,34928,110
5,30056596,40641,128
5,29575094,40007,126
5,29055225,39692,125
5,28743138,39057,123
5,29646738,40006,126
5,25595096,34924,110
5,26617269,36202,114
5,30462232,40640,128
