OMNIKDTREE,EUCLIDEAN,GNAT,4,4490,298837
k,time,count,disk
5,29513508,40003,126
5,27492971,40002,126
5,29163563,40631,128
5,28986902,40631,128
5,28779620,40641,128
5,25137827,35578,112
5,28907025,40632,128
5,24515882,34939,110
5,24448122,34292,108
5,28067361,40013,126
5,24148066,34305,108
5,25962975,36845,116
5,27032824,38429,121
5,28265763,40002,126
5,26180297,36845,116
5,24284084,34623,109
5,25836338,36844,116
5,26705859,37796,119
5,25189082,35893,113
5,28631925,40642,128
5,23618789,33987,107
5,25304111,35886,113
5,28697353,40320,127
5,28203641,39685,125
5,24158386,34303,108
5,25070210,35570,112
5,24699771,35260,111
5,25881655,36844,116
5,29010499,40631,128
5,25274293,36206,114
5,24512205,34939,110
5,25727729,36844,116
5,24791022,35571,112
5,27808271,39381,124
5,24130336,34622,109
5,29073404,40630,128
5,24083256,34305,108
5,28473673,40001,126
5,27841607,38747,122
5,26947112,38430,121
5,25192117,35577,112
5,24750439,35256,111
5,26316832,37482,118
5,28123587,39381,124
5,28889068,40642,128
5,28390364,40017,126
5,29008564,40634,128
5,24403166,34939,110
5,22419532,32089,101
5,29058209,40630,128
5,25429602,36210,114
5,27239591,38432,121
5,27040030,38429,121
5,25052122,35569,112
5,27300027,38116,120
5,28526367,40003,126
5,28832062,40645,128
5,28929729,40631,128
5,25438274,35579,112
5,26417985,37144,117
5,28104409,39684,125
5,28549298,40008,126
5,29247685,40646,128
5,28278993,40001,126
5,23328198,33020,104
5,28991531,40319,127
5,28686033,40002,126
5,27814051,39368,124
5,28395907,39687,125
5,28689182,40630,128
5,28631379,40634,128
5,24344718,33972,107
5,24371939,34609,109
5,25720821,36192,114
5,23743487,33654,106
5,28900290,40648,128
5,29098458,40630,128
5,24249990,33972,107
5,27689162,39051,123
5,27030264,38429,121
5,23824668,33657,106
5,29231848,40631,128
5,29155848,40647,128
5,29120426,40632,128
5,28559692,40001,126
5,29375588,40631,128
5,28444467,40001,126
5,28919843,40650,128
5,26576640,37153,117
5,27239008,38432,121
5,29025574,40631,128
5,28128519,39684,125
5,27786448,38739,122
5,27497257,38432,121
5,29094285,40645,128
5,25677376,35895,113
5,27060454,37799,119
5,25903917,36525,115
5,26306157,36831,116
5,25924514,36195,114
5,27791448,38734,122
5,25792098,36213,114
5,28641478,40001,126
5,27364240,38433,121
5,28977246,40319,127
5,27338155,38421,121
5,25224791,35557,112
5,28905757,40008,126
5,29413597,40630,128
5,28428439,39691,125
5,25756965,36211,114
5,27244180,38114,120
5,26871046,37789,119
5,23388378,32708,103
5,25212867,35571,112
5,24347736,34294,108
5,29112900,40631,128
5,25101816,35573,112
5,28808970,40322,127
5,26367354,37153,117
5,27985829,39383,124
5,28461256,39684,125
5,28862368,40632,128
5,27914669,39051,123
5,27848361,39066,123
5,29314120,40630,128
5,27169362,37800,119
5,24666263,34926,110
5,25828987,36528,115
5,25128746,35560,112
5,24263546,34292,108
5,29178569,40645,128
5,25699974,36527,115
5,29167737,40633,128
5,25368924,35893,113
5,28081417,39684,125
5,25094224,35576,112
5,24455460,34621,109
5,25934993,36528,115
5,25601180,35894,113
5,25578586,36211,114
5,25297083,35895,113
5,25892036,36528,115
5,26126959,36844,116
5,29410530,40630,128
5,27134258,38430,121
5,29330137,40630,128
5,29277856,40630,128
5,26070928,36527,115
5,25931946,36527,115
5,28418141,40001,126
5,28650744,39700,125
5,29024865,40634,128
5,25886747,36211,114
5,25170349,35570,112
5,28562697,40008,126
5,29147097,40320,127
5,24904880,34622,109
5,27258048,37796,119
5,29180678,40630,128
5,28365756,39049,123
5,26308390,36528,115
5,25815440,35894,113
5,25788286,35894,113
5,24970116,34937,110
5,29267509,40634,128
5,28534180,39050,123
5,26431865,37161,117
5,26462423,37162,117
5,29387203,40631,128
5,29593950,40634,128
5,29018786,40004,126
5,24934267,34936,110
5,27788843,38428,121
5,29552143,40633,128
5,27715146,38745,122
5,29456512,40320,127
5,26074529,36527,115
5,28628376,39367,124
5,27331501,38112,120
5,29398845,40631,128
5,28597595,40013,126
5,30021859,40648,128
5,29086293,40017,126
5,29079979,40001,126
5,29829915,40635,128
5,29586651,40634,128
5,27083667,37162,117
5,29760719,40633,128
5,28969003,39687,125
5,26850629,36830,116
5,29684966,40633,128
5,26058516,35579,112
5,25951820,35894,113
5,27277904,37464,118
5,25242689,34614,109
5,28513075,39066,123
5,28118731,38414,121
5,29982468,40641,128
5,29152883,40003,126
5,29755191,40634,128
5,24774259,34623,109
5,25782023,35897,113
5,27399622,37795,119
5,24329082,33657,106
5,28867120,39367,124
5,26718431,36831,116
5,24109318,33020,104
5,26146089,35876,113
5,25985360,35568,112
5,24843916,33972,107
5,28831888,39373,124
5,28025483,38421,121
5,28058300,38419,121
5,26233327,35875,113
5,28099352,38416,121
5,29542792,40002,126
5,26166012,35569,112
5,28687816,38741,122
5,29719269,40319,127
5,25212354,33972,107
5,29848816,40631,128
5,29187506,40001,126
5,24713458,33971,107
5,29407826,40002,126
5,30043358,40320,127
5,25275746,34606,109
5,25558579,34923,110
5,25722282,34924,110
5,29861242,40630,128
5,30020854,40320,127
5,29271586,40001,126
5,26183089,35876,113
5,29673090,40319,127
5,28730113,39050,123
5,27867505,38106,120
5,29597911,40319,127
5,30144804,40319,127
5,29280644,39685,125
5,27666022,37781,119
5,25425124,34923,110
5,25545929,34924,110
5,29527387,40002,126
5,29657013,40002,126
5,27262988,37465,118
5,28108378,38099,120
5,29116698,39373,124
5,27926509,37789,119
5,29831150,40634,128
5,24561769,33657,106
5,29552021,40325,127
5,26990186,36833,116
5,28652284,39383,124
5,29522071,40017,126
5,27873443,37780,119
5,24467016,33340,105
5,27688728,37787,119
5,27188565,36834,116
5,29860130,40645,128
5,24910240,34299,108
5,29031847,39366,124
5,25788178,34938,110
5,29500383,40002,126
5,28929416,39050,123
5,24642982,33336,105
5,26324738,35876,113
5,29667755,40002,126
5,29949449,40319,127
5,26883778,36509,115
5,28972993,39366,124
5,28562374,38732,122
5,26385562,35568,112
5,27636858,37781,119
5,25928864,35253,111
5,27298724,37149,117
5,29114068,39367,124
5,28559168,38741,122
5,27551907,37462,118
5,28872271,39366,124
5,28492253,39379,124
5,26555890,36195,114
5,28800899,39051,123
5,29523531,40001,126
5,29961867,40632,128
5,29265201,39685,125
5,29325246,39366,124
5,28876694,39366,124
5,27321353,37152,117
5,26943170,36844,116
5,29988147,40631,128
5,30000667,40319,127
5,30348797,40630,128
5,26214922,35894,113
5,29977190,40632,128
5,25406370,34614,109
5,27920351,38428,121
5,26020124,35563,112
5,29126572,40013,126
5,28201228,37787,119
5,27151029,36829,116
5,30222721,40634,128
5,29615965,40330,127
5,28973966,39367,124
5,29210253,39367,124
5,27070415,36837,116
5,30181560,40634,128
5,26494684,36192,114
5,28946732,39367,124
5,27699730,37464,118
5,27641076,37789,119
5,28251664,38421,121
5,26709205,36528,115
5,28187971,38745,122
5,30289479,40635,128
5,25176678,34622,109
5,29357586,40014,126
5,28513490,38731,122
5,30044316,40320,127
5,27550290,37793,119
5,29880382,40002,126
5,30112651,40630,128
5,24629154,33988,107
5,25266320,34623,109
5,30130584,40630,128
5,28980559,39370,124
5,26645011,36846,116
5,29123258,39367,124
5,25398266,34623,109
5,30100698,40631,128
5,27209856,37477,118
5,29897304,40631,128
5,25096908,33971,107
5,29743335,40632,128
5,30028161,40650,128
5,29698143,40017,126
5,29921471,40647,128
5,28910451,39366,124
5,26109755,35579,112
5,29283847,39700,125
5,27414102,37476,118
5,28348202,38748,122
5,28503332,38416,121
5,29809171,40319,127
5,28143759,38746,122
5,27329630,36836,116
5,29156406,39688,125
5,28772040,38739,122
5,27745452,37781,119
5,25015514,34309,108
5,30303317,40636,128
5,27893285,38113,120
5,28710094,39051,123
5,24441184,33338,105
5,25103218,33971,107
5,24304224,33021,104
5,26943662,36511,115
5,24779239,33654,106
5,25663785,34941,110
5,30104373,40631,128
5,29038210,39367,124
5,24696121,33342,105
5,24486252,33338,105
5,28943455,39367,124
5,25984230,35573,112
5,25228091,33972,107
5,30247352,40635,128
5,29965001,40647,128
5,29801537,40004,126
5,26354874,35875,113
5,25436635,34609,109
5,25587243,34923,110
5,24832599,33338,105
5,27879333,38113,120
5,28002152,37781,119
5,30267560,40635,128
5,28800071,38733,122
5,29704363,39684,125
5,30135146,40630,128
5,29277266,39684,125
5,25362038,34289,108
5,29524490,39684,125
5,29689291,39685,125
5,29007798,39050,123
5,27183429,36842,116
5,29389579,39684,125
5,28339115,38416,121
5,29382263,39692,125
5,26812143,36200,114
5,25095751,33971,107
5,24428002,33020,104
5,27485284,37149,117
5,30102274,40319,127
5,27398778,37152,117
5,24761817,33657,106
5,28172733,38097,120
5,25117408,33972,107
5,27879169,38113,120
5,29101883,39367,124
5,25229148,33972,107
5,28514252,38099,120
5,25526307,34606,109
5,24652636,33654,106
5,25940081,35253,111
5,29119466,39056,123
5,27859336,37789,119
5,24604713,33336,105
5,27999043,37789,119
5,24175551,33020,104
5,24503518,32703,103
5,29189243,39371,124
5,29468301,40017,126
5,28670716,38421,121
5,28739486,39066,123
5,28178174,38421,121
5,28059338,38115,120
5,27956908,38113,120
5,29162957,39700,125
5,28177596,38104,120
5,29923979,40330,127
5,28535615,38414,121
5,24877424,33657,106
5,25005620,33657,106
5,26343810,35560,112
5,24837701,33657,106
5,26889253,36509,115
5,28597580,38417,121
5,27496824,37146,117
5,27466226,36837,116
5,29137498,39382,124
5,30331264,40631,128
5,29688796,40017,126
5,28269415,38098,120
5,28691428,38749,122
5,30186260,40630,128
5,29791126,40002,126
5,30127216,40631,128
5,27876419,37463,118
5,29784055,40002,126
5,27888323,37464,118
5,30228043,40631,128
5,29661781,40002,126
5,30265315,40633,128
5,29022618,39051,123
5,27685355,37149,117
5,30615588,40631,128
5,29177295,39366,124
5,29592562,40002,126
5,27506285,36845,116
5,29336785,39366,124
5,29680900,40017,126
5,28136173,38097,120
5,30329667,40632,128
5,30298495,40631,128
5,29616069,39049,123
5,29881961,40335,127
5,30011632,40004,126
5,28676407,38732,122
5,29310693,39368,124
5,30384923,40631,128
5,30373934,40320,127
5,28485616,38096,120
5,25246155,34291,108
5,29437499,39368,124
5,30289501,40634,128
5,28695738,38732,122
5,30026069,40630,128
5,28705445,38747,122
5,29438556,39691,125
5,30233390,40632,128
5,29980573,40631,128
5,25310703,34297,108
5,26399577,35891,113
5,25999147,35242,111
5,29775035,40002,126
5,30070941,40320,127
5,29645569,39367,124
5,29259041,39365,124
5,25809088,34928,110
5,26202452,35244,111
5,28899987,38416,121
5,27559569,37148,117
5,28994023,39066,123
5,30350683,40631,128
5,26284002,35881,113
5,23872798,32709,103
5,24880937,33660,106
5,30489639,40630,128
5,29270480,39366,124
5,23900348,32391,102
5,26970834,36517,115
5,26535478,36198,114
5,25359241,34612,109
5,24941659,33660,106
5,24835448,33660,106
5,27731564,37788,119
5,25361218,34926,110
5,24671637,33343,105
5,24550870,33343,105
5,24692400,33343,105
5,30489018,40632,128
5,29985441,40631,128
5,30046491,40631,128
5,24503538,33343,105
5,24499177,33026,104
5,24814223,33660,106
5,29398488,39684,125
5,24464015,33026,104
5,24551253,32709,103
5,30203492,40632,128
5,30361798,40630,128
5,28123083,38421,121
5,26296234,35563,112
5,30389605,40630,128
5,28241462,38415,121
5,24173338,32709,103
5,28128958,38104,120
5,30318942,40631,128
5,30246575,40634,128
5,25585976,34931,110
5,24469762,33026,104
5,29364101,40008,126
5,27210985,37156,117
5,26314684,35558,112
5,30143545,40631,128
5,24988804,33972,107
5,28139226,38421,121
5,28365508,38749,122
5,24779063,33980,107
5,24937368,33980,107
5,29838036,40004,126
5,28750712,39057,123
5,30039684,40631,128
5,29992719,40630,128
5,28934228,39374,124
5,27293679,36845,116
5,27229943,37153,117
5,26028574,35249,111
5,28532764,38432,121
5,26756273,36530,115
5,26247429,35580,112
5,26836286,36214,114
5,28113136,38116,120
5,25028956,34311,108
5,28444748,38432,121
5,26609080,36214,114
5,25811457,34941,110
5,28435216,38431,121
