OMNIKDTREE,EUCLIDEAN,KMEDOIDS,4,4490,432420
k,time,count,disk
5,29302744,39684,125
5,23528648,33994,107
5,25717117,37162,117
5,24125261,34944,110
5,27536522,39377,124
5,22969999,33347,105
5,27755434,40017,126
5,26043769,37791,119
5,23389764,33995,107
5,26019917,37477,118
5,24464796,34933,110
5,26342781,38109,120
5,27341347,39377,124
5,22454953,32725,103
5,26102631,37791,119
5,25087312,35891,113
5,24612919,35568,112
5,24618310,35568,112
5,24186325,34933,110
5,28306067,40637,128
5,25113607,35891,113
5,24265835,34933,110
5,27456473,39684,125
5,23562173,33994,107
5,22999841,33347,105
5,22822504,33034,104
5,23875568,34616,109
5,24132273,34933,110
5,23391384,33994,107
5,22764888,32720,103
5,26166488,37791,119
5,24660461,35568,112
5,26265586,37791,119
5,27445930,39691,125
5,25568537,37159,117
5,28233291,40637,128
5,24201600,34933,110
5,27121765,38740,122
5,26963544,38738,122
5,23839110,34619,109
5,23132372,33667,106
5,27643591,39372,124
5,23263787,33667,106
5,27611602,39055,123
5,27378845,39377,124
5,26988326,39368,124
5,26895330,39050,123
5,22490986,32720,103
5,22328233,32086,101
5,28328307,40638,128
5,24219807,34933,110
5,24123723,34936,110
5,25854293,37157,117
5,25259879,36520,115
5,24497184,35563,112
5,28208740,40002,126
5,28376850,40636,128
5,28540636,40645,128
5,23037110,33341,105
5,27366459,38738,122
5,27513049,39702,125
5,25031076,36208,114
5,28169931,40635,128
5,28082119,40008,126
5,21553121,32084,101
5,27416748,39052,123
5,27694538,39685,125
5,23183038,33362,105
5,27656226,39685,125
5,28050234,40018,126
5,24184315,34944,110
5,22043970,32084,101
5,23105971,33986,107
5,22347318,32718,103
5,21966823,32401,102
5,27844570,40004,126
5,28338800,40645,128
5,21796870,32084,101
5,24038258,35256,111
5,26269848,37790,119
5,21696726,32084,101
5,27662619,40002,126
5,27920924,40004,126
5,28543292,40647,128
5,28296418,40646,128
5,28665281,40646,128
5,27066815,38738,122
5,28366571,40639,128
5,23612349,34304,108
5,24666902,35569,112
5,28363378,40645,128
5,26877092,38751,122
5,25077273,35576,112
5,22829180,33022,104
5,28316116,40319,127
5,23076106,33341,105
5,24026252,34927,110
5,25955621,37471,118
5,24072886,34929,110
5,24698045,35559,112
5,24310294,35256,111
5,23205976,33341,105
5,26508143,38098,120
5,26079616,37146,117
5,26415337,38114,120
5,26247575,37798,119
5,22719798,33035,104
5,28820761,40641,128
5,28882638,40642,128
5,27798263,39377,124
5,23492355,33667,106
5,23336814,33667,106
5,25255004,36535,115
5,25042473,35567,112
5,22292332,32086,101
5,27223094,39055,123
5,28608048,40645,128
5,27740849,39372,124
5,28005137,39694,125
5,23317619,33670,106
5,24305981,34936,110
5,23552227,34302,108
5,28766991,40640,128
5,26678603,38100,120
5,24807476,35561,112
5,28380652,40632,128
5,25226774,35561,112
5,23532108,33995,107
5,23179786,33352,105
5,22505727,32725,103
5,22453475,32725,103
5,27242423,39052,123
5,24440869,34933,110
5,28557937,40645,128
5,23211574,33352,105
5,28010382,40335,127
5,24658642,34933,110
5,24415163,34933,110
5,26737305,38109,120
5,22791618,32400,102
5,26282744,37474,118
5,26479675,37474,118
5,22956963,32400,102
5,23252660,33352,105
5,28628812,40645,128
5,24793348,34936,110
5,28915023,40630,128
5,28959200,40650,128
5,23313553,33352,105
5,24904387,34933,110
5,25709665,36841,116
5,28049947,39056,123
5,27903971,40015,126
5,23608769,33666,106
5,23675178,33666,106
5,28908600,40640,128
5,28224259,40328,127
5,26266689,37474,118
5,26520593,37791,119
5,28889106,40631,128
5,25231656,35900,113
5,23560803,33666,106
5,24369660,34616,109
5,24429386,34616,109
5,24315325,33982,107
5,27885956,39372,124
5,24681025,35573,112
5,27114090,38109,120
5,26660476,37791,119
5,28839475,40645,128
5,29087401,40647,128
5,28307610,39684,125
5,23276515,33034,104
5,25522981,36200,114
5,29169694,40630,128
5,28102304,39691,125
5,28521245,40002,126
5,24704338,34933,110
5,26605212,37791,119
5,26852830,38426,121
5,26813362,38118,120
5,28686773,40641,128
5,27439919,38734,122
5,26101999,36829,116
5,28949617,40640,128
5,27711440,39050,123
5,28751739,40631,128
5,27320554,38426,121
5,27928931,39695,125
5,26568214,37783,119
5,26531866,37784,119
5,29146762,40631,128
5,24040902,34294,108
5,23075065,33034,104
5,26737813,38103,120
5,23049065,32707,103
5,25365201,36196,114
5,24734728,35559,112
5,28986362,40630,128
5,27104978,38417,121
5,27701449,38733,122
5,26478228,37477,118
5,26508324,37474,118
5,27160355,38109,120
5,22112777,32084,101
5,25676466,36202,114
5,23039818,33353,105
5,22120098,32084,101
5,22831941,33035,104
5,27789582,39702,125
5,22920166,32718,103
5,28289042,40334,127
5,27119481,38437,121
5,24809227,34616,109
5,22560000,32401,102
5,25872677,36528,115
5,28650556,40328,127
5,27756739,39065,123
5,28194015,39382,124
5,28907000,40319,127
5,22237239,32084,101
5,27411852,39066,123
5,25111493,35889,113
5,22871717,32718,103
5,25041517,35568,112
5,28529667,40326,127
5,22287745,32084,101
5,22902390,32717,103
5,22415579,32401,102
5,28770828,40642,128
5,28843622,40320,127
5,27608989,39703,125
5,22479382,32401,102
5,26058992,36842,116
5,25202893,36212,114
5,26922878,37804,119
5,27355951,39377,124
5,25224014,35893,113
5,24918590,35889,113
5,23392518,33669,106
5,22701899,32717,103
5,22751895,33036,104
5,27732318,39366,124
5,28521768,40002,126
5,23296105,33670,106
5,24270100,34939,110
5,27800929,39696,125
5,26948249,38433,121
5,27916665,39685,125
5,22231026,32084,101
5,28110291,40015,126
5,27743625,39372,124
5,26490154,37789,119
5,28111345,39693,125
5,23937314,33987,107
5,22449355,32084,101
5,27108679,38426,121
5,25209257,35885,113
5,22636633,32086,101
5,22510869,32086,101
5,28000244,39372,124
5,22776005,32086,101
5,25375894,36524,115
5,23927779,34620,109
5,23247665,33035,104
5,22198212,32084,101
5,25251108,35886,113
5,25436902,35889,113
5,22503393,32401,102
5,27663464,39368,124
5,28191188,40002,126
5,27515194,38731,122
5,23382539,33667,106
5,28152914,40016,126
5,24311997,34609,109
5,25191332,36207,114
5,28263901,40016,126
5,26965986,37461,118
5,27316978,38733,122
5,25370528,35885,113
5,25537722,36512,115
5,26137229,36843,116
5,26266943,37465,118
5,27315589,38734,122
5,25507357,36524,115
5,27658659,39368,124
5,27559875,39368,124
5,25993666,36519,115
5,24970072,35566,112
5,27603402,38733,122
5,27778176,39367,124
5,28912216,40326,127
5,24463208,34616,109
5,27574434,39378,124
5,23296520,33353,105
5,24375572,34619,109
5,22903541,33036,104
5,25495194,35885,113
5,24996361,35572,112
5,23811614,33986,107
5,28751878,40319,127
5,28503027,40325,127
5,25316340,36205,114
5,26258557,37475,118
5,28003717,39379,124
5,28859573,40634,128
5,22692814,32718,103
5,25232977,35888,113
5,27157620,38098,120
5,26768397,38121,120
5,24684645,35253,111
5,23629972,33669,106
5,26761574,37785,119
5,27984217,39700,125
5,26598885,37791,119
5,24981143,34935,110
5,23624789,33984,107
5,27387725,38732,122
5,26657176,37791,119
5,27870711,39367,124
5,29032907,40645,128
5,25731665,36524,115
5,25404179,35891,113
5,28967879,40646,128
5,26127301,37474,118
5,26842611,37791,119
5,26101363,37161,117
5,26287065,37159,117
5,28696186,40647,128
5,24228094,34303,108
5,27246141,38745,122
5,25419732,35883,113
5,29211943,40640,128
5,27931669,39377,124
5,28825290,40325,127
5,28810145,40325,127
5,26584980,37468,118
5,23658343,33658,106
5,28926924,40325,127
5,28004819,39372,124
5,26977734,37785,119
5,23614412,33985,107
5,27272240,38747,122
5,24268788,34302,108
5,23163330,33353,105
5,27570990,38428,121
5,27169914,38745,122
5,24901184,35570,112
5,23182492,33033,104
5,28364416,39693,125
5,24346146,34302,108
5,26027504,37465,118
5,22482756,32084,101
5,22294082,32084,101
5,22357880,32084,101
5,23379219,33036,104
5,22641890,32084,101
5,23191622,33033,104
5,28581380,40645,128
5,25511848,36207,114
5,22855038,32719,103
5,22310091,32084,101
5,25235761,36205,114
5,23269745,33033,104
5,22442671,32084,101
5,28413053,40331,127
5,27997227,39684,125
5,27171686,38096,120
5,23548016,33986,107
5,22840225,32719,103
5,22300826,32084,101
5,22276508,32084,101
5,23909044,33667,106
5,23139980,33351,105
5,27553677,38735,122
5,25675718,36840,116
5,26057871,36840,116
5,28513731,40646,128
5,24026663,34303,108
5,22725571,32401,102
5,25679672,36839,116
5,27453064,38416,121
5,27064533,38744,122
5,24111303,33983,107
5,25761157,36841,116
5,25561137,36207,114
5,25450799,35888,113
5,27265520,38414,121
5,22557025,32401,102
5,22544807,32084,101
5,22701251,32716,103
5,25542533,36524,115
5,24136720,33982,107
5,22316399,32084,101
5,25008532,35559,112
5,22576434,32084,101
5,23917615,33983,107
5,25614322,36524,115
5,22392024,32084,101
5,25382846,35889,113
5,23060634,33035,104
5,22260565,32084,101
5,25910179,36525,115
5,23769421,33674,106
5,25469851,36217,114
5,22589242,32401,102
5,26834889,38121,120
5,22240339,32084,101
5,22200928,32084,101
5,25440599,36196,114
5,25331456,35885,113
5,26547000,37468,118
5,24901013,34936,110
5,26851469,38110,120
5,24376149,34302,108
5,24747851,34933,110
5,28722845,40325,127
5,26317792,37150,117
5,27688296,39056,123
5,27212110,38415,121
5,22405307,32084,101
5,22236457,32084,101
5,22641704,32716,103
5,22458692,32401,102
5,23645721,33351,105
5,25964771,37158,117
5,24100540,34290,108
5,28360731,39699,125
5,28077595,38735,122
5,29183340,40632,128
5,27287422,38733,122
5,25714623,36196,114
5,27338813,38733,122
5,28020213,39701,125
5,27105670,38746,122
5,28425019,40017,126
5,26799594,38108,120
5,28353087,40002,126
5,24201302,34290,108
5,28277805,40002,126
5,27859018,38733,122
5,28755941,40319,127
5,27357562,38416,121
5,26574445,37463,118
5,28734188,40643,128
5,27941369,39685,125
5,27137589,38733,122
5,24696570,34305,108
5,28346789,40002,126
5,27757839,39051,123
5,26608136,37781,119
5,29004480,40630,128
5,28555716,40002,126
5,25233486,35559,112
5,27403135,38733,122
5,27186828,38744,122
5,27607083,38732,122
5,28349213,39377,124
5,28795390,40319,127
5,28738703,40001,126
5,27677919,38744,122
5,23391003,33022,104
5,29294811,40638,128
5,27403146,38734,122
5,24605575,34924,110
5,29484569,40636,128
5,28397692,39372,124
5,28736554,40325,127
5,26245546,36203,114
5,28831691,40646,128
5,23818958,33671,106
5,26642125,37157,117
5,25282150,35559,112
5,25638886,36193,114
5,28366654,39685,125
5,28607721,40002,126
5,25272910,35559,112
5,22958481,32708,103
5,23985450,33977,107
5,26306331,37477,118
5,25011640,35245,111
5,27959754,39050,123
5,29293405,40630,128
5,25644172,36200,114
5,23868164,33667,106
5,24068036,33983,107
5,28954318,40642,128
5,28445339,39049,123
5,23984707,33667,106
5,25301111,35569,112
5,26272835,36834,116
5,26951768,37471,118
5,26020190,36520,115
5,25544821,35885,113
5,24345946,34305,108
5,26654995,37483,118
5,25938780,36521,115
5,26205640,36521,115
5,26046629,36521,115
5,29131356,40647,128
5,26979408,37800,119
5,27628278,39069,123
5,25897622,36521,115
5,24182209,33667,106
5,26590900,36837,116
5,27637116,38751,122
5,24007233,33667,106
5,23894546,33667,106
5,26114051,36841,116
5,29158260,40637,128
5,28796234,40008,126
5,27116903,37791,119
5,29066257,40642,128
5,25741238,36533,115
5,24087409,33983,107
5,26284986,37150,117
5,28781727,40643,128
5,26013422,37162,117
5,23009567,32720,103
5,24072078,33667,106
5,28034942,39377,124
5,24345922,34305,108
5,23252666,33351,105
5,28879727,40645,128
5,22701505,32401,102
5,28065692,39060,123
5,28883059,40325,127
5,23164336,32720,103
5,23353350,32720,103
5,28009374,39378,124
5,28789279,40325,127
5,28315069,39701,125
5,24741444,34944,110
5,24591792,34621,109
5,26610140,37146,117
5,24958825,35256,111
5,25507958,35569,112
5,26721482,37464,118
5,24623847,34611,109
5,23289640,33026,104
5,24680344,34609,109
5,24676602,34609,109
5,23313076,33026,104
5,27127897,37463,118
5,24710304,34609,109
5,26795262,37145,117
5,25692688,36195,114
5,24575441,34611,109
5,24639518,34609,109
5,25321384,35569,112
5,23573020,33022,104
5,25827750,36202,114
5,24163372,33665,106
5,22338109,32084,101
5,23197919,33036,104
5,26258898,36512,115
5,25605024,35878,113
5,23619375,33341,105
5,24876665,34609,109
5,24326185,33974,107
5,26785653,37154,117
5,23027062,32719,103
5,25346705,35253,111
5,23568806,33022,104
5,25433071,35569,112
5,25101504,34934,110
5,26582220,37146,117
5,24928734,34934,110
5,25150896,34934,110
5,26107474,36512,115
5,25160683,35252,111
5,26271430,36519,115
5,23639827,33350,105
5,24538846,34300,108
5,25634206,35569,112
5,25523973,35569,112
5,28719880,40008,126
5,27939403,38421,121
5,22411841,32085,101
5,25478816,35569,112
5,25880721,36203,114
5,27038259,37472,118
