OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,4,4490,411105
k,time,count,disk
5,27574291,38743,122
5,26145319,39379,124
5,26227881,40013,126
5,26909056,40646,128
5,26340631,40645,128
5,21706077,33040,104
5,26111632,40330,127
5,21823861,33991,107
5,23517474,36846,116
5,24180794,37800,119
5,21093495,33039,104
5,21010153,32722,103
5,26230884,40335,127
5,27880940,40331,127
5,25448269,37800,119
5,21571756,33674,106
5,22631702,33357,105
5,22350429,33039,104
5,21876159,32722,103
5,27315623,40646,128
5,22666584,33358,105
5,22197319,33038,104
5,26984130,39696,125
5,26969318,39382,124
5,22581297,33040,104
5,22345106,33040,104
5,22576196,33357,105
5,22431962,33357,105
5,27643910,40331,127
5,24925097,36842,116
5,22582062,33358,105
5,22828897,33673,106
5,22537099,33357,105
5,26121428,38433,121
5,21840716,32406,102
5,27641203,40641,128
5,22248392,33040,104
5,27410787,40008,126
5,27674588,40637,128
5,25486275,37153,117
5,22976682,33347,105
5,26717691,39058,123
5,23543561,34615,109
5,27799341,40636,128
5,27824000,40646,128
5,27666756,40639,128
5,27643373,40636,128
5,23486988,34944,110
5,21846350,32093,101
5,27935175,40637,128
5,22386155,33040,104
5,23384097,34614,109
5,23004233,33665,106
5,22747622,33672,106
5,26052203,38104,120
5,27137693,39697,125
5,27692462,40636,128
5,27684978,40641,128
5,24996437,36204,114
5,27861675,40638,128
5,27047088,39698,125
5,26941215,39374,124
5,27326635,40636,128
5,27541270,40636,128
5,23510276,34299,108
5,26116283,38741,122
5,26313066,38739,122
5,26747268,39381,124
5,25702406,37792,119
5,27704306,40641,128
5,27427042,40330,127
5,23616972,34615,109
5,25617213,38105,120
5,24648839,36519,115
5,23521906,34932,110
5,26874582,40011,126
5,27990220,40641,128
5,23390148,34615,109
5,26628678,39374,124
5,22026462,33031,104
5,22419957,32397,102
5,27906205,40636,128
5,27117683,40019,126
5,27774754,40643,128
5,28155002,40641,128
5,27329574,40013,126
5,27786388,40636,128
5,27841071,40637,128
5,26229973,38425,121
5,23996142,35566,112
5,27714802,40642,128
5,26739681,38746,122
5,27813686,40325,127
5,26202640,38104,120
5,27930242,40636,128
5,25690118,37154,117
5,26113548,38104,120
5,24575665,36201,114
5,24837986,36839,116
5,24594402,36201,114
5,26764682,39374,124
5,24885386,36205,114
5,26409383,38740,122
5,26795356,39055,123
5,27862583,40636,128
5,26803212,38740,122
5,25093107,36835,116
5,28048872,40636,128
5,28114042,40642,128
5,24051494,35247,111
5,23449450,34615,109
5,23372395,34615,109
5,26314965,38106,120
5,24606198,36209,114
5,24347236,35569,112
5,25883205,37791,119
5,27901188,40646,128
5,27055366,39691,125
5,27365154,39691,125
5,25396170,36838,116
5,23525496,34623,109
5,27803474,40325,127
5,28048902,40636,128
5,26090582,38105,120
5,26440653,38749,122
5,27326304,39697,125
5,25801629,37798,119
5,25117819,36842,116
5,21910203,32722,103
5,26572795,38744,122
5,25381823,37163,117
5,27893356,40637,128
5,22588677,33673,106
5,27100021,39692,125
5,21961132,32722,103
5,27715156,40645,128
5,22365732,33357,105
5,22497812,33356,105
5,22524273,33673,106
5,22657087,33357,105
5,22200866,33039,104
5,22633734,33357,105
5,22113991,32722,103
5,22412312,33357,105
5,27771937,40642,128
5,25978051,38427,121
5,27720267,40644,128
5,27886949,40646,128
5,21951878,32722,103
5,22168581,33040,104
5,27088380,39373,124
5,27717847,40638,128
5,27860766,40642,128
5,22412336,33357,105
5,22299010,33040,104
5,27075187,39693,125
5,26695462,39379,124
5,22403198,33040,104
5,22333061,33039,104
5,26857289,38743,122
5,26455110,38110,120
5,22031561,32722,103
5,22472611,33357,105
5,22577229,33357,105
5,21927739,32721,103
5,27736633,40636,128
5,27548326,40007,126
5,22420633,33039,104
5,22308832,33039,104
5,27471535,40013,126
5,28038502,40642,128
5,26727086,38743,122
5,22333590,33040,104
5,22996479,33673,106
5,27414721,39696,125
5,22747241,33673,106
5,27168780,39696,125
5,22699375,33356,105
5,27044770,39381,124
5,22377598,33039,104
5,27882256,40646,128
5,26727383,39385,124
5,27754325,40007,126
5,26711482,38739,122
5,27915320,40330,127
5,27279785,39691,125
5,26473264,38745,122
5,22900584,33673,106
5,27475497,40008,126
5,26571136,38744,122
5,25762822,37792,119
5,27409402,39696,125
5,24872545,36201,114
5,22639509,33357,105
5,24181840,35254,111
5,22697997,33028,104
5,26732907,38737,122
5,27302795,39691,125
5,28220810,40645,128
5,26505896,38744,122
5,27519684,39694,125
5,23300046,34308,108
5,23495978,33991,107
5,22106992,32722,103
5,23868956,34932,110
5,27879181,40637,128
5,23681843,33983,107
5,22191247,32397,102
5,26363834,38422,121
5,26702786,38423,121
5,25992084,37469,118
5,27737552,40008,126
5,27424552,39690,125
5,26226297,38106,120
5,24881789,36201,114
5,27645830,39691,125
5,27867407,40008,126
5,27905703,40008,126
5,27643266,40008,126
5,27736341,39689,125
5,23451667,34300,108
5,27955728,40325,127
5,27994255,40639,128
5,26880101,38422,121
5,27733311,40008,126
5,26718895,38743,122
5,23596228,33982,107
5,25450100,36837,116
5,23458305,33983,107
5,28426754,40633,128
5,26719229,38743,122
5,28436453,40330,127
5,26203533,37787,119
5,28032001,40008,126
5,27965172,40007,126
5,25872355,37152,117
5,27715480,40013,126
5,27793790,40008,126
5,27737532,39690,125
5,25288093,36519,115
5,24164968,34933,110
5,23430781,33665,106
5,26793106,38744,122
5,27733643,39691,125
5,26386411,37790,119
5,27625955,40008,126
5,28233283,40325,127
5,26976739,38740,122
5,27511147,39691,125
5,24239454,34932,110
5,28166489,40636,128
5,27589865,40008,126
5,27509180,39376,124
5,28211949,40637,128
5,26250140,37785,119
5,24441058,35250,111
5,23266528,33663,106
5,22610343,32712,103
5,28062372,40636,128
5,23149590,33031,104
5,28134467,40636,128
5,23416392,33983,107
5,28425936,40636,128
5,27158014,39373,124
5,25510426,36835,116
5,23417655,33982,107
5,27852445,40009,126
5,27230872,39373,124
5,24539314,35567,112
5,28064711,40324,127
5,28413282,40638,128
5,26537083,38103,120
5,27775199,40009,126
5,28485303,40325,127
5,24994963,36205,114
5,27352477,39690,125
5,27968912,40009,126
5,28823665,40637,128
5,28456493,40638,128
5,25175756,36842,116
5,25102873,36201,114
5,27903788,39372,124
5,25741763,36833,116
5,26814352,38737,122
5,27936780,40325,127
5,28202562,40324,127
5,27899007,40325,127
5,25485367,36521,115
5,23458578,33673,106
5,28276717,40640,128
5,25802001,36833,116
5,28599168,40645,128
5,22968648,33357,105
5,27113005,38738,122
5,24905636,35884,113
5,23329136,33672,106
5,23597760,33983,107
5,24372277,35256,111
5,27056342,39056,123
5,24673978,35566,112
5,27630774,39694,125
5,27403405,39382,124
5,27518071,39373,124
5,28222513,40334,127
