OMNIKDTREE,EUCLIDEAN,PCA,4,4490,29301
k,time,count,disk
5,28898798,40017,126
5,22897432,33352,105
5,27299690,39367,124
5,27071683,39374,124
5,25437092,37153,117
5,22312293,32717,103
5,27879665,40004,126
5,23108596,33986,107
5,22214709,32396,102
5,21958872,32402,102
5,21901850,32399,102
5,23100759,33671,106
5,23169832,34303,108
5,24355532,35247,111
5,23082518,33986,107
5,22125798,32717,103
5,23260718,33987,107
5,23228276,33987,107
5,22035841,32399,102
5,23962898,34937,110
5,23090701,33986,107
5,24537788,36207,114
5,24043784,35242,111
5,24087934,34937,110
5,22266568,32717,103
5,23396147,33987,107
5,22209282,32717,103
5,22198891,32717,103
5,23886426,34616,109
5,22392653,32402,102
5,22957082,33986,107
5,23204759,33987,107
5,23596350,34620,109
5,23442061,34620,109
5,23096904,33986,107
5,28157849,40633,128
5,22024875,32399,102
5,26982518,39374,124
5,27105875,39366,124
5,23092128,33987,107
5,23111490,33987,107
5,27173723,39690,125
5,25075431,36527,115
5,27040743,39367,124
5,22386029,32720,103
5,26104854,38732,122
5,25973686,38098,120
5,21516935,32086,101
5,21597099,32086,101
5,27781047,40322,127
5,21871790,32399,102
5,25870614,38428,121
5,21815286,32402,102
5,24898309,36840,116
5,25371246,37161,117
5,26430023,39063,123
5,27854562,40635,128
5,27815805,40649,128
5,24433502,35895,113
5,25971655,38098,120
5,26703691,39058,123
5,23156071,34619,109
5,26754742,39685,125
5,27543732,40325,127
5,21720301,32395,102
5,27906178,40320,127
5,27463207,39691,125
5,22365127,32714,103
5,26042382,38110,120
5,25187013,36837,116
5,23212201,33662,106
5,21683027,32079,101
5,23662287,34931,110
5,22232014,33030,104
5,22247863,33029,104
5,27610174,40645,128
5,27799590,40004,126
5,21666052,32079,101
5,22739503,33669,106
5,22122250,32402,102
5,22319115,33029,104
5,26920179,39366,124
5,28045108,40630,128
5,27422459,40011,126
5,27961002,40646,128
5,28173404,40639,128
5,27436453,40007,126
5,27694046,40319,127
5,23029046,33985,107
5,26502878,38744,122
5,28014743,40635,128
5,26964659,39058,123
5,23963882,35253,111
5,22951843,33666,106
5,27827948,40635,128
5,24849542,36211,114
5,26255363,38431,121
5,26087738,38426,121
5,23446844,34925,110
5,23162460,33973,107
5,23848622,34938,110
5,24523082,36211,114
5,23558388,34608,109
5,23706682,34619,109
5,25945553,37785,119
5,23261398,33983,107
5,22982240,33346,105
5,26102502,38107,120
5,28173685,40643,128
5,23932640,34621,109
5,21787702,32082,101
5,25005964,36527,115
5,22916089,33669,106
5,25284705,36519,115
5,21911545,32086,101
5,27081073,39373,124
5,24690629,35885,113
5,27820725,40007,126
5,25518904,37472,118
5,23130079,33669,106
5,23560414,34620,109
5,23858173,34930,110
5,27740945,40325,127
5,24023295,34939,110
5,26092730,38431,121
5,27896661,40632,128
5,27570525,40016,126
5,21961180,32080,101
5,23079512,33987,107
5,24187476,34938,110
5,22631806,33036,104
5,27278134,39686,125
5,21869292,32399,102
5,27998079,40322,127
5,22172789,32717,103
5,27577945,40004,126
5,21959956,32399,102
5,22006070,32399,102
5,23098963,33987,107
5,23709049,33987,107
5,22830630,33671,106
5,22889612,33671,106
5,23195504,33987,107
5,23180932,33987,107
5,27941501,40646,128
5,23639007,34620,109
5,27833961,40319,127
5,26700750,38106,120
5,22327017,32717,103
5,22006560,32399,102
5,25051691,36517,115
5,27460391,40007,126
5,25572174,37467,118
5,23156657,33987,107
5,23275555,33987,107
5,24671989,35885,113
5,27233884,39372,124
5,22863407,33353,105
5,23872310,34620,109
5,28267681,40630,128
5,23647262,34619,109
5,23153421,33671,106
5,22409504,32717,103
5,22292711,32717,103
5,24051669,34939,110
5,27775339,40325,127
5,24585754,35881,113
5,23076094,33671,106
5,23511442,34304,108
5,28208673,40648,128
5,27269522,39381,124
5,27391571,39366,124
5,23285720,33987,107
5,23258701,33987,107
5,27475070,40017,126
5,23636344,34620,109
5,27326201,39697,125
5,21944883,32399,102
5,25508815,37159,117
5,23473143,34304,108
5,26514498,38740,122
5,24270628,34937,110
5,27818062,40319,127
5,26469805,38748,122
5,27927215,40649,128
5,24972990,36524,115
5,27292012,39374,124
5,23317791,34304,108
5,24466344,35569,112
5,25506308,37147,117
5,24815056,35892,113
5,27774716,40648,128
5,25132710,36512,115
5,23123301,33987,107
5,24502286,35892,113
5,22819152,33341,105
5,28104894,40634,128
5,25343519,37146,117
5,28206231,40630,128
5,27652630,40319,127
5,27924867,40319,127
5,23148622,33986,107
5,23267169,33987,107
5,23087965,33987,107
5,21979363,32395,102
5,25592573,37783,119
5,21903931,32395,102
5,22004910,32395,102
5,23026562,33979,107
5,25347846,37159,117
5,22481370,33346,105
5,24120607,35252,111
5,23620924,34618,109
5,24731498,36203,114
5,22027212,32395,102
5,23752687,34937,110
5,25802930,38110,120
5,25922972,38110,120
5,24988624,36841,116
5,26379996,38106,120
5,22363512,33029,104
5,23593637,34618,109
5,25125745,36514,115
5,22638953,33030,104
5,24725856,35886,113
5,28000662,40646,128
5,22387915,33029,104
5,22413719,32710,103
5,22454722,33029,104
5,26099404,38106,120
5,28051676,40016,126
5,25441588,36521,115
5,22756362,33346,105
5,24337390,35569,112
5,23324480,34301,108
5,23757340,34625,109
5,24793075,36203,114
5,23746991,34618,109
5,23651608,34301,108
5,24033267,35249,111
5,23190726,33979,107
5,21623805,32078,101
5,27606928,40649,128
5,26150515,38106,120
5,22910421,33352,105
5,23448927,34301,108
5,24082635,34935,110
5,22678038,33349,105
5,24933695,36204,114
5,21807403,32395,102
5,25077048,36520,115
5,27057837,39373,124
5,27550074,40007,126
5,27753483,40007,126
5,25508427,37467,118
5,22079287,32395,102
5,23490807,34304,108
5,22906427,33669,106
5,21833962,32086,101
5,21906273,32086,101
5,27491228,40007,126
5,21972760,32086,101
5,25170751,36514,115
5,24435441,35565,112
5,22782963,33346,105
5,22084083,32713,103
5,23919273,35254,111
5,23768268,34937,110
5,22444911,33030,104
5,25940991,38097,120
5,25929123,38097,120
5,24475605,35891,113
5,24149842,34936,110
5,26174018,38110,120
5,23971315,35560,112
5,24424625,35881,113
5,27942375,40649,128
5,26574929,38731,122
5,24455639,35876,113
5,23520897,34620,109
5,24472956,36195,114
5,25131025,36837,116
5,23101414,33973,107
5,24595957,36511,115
5,22971354,33984,107
5,26061457,38097,120
5,25932066,38097,120
5,23600836,34620,109
5,23111926,33987,107
5,27212600,39685,125
5,26023693,38097,120
5,27660107,40003,126
5,22484079,32717,103
5,24747208,36205,114
5,22637692,33346,105
5,23468044,34620,109
5,21928009,32395,102
5,25794580,38110,120
5,22618191,33349,105
5,22196813,32720,103
5,27407527,40017,126
5,23985721,34937,110
5,24751440,36199,114
5,25857254,38106,120
5,24401357,35574,112
5,26772190,39065,123
5,21837186,32395,102
5,24164142,35565,112
5,24837745,36528,115
5,22129686,32717,103
5,23589340,34619,109
5,22960174,33987,107
5,23630516,34620,109
5,27799751,40647,128
5,23653225,33986,107
5,26394063,38428,121
5,23876140,34930,110
5,25538116,37481,118
5,22518600,33034,104
5,24827084,36845,116
5,27071219,39379,124
5,22741420,33353,105
5,23128951,33986,107
5,25302840,37154,117
5,22565359,33028,104
5,23350245,33986,107
5,25060244,36837,116
5,23161267,33986,107
