OMNIKDTREE,EUCLIDEAN,RANDOM,4,4490,72676
k,time,count,disk
5,28908472,40649,128
5,23351772,34615,109
5,28371846,40647,128
5,28590265,40647,128
5,29068432,40636,128
5,22713755,32077,101
5,28791836,40645,128
5,23804514,33662,106
5,24678075,34945,110
5,24602386,34611,109
5,23050110,32713,103
5,23302239,33027,104
5,24086473,33662,106
5,27263606,38434,121
5,24065382,33662,106
5,23143057,32714,103
5,23067863,32710,103
5,23319551,33027,104
5,23983591,33030,104
5,26204473,36828,116
5,22972090,32714,103
5,23101052,32713,103
5,27426788,38747,122
5,27775526,38750,122
5,22674723,32077,101
5,23054995,32710,103
5,22941495,32393,102
5,23125412,32393,102
5,26136344,36845,116
5,23131173,32396,102
5,24006779,33662,106
5,23591792,33030,104
5,23884653,33662,106
5,25134252,35559,112
5,23370462,33029,104
5,28696911,40645,128
5,23093429,32713,103
5,27401381,38108,120
5,27079653,38097,120
5,24435485,34618,109
5,23188572,33033,104
5,27636386,38738,122
5,24157147,33986,107
5,27686801,39055,123
5,26115441,36828,116
5,27716331,39064,123
5,27448590,38430,121
5,22985073,32396,102
5,22732466,32080,101
5,28838467,40645,128
5,23037449,32393,102
5,24655477,34936,110
5,23993906,33987,107
5,24185012,33984,107
5,26736550,37484,118
5,28758505,40334,127
5,25761199,36205,114
5,29101101,40646,128
5,23816989,33675,106
5,27099673,37795,119
5,25651617,36198,114
5,25243459,36205,114
5,29179243,40641,128
5,28365971,40008,126
5,22387527,32068,101
5,28837068,40646,128
5,27090972,38115,120
5,24028551,33995,107
5,28264864,39700,125
5,26747242,37476,118
5,24085685,33981,107
5,22571982,32069,101
5,23834870,33654,106
5,23173999,33020,104
5,22802098,32385,102
5,28799656,40647,128
5,28988654,40646,128
5,23788278,33021,104
5,23555418,33654,106
5,22805185,32719,103
5,23197262,33021,104
5,27809597,39381,124
5,29240919,40644,128
5,29265411,40648,128
5,28056120,39382,124
5,28829119,40646,128
5,28845335,40319,127
5,27453401,38740,122
5,24290678,34936,110
5,24767242,35252,111
5,29063618,40646,128
5,25991058,36515,115
5,25477561,36521,115
5,26879341,37797,119
5,28145750,39377,124
5,24657465,34948,110
5,26433175,36850,116
5,24714830,34934,110
5,26578534,37171,117
5,27064827,37796,119
5,24343165,34288,108
5,24842245,35265,111
5,26147523,36842,116
5,26243447,36838,116
5,25406527,36192,114
5,24819024,35570,112
5,23228351,32703,103
5,25783200,36205,114
5,28953408,40646,128
5,29092787,40319,127
5,23230798,32715,103
5,23716254,33349,105
5,25090833,35571,112
5,26189732,36519,115
5,22762346,32080,101
5,27850452,39053,123
5,29163317,40645,128
5,27922251,38738,122
5,28000170,39379,124
5,24183014,34302,108
5,25707097,35888,113
5,26902985,36827,116
5,29005838,40016,126
5,26730396,37481,118
5,28413500,39384,124
5,29562640,40646,128
5,27009180,37483,118
5,25016852,34629,109
5,23272634,32393,102
5,28937516,40334,127
5,25778400,35577,112
5,28877733,40016,126
5,23802491,33030,104
5,29133531,40650,128
5,23169144,32393,102
5,29524860,40002,126
5,23149836,32393,102
5,23340583,32393,102
5,23716727,33027,104
5,23173424,32393,102
5,23790587,33027,104
5,23820075,33027,104
5,23087375,32393,102
5,23286051,32393,102
5,29203145,40649,128
5,24923214,34618,109
5,28817990,40015,126
5,28174250,39383,124
5,23465835,32393,102
5,23138055,32393,102
5,26276354,36827,116
5,27576381,38106,120
5,26252894,36827,116
5,23644365,33027,104
5,23671020,33027,104
5,28986875,40319,127
5,28840825,40017,126
5,23737159,33027,104
5,24171476,33345,105
5,29672011,40644,128
5,28087872,38734,122
5,23772275,33027,104
5,23294184,32393,102
5,23286185,32393,102
5,23449883,32713,103
5,29742838,40629,128
5,24532614,34288,108
5,23812702,33027,104
5,24284078,33027,104
5,29437908,40648,128
5,28689887,39381,124
5,29611197,40334,127
5,23787871,32710,103
5,24657486,33664,106
5,28791641,39382,124
5,24678035,33662,106
5,29090800,40017,126
5,23359288,32393,102
5,28283101,39066,123
5,24392411,33345,105
5,28805925,40002,126
5,26445013,36196,114
5,29528470,40016,126
5,28407947,39066,123
5,28567199,39382,124
5,28471732,39383,124
5,29236770,40016,126
5,24489206,33345,105
5,27455953,38110,120
5,25482990,34945,110
5,25976156,35579,112
5,29372888,40017,126
5,25045088,34310,108
5,24430426,32710,103
5,26124906,35579,112
5,24536879,33678,106
5,29368845,40016,126
5,27752703,38113,120
5,29798787,40644,128
5,29748329,40016,126
5,29697073,40645,128
5,24787161,33662,106
5,24379866,33345,105
5,23946050,33027,104
5,23182534,32068,101
5,25650560,35252,111
5,23969976,33019,104
5,23086325,32068,101
5,23955284,33020,104
5,27427241,37793,119
5,23824399,33020,104
5,27463386,38428,121
5,25729075,35887,113
5,25307602,35251,111
5,23876400,33338,105
5,26069134,36521,115
5,28735789,39696,125
5,26894790,37159,117
5,27113755,37793,119
5,29060066,39696,125
5,23495561,32385,102
5,27998350,38745,122
5,26838122,36827,116
5,23936066,33020,104
5,25200580,35251,111
5,29766170,40646,128
5,23921318,33021,104
5,24333217,33654,106
5,23415244,32385,102
5,29654225,40641,128
5,29680464,40645,128
5,28374771,38749,122
5,25123999,34289,108
5,28136460,39062,123
5,25954744,35888,113
5,23622265,33032,104
5,26522379,36842,116
5,25363583,35571,112
5,26262896,36205,114
5,23486305,32703,103
5,23914868,33020,104
5,23016154,32068,101
5,29407037,40331,127
5,28682406,39696,125
5,24321907,33654,106
5,24890932,34934,110
5,27359949,38111,120
5,27287014,38111,120
5,29227537,40017,126
5,23820373,33021,104
5,24489410,34287,108
5,29608501,39685,125
5,25503785,35570,112
5,28004404,38422,121
5,28320300,38745,122
5,23768719,33021,104
5,25687158,35242,111
5,25696407,35561,112
5,27725618,38113,120
5,23333436,32080,101
5,28373598,38732,122
5,23607606,32080,101
5,25283214,34922,110
5,25064448,34288,108
5,23746492,32703,103
5,23611670,32702,103
5,25912426,36205,114
5,26382203,36521,115
5,24379326,33655,106
5,27046622,37159,117
5,27617330,37796,119
5,26388672,36206,114
5,24327964,33654,106
5,25659172,35570,112
5,27874227,38115,120
5,25779035,35557,112
5,29740570,40649,128
5,27878245,37463,118
5,26156603,35890,113
5,29627384,40319,127
5,26784963,36528,115
5,27450561,38111,120
5,25690822,35256,111
5,28226745,38430,121
5,24542138,33653,106
5,27379322,37476,118
5,27946766,37795,119
5,25522477,35251,111
5,23958572,33027,104
5,28702629,39379,124
5,26783950,36842,116
5,29905757,40636,128
5,23665054,32393,102
5,26683206,36842,116
5,24364688,33338,105
5,27944098,38111,120
5,24255629,33019,104
5,28304829,38744,122
5,25915558,35886,113
5,24762470,33989,107
5,29889909,40645,128
5,29789680,40319,127
5,26885582,36827,116
5,28598147,39062,123
5,27768885,38111,120
5,29354661,40013,126
5,23304319,32069,101
5,26619875,36827,116
5,29339430,39067,123
5,23081834,32397,102
5,25791814,35571,112
5,24181734,33027,104
5,24913167,33982,107
5,29362535,40017,126
5,24215920,33029,104
5,29111967,39051,123
5,26988921,36827,116
5,29768529,40334,127
5,24276105,32714,103
5,29601592,40331,127
5,29742350,40330,127
5,23892290,32711,103
5,23948742,32714,103
5,28347027,38734,122
5,27760533,37799,119
5,24540100,33662,106
5,27558276,38111,120
5,24479691,33346,105
5,27993575,38428,121
5,23629160,32396,102
5,27848844,38428,121
5,28022438,38099,120
5,29135876,39685,125
5,25580479,34937,110
5,29351694,39691,125
5,26272908,35888,113
5,27967375,38095,120
5,24858148,33676,106
5,29609485,40007,126
5,29352914,39685,125
5,25735668,35252,111
5,26211576,35556,112
5,26184609,36204,114
5,27158894,37160,117
5,24066080,33020,104
5,28458371,39062,123
5,26368734,35559,112
5,24780235,33654,106
5,24453237,33668,106
5,27043444,36837,116
5,25389011,34934,110
5,26340770,36208,114
5,23516866,32385,102
5,23270784,32068,101
5,23785628,32068,101
5,27306797,37159,117
5,23332580,32068,101
5,24253385,33351,105
5,28522598,39379,124
5,24847569,34287,108
5,23563557,32385,102
5,23600863,32385,102
5,27032588,36827,116
5,24860351,33984,107
5,23475647,32385,102
5,28305125,38745,122
5,29624217,39366,124
5,29190946,39384,124
5,24367152,33337,105
5,24088229,33336,105
5,23372843,32385,102
5,23548362,32068,101
5,25648699,34934,110
5,24441234,33654,106
5,25963086,35253,111
5,27054883,36842,116
5,25594460,34922,110
5,29038503,39366,124
5,27574268,36826,116
5,23960378,32386,102
5,24877411,33653,106
5,29307862,39066,123
5,26701360,35892,113
5,25420241,34302,108
5,25945169,34922,110
5,24899774,33653,106
5,24786968,34288,108
5,28593168,38746,122
5,25049039,33655,106
5,23006166,32068,101
5,24201040,33019,104
5,26758674,36190,114
5,25836939,35251,111
5,23825466,33021,104
5,28368150,37479,118
5,23708360,32385,102
5,25767098,34618,109
5,25547326,34922,110
5,24219478,33021,104
5,24629773,34299,108
5,25545040,34923,110
5,23215366,32068,101
5,26164388,35889,113
5,25610087,35571,112
5,24905897,34302,108
5,24750213,33655,106
5,24558268,33985,107
5,23343021,32068,101
5,23544801,32068,101
5,26449924,36211,114
5,26314375,35252,111
5,26615392,36193,114
5,25356269,34620,109
5,26566601,36193,114
5,25643857,34302,108
5,26544302,35570,112
5,28848319,39057,123
5,26147769,35561,112
5,27824313,37796,119
5,28082683,38111,120
5,23613847,32068,101
5,23506184,32068,101
5,24283348,33019,104
5,24540701,33338,105
5,24532971,33655,106
5,28570528,38100,120
5,26792589,35891,113
5,27746381,37793,119
5,29266222,39377,124
5,29155949,39379,124
5,28123960,37793,119
5,26366962,35891,113
5,28953630,39384,124
5,29989924,40335,127
5,25749116,34288,108
5,29912333,40650,128
5,26273280,35893,113
5,28957879,39064,123
5,25283493,33986,107
5,28940958,39379,124
5,30174662,40647,128
5,30245036,40646,128
5,28306662,37477,118
5,27709337,37795,119
5,27275360,36827,116
5,28502689,38430,121
5,27981243,38112,120
5,25236375,33986,107
5,27148312,37160,117
5,28944996,39383,124
5,27546672,37479,118
5,28774051,39381,124
5,28386826,38748,122
5,25891511,35573,112
5,28193734,38429,121
5,26752679,36842,116
5,27725106,37793,119
5,26696987,36194,114
5,28837623,39379,124
5,29807652,40646,128
5,29778418,40335,127
5,27065067,36527,115
5,26930554,36512,115
5,29285980,39381,124
5,26428682,35891,113
5,29594465,40010,126
5,28019617,38105,120
5,29535483,40319,127
5,30079575,40636,128
5,30511135,40631,128
5,23592642,32396,102
5,23307176,32085,101
5,26475427,35891,113
5,29078009,39383,124
5,28738237,39379,124
5,29276823,40017,126
5,28476858,38430,121
5,27834634,37799,119
5,25891548,35266,111
5,26168118,34938,110
5,25870260,35258,111
5,28285479,38101,120
5,30314798,40649,128
5,28391969,38743,122
5,26185441,35880,113
5,26464482,36196,114
5,29767806,40647,128
5,28795484,39064,123
5,26469745,35879,113
5,24604632,33662,106
5,28413530,38743,122
5,28378093,38417,121
5,26792661,36522,115
5,25733415,34935,110
5,24122344,32714,103
5,23884231,32410,102
5,27347574,37149,117
5,26863399,36516,115
5,26731296,36516,115
5,29791689,40649,128
5,26897276,36845,116
5,29138129,39383,124
5,26280322,35880,113
5,26252543,35880,113
5,27355412,37149,117
5,26873304,36515,115
5,25973277,35563,112
5,26613763,35880,113
5,26792891,36827,116
5,30017328,40644,128
5,29494455,40001,126
5,28043903,38108,120
5,30065327,40644,128
5,27703138,37781,119
5,26208707,35880,113
5,26561629,36196,114
5,29393684,40017,126
5,28964178,39368,124
5,23665991,32396,102
5,26106620,35563,112
5,26522301,36196,114
5,23719238,32396,102
5,24054484,33020,104
5,29114020,39381,124
5,23967638,33020,104
5,26582749,36196,114
5,29043520,39369,124
5,23802216,32396,102
5,23503490,32396,102
5,29847414,40645,128
5,29833462,40319,127
5,29634954,40334,127
5,29700039,40333,127
5,26250626,35559,112
5,26793895,35892,113
5,24606777,33667,106
5,24943952,33983,107
5,27486046,37796,119
5,27308919,37164,117
5,24342417,33359,105
5,26193866,36214,114
5,27490654,37801,119
5,24331709,33359,105
5,26746715,36841,116
5,26166168,35898,113
5,25158366,33667,106
5,28165061,38116,120
5,27491623,37164,117
5,27640969,37801,119
5,24966114,34305,108
5,27346182,37480,118
5,25939215,35251,111
5,25203958,34934,110
5,23641208,32385,102
5,24190186,33019,104
5,26008746,35892,113
5,27526929,37797,119
5,24525049,33676,106
5,26316969,35898,113
5,27702463,38114,120
5,25699808,35251,111
5,23390570,32068,101
5,25487277,34934,110
5,27430222,37484,118
5,24894981,34305,108
5,25552958,34934,110
5,24351555,33351,105
5,25560616,34934,110
5,25659513,35251,111
5,24608494,33666,106
5,25333219,34934,110
5,25407048,34617,109
5,23809541,32085,101
5,25466012,34934,110
5,26623032,36522,115
5,25833415,35251,111
5,29682976,40647,128
5,25828716,35568,112
5,23616000,32385,102
5,25342489,34934,110
5,26841891,36839,116
5,29525346,40013,126
5,24925357,34305,108
5,25201513,34617,109
5,25987774,35251,111
5,25998816,35251,111
5,25685237,35251,111
5,25471964,34934,110
5,25250178,34616,109
5,25874776,35256,111
5,25710028,35251,111
5,25476409,34617,109
5,27941853,38429,121
5,27003125,36205,114
5,26128827,35888,113
5,25458915,35251,111
5,25480522,34934,110
5,25922076,35888,113
5,25608406,35251,111
5,25617125,34934,110
5,28277511,38743,122
5,26135475,35569,112
