OMNIKDTREE,EUCLIDEAN,SELECTION,4,4490,272561
k,time,count,disk
5,25808490,34623,109
5,23723189,32728,103
5,25363972,34945,110
5,24609689,34304,108
5,23893307,33030,104
5,22967264,32091,101
5,27581274,37792,119
5,23251913,32409,102
5,23260999,32410,102
5,23380067,32410,102
5,23634625,33043,104
5,23773264,33360,105
5,23773560,33044,104
5,23754389,32728,103
5,23402040,32409,102
5,23254649,32411,102
5,23779568,33043,104
5,23754154,33043,104
5,23633792,33043,104
5,24549409,33995,107
5,23473197,32411,102
5,23070491,32407,102
5,23099143,32392,102
5,23257423,32402,102
5,23882006,33043,104
5,23723764,33043,104
5,23806061,33043,104
5,23831246,33043,104
5,23767715,33044,104
5,23160591,32410,102
5,23232546,32409,102
5,24050518,33043,104
5,23841785,33360,105
5,23392824,32727,103
5,23472698,32409,102
5,27683300,38425,121
5,23041734,32091,101
5,25813037,35886,113
5,24545791,34305,108
5,23933090,32727,103
5,23143255,32092,101
5,26876545,37164,117
5,23815726,33043,104
5,27281695,37797,119
5,23581618,32410,102
5,22868027,32715,103
5,23505352,32704,103
5,23421707,32410,102
5,23280248,32094,101
5,27280221,37790,119
5,23853683,33043,104
5,24569011,33994,107
5,23558282,32410,102
5,23089721,32406,102
5,23875197,33989,107
5,23764188,33672,106
5,25205170,34931,110
5,28316304,39384,124
5,23795399,33670,106
5,26444885,36211,114
5,24182473,33676,106
5,24144239,33672,106
5,28097253,39051,123
5,27563756,37798,119
5,23023726,32082,101
5,26058103,36529,115
5,25903456,36203,114
5,23511657,32410,102
5,26294479,36846,116
5,24742455,34311,108
5,24344895,33678,106
5,23484079,32399,102
5,25129337,35252,111
5,23422316,32716,103
5,23135500,32400,102
5,28139789,38749,122
5,27475294,38115,120
5,22999804,32082,101
5,23809800,33352,105
5,23101638,32410,102
5,23419712,32082,101
5,24848130,34619,109
5,27322741,38115,120
5,27367253,37791,119
5,27175598,38115,120
5,27593721,38425,121
5,27073057,37480,118
5,28032434,39051,123
5,24089278,33352,105
5,24847707,34312,108
5,27198052,37791,119
5,24282095,33676,106
5,26448532,37164,117
5,22814970,32403,102
5,27572632,38419,121
5,23866155,33670,106
5,24094824,33988,107
5,24296443,33677,106
5,23639819,33023,104
5,23009244,32391,102
5,23715262,33352,105
5,23697714,33670,106
5,22889705,32075,101
5,23268793,32722,103
5,27292474,37798,119
5,24672959,34303,108
5,23216965,32399,102
5,27348596,37797,119
5,27585677,38433,121
5,23901582,33044,104
5,23622015,33043,104
5,23646050,33043,104
5,23500632,33034,104
5,25518186,35578,112
5,23181108,32094,101
5,26086566,36211,114
5,24473784,33994,107
5,26955300,37480,118
5,24372832,33989,107
5,23742960,33036,104
5,24455717,33994,107
5,23537349,32392,102
5,27943719,38432,121
5,23812907,33667,106
5,23536575,33350,105
5,24246376,33985,107
5,23594983,33038,104
5,23325110,32410,102
5,23723768,33043,104
