OMNIKDTREE,EUCLIDEAN,SSS,4,4490,240654
k,time,count,disk
5,27175083,39372,124
5,22257223,38745,122
5,23148952,40641,128
5,23235546,40644,128
5,25836627,40638,128
5,22174309,33347,105
5,26583661,40641,128
5,24595226,37787,119
5,24351686,37481,118
5,25185845,38745,122
5,22995750,35565,112
5,23901998,36838,116
5,26478042,40633,128
5,24955556,39065,123
5,21610227,33674,106
5,23406725,36523,115
5,23525286,35884,113
5,23670994,35885,113
5,24617561,35567,112
5,27796648,40633,128
5,24386091,37471,118
5,24662209,35885,113
5,27006289,39691,125
5,25312871,37478,118
5,22756911,33347,105
5,24290786,35565,112
5,23001079,33663,106
5,23238912,33979,107
5,26550617,39065,123
5,21819050,32409,102
5,25027704,36836,116
5,25446236,37470,118
5,25111930,37153,117
5,27897922,40634,128
5,25044100,36839,116
5,27855878,40637,128
5,22807659,33347,105
5,25570393,37471,118
5,26655670,38738,122
5,24127006,35577,112
5,23426879,34945,110
5,27308641,40007,126
5,23251787,34628,109
5,27002014,39373,124
5,28378261,40638,128
5,26811103,39373,124
5,26783375,39373,124
5,24258057,35895,113
5,21810890,32094,101
5,27121859,40008,126
5,23185589,33980,107
5,24027067,35577,112
5,24793109,36848,116
5,24663487,36529,115
5,25097349,37162,117
5,27127125,39372,124
5,27675120,40645,128
5,27650758,40007,126
5,24550912,36209,114
5,26544791,38738,122
5,26335837,38746,122
5,25049620,36832,116
5,27331163,40008,126
5,27436311,40008,126
5,22540500,33025,104
5,23617385,35247,111
5,24378219,36200,114
5,25407665,37478,118
5,24790979,36834,116
5,27579188,40641,128
5,26648304,39381,124
5,22694160,33978,107
5,23895512,34930,110
5,24887894,36833,116
5,23523548,34929,110
5,25555463,38102,120
5,27443294,40642,128
5,23314486,34613,109
5,25294952,37469,118
5,24518252,36532,115
5,22262959,33025,104
5,27220271,40008,126
5,25793739,38102,120
5,28126879,40642,128
5,28110558,40645,128
5,27452940,40008,126
5,26869533,39057,123
5,27832306,40636,128
5,24369070,35886,113
5,25577317,38116,120
5,27727874,40642,128
5,25568482,37477,118
5,25238107,37153,117
5,24455560,35567,112
5,27915240,40636,128
5,25042080,36845,116
5,25641003,37479,118
5,25041551,36846,116
5,25335267,37469,118
5,25021538,36519,115
5,25891242,37469,118
5,24844789,36845,116
5,26270289,38740,122
5,24258354,35564,112
5,27671767,40324,127
5,23343479,34300,108
5,25214052,37467,118
5,28030930,40638,128
5,28250135,40639,128
5,22490586,33676,106
5,23286435,34628,109
5,23558363,34628,109
5,23027373,33985,107
5,25650928,37793,119
5,21597725,32093,101
5,26381801,39067,123
5,27290501,40008,126
5,27268926,39374,124
5,27072843,39376,124
5,24028580,35249,111
5,24742578,36846,116
5,25801126,38106,120
5,27470772,40008,126
5,27419086,40010,126
5,28330400,40642,128
5,26894596,39374,124
5,24822545,36200,114
5,26355615,38433,121
5,23899452,35253,111
5,26605482,38750,122
5,25129822,37163,117
5,26576724,39374,124
5,24286296,35566,112
5,26989789,40008,126
5,24028996,35253,111
5,27314097,40012,126
5,23026857,33979,107
5,23448245,34615,109
5,24538043,35883,113
5,23139380,33979,107
5,24129216,35568,112
5,24711974,35882,113
5,24318051,35565,112
5,23772670,34614,109
5,27524608,40008,126
5,25345634,37162,117
5,27809227,40638,128
5,27632613,40007,126
5,24276361,35570,112
5,23160796,33662,106
5,26585217,39061,123
5,27394063,40006,126
5,27122245,39696,125
5,23593863,34614,109
5,24266897,35565,112
5,25543002,37478,118
5,26479810,38740,122
5,23986424,34615,109
5,25477367,37470,118
5,26920807,39373,124
5,26371335,38429,121
5,24076082,34934,110
5,23975387,34931,110
5,23749378,33979,107
5,23858625,33980,107
5,27292046,39374,124
5,24871829,36199,114
5,25697480,37154,117
5,25343987,36521,115
5,28054772,40010,126
5,27940995,40003,126
5,26788620,38738,122
5,24307365,34931,110
5,25443295,36833,116
5,27771965,40008,126
5,26354803,37786,119
5,27924335,40008,126
5,24455666,35249,111
5,27146695,39058,123
5,24945304,36204,114
5,27272166,39697,125
5,28241498,40640,128
5,26623382,38739,122
5,28274612,40640,128
5,28318289,40638,128
5,27630638,39374,124
5,27806696,40008,126
5,25128296,36203,114
5,27627215,40008,126
5,27067816,38739,122
5,24541628,35566,112
5,27841762,40008,126
5,23669615,34296,108
5,25046768,35884,113
5,27182998,39374,124
5,23161927,33662,106
5,24612588,35564,112
5,26851026,38421,121
5,28329216,40638,128
5,24755051,35564,112
5,26437860,38105,120
5,26817923,38424,121
5,25247789,36836,116
5,25737142,36838,116
5,23421168,34295,108
5,28047480,40325,127
5,25669932,37150,117
5,22649747,33025,104
5,25378794,36838,116
5,24597795,35568,112
5,25132985,36516,115
5,25397623,36834,116
5,24538101,35568,112
5,26118278,37786,119
5,25432561,37150,117
5,25486951,36836,116
5,27946602,40639,128
5,26539322,38109,120
5,24958774,36200,114
5,27820349,40010,126
5,23019589,33660,106
5,27476587,39693,125
5,26083911,37784,119
5,24833188,35880,113
5,27070148,39054,123
5,28239898,40639,128
5,23541007,34295,108
5,23052772,33344,105
5,23560228,33976,107
5,28204977,40636,128
5,28145945,40639,128
5,27484967,39697,125
5,24300112,35251,111
5,28140903,40322,127
5,25228642,36517,115
5,23488726,33985,107
5,27676223,39691,125
5,26381148,38104,120
5,27148164,39053,123
5,25239677,36834,116
5,23143509,33344,105
5,24198095,35246,111
5,28316529,40639,128
5,27960892,39694,125
5,26333074,37786,119
5,25417020,36517,115
5,25483489,36836,116
5,23601716,33984,107
5,27793560,40010,126
5,23553081,34295,108
5,28297430,40322,127
5,27439200,39374,124
5,26590560,38436,121
5,27959751,40324,127
5,24298360,34936,110
5,22958374,33343,105
5,21958643,32409,102
5,22283608,32410,102
5,25209097,36202,114
5,21796004,32093,101
5,27639084,39373,124
5,21781456,32093,101
5,27491280,39689,125
5,24953976,36199,114
5,25180569,36516,115
5,24402888,35246,111
5,27082416,39372,124
5,26832939,38740,122
5,25240628,36516,115
5,27594316,40008,126
5,27065655,39056,123
5,24132221,34617,109
5,26861813,39055,123
5,24295560,35254,111
5,25527585,36835,116
5,26363904,38104,120
5,26996032,38745,122
5,26898563,38739,122
5,27196975,39056,123
5,27128860,39065,123
5,25107355,36202,114
5,26374454,38111,120
5,26636894,38423,121
5,27371077,38738,122
5,27551576,39372,124
5,27613701,39691,125
5,27340997,39056,123
5,25318898,36519,115
5,25006264,35883,113
5,27897657,40008,126
5,26942700,38738,122
5,28340226,40638,128
5,23631948,33979,107
5,27238318,39372,124
5,26128547,37785,119
5,24513871,35261,111
5,24720501,35881,113
5,27199415,39065,123
5,26172695,37788,119
5,24348286,35249,111
5,27357389,39373,124
5,28216677,40644,128
5,26938712,38744,122
5,28339500,40639,128
5,25997743,37479,118
5,28405550,40637,128
5,25685752,37150,117
5,26632655,38109,120
5,26235397,37795,119
5,23429076,33985,107
5,25529134,36836,116
5,25029528,35882,113
5,27829013,40005,126
5,27933235,40015,126
5,24392708,35253,111
5,26710385,38749,122
5,25917971,37792,119
5,27083390,39060,123
5,25724150,36837,116
5,26836402,38744,122
5,28396074,40641,128
5,23966560,34302,108
5,25181246,36207,114
5,28253750,40644,128
5,25303102,36518,115
5,27605096,39371,124
5,25803621,37475,118
5,27109972,39057,123
5,27934392,40331,127
5,24025250,34618,109
5,27874389,40331,127
5,26701185,38740,122
5,28100383,40325,127
5,28647699,40635,128
5,28091433,40325,127
5,28339604,40638,128
5,27957452,40324,127
5,25412192,36847,116
5,28301178,40638,128
5,27921901,40008,126
5,27814123,40006,126
5,25572434,37155,117
5,26466418,37786,119
5,25272204,36846,116
5,26482808,38421,121
5,26620283,38110,120
5,25680839,37153,117
5,24124805,34613,109
5,22251178,32408,102
5,28539571,40638,128
5,24603997,35575,112
5,25961980,37473,118
5,23245955,33660,106
5,22976432,33342,105
5,23402328,33660,106
5,23673732,34304,108
5,23682654,34295,108
5,22562499,32725,103
5,27184086,39056,123
5,25861925,37472,118
5,22333611,32394,102
5,23535041,33660,106
5,26673349,38744,122
5,23740923,34628,109
5,23218197,33660,106
5,24957051,36204,114
5,27624262,40008,126
5,27486574,39372,124
5,23266041,33661,106
5,23686283,34613,109
5,24611239,35881,113
5,23172480,33660,106
5,23890847,34944,110
5,24953580,36199,114
5,28309347,40639,128
5,27155679,39057,123
5,27487910,39374,124
5,27508288,40008,126
5,26955998,39055,123
5,23517991,33979,107
5,25447142,36836,116
5,27226398,39377,124
5,26386156,38423,121
5,23973385,34945,110
5,26411647,38420,121
5,27161606,39055,123
5,27027217,39053,123
5,25141344,36528,115
5,24331546,35245,111
5,23660760,33978,107
5,23320882,33979,107
5,26834031,39057,123
5,25169019,36201,114
5,23711696,34613,109
5,25118551,36519,115
5,24063593,34930,110
5,23899699,34944,110
5,26828026,39056,123
5,23725210,33978,107
5,26996702,39053,123
5,24406309,35251,111
5,24276729,34612,109
5,23361324,33987,107
5,24266487,35249,111
5,23742863,34301,108
5,24197388,34928,110
5,23330076,33668,106
5,22965555,33025,104
5,22990022,33343,105
5,26052249,37469,118
5,27625407,39382,124
5,23714816,34628,109
5,24279798,35261,111
5,23018858,33675,106
5,24098490,34945,110
5,24841460,36208,114
5,28257706,40645,128
5,23420719,34311,108
5,26510554,38115,120
5,26907926,38738,122
5,22838562,33025,104
5,23098550,33342,105
5,23402835,33979,107
5,22520829,32708,103
5,23954486,34612,109
5,25099218,36201,114
5,25148602,35889,113
5,26936854,38745,122
5,25377162,36517,115
5,28006986,40008,126
5,27581980,39691,125
5,25294127,36522,115
5,27602259,39693,125
5,27771082,40014,126
5,26247282,37787,119
5,27186034,39379,124
5,26578371,38105,120
5,27502379,40008,126
5,24133020,34616,109
5,27573371,40008,126
5,26910112,38739,122
5,28284634,40008,126
5,25895476,37469,118
5,25142372,36209,114
5,26868105,39057,123
5,27841282,39691,125
5,27029038,39056,123
5,25218930,36200,114
5,28894863,40008,126
5,28271288,40010,126
5,27014637,38421,121
5,28696706,40008,126
5,28501225,39372,124
5,26253394,36519,115
5,27696287,38739,122
5,26317483,36834,116
5,28473598,39373,124
5,27477062,38422,121
5,28078941,39374,124
5,28428657,39372,124
5,27362003,38104,120
5,23088929,32396,102
5,27276769,38422,121
5,28055012,39373,124
5,26840154,37155,117
5,29290745,40637,128
5,28593723,40008,126
5,27435090,39066,123
5,28943837,40639,128
5,29098723,40642,128
5,22415462,32093,101
5,24291304,34629,109
5,23953442,33982,107
5,27960252,39056,123
5,28474159,40008,126
5,28122983,39691,125
5,25973257,36519,115
5,24851851,34613,109
5,25960713,36204,114
5,27133619,37790,119
5,26216696,36838,116
5,25870999,36200,114
5,29138354,40638,128
5,24625019,34944,110
5,23439328,33356,105
5,23418209,33357,105
5,28537809,40325,127
5,28613127,40008,126
5,22812969,32406,102
5,22872106,32092,101
5,24741323,35261,111
5,25635862,36525,115
5,24792697,34944,110
5,25154342,35576,112
5,22775321,32409,102
5,25672827,36210,114
5,24789107,34942,110
5,24863992,34943,110
5,24074454,33673,106
5,28688257,40008,126
5,28794616,40331,127
5,27655547,38745,122
5,23866364,33673,106
5,23917002,33673,106
5,25367206,35574,112
5,27862888,39062,123
5,23447456,33356,105
5,23494222,33356,105
5,28553099,39697,125
5,28717697,40008,126
5,24854810,35261,111
5,25828319,36525,115
5,29023464,40325,127
5,26252716,36843,116
5,23531773,33356,105
5,24087275,33993,107
5,28019719,39374,124
5,28011730,39061,123
5,22498443,32093,101
5,23970466,33356,105
5,23712730,33676,106
5,22417641,32093,101
5,24598516,34929,110
5,28566618,40013,126
5,25967829,36200,114
5,23300027,33044,104
5,28571432,40324,127
5,22589841,32093,101
5,22375590,32093,101
5,27321807,38738,122
5,24665848,35261,111
5,28620876,40014,126
5,28793893,40330,127
5,23037375,33044,104
5,25340383,35567,112
5,26050731,36836,116
5,25357381,35889,113
5,25755205,36519,115
5,25710786,35888,113
5,23682577,33354,105
5,23981396,33664,106
5,24387040,34298,108
5,23953296,33671,106
5,25565457,35564,112
5,24340466,34298,108
5,24821946,34933,110
5,28391477,39691,125
5,25794708,35881,113
5,25358731,35573,112
5,25659646,36206,114
5,24655206,34613,109
5,24541067,34617,109
5,26209597,36522,115
5,23486515,33343,105
5,25035322,35564,112
5,23935978,33978,107
5,24707045,34930,110
5,24789131,34934,110
5,24002187,33664,106
5,25526732,35564,112
5,26217458,36206,114
5,23793661,33026,104
5,26499857,37154,117
5,24472509,34298,108
5,24587345,34303,108
5,25584382,35889,113
5,24110850,33662,106
5,25750867,36205,114
5,24633606,34618,109
5,24923477,34613,109
5,25753006,35884,113
5,26204161,36519,115
5,23065441,32726,103
5,25887130,36522,115
5,25861087,36206,114
5,24446307,34305,108
5,29329903,40643,128
5,27988768,39056,123
5,23677905,33343,105
5,25767968,35889,113
5,25793361,36206,114
5,27045485,37799,119
5,25698025,36206,114
5,24996912,35254,111
5,26236165,36521,115
5,25704126,36205,114
5,24831534,34938,110
5,24183045,33987,107
5,24696842,34621,109
5,24762778,34930,110
5,24754433,34616,109
5,25739276,36206,114
5,29007392,40641,128
5,29016128,40637,128
5,27026228,38104,120
5,27062183,37789,119
5,25521130,36206,114
5,25536593,35565,112
5,25851637,36522,115
5,26136118,36522,115
5,26182609,36839,116
5,29107578,40636,128
5,25197630,35572,112
5,27435707,38421,121
5,26493334,36839,116
5,29012662,40646,128
5,27729726,38738,122
5,24168892,33978,107
5,26448662,37468,118
5,26083299,36522,115
5,23935053,33978,107
5,26676739,37785,119
5,26348560,36843,116
5,24677707,34930,110
5,26074316,36518,115
5,24837579,35247,111
5,23630647,33661,106
5,29067693,40638,128
5,25630123,36202,114
5,23709265,33661,106
5,24657243,34613,109
5,24255141,34294,108
5,27313525,38423,121
5,25921236,36523,115
5,25828843,36205,114
5,25230218,35577,112
5,24743701,34616,109
5,25554721,35884,113
5,24762923,34613,109
5,25689112,36199,114
5,27695986,38740,122
5,25999598,36520,115
5,26076715,36519,115
5,24630314,34614,109
5,27094134,38104,120
5,27687519,38736,122
5,22995359,32726,103
5,24813164,34934,110
5,26263733,36836,116
5,24184728,33661,106
5,24106010,33661,106
5,27215892,38103,120
5,28503160,39691,125
5,24861277,34934,110
5,25638414,36206,114
5,26494427,36837,116
5,26033898,36518,115
5,28196699,39060,123
5,27868456,39062,123
5,26277480,36835,116
5,24350950,34300,108
5,25852617,36203,114
5,25877617,36206,114
5,24306357,33976,107
5,27363005,38420,121
5,26601728,37470,118
5,26929189,37470,118
5,27309930,38428,121
5,27355371,38421,121
5,23914082,33662,106
5,23863309,33660,106
5,28825845,40325,127
5,28408449,39374,124
5,25120074,35251,111
5,27860109,39056,123
5,27216486,37794,119
5,25539954,35882,113
5,25715673,36198,114
5,24543072,34621,109
5,22948698,32396,102
5,23744227,33348,105
5,26398085,36835,116
5,25916287,36519,115
5,24138266,33987,107
5,25860360,36209,114
5,27401928,38421,121
5,25640245,36206,114
5,28011734,39386,124
5,27195588,37469,118
5,25850223,35886,113
5,29235036,40638,128
5,27751621,38421,121
5,24940248,34934,110
5,24111080,33988,107
5,23564756,33030,104
5,28089844,39375,124
5,27067486,37786,119
5,24684148,34617,109
5,26704744,37163,117
5,28397048,40008,126
5,26653783,37163,117
5,28655403,40005,126
5,26634463,37470,118
5,23542236,33356,105
5,26986199,37470,118
5,28999264,40647,128
5,28148964,39376,124
5,26799407,37479,118
5,29095617,40645,128
5,27061433,37786,119
5,27157596,38102,120
5,22796087,32093,101
5,24767364,34936,110
5,26741674,37469,118
5,25808161,36202,114
5,26098223,36208,114
5,26100796,36518,115
5,23949287,33990,107
5,24564134,34299,108
5,25878695,36201,114
5,25012996,35247,111
5,27963837,39376,124
5,26262135,36847,116
5,26842082,37795,119
5,25559962,35893,113
5,25066388,35250,111
5,25378461,35888,113
5,28185985,39055,123
5,27384942,38423,121
5,27709934,38739,122
5,25872214,36204,114
5,24417471,34313,108
5,28172443,39371,124
5,28529141,40008,126
5,28294006,39371,124
5,27851562,39054,123
5,23865153,33997,107
5,23489680,33030,104
5,25324556,35883,113
5,25717452,36204,114
5,28787411,40325,127
5,28119339,39372,124
5,26680885,37470,118
5,28414893,39373,124
5,24201219,34310,108
5,22994439,32406,102
5,26241877,36838,116
5,28471410,39691,125
5,26563944,37467,118
5,25568580,35881,113
5,23959589,33987,107
5,24379867,34628,109
5,25636816,35886,113
5,23084597,32726,103
5,23823580,33660,106
5,27527596,38421,121
5,23300696,33026,104
5,25089944,35577,112
5,26713851,37470,118
5,26578221,37470,118
5,23406394,33042,104
5,25831436,36207,114
5,25632070,36203,114
5,25968580,36519,115
5,26801938,37470,118
5,25850325,36517,115
5,26499095,37150,117
5,22700854,32078,101
5,26542510,37471,118
5,26338792,36835,116
5,26771935,37787,119
5,24574758,34616,109
5,23943849,33665,106
5,22904692,32079,101
5,27513161,39054,123
5,23850443,33660,106
5,23240178,33026,104
5,22356961,32093,101
5,22755579,32078,101
5,24018279,33663,106
5,24244140,33982,107
5,25511399,35884,113
5,24096834,33982,107
5,24250982,34313,108
5,24505480,34616,109
5,23001391,32394,102
5,23210202,33042,104
5,22997808,32722,103
5,24192643,34310,108
5,24043721,33977,107
5,23129939,32394,102
5,22950576,32406,102
5,22934880,32406,102
5,23204068,32396,102
5,23091497,32396,102
5,26114761,36837,116
5,24404523,34305,108
5,24339396,34304,108
5,23120390,32725,103
5,26091740,36522,115
5,25348376,35892,113
5,23183489,32396,102
5,23814841,33664,106
5,25260546,35891,113
5,23380685,33032,104
5,25646379,35882,113
5,24902575,35257,111
5,25376895,35891,113
5,27282651,37796,119
5,26559021,37155,117
5,27823656,39055,123
5,29440444,40637,128
5,24391072,34310,108
5,22981198,32409,102
5,24115010,34311,108
5,23134054,32726,103
5,25980013,36529,115
5,24951910,35260,111
5,26070068,36529,115
5,27580074,38752,122
5,22722428,32093,101
5,25727797,36216,114
5,24548146,34313,108
5,24281708,34313,108
5,25491063,35900,113
5,23077204,32409,102
5,27334957,38423,121
5,22889588,32409,102
5,28085132,39383,124
5,27987371,39058,123
5,29289638,40637,128
5,23533518,33044,104
5,23987464,33997,107
5,24020334,33997,107
5,25462213,35900,113
5,23968235,33997,107
5,27259912,38437,121
5,27322789,38115,120
5,27211956,38115,120
5,27808246,38429,121
5,27596135,38751,122
5,24885922,34945,110
5,23513609,32726,103
5,24179727,33997,107
5,27682917,38423,121
5,23245951,32409,102
5,24813439,34945,110
5,24879736,34945,110
5,24152723,33676,106
5,25544273,35886,113
5,24130256,33997,107
5,26397023,36841,116
5,25293765,35261,111
5,27875961,38737,122
5,28459551,39689,125
5,24981645,34928,110
5,28077338,39054,123
5,29293928,40637,128
5,28862890,40007,126
5,29254167,40328,127
5,25647198,35573,112
5,26198411,36524,115
5,25019456,34928,110
5,29274934,40638,128
5,28780073,40008,126
5,28632124,39371,124
5,29256545,40638,128
5,24354966,33981,107
5,25869734,35566,112
5,24577106,34298,108
5,25068436,34618,109
5,28556085,39701,125
5,24530176,33986,107
5,29406158,40641,128
5,28039262,39058,123
5,28034866,39060,123
5,28583937,39688,125
5,28518933,39689,125
5,24933249,34624,109
5,24930082,34943,110
5,26038535,36207,114
5,24175760,33670,106
5,25035494,34303,108
5,26092917,36207,114
5,27414394,38102,120
5,25610236,35252,111
5,25500170,35258,111
5,25848623,35888,113
5,25826161,36209,114
5,25257113,34934,110
5,24223880,33664,106
5,26076866,36532,115
5,24926769,34939,110
5,26147486,36521,115
5,28214561,39060,123
5,26626349,37163,117
5,25426170,35575,112
5,26475290,36848,116
5,23391561,33042,104
5,24650521,34305,108
5,25910918,35885,113
5,24275972,33664,106
5,25496361,35251,111
5,23372982,32726,103
5,26399560,36522,115
5,22974889,32078,101
5,26490977,36834,116
5,27183633,37788,119
5,24395891,33983,107
5,24773829,34300,108
5,28833736,40008,126
5,27211428,38111,120
5,29283945,40636,128
5,22711961,32093,101
5,24774912,33981,107
5,28869560,40008,126
5,28952127,40331,127
5,23048292,32409,102
5,28106572,39065,123
